#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs. log U and vs N/O empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
6.90 -1.750 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0012 0.0363 0.0000
6.90 -1.750 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0013 0.0408 0.0000
6.90 -1.750 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0013 0.0443 0.0000
6.90 -1.625 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0017 0.0363 0.0000
6.90 -1.625 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0017 0.0408 0.0000
6.90 -1.625 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0017 0.0443 0.0000
6.90 -1.500 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0022 0.0363 0.0000
6.90 -1.500 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0023 0.0407 0.0000
6.90 -1.500 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0023 0.0443 0.0000
7.00 -1.750 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0016 0.0456 0.0000
7.00 -1.750 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0220 0.0829 0.0016 0.0511 0.0000
7.00 -1.750 -2.00 0.0580 0.0171 0.0465 0.0063 0.0000 0.0257 0.0206 0.0201 0.0898 0.0016 0.0555 0.0000
7.00 -1.675 -2.50 0.0600 0.0178 0.0180 0.0066 0.0012 0.0234 0.0231 0.0227 0.0739 0.0019 0.0454 0.0000
7.00 -1.675 -2.25 0.0592 0.0175 0.0308 0.0064 0.0000 0.0246 0.0223 0.0219 0.0826 0.0019 0.0509 0.0000
7.00 -1.675 -2.00 0.0583 0.0172 0.0467 0.0063 0.0000 0.0256 0.0205 0.0200 0.0893 0.0019 0.0552 0.0000
7.00 -1.500 -2.50 0.0599 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0741 0.0028 0.0456 0.0000
7.00 -1.500 -2.25 0.0590 0.0174 0.0308 0.0064 0.0000 0.0246 0.0224 0.0219 0.0829 0.0029 0.0511 0.0000
7.00 -1.500 -2.00 0.0580 0.0171 0.0465 0.0063 0.0000 0.0257 0.0206 0.0201 0.0898 0.0028 0.0555 0.0000
7.10 -1.750 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0020 0.0570 0.0000
7.10 -1.750 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0021 0.0639 0.0000
7.10 -1.750 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0020 0.0692 0.0000
7.10 -1.625 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0026 0.0570 0.0000
7.10 -1.625 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0027 0.0639 0.0000
7.10 -1.625 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0027 0.0692 0.0000
7.10 -1.500 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0035 0.0570 0.0000
7.10 -1.500 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0036 0.0639 0.0000
7.10 -1.500 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0036 0.0692 0.0000
7.20 -1.750 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0025 0.0716 0.0000
7.20 -1.750 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1305 0.0026 0.0802 0.0000
7.20 -1.750 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1412 0.0025 0.0870 0.0000
7.20 -1.625 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0033 0.0716 0.0000
7.20 -1.625 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1305 0.0034 0.0802 0.0000
7.20 -1.625 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1412 0.0034 0.0869 0.0000
7.20 -1.500 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0044 0.0716 0.0000
7.20 -1.500 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1304 0.0046 0.0802 0.0000
7.20 -1.500 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1411 0.0045 0.0869 0.0000
7.30 -1.750 -2.50 0.0606 0.0180 0.0349 0.0066 0.0025 0.0462 0.0459 0.0454 0.1461 0.0031 0.0895 0.0000
7.30 -1.750 -2.25 0.0597 0.0177 0.0600 0.0065 0.0016 0.0488 0.0445 0.0437 0.1634 0.0032 0.1002 0.0000
7.30 -1.750 -2.00 0.0588 0.0174 0.0915 0.0064 0.0010 0.0508 0.0409 0.0401 0.1767 0.0032 0.1085 0.0000
7.30 -1.625 -2.50 0.0606 0.0180 0.0349 0.0066 0.0025 0.0462 0.0459 0.0453 0.1461 0.0041 0.0895 0.0000
7.30 -1.625 -2.25 0.0597 0.0177 0.0600 0.0065 0.0016 0.0487 0.0445 0.0437 0.1634 0.0043 0.1002 0.0000
7.30 -1.625 -2.00 0.0588 0.0174 0.0915 0.0064 0.0010 0.0508 0.0409 0.0400 0.1766 0.0043 0.1084 0.0000
7.30 -1.500 -2.50 0.0606 0.0180 0.0349 0.0066 0.0025 0.0462 0.0459 0.0453 0.1461 0.0055 0.0894 0.0000
7.30 -1.500 -2.25 0.0597 0.0177 0.0600 0.0065 0.0016 0.0487 0.0445 0.0437 0.1633 0.0058 0.1002 0.0000
7.30 -1.500 -2.00 0.0589 0.0174 0.0915 0.0064 0.0010 0.0508 0.0409 0.0400 0.1765 0.0057 0.1084 0.0000
7.40 -1.750 -2.50 0.0611 0.0182 0.0430 0.0067 0.0032 0.0577 0.0574 0.0568 0.1820 0.0039 0.1111 0.0000
7.40 -1.750 -2.25 0.0603 0.0179 0.0744 0.0066 0.0020 0.0608 0.0556 0.0548 0.2031 0.0041 0.1241 0.0000
7.40 -1.750 -2.00 0.0595 0.0177 0.1139 0.0065 0.0013 0.0633 0.0510 0.0500 0.2189 0.0040 0.1337 0.0000
7.40 -1.625 -2.50 0.0611 0.0182 0.0430 0.0067 0.0032 0.0577 0.0574 0.0568 0.1820 0.0052 0.1111 0.0000
7.40 -1.625 -2.25 0.0603 0.0179 0.0744 0.0066 0.0020 0.0608 0.0556 0.0548 0.2031 0.0054 0.1241 0.0000
7.40 -1.625 -2.00 0.0596 0.0177 0.1139 0.0065 0.0013 0.0633 0.0510 0.0500 0.2189 0.0053 0.1337 0.0000
7.40 -1.500 -2.50 0.0611 0.0182 0.0430 0.0067 0.0032 0.0577 0.0574 0.0568 0.1820 0.0069 0.1111 0.0000
7.40 -1.500 -2.25 0.0603 0.0179 0.0744 0.0066 0.0020 0.0608 0.0556 0.0548 0.2031 0.0072 0.1241 0.0000
7.40 -1.500 -2.00 0.0596 0.0177 0.1139 0.0065 0.0013 0.0633 0.0510 0.0500 0.2189 0.0071 0.1337 0.0000
7.50 -1.750 -2.50 0.0613 0.0183 0.0530 0.0067 0.0041 0.0723 0.0722 0.0715 0.2279 0.0049 0.1388 0.0000
7.50 -1.750 -2.25 0.0605 0.0180 0.0921 0.0066 0.0026 0.0763 0.0700 0.0690 0.2546 0.0051 0.1551 0.0000
7.50 -1.750 -2.00 0.0597 0.0178 0.1416 0.0065 0.0017 0.0795 0.0644 0.0632 0.2747 0.0050 0.1671 0.0000
7.50 -1.625 -2.50 0.0613 0.0183 0.0530 0.0067 0.0041 0.0723 0.0722 0.0715 0.2278 0.0065 0.1388 0.0000
7.50 -1.625 -2.25 0.0605 0.0180 0.0921 0.0066 0.0026 0.0762 0.0700 0.0690 0.2545 0.0068 0.1550 0.0000
7.50 -1.625 -2.00 0.0598 0.0178 0.1416 0.0065 0.0017 0.0795 0.0644 0.0632 0.2746 0.0067 0.1670 0.0000
7.50 -1.500 -2.50 0.0613 0.0183 0.0530 0.0067 0.0041 0.0723 0.0722 0.0715 0.2277 0.0086 0.1387 0.0000
7.50 -1.500 -2.25 0.0606 0.0180 0.0921 0.0066 0.0026 0.0762 0.0700 0.0690 0.2543 0.0091 0.1549 0.0000
7.50 -1.500 -2.00 0.0598 0.0178 0.1416 0.0065 0.0017 0.0794 0.0643 0.0631 0.2744 0.0089 0.1669 0.0000
7.60 -1.750 -2.50 0.0618 0.0185 0.0651 0.0068 0.0053 0.0901 0.0902 0.0894 0.2834 0.0061 0.1720 0.0000
7.60 -1.750 -2.25 0.0610 0.0182 0.1136 0.0067 0.0034 0.0950 0.0875 0.0864 0.3164 0.0064 0.1918 0.0000
7.60 -1.750 -2.00 0.0603 0.0180 0.1757 0.0066 0.0022 0.0990 0.0804 0.0791 0.3410 0.0063 0.2062 0.0000
7.60 -1.625 -2.50 0.0618 0.0185 0.0651 0.0068 0.0053 0.0901 0.0902 0.0894 0.2833 0.0081 0.1720 0.0000
7.60 -1.625 -2.25 0.0610 0.0182 0.1136 0.0067 0.0034 0.0950 0.0875 0.0863 0.3162 0.0085 0.1917 0.0000
7.60 -1.625 -2.00 0.0603 0.0180 0.1757 0.0066 0.0022 0.0990 0.0804 0.0790 0.3408 0.0084 0.2060 0.0000
7.60 -1.500 -2.50 0.0618 0.0185 0.0650 0.0068 0.0053 0.0900 0.0901 0.0894 0.2832 0.0108 0.1719 0.0000
7.60 -1.500 -2.25 0.0611 0.0182 0.1136 0.0067 0.0034 0.0949 0.0874 0.0863 0.3160 0.0113 0.1916 0.0000
7.60 -1.500 -2.00 0.0603 0.0180 0.1757 0.0066 0.0022 0.0989 0.0803 0.0790 0.3405 0.0112 0.2058 0.0000
7.70 -1.750 -2.50 0.0623 0.0187 0.0796 0.0069 0.0069 0.1119 0.1122 0.1115 0.3511 0.0075 0.2121 0.0000
7.70 -1.750 -2.25 0.0616 0.0184 0.1396 0.0068 0.0044 0.1180 0.1089 0.1076 0.3915 0.0079 0.2360 0.0000
7.70 -1.750 -2.00 0.0609 0.0182 0.2172 0.0067 0.0028 0.1229 0.1000 0.0985 0.4213 0.0078 0.2528 0.0000
7.70 -1.625 -2.50 0.0623 0.0187 0.0796 0.0069 0.0069 0.1119 0.1122 0.1115 0.3510 0.0100 0.2120 0.0000
7.70 -1.625 -2.25 0.0616 0.0184 0.1395 0.0068 0.0044 0.1180 0.1088 0.1076 0.3913 0.0106 0.2358 0.0000
7.70 -1.625 -2.00 0.0609 0.0182 0.2172 0.0067 0.0028 0.1228 0.0999 0.0985 0.4210 0.0105 0.2526 0.0000
7.70 -1.500 -2.50 0.0623 0.0187 0.0795 0.0069 0.0069 0.1119 0.1121 0.1115 0.3508 0.0134 0.2119 0.0000
7.70 -1.500 -2.25 0.0617 0.0185 0.1395 0.0068 0.0044 0.1179 0.1087 0.1075 0.3910 0.0141 0.2356 0.0000
7.70 -1.500 -2.00 0.0610 0.0182 0.2171 0.0067 0.0028 0.1227 0.0998 0.0984 0.4206 0.0139 0.2523 0.0000
7.80 -1.750 -2.50 0.0629 0.0189 0.0970 0.0070 0.0090 0.1386 0.1390 0.1385 0.4330 0.0093 0.2602 0.0000
7.80 -1.750 -2.25 0.0623 0.0187 0.1707 0.0069 0.0057 0.1460 0.1348 0.1336 0.4824 0.0098 0.2886 0.0000
7.80 -1.750 -2.00 0.0616 0.0185 0.2669 0.0068 0.0036 0.1518 0.1238 0.1222 0.5182 0.0097 0.3081 0.0000
7.80 -1.625 -2.50 0.0630 0.0189 0.0969 0.0070 0.0090 0.1385 0.1390 0.1385 0.4328 0.0124 0.2600 0.0000
7.80 -1.625 -2.25 0.0623 0.0187 0.1706 0.0069 0.0057 0.1459 0.1347 0.1336 0.4821 0.0131 0.2884 0.0000
7.80 -1.625 -2.00 0.0617 0.0185 0.2668 0.0068 0.0036 0.1517 0.1237 0.1221 0.5178 0.0130 0.3078 0.0000
7.80 -1.500 -2.50 0.0630 0.0189 0.0969 0.0070 0.0090 0.1384 0.1389 0.1384 0.4325 0.0165 0.2598 0.0000
7.80 -1.500 -2.25 0.0623 0.0187 0.1705 0.0069 0.0057 0.1458 0.1346 0.1335 0.4817 0.0174 0.2881 0.0000
7.80 -1.500 -2.00 0.0617 0.0185 0.2667 0.0068 0.0036 0.1516 0.1236 0.1220 0.5173 0.0173 0.3075 0.0000
7.90 -1.750 -2.75 0.0643 0.0194 0.0586 0.0071 0.0185 0.1586 0.1676 0.1683 0.4463 0.0100 0.2672 0.0000
7.90 -1.750 -2.50 0.0637 0.0192 0.1175 0.0071 0.0116 0.1707 0.1713 0.1712 0.5309 0.0114 0.3168 0.0000
7.90 -1.750 -2.25 0.0631 0.0190 0.2077 0.0070 0.0073 0.1797 0.1658 0.1650 0.5907 0.0121 0.3503 0.0000
7.90 -1.625 -2.75 0.0643 0.0194 0.0585 0.0071 0.0186 0.1585 0.1675 0.1682 0.4461 0.0134 0.2671 0.0000
7.90 -1.625 -2.50 0.0637 0.0192 0.1174 0.0071 0.0116 0.1706 0.1711 0.1711 0.5305 0.0152 0.3165 0.0000
7.90 -1.625 -2.25 0.0631 0.0190 0.2076 0.0070 0.0073 0.1796 0.1657 0.1649 0.5903 0.0161 0.3500 0.0000
7.90 -1.500 -2.75 0.0643 0.0194 0.0585 0.0071 0.0186 0.1585 0.1674 0.1682 0.4458 0.0178 0.2669 0.0000
7.90 -1.500 -2.50 0.0637 0.0192 0.1173 0.0071 0.0116 0.1705 0.1710 0.1710 0.5302 0.0203 0.3163 0.0000
7.90 -1.500 -2.25 0.0631 0.0190 0.2075 0.0070 0.0073 0.1795 0.1656 0.1648 0.5898 0.0214 0.3497 0.0000
8.00 -1.750 -2.75 0.0650 0.0196 0.0703 0.0072 0.0240 0.1944 0.2056 0.2071 0.5444 0.0122 0.3237 0.0000
8.00 -1.750 -2.50 0.0645 0.0195 0.1416 0.0072 0.0151 0.2093 0.2098 0.2105 0.6475 0.0140 0.3831 0.0000
8.00 -1.750 -2.25 0.0640 0.0193 0.2516 0.0071 0.0095 0.2203 0.2030 0.2028 0.7197 0.0148 0.4222 0.0000
8.00 -1.625 -2.75 0.0651 0.0196 0.0702 0.0072 0.0240 0.1943 0.2055 0.2070 0.5441 0.0163 0.3235 0.0000
8.00 -1.625 -2.50 0.0645 0.0195 0.1415 0.0072 0.0151 0.2092 0.2097 0.2104 0.6472 0.0186 0.3828 0.0000
8.00 -1.625 -2.25 0.0640 0.0193 0.2515 0.0071 0.0095 0.2202 0.2029 0.2027 0.7193 0.0197 0.4219 0.0000
8.00 -1.500 -2.75 0.0651 0.0196 0.0702 0.0072 0.0240 0.1942 0.2053 0.2069 0.5437 0.0217 0.3233 0.0011
8.00 -1.500 -2.50 0.0646 0.0195 0.1414 0.0072 0.0151 0.2090 0.2096 0.2102 0.6466 0.0248 0.3825 0.0000
8.00 -1.500 -2.25 0.0640 0.0193 0.2513 0.0071 0.0095 0.2200 0.2027 0.2025 0.7187 0.0262 0.4215 0.0000
8.00 -1.375 -2.75 0.0651 0.0197 0.0701 0.0072 0.0240 0.1940 0.2051 0.2067 0.5433 0.0289 0.3229 0.0015
8.00 -1.375 -2.50 0.0646 0.0195 0.1413 0.0072 0.0151 0.2088 0.2094 0.2100 0.6460 0.0331 0.3820 0.0000
8.00 -1.375 -2.25 0.0640 0.0193 0.2511 0.0071 0.0095 0.2198 0.2025 0.2023 0.7179 0.0350 0.4210 0.0000
8.00 -1.250 -2.75 0.0651 0.0197 0.0700 0.0072 0.0241 0.1938 0.2049 0.2065 0.5426 0.0385 0.3224 0.0020
8.00 -1.250 -2.50 0.0646 0.0195 0.1411 0.0072 0.0151 0.2086 0.2091 0.2098 0.6452 0.0440 0.3815 0.0013
8.00 -1.250 -2.25 0.0641 0.0193 0.2508 0.0071 0.0095 0.2196 0.2022 0.2021 0.7169 0.0466 0.4203 0.0000
8.10 -1.750 -3.00 0.0664 0.0201 0.0362 0.0074 0.0483 0.2120 0.2329 0.2366 0.4907 0.0114 0.2906 0.0012
8.10 -1.750 -2.75 0.0660 0.0200 0.0837 0.0073 0.0311 0.2368 0.2506 0.2533 0.6594 0.0148 0.3888 0.0000
8.10 -1.750 -2.50 0.0655 0.0198 0.1695 0.0073 0.0196 0.2551 0.2555 0.2572 0.7847 0.0170 0.4594 0.0000
8.10 -1.750 -2.25 0.0650 0.0196 0.3030 0.0072 0.0123 0.2686 0.2471 0.2478 0.8719 0.0180 0.5049 0.0000
8.10 -1.625 -3.00 0.0664 0.0201 0.0362 0.0074 0.0483 0.2119 0.2328 0.2365 0.4904 0.0152 0.2904 0.0015
8.10 -1.625 -2.75 0.0660 0.0200 0.0836 0.0073 0.0311 0.2366 0.2504 0.2531 0.6589 0.0197 0.3885 0.0010
8.10 -1.625 -2.50 0.0655 0.0198 0.1695 0.0073 0.0196 0.2550 0.2554 0.2571 0.7843 0.0226 0.4591 0.0000
8.10 -1.625 -2.25 0.0650 0.0196 0.3029 0.0072 0.0123 0.2685 0.2469 0.2477 0.8714 0.0240 0.5045 0.0000
8.10 -1.500 -3.00 0.0664 0.0201 0.0362 0.0074 0.0483 0.2117 0.2326 0.2363 0.4900 0.0203 0.2901 0.0021
8.10 -1.500 -2.75 0.0660 0.0200 0.0836 0.0073 0.0311 0.2365 0.2502 0.2530 0.6584 0.0263 0.3882 0.0014
8.10 -1.500 -2.50 0.0655 0.0198 0.1693 0.0073 0.0196 0.2548 0.2552 0.2569 0.7838 0.0301 0.4588 0.0000
8.10 -1.500 -2.25 0.0650 0.0196 0.3027 0.0072 0.0123 0.2683 0.2467 0.2475 0.8707 0.0320 0.5040 0.0000
8.10 -1.375 -3.00 0.0665 0.0201 0.0361 0.0074 0.0483 0.2115 0.2323 0.2361 0.4894 0.0270 0.2897 0.0027
8.10 -1.375 -2.75 0.0660 0.0200 0.0835 0.0074 0.0311 0.2363 0.2500 0.2528 0.6578 0.0350 0.3878 0.0018
8.10 -1.375 -2.50 0.0655 0.0198 0.1692 0.0073 0.0196 0.2546 0.2549 0.2567 0.7830 0.0402 0.4582 0.0012
8.10 -1.375 -2.25 0.0650 0.0197 0.3024 0.0072 0.0123 0.2681 0.2465 0.2472 0.8699 0.0426 0.5034 0.0000
8.10 -1.250 -3.00 0.0665 0.0201 0.0361 0.0074 0.0483 0.2112 0.2320 0.2358 0.4887 0.0360 0.2892 0.0037
8.10 -1.250 -2.75 0.0661 0.0200 0.0834 0.0074 0.0312 0.2360 0.2496 0.2524 0.6569 0.0466 0.3871 0.0025
8.10 -1.250 -2.50 0.0656 0.0198 0.1689 0.0073 0.0196 0.2543 0.2546 0.2564 0.7820 0.0535 0.4575 0.0016
8.10 -1.250 -2.25 0.0651 0.0197 0.3020 0.0072 0.0123 0.2677 0.2461 0.2469 0.8687 0.0567 0.5026 0.0011
8.20 -1.500 -3.00 0.0674 0.0205 0.0417 0.0075 0.0633 0.2536 0.2817 0.2871 0.5853 0.0242 0.3436 0.0026
8.20 -1.500 -2.75 0.0670 0.0203 0.0970 0.0075 0.0411 0.2849 0.3031 0.3075 0.7900 0.0316 0.4610 0.0017
8.20 -1.500 -2.50 0.0666 0.0202 0.1980 0.0074 0.0259 0.3080 0.3094 0.3126 0.9426 0.0365 0.5449 0.0011
8.20 -1.500 -2.25 0.0662 0.0200 0.3568 0.0074 0.0163 0.3249 0.2996 0.3016 1.0476 0.0389 0.5972 0.0000
8.20 -1.375 -3.00 0.0674 0.0205 0.0416 0.0075 0.0633 0.2533 0.2814 0.2868 0.5845 0.0322 0.3430 0.0034
8.20 -1.375 -2.75 0.0671 0.0203 0.0968 0.0075 0.0411 0.2846 0.3028 0.3072 0.7891 0.0421 0.4605 0.0023
8.20 -1.375 -2.50 0.0666 0.0202 0.1978 0.0074 0.0259 0.3078 0.3091 0.3124 0.9417 0.0486 0.5443 0.0015
8.20 -1.375 -2.25 0.0662 0.0200 0.3565 0.0074 0.0163 0.3246 0.2993 0.3013 1.0466 0.0518 0.5965 0.0010
8.20 -1.250 -3.00 0.0675 0.0205 0.0415 0.0075 0.0633 0.2529 0.2809 0.2863 0.5835 0.0428 0.3424 0.0045
8.20 -1.250 -2.75 0.0671 0.0203 0.0967 0.0075 0.0411 0.2842 0.3024 0.3068 0.7881 0.0560 0.4597 0.0031
8.20 -1.250 -2.50 0.0667 0.0202 0.1975 0.0074 0.0260 0.3074 0.3087 0.3120 0.9405 0.0647 0.5435 0.0020
8.20 -1.250 -2.25 0.0662 0.0201 0.3560 0.0074 0.0163 0.3242 0.2989 0.3010 1.0453 0.0690 0.5956 0.0013
8.20 -1.125 -3.00 0.0675 0.0205 0.0414 0.0076 0.0633 0.2524 0.2803 0.2857 0.5823 0.0570 0.3415 0.0060
8.20 -1.125 -2.75 0.0671 0.0204 0.0965 0.0075 0.0412 0.2837 0.3018 0.3063 0.7866 0.0745 0.4587 0.0041
8.20 -1.125 -2.50 0.0667 0.0202 0.1972 0.0074 0.0260 0.3069 0.3082 0.3115 0.9390 0.0861 0.5425 0.0027
8.20 -1.125 -2.25 0.0663 0.0201 0.3554 0.0074 0.0163 0.3237 0.2984 0.3006 1.0436 0.0918 0.5945 0.0018
8.20 -1.000 -3.00 0.0676 0.0205 0.0413 0.0076 0.0634 0.2517 0.2795 0.2850 0.5806 0.0757 0.3403 0.0080
8.20 -1.000 -2.75 0.0672 0.0204 0.0962 0.0075 0.0412 0.2830 0.3011 0.3056 0.7848 0.0991 0.4574 0.0054
8.20 -1.000 -2.50 0.0668 0.0202 0.1967 0.0075 0.0261 0.3063 0.3075 0.3109 0.9370 0.1145 0.5410 0.0036
8.20 -1.000 -2.25 0.0663 0.0201 0.3547 0.0074 0.0164 0.3230 0.2978 0.3000 1.0414 0.1222 0.5930 0.0024
8.30 -1.500 -3.00 0.0686 0.0209 0.0460 0.0077 0.0846 0.2968 0.3372 0.3448 0.6855 0.0283 0.3979 0.0031
8.30 -1.500 -2.75 0.0683 0.0208 0.1079 0.0077 0.0555 0.3371 0.3639 0.3704 0.9339 0.0375 0.5380 0.0021
8.30 -1.500 -2.50 0.0679 0.0206 0.2229 0.0076 0.0353 0.3673 0.3726 0.3779 1.1202 0.0437 0.6378 0.0014
8.30 -1.375 -3.00 0.0686 0.0209 0.0459 0.0077 0.0846 0.2964 0.3368 0.3443 0.6846 0.0377 0.3973 0.0042
8.30 -1.375 -2.75 0.0683 0.0208 0.1078 0.0077 0.0556 0.3367 0.3635 0.3701 0.9329 0.0499 0.5373 0.0028
