#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
6.90 -2.000 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0000 0.0363 0.0000
6.90 -2.000 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0000 0.0408 0.0000
6.90 -2.000 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0000 0.0443 0.0000
6.90 -1.875 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0000 0.0363 0.0000
6.90 -1.875 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0000 0.0408 0.0000
6.90 -1.875 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0000 0.0443 0.0000
6.90 -1.750 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0012 0.0363 0.0000
6.90 -1.750 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0013 0.0408 0.0000
6.90 -1.750 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0013 0.0443 0.0000
6.90 -1.625 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0017 0.0363 0.0000
6.90 -1.625 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0017 0.0408 0.0000
6.90 -1.625 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0017 0.0443 0.0000
6.90 -1.500 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0022 0.0363 0.0000
6.90 -1.500 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0023 0.0407 0.0000
6.90 -1.500 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0324 0.0164 0.0160 0.0715 0.0023 0.0443 0.0000
6.90 -1.375 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0030 0.0363 0.0000
6.90 -1.375 -2.25 0.0588 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0031 0.0407 0.0000
6.90 -1.375 -2.00 0.0578 0.0170 0.0370 0.0063 0.0000 0.0323 0.0164 0.0160 0.0715 0.0030 0.0443 0.0000
6.90 -1.250 -2.50 0.0598 0.0177 0.0144 0.0065 0.0015 0.0295 0.0184 0.0181 0.0590 0.0039 0.0363 0.0000
6.90 -1.250 -2.25 0.0589 0.0174 0.0246 0.0064 0.0000 0.0310 0.0178 0.0174 0.0660 0.0041 0.0407 0.0000
