#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
6.90 -1.500 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0029 0.0947 0.0000 0.0000
6.90 -1.625 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0022 0.0947 0.0000 0.0000
6.90 -1.750 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0016 0.0947 0.0000 0.0000
6.90 -1.500 -2.00 0.0571 0.0167 0.0441 0.0062 0.0000 0.0324 0.0144 0.0192 0.0743 0.0033 0.0897 0.0000 0.0000
6.90 -1.625 -2.00 0.0570 0.0167 0.0441 0.0062 0.0000 0.0324 0.0144 0.0192 0.0743 0.0024 0.0897 0.0000 0.0000
6.90 -1.750 -2.00 0.0570 0.0167 0.0441 0.0062 0.0000 0.0324 0.0144 0.0192 0.0743 0.0018 0.0897 0.0000 0.0000
6.90 -1.500 -2.25 0.0581 0.0171 0.0304 0.0063 0.0011 0.0313 0.0160 0.0217 0.0688 0.0034 0.0835 0.0000 0.0000
6.90 -1.750 -2.25 0.0581 0.0171 0.0304 0.0063 0.0011 0.0313 0.0160 0.0217 0.0688 0.0019 0.0835 0.0000 0.0000
7.00 -1.500 -1.75 0.0562 0.0164 0.0711 0.0060 0.0000 0.0266 0.0159 0.0210 0.0994 0.0038 0.1190 0.0000 0.0000
7.00 -1.675 -1.75 0.0566 0.0166 0.0716 0.0061 0.0000 0.0265 0.0157 0.0209 0.0989 0.0025 0.1185 0.0000 0.0000
7.00 -1.750 -1.75 0.0561 0.0164 0.0711 0.0060 0.0000 0.0266 0.0159 0.0211 0.0995 0.0021 0.1191 0.0000 0.0000
7.00 -1.675 -2.00 0.0576 0.0169 0.0547 0.0062 0.0000 0.0257 0.0183 0.0245 0.0932 0.0028 0.1125 0.0000 0.0000
7.00 -1.750 -2.00 0.0573 0.0168 0.0545 0.0062 0.0000 0.0258 0.0184 0.0246 0.0935 0.0024 0.1128 0.0000 0.0000
7.00 -1.500 -2.25 0.0583 0.0172 0.0374 0.0063 0.0000 0.0248 0.0204 0.0276 0.0865 0.0044 0.1050 0.0000 0.0000
7.00 -1.675 -2.25 0.0585 0.0172 0.0374 0.0063 0.0000 0.0248 0.0203 0.0276 0.0863 0.0029 0.1048 0.0000 0.0000
7.00 -1.750 -2.25 0.0583 0.0172 0.0374 0.0063 0.0000 0.0248 0.0204 0.0276 0.0865 0.0025 0.1050 0.0000 0.0000
7.10 -1.500 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0049 0.1490 0.0000 0.0000
7.10 -1.625 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0036 0.1490 0.0000 0.0000
7.10 -1.750 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0027 0.1490 0.0000 0.0000
7.10 -1.500 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0053 0.1414 0.0000 0.0000
7.10 -1.625 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0040 0.1414 0.0000 0.0000
7.10 -1.750 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0030 0.1414 0.0000 0.0000
7.10 -1.500 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0056 0.1317 0.0000 0.0000
7.10 -1.750 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0031 0.1317 0.0000 0.0000
7.20 -1.500 -1.75 0.0569 0.0167 0.1102 0.0061 0.0000 0.0421 0.0259 0.0344 0.1569 0.0062 0.1875 0.0000 0.0000
7.20 -1.625 -1.75 0.0568 0.0167 0.1102 0.0061 0.0000 0.0421 0.0259 0.0344 0.1570 0.0047 0.1875 0.0000 0.0000
7.20 -1.750 -1.75 0.0568 0.0167 0.1102 0.0061 0.0000 0.0421 0.0259 0.0344 0.1570 0.0035 0.1876 0.0000 0.0000
7.20 -1.500 -2.00 0.0579 0.0170 0.0833 0.0063 0.0012 0.0407 0.0298 0.0400 0.1476 0.0068 0.1778 0.0000 0.0000
7.20 -1.750 -2.00 0.0578 0.0170 0.0832 0.0063 0.0012 0.0408 0.0298 0.0400 0.1477 0.0038 0.1779 0.0000 0.0000
7.20 -1.500 -2.25 0.0588 0.0174 0.0563 0.0064 0.0016 0.0393 0.0329 0.0447 0.1365 0.0071 0.1656 0.0000 0.0000
7.20 -1.625 -2.25 0.0588 0.0174 0.0563 0.0064 0.0016 0.0393 0.0329 0.0447 0.1365 0.0053 0.1656 0.0000 0.0000
7.20 -1.750 -2.25 0.0588 0.0174 0.0563 0.0064 0.0016 0.0393 0.0329 0.0447 0.1366 0.0040 0.1656 0.0000 0.0000
7.30 -1.500 -1.75 0.0573 0.0168 0.1373 0.0062 0.0012 0.0528 0.0329 0.0439 0.1967 0.0080 0.2347 0.0000 0.0000
7.30 -1.500 -2.00 0.0582 0.0172 0.1029 0.0063 0.0015 0.0512 0.0378 0.0510 0.1852 0.0087 0.2228 0.0000 0.0000
7.30 -1.625 -2.00 0.0582 0.0172 0.1029 0.0063 0.0015 0.0512 0.0378 0.0510 0.1853 0.0065 0.2228 0.0000 0.0000
7.30 -1.750 -2.00 0.0582 0.0172 0.1029 0.0063 0.0015 0.0512 0.0378 0.0510 0.1853 0.0049 0.2229 0.0000 0.0000
