#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
6.90 -0.250 -1.75 0.0569 0.0167 0.0580 0.0061 0.0000 0.0333 0.0121 0.0162 0.0780 0.0519 0.0938 0.0022 0.0000
6.90 -0.375 -1.75 0.0567 0.0166 0.0578 0.0061 0.0000 0.0333 0.0122 0.0162 0.0783 0.0389 0.0940 0.0017 0.0000
6.90 -0.500 -1.75 0.0565 0.0165 0.0577 0.0061 0.0000 0.0334 0.0123 0.0163 0.0785 0.0292 0.0942 0.0013 0.0000
6.90 -0.625 -1.75 0.0563 0.0165 0.0576 0.0061 0.0000 0.0334 0.0123 0.0163 0.0786 0.0219 0.0943 0.0000 0.0000
6.90 -0.750 -1.75 0.0562 0.0164 0.0574 0.0061 0.0000 0.0334 0.0123 0.0163 0.0787 0.0164 0.0944 0.0000 0.0000
6.90 -0.875 -1.75 0.0561 0.0164 0.0574 0.0060 0.0000 0.0334 0.0124 0.0164 0.0788 0.0123 0.0945 0.0000 0.0000
6.90 -1.000 -1.75 0.0561 0.0164 0.0573 0.0060 0.0000 0.0334 0.0124 0.0164 0.0789 0.0092 0.0946 0.0000 0.0000
6.90 -1.125 -1.75 0.0560 0.0163 0.0572 0.0060 0.0000 0.0334 0.0124 0.0164 0.0789 0.0069 0.0946 0.0000 0.0000
6.90 -1.250 -1.75 0.0560 0.0163 0.0572 0.0060 0.0000 0.0334 0.0124 0.0164 0.0790 0.0052 0.0946 0.0000 0.0000
6.90 -1.375 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0334 0.0124 0.0164 0.0790 0.0039 0.0947 0.0000 0.0000
6.90 -1.500 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0029 0.0947 0.0000 0.0000
6.90 -1.625 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0022 0.0947 0.0000 0.0000
6.90 -1.750 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0016 0.0947 0.0000 0.0000
6.90 -1.875 -1.75 0.0559 0.0163 0.0571 0.0060 0.0000 0.0335 0.0124 0.0164 0.0790 0.0012 0.0947 0.0000 0.0000
6.90 0.000 -2.00 0.0582 0.0171 0.0446 0.0063 0.0000 0.0322 0.0141 0.0190 0.0732 0.1029 0.0887 0.0023 0.0014
6.90 -0.125 -2.00 0.0579 0.0170 0.0446 0.0063 0.0000 0.0323 0.0142 0.0191 0.0735 0.0772 0.0889 0.0017 0.0011
6.90 -0.250 -2.00 0.0577 0.0170 0.0445 0.0062 0.0000 0.0323 0.0142 0.0191 0.0737 0.0579 0.0891 0.0013 0.0000
6.90 -0.375 -2.00 0.0576 0.0169 0.0444 0.0062 0.0000 0.0324 0.0143 0.0192 0.0739 0.0434 0.0893 0.0019 0.0000
6.90 -0.500 -2.00 0.0575 0.0169 0.0443 0.0062 0.0000 0.0324 0.0143 0.0192 0.0740 0.0326 0.0894 0.0014 0.0000
6.90 -0.875 -2.00 0.0572 0.0168 0.0442 0.0062 0.0000 0.0324 0.0144 0.0192 0.0742 0.0137 0.0896 0.0000 0.0000
6.90 -1.000 -2.00 0.0572 0.0167 0.0441 0.0062 0.0000 0.0324 0.0144 0.0192 0.0742 0.0103 0.0896 0.0000 0.0000
6.90 -1.125 -2.00 0.0571 0.0167 0.0441 0.0062 0.0000 0.0324 0.0144 0.0192 0.0743 0.0077 0.0896 0.0000 0.0000
6.90 -1.500 -2.00 0.0571 0.0167 0.0441 0.0062 0.0000 0.0324 0.0144 0.0192 0.0743 0.0033 0.0897 0.0000 0.0000
