#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0571000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0033000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0570000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0024000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0570000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0018000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.0581000 	 0.0171000 	 0.0304000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0217000 	 0.0688000 	 0.0034000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.0581000 	 0.0171000 	 0.0304000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0217000 	 0.0688000 	 0.0026000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0581000 	 0.0171000 	 0.0304000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0217000 	 0.0688000 	 0.0019000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.0592000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0034000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.0591000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0026000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0591000 	 0.0174000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0019000 	 0.0755000 	 0.0000000 	 0.0000000
7.0000000 	 -1.5000000 	 -2.0000000 	 0.0573000 	 0.0168000 	 0.0545000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0258000 	 0.0184000 	 0.0000000 	 0.0000000 	 0.0246000 	 0.0935000 	 0.0042000 	 0.1128000 	 0.0000000 	 0.0000000
7.0000000 	 -1.6750000 	 -2.0000000 	 0.0576000 	 0.0169000 	 0.0547000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0257000 	 0.0183000 	 0.0000000 	 0.0000000 	 0.0245000 	 0.0932000 	 0.0028000 	 0.1125000 	 0.0000000 	 0.0000000
7.0000000 	 -1.7500000 	 -2.0000000 	 0.0573000 	 0.0168000 	 0.0545000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0258000 	 0.0184000 	 0.0000000 	 0.0000000 	 0.0246000 	 0.0935000 	 0.0024000 	 0.1128000 	 0.0000000 	 0.0000000
7.0000000 	 -1.5000000 	 -2.2500000 	 0.0583000 	 0.0172000 	 0.0374000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0248000 	 0.0204000 	 0.0000000 	 0.0000000 	 0.0276000 	 0.0865000 	 0.0044000 	 0.1050000 	 0.0000000 	 0.0000000
7.0000000 	 -1.6750000 	 -2.2500000 	 0.0585000 	 0.0172000 	 0.0374000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0248000 	 0.0203000 	 0.0000000 	 0.0000000 	 0.0276000 	 0.0863000 	 0.0029000 	 0.1048000 	 0.0000000 	 0.0000000
7.0000000 	 -1.7500000 	 -2.2500000 	 0.0583000 	 0.0172000 	 0.0374000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0248000 	 0.0204000 	 0.0000000 	 0.0000000 	 0.0276000 	 0.0865000 	 0.0025000 	 0.1050000 	 0.0000000 	 0.0000000
7.0000000 	 -1.5000000 	 -2.5000000 	 0.0593000 	 0.0175000 	 0.0225000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0238000 	 0.0215000 	 0.0000000 	 0.0000000 	 0.0295000 	 0.0777000 	 0.0043000 	 0.0948000 	 0.0000000 	 0.0000000
7.0000000 	 -1.6750000 	 -2.5000000 	 0.0594000 	 0.0175000 	 0.0225000 	 0.0065000 	 0.0000000 	 0.0000000 	 0.0238000 	 0.0214000 	 0.0000000 	 0.0000000 	 0.0295000 	 0.0776000 	 0.0029000 	 0.0947000 	 0.0000000 	 0.0000000
7.0000000 	 -1.7500000 	 -2.5000000 	 0.0593000 	 0.0175000 	 0.0225000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0238000 	 0.0215000 	 0.0000000 	 0.0000000 	 0.0295000 	 0.0777000 	 0.0024000 	 0.0949000 	 0.0000000 	 0.0000000
7.1000000 	 -1.5000000 	 -2.0000000 	 0.0578000 	 0.0170000 	 0.0675000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0233000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.1172000 	 0.0053000 	 0.1414000 	 0.0000000 	 0.0000000
7.1000000 	 -1.6250000 	 -2.0000000 	 0.0578000 	 0.0170000 	 0.0675000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0233000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.1172000 	 0.0040000 	 0.1414000 	 0.0000000 	 0.0000000
7.1000000 	 -1.7500000 	 -2.0000000 	 0.0578000 	 0.0170000 	 0.0675000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0233000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.1172000 	 0.0030000 	 0.1414000 	 0.0000000 	 0.0000000
7.1000000 	 -1.5000000 	 -2.2500000 	 0.0587000 	 0.0173000 	 0.0459000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0258000 	 0.0000000 	 0.0000000 	 0.0351000 	 0.1085000 	 0.0056000 	 0.1317000 	 0.0000000 	 0.0000000
7.1000000 	 -1.6250000 	 -2.2500000 	 0.0587000 	 0.0173000 	 0.0459000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0258000 	 0.0000000 	 0.0000000 	 0.0351000 	 0.1085000 	 0.0042000 	 0.1317000 	 0.0000000 	 0.0000000
