12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m        
6.9000000 	 0.0000000 	 -1.5000000 	 0.0568000 	 0.0167000 	 0.0697000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0339000 	 0.0098000 	 0.0000000 	 0.0000000 	 0.0131000 	 0.0804000 	 0.0791000 	 0.0964000 	 0.0013000 	 0.0000000 
6.9000000 	 -0.1250000 	 -1.5000000 	 0.0564000 	 0.0165000 	 0.0695000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0340000 	 0.0099000 	 0.0000000 	 0.0000000 	 0.0132000 	 0.0810000 	 0.0593000 	 0.0970000 	 0.0010000 	 0.0000000 
6.9000000 	 -0.2500000 	 -1.5000000 	 0.0561000 	 0.0164000 	 0.0692000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0341000 	 0.0100000 	 0.0000000 	 0.0000000 	 0.0133000 	 0.0815000 	 0.0445000 	 0.0975000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.3750000 	 -1.5000000 	 0.0558000 	 0.0163000 	 0.0689000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0342000 	 0.0101000 	 0.0000000 	 0.0000000 	 0.0134000 	 0.0819000 	 0.0334000 	 0.0979000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.5000000 	 -1.5000000 	 0.0555000 	 0.0162000 	 0.0687000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0342000 	 0.0102000 	 0.0000000 	 0.0000000 	 0.0135000 	 0.0823000 	 0.0251000 	 0.0981000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.6250000 	 -1.5000000 	 0.0553000 	 0.0161000 	 0.0685000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0343000 	 0.0103000 	 0.0000000 	 0.0000000 	 0.0135000 	 0.0825000 	 0.0188000 	 0.0984000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.7500000 	 -1.5000000 	 0.0552000 	 0.0161000 	 0.0683000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0343000 	 0.0103000 	 0.0000000 	 0.0000000 	 0.0136000 	 0.0827000 	 0.0141000 	 0.0985000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.8750000 	 -1.5000000 	 0.0550000 	 0.0160000 	 0.0681000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0343000 	 0.0104000 	 0.0000000 	 0.0000000 	 0.0136000 	 0.0828000 	 0.0106000 	 0.0986000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.0000000 	 -1.5000000 	 0.0549000 	 0.0160000 	 0.0680000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0104000 	 0.0000000 	 0.0000000 	 0.0136000 	 0.0829000 	 0.0080000 	 0.0987000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.1250000 	 -1.5000000 	 0.0549000 	 0.0159000 	 0.0679000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0104000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0830000 	 0.0060000 	 0.0988000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.2500000 	 -1.5000000 	 0.0548000 	 0.0159000 	 0.0678000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0104000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0831000 	 0.0045000 	 0.0988000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.3750000 	 -1.5000000 	 0.0548000 	 0.0159000 	 0.0678000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0104000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0831000 	 0.0034000 	 0.0989000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.5000000 	 -1.5000000 	 0.0547000 	 0.0159000 	 0.0677000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0105000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0832000 	 0.0025000 	 0.0989000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.6250000 	 -1.5000000 	 0.0547000 	 0.0159000 	 0.0677000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0105000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0832000 	 0.0019000 	 0.0989000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.7500000 	 -1.5000000 	 0.0547000 	 0.0159000 	 0.0677000 	 0.0058000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0105000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0832000 	 0.0014000 	 0.0989000 	 0.0000000 	 0.0000000 
6.9000000 	 -1.8750000 	 -1.5000000 	 0.0547000 	 0.0159000 	 0.0676000 	 0.0058000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0105000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0832000 	 0.0011000 	 0.0989000 	 0.0000000 	 0.0000000 
6.9000000 	 -2.0000000 	 -1.5000000 	 0.0546000 	 0.0159000 	 0.0676000 	 0.0058000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0105000 	 0.0000000 	 0.0000000 	 0.0137000 	 0.0832000 	 0.0000000 	 0.0989000 	 0.0000000 	 0.0000000 
6.9000000 	 0.0000000 	 -1.7500000 	 0.0575000 	 0.0169000 	 0.0584000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0331000 	 0.0120000 	 0.0000000 	 0.0000000 	 0.0160000 	 0.0772000 	 0.0922000 	 0.0930000 	 0.0017000 	 0.0000000 
6.9000000 	 -0.1250000 	 -1.7500000 	 0.0572000 	 0.0168000 	 0.0582000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0332000 	 0.0120000 	 0.0000000 	 0.0000000 	 0.0161000 	 0.0777000 	 0.0692000 	 0.0935000 	 0.0013000 	 0.0000000 
6.9000000 	 -0.2500000 	 -1.7500000 	 0.0569000 	 0.0167000 	 0.0580000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0333000 	 0.0121000 	 0.0000000 	 0.0000000 	 0.0162000 	 0.0780000 	 0.0519000 	 0.0938000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.3750000 	 -1.7500000 	 0.0567000 	 0.0166000 	 0.0578000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0333000 	 0.0122000 	 0.0000000 	 0.0000000 	 0.0162000 	 0.0783000 	 0.0389000 	 0.0940000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.5000000 	 -1.7500000 	 0.0565000 	 0.0165000 	 0.0577000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0785000 	 0.0292000 	 0.0942000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.6250000 	 -1.7500000 	 0.0563000 	 0.0165000 	 0.0576000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0786000 	 0.0219000 	 0.0943000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.7500000 	 -1.7500000 	 0.0562000 	 0.0164000 	 0.0574000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0787000 	 0.0164000 	 0.0944000 	 0.0000000 	 0.0000000 
6.9000000 	 -0.8750000 	 -1.7500000 	 0.0561000 	 0.0164000 	 0.0574000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0334000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0788000 	 0.0123000 	 0.0945000 	 0.0000000 	 0.0000000 
