12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m        
6.9000000 	 -0.2500000 	 -0.5000000 	 0.0429000 	 0.0113000 	 0.0023000 	 0.0041000 	 0.1074000 	 0.0050000 	 0.0435000 	 0.0351000 	 0.0058000 	 0.0042000 	 0.0632000 	 0.0012000 	 0.0012000 	 0.0000000 	 0.0101000 	 0.0038000 
6.9000000 	 0.0000000 	 -0.5000000 	 0.0430000 	 0.0113000 	 0.0023000 	 0.0041000 	 0.1069000 	 0.0050000 	 0.0434000 	 0.0350000 	 0.0059000 	 0.0043000 	 0.0630000 	 0.0012000 	 0.0022000 	 0.0000000 	 0.0171000 	 0.0059000 
6.9000000 	 -0.1250000 	 -0.5000000 	 0.0429000 	 0.0113000 	 0.0023000 	 0.0041000 	 0.1072000 	 0.0050000 	 0.0434000 	 0.0350000 	 0.0058000 	 0.0042000 	 0.0630000 	 0.0012000 	 0.0016000 	 0.0000000 	 0.0132000 	 0.0048000 
6.9000000 	 -0.3750000 	 -0.5000000 	 0.0429000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1075000 	 0.0049000 	 0.0435000 	 0.0351000 	 0.0058000 	 0.0042000 	 0.0632000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0077000 	 0.0031000 
6.9000000 	 -0.5000000 	 -0.5000000 	 0.0428000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1077000 	 0.0049000 	 0.0435000 	 0.0351000 	 0.0058000 	 0.0042000 	 0.0632000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0058000 	 0.0024000 
6.9000000 	 -0.6250000 	 -0.5000000 	 0.0428000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1078000 	 0.0049000 	 0.0435000 	 0.0351000 	 0.0058000 	 0.0042000 	 0.0632000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0044000 	 0.0019000 
6.9000000 	 -0.7500000 	 -0.5000000 	 0.0428000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1078000 	 0.0049000 	 0.0437000 	 0.0353000 	 0.0058000 	 0.0042000 	 0.0634000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0033000 	 0.0015000 
6.9000000 	 -0.8750000 	 -0.5000000 	 0.0428000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1079000 	 0.0049000 	 0.0437000 	 0.0353000 	 0.0058000 	 0.0042000 	 0.0634000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0025000 	 0.0011000 
6.9000000 	 -1.0000000 	 -0.5000000 	 0.0428000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1079000 	 0.0049000 	 0.0437000 	 0.0353000 	 0.0058000 	 0.0042000 	 0.0634000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0019000 	 0.0000000 
6.9000000 	 -1.1250000 	 -0.5000000 	 0.0428000 	 0.0112000 	 0.0023000 	 0.0041000 	 0.1079000 	 0.0049000 	 0.0437000 	 0.0353000 	 0.0058000 	 0.0042000 	 0.0634000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0014000 	 0.0000000 
