#SPECTRAL ENERGY DISTRIBUTION
#Manual forced to consider 1 SED
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 ArII_7m         	 HI_7m           	 ArV_8m          	 ArIII_9m        	 SIV_10m         	 HI_12m          	 NeII_12m        	 ArV_13m         	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 -2.0000000 	 -4.0000000 	 0.0580000 	 0.0010000 	 0.0173000 	 0.0000000 	 0.0032000 	 0.0000000 	 0.0064000 	 0.0057000 	 0.0000000 	 0.0000000 	 0.0162000 	 0.0071000 	 0.0000000 	 0.0000000 	 0.0073000 	 0.0032000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.0572000 	 0.0000000 	 0.0170000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0063000 	 0.0037000 	 0.0000000 	 0.0000000 	 0.0193000 	 0.0098000 	 0.0000000 	 0.0000000 	 0.0099000 	 0.0087000 	 0.0000000 	 0.0053000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.0617000 	 0.0000000 	 0.0184000 	 0.0000000 	 0.0042000 	 0.0033000 	 0.0067000 	 0.0027000 	 0.0000000 	 0.0000000 	 0.0241000 	 0.0137000 	 0.0000000 	 0.0040000 	 0.0137000 	 0.0247000 	 0.0000000 	 0.0150000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.0604000 	 0.0000000 	 0.0178000 	 0.0000000 	 0.0043000 	 0.0082000 	 0.0066000 	 0.0017000 	 0.0000000 	 0.0000000 	 0.0253000 	 0.0157000 	 0.0000000 	 0.0147000 	 0.0155000 	 0.0401000 	 0.0000000 	 0.0243000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0589000 	 0.0000000 	 0.0173000 	 0.0000000 	 0.0040000 	 0.0174000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0018000 	 0.0249000 	 0.0161000 	 0.0021000 	 0.0385000 	 0.0158000 	 0.0493000 	 0.0000000 	 0.0300000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0573000 	 0.0000000 	 0.0167000 	 0.0000000 	 0.0033000 	 0.0295000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0075000 	 0.0226000 	 0.0146000 	 0.0086000 	 0.0742000 	 0.0142000 	 0.0505000 	 0.0000000 	 0.0308000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0556000 	 0.0000000 	 0.0160000 	 0.0014000 	 0.0024000 	 0.0395000 	 0.0059000 	 0.0000000 	 0.0022000 	 0.0221000 	 0.0186000 	 0.0116000 	 0.0258000 	 0.1160000 	 0.0112000 	 0.0464000 	 0.0000000 	 0.0285000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0534000 	 0.0000000 	 0.0152000 	 0.0025000 	 0.0017000 	 0.0399000 	 0.0056000 	 0.0000000 	 0.0038000 	 0.0450000 	 0.0141000 	 0.0079000 	 0.0534000 	 0.1500000 	 0.0076000 	 0.0389000 	 0.0000000 	 0.0239000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0512000 	 0.0000000 	 0.0144000 	 0.0036000 	 0.0011000 	 0.0298000 	 0.0053000 	 0.0000000 	 0.0054000 	 0.0691000 	 0.0098000 	 0.0043000 	 0.0822000 	 0.1676000 	 0.0041000 	 0.0296000 	 0.0000000 	 0.0182000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0492000 	 0.0000000 	 0.0136000 	 0.0040000 	 0.0000000 	 0.0169000 	 0.0050000 	 0.0000000 	 0.0059000 	 0.0831000 	 0.0063000 	 0.0020000 	 0.0976000 	 0.1559000 	 0.0019000 	 0.0201000 	 0.0000000 	 0.0124000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.5000000 	 0.0475000 	 0.0000000 	 0.0129000 	 0.0032000 	 0.0000000 	 0.0085000 	 0.0048000 	 0.0000000 	 0.0047000 	 0.0805000 	 0.0038000 	 0.0000000 	 0.0935000 	 0.1198000 	 0.0000000 	 0.0122000 	 0.0000000 	 0.0075000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.2500000 	 0.0458000 	 0.0000000 	 0.0123000 	 0.0018000 	 0.0000000 	 0.0042000 	 0.0045000 	 0.0000000 	 0.0027000 	 0.0656000 	 0.0021000 	 0.0000000 	 0.0755000 	 0.0775000 	 0.0000000 	 0.0066000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.0000000 	 0.0438000 	 0.0000000 	 0.0115000 	 0.0000000 	 0.0000000 	 0.0019000 	 0.0043000 	 0.0000000 	 0.0013000 	 0.0465000 	 0.0011000 	 0.0000000 	 0.0538000 	 0.0443000 	 0.0000000 	 0.0032000 	 0.0000000 	 0.0019000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -0.7500000 	 0.0413000 	 0.0000000 	 0.0106000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0000000 	 0.0297000 	 0.0000000 	 0.0000000 	 0.0348000 	 0.0236000 	 0.0000000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -0.5000000 	 0.0387000 	 0.0000000 	 0.0095000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0000000 	 0.0181000 	 0.0000000 	 0.0000000 	 0.0214000 	 0.0126000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -4.0000000 	 0.0580000 	 0.0010000 	 0.0173000 	 0.0000000 	 0.0032000 	 0.0000000 	 0.0064000 	 0.0057000 	 0.0000000 	 0.0000000 	 0.0162000 	 0.0071000 	 0.0000000 	 0.0000000 	 0.0073000 	 0.0032000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.7500000 	 0.0572000 	 0.0000000 	 0.0170000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0063000 	 0.0037000 	 0.0000000 	 0.0000000 	 0.0193000 	 0.0098000 	 0.0000000 	 0.0000000 	 0.0099000 	 0.0087000 	 0.0000000 	 0.0053000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.5000000 	 0.0617000 	 0.0000000 	 0.0184000 	 0.0000000 	 0.0042000 	 0.0033000 	 0.0067000 	 0.0027000 	 0.0000000 	 0.0000000 	 0.0241000 	 0.0137000 	 0.0000000 	 0.0040000 	 0.0137000 	 0.0247000 	 0.0000000 	 0.0150000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.2500000 	 0.0604000 	 0.0000000 	 0.0178000 	 0.0000000 	 0.0043000 	 0.0082000 	 0.0066000 	 0.0017000 	 0.0000000 	 0.0000000 	 0.0253000 	 0.0157000 	 0.0000000 	 0.0147000 	 0.0155000 	 0.0401000 	 0.0000000 	 0.0243000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.0000000 	 0.0589000 	 0.0000000 	 0.0173000 	 0.0000000 	 0.0040000 	 0.0174000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0018000 	 0.0249000 	 0.0161000 	 0.0021000 	 0.0384000 	 0.0158000 	 0.0493000 	 0.0000000 	 0.0300000 	 0.0000000 	 0.0000000
