12+log(O/H)	log(U)_min	log(U)_max	log(N/O)_min	log(N/O)_max
6.9	-2.50	-2.0	-1.75	-1.50
7.0	-2.50	-2.00	-1.75	-1.50
7.1	-2.50	-2.00	-1.75	-1.50
7.2	-2.50	-2.00	-1.75	-1.50
7.3	-2.50	-2.00	-1.75	-1.50
7.4	-2.50	-2.00	-1.75	-1.50
7.5	-2.50	-2.00	-1.75	-1.50
7.6	-2.50	-2.00	-1.75	-1.50
7.7	-2.50	-2.00	-1.75	-1.50
7.8	-2.50	-2.00	-1.75	-1.50
7.9	-2.75	-2.25	-1.75	-1.50
8.0	-2.75	-2.25	-1.75	-1.25
8.1	-3.00	-2.25	-1.75	-1.25
8.2	-3.00	-2.25	-1.50	-1.00
8.3	-3.00	-2.50	-1.50	-1.00
8.4	-3.00	-2.50	-1.50	-1.00
8.5	-3.25	-2.75	-1.50	-1.00
8.6	-3.25	-2.75	-1.25	-0.75
8.7	-3.50	-3.00	-1.25	-0.75
8.8	-3.50	-3.00	-1.00	-0.50
8.9	-3.75	-3.25	-1.00	-0.50
9.0	-3.75	-3.25	-0.75	-0.25
9.1	-3.75	-3.25	-0.75	-0.25
