#SPECTRAL ENERGY DISTRIBUTION
#Manual forced to consider 1 SED
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 ArII_7m         	 HI_7m           	 ArV_8m          	 ArIII_9m        	 SIV_10m         	 HI_12m          	 NeII_12m        	 ArV_13m         	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 -2.0000000 	 -4.0000000 	 0.0648000 	 0.0015000 	 0.0194000 	 0.0000000 	 0.0040000 	 0.0000000 	 0.0071000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0147000 	 0.0067000 	 0.0000000 	 0.0000000 	 0.0101000 	 0.0020000 	 0.0000000 	 0.0026000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.0639000 	 0.0011000 	 0.0191000 	 0.0000000 	 0.0042000 	 0.0000000 	 0.0070000 	 0.0103000 	 0.0000000 	 0.0000000 	 0.0181000 	 0.0090000 	 0.0000000 	 0.0000000 	 0.0133000 	 0.0056000 	 0.0000000 	 0.0070000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.0629000 	 0.0000000 	 0.0187000 	 0.0000000 	 0.0044000 	 0.0000000 	 0.0069000 	 0.0070000 	 0.0000000 	 0.0000000 	 0.0214000 	 0.0115000 	 0.0000000 	 0.0000000 	 0.0168000 	 0.0137000 	 0.0000000 	 0.0170000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.0619000 	 0.0000000 	 0.0184000 	 0.0000000 	 0.0045000 	 0.0017000 	 0.0068000 	 0.0046000 	 0.0000000 	 0.0000000 	 0.0243000 	 0.0139000 	 0.0000000 	 0.0000000 	 0.0199000 	 0.0266000 	 0.0000000 	 0.0329000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0610000 	 0.0000000 	 0.0181000 	 0.0000000 	 0.0046000 	 0.0043000 	 0.0066000 	 0.0029000 	 0.0000000 	 0.0000000 	 0.0267000 	 0.0158000 	 0.0000000 	 0.0000000 	 0.0223000 	 0.0407000 	 0.0000000 	 0.0502000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0601000 	 0.0000000 	 0.0178000 	 0.0000000 	 0.0045000 	 0.0096000 	 0.0065000 	 0.0018000 	 0.0000000 	 0.0000000 	 0.0285000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0235000 	 0.0527000 	 0.0000000 	 0.0646000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0591000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0043000 	 0.0184000 	 0.0064000 	 0.0011000 	 0.0000000 	 0.0000000 	 0.0300000 	 0.0169000 	 0.0000000 	 0.0000000 	 0.0232000 	 0.0618000 	 0.0011000 	 0.0755000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0581000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0039000 	 0.0304000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0313000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0217000 	 0.0688000 	 0.0011000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0570000 	 0.0000000 	 0.0167000 	 0.0000000 	 0.0034000 	 0.0440000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0010000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0559000 	 0.0000000 	 0.0163000 	 0.0000000 	 0.0028000 	 0.0571000 	 0.0060000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0124000 	 0.0000000 	 0.0000000 	 0.0164000 	 0.0791000 	 0.0000000 	 0.0947000 	 0.0000000 	 0.0000000
