#SPECTRAL ENERGY DISTRIBUTION
#Manual forced to consider 1 SED
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 ArII_7m         	 HI_7m           	 ArV_8m          	 ArIII_9m        	 SIV_10m         	 HI_12m          	 NeII_12m        	 ArV_13m         	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 -2.0000000 	 -4.0000000 	 0.0652000 	 0.0016000 	 0.0196000 	 0.0000000 	 0.0038000 	 0.0000000 	 0.0072000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0111000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0097000 	 0.0017000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.0643000 	 0.0011000 	 0.0193000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0071000 	 0.0121000 	 0.0000000 	 0.0000000 	 0.0146000 	 0.0088000 	 0.0000000 	 0.0000000 	 0.0130000 	 0.0049000 	 0.0000000 	 0.0061000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.0634000 	 0.0000000 	 0.0189000 	 0.0000000 	 0.0043000 	 0.0000000 	 0.0070000 	 0.0087000 	 0.0000000 	 0.0000000 	 0.0185000 	 0.0114000 	 0.0000000 	 0.0000000 	 0.0166000 	 0.0121000 	 0.0000000 	 0.0151000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.0625000 	 0.0000000 	 0.0186000 	 0.0000000 	 0.0045000 	 0.0013000 	 0.0068000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0221000 	 0.0139000 	 0.0000000 	 0.0000000 	 0.0200000 	 0.0246000 	 0.0000000 	 0.0304000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0616000 	 0.0000000 	 0.0183000 	 0.0000000 	 0.0046000 	 0.0033000 	 0.0067000 	 0.0038000 	 0.0000000 	 0.0000000 	 0.0252000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0226000 	 0.0390000 	 0.0000000 	 0.0481000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0607000 	 0.0000000 	 0.0180000 	 0.0000000 	 0.0046000 	 0.0075000 	 0.0066000 	 0.0024000 	 0.0000000 	 0.0000000 	 0.0276000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0242000 	 0.0517000 	 0.0000000 	 0.0635000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0011000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0011000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0011000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0570000 	 0.0000000 	 0.0168000 	 0.0000000 	 0.0032000 	 0.0513000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0140000 	 0.0000000 	 0.0000000 	 0.0186000 	 0.0789000 	 0.0010000 	 0.0948000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -1.5000000 	 0.0561000 	 0.0000000 	 0.0164000 	 0.0000000 	 0.0027000 	 0.0635000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0119000 	 0.0000000 	 0.0000000 	 0.0157000 	 0.0828000 	 0.0000000 	 0.0988000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -4.0000000 	 0.0652000 	 0.0016000 	 0.0196000 	 0.0000000 	 0.0038000 	 0.0000000 	 0.0072000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0111000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0097000 	 0.0017000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.7500000 	 0.0643000 	 0.0011000 	 0.0193000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0071000 	 0.0121000 	 0.0000000 	 0.0000000 	 0.0146000 	 0.0088000 	 0.0000000 	 0.0000000 	 0.0130000 	 0.0049000 	 0.0000000 	 0.0061000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.5000000 	 0.0634000 	 0.0000000 	 0.0189000 	 0.0000000 	 0.0043000 	 0.0000000 	 0.0070000 	 0.0087000 	 0.0000000 	 0.0000000 	 0.0185000 	 0.0114000 	 0.0000000 	 0.0000000 	 0.0166000 	 0.0121000 	 0.0000000 	 0.0151000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.2500000 	 0.0625000 	 0.0000000 	 0.0186000 	 0.0000000 	 0.0045000 	 0.0013000 	 0.0068000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0221000 	 0.0139000 	 0.0000000 	 0.0000000 	 0.0200000 	 0.0246000 	 0.0000000 	 0.0304000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -3.0000000 	 0.0616000 	 0.0000000 	 0.0183000 	 0.0000000 	 0.0046000 	 0.0033000 	 0.0067000 	 0.0038000 	 0.0000000 	 0.0000000 	 0.0252000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0226000 	 0.0390000 	 0.0011000 	 0.0481000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.7500000 	 0.0607000 	 0.0000000 	 0.0180000 	 0.0000000 	 0.0046000 	 0.0075000 	 0.0066000 	 0.0024000 	 0.0000000 	 0.0000000 	 0.0276000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0242000 	 0.0517000 	 0.0013000 	 0.0635000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0015000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0015000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0015000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -1.7500000 	 0.0570000 	 0.0000000 	 0.0168000 	 0.0000000 	 0.0032000 	 0.0513000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0140000 	 0.0000000 	 0.0000000 	 0.0186000 	 0.0789000 	 0.0014000 	 0.0948000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -1.5000000 	 0.0561000 	 0.0000000 	 0.0164000 	 0.0000000 	 0.0027000 	 0.0635000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0119000 	 0.0000000 	 0.0000000 	 0.0157000 	 0.0828000 	 0.0012000 	 0.0988000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -4.0000000 	 0.0652000 	 0.0016000 	 0.0196000 	 0.0000000 	 0.0038000 	 0.0000000 	 0.0072000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0111000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0097000 	 0.0017000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -3.7500000 	 0.0643000 	 0.0011000 	 0.0193000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0071000 	 0.0121000 	 0.0000000 	 0.0000000 	 0.0146000 	 0.0088000 	 0.0000000 	 0.0000000 	 0.0130000 	 0.0049000 	 0.0000000 	 0.0061000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -3.5000000 	 0.0634000 	 0.0000000 	 0.0189000 	 0.0000000 	 0.0043000 	 0.0000000 	 0.0070000 	 0.0087000 	 0.0000000 	 0.0000000 	 0.0185000 	 0.0114000 	 0.0000000 	 0.0000000 	 0.0166000 	 0.0121000 	 0.0000000 	 0.0151000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -3.2500000 	 0.0625000 	 0.0000000 	 0.0186000 	 0.0000000 	 0.0045000 	 0.0013000 	 0.0068000 	 0.0059000 	 0.0000000 	 0.0000000 	 0.0221000 	 0.0139000 	 0.0000000 	 0.0000000 	 0.0200000 	 0.0246000 	 0.0000000 	 0.0304000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -3.0000000 	 0.0616000 	 0.0000000 	 0.0183000 	 0.0000000 	 0.0046000 	 0.0033000 	 0.0067000 	 0.0038000 	 0.0000000 	 0.0000000 	 0.0252000 	 0.0160000 	 0.0000000 	 0.0000000 	 0.0226000 	 0.0390000 	 0.0014000 	 0.0481000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.7500000 	 0.0607000 	 0.0000000 	 0.0180000 	 0.0000000 	 0.0046000 	 0.0075000 	 0.0066000 	 0.0024000 	 0.0000000 	 0.0000000 	 0.0276000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0242000 	 0.0517000 	 0.0018000 	 0.0635000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0020000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0020000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0020000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -1.7500000 	 0.0570000 	 0.0000000 	 0.0168000 	 0.0000000 	 0.0032000 	 0.0513000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0335000 	 0.0140000 	 0.0000000 	 0.0000000 	 0.0186000 	 0.0789000 	 0.0018000 	 0.0948000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -1.5000000 	 0.0561000 	 0.0000000 	 0.0164000 	 0.0000000 	 0.0027000 	 0.0635000 	 0.0061000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0344000 	 0.0119000 	 0.0000000 	 0.0000000 	 0.0157000 	 0.0828000 	 0.0016000 	 0.0988000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -4.0000000 	 0.0652000 	 0.0016000 	 0.0196000 	 0.0000000 	 0.0038000 	 0.0000000 	 0.0072000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0111000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0097000 	 0.0017000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0000000
