#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 ArII_7m         	 HI_7m           	 ArV_8m          	 ArIII_9m        	 SIV_10m         	 HI_12m          	 NeII_12m        	 ArV_13m         	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0011000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0011000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0011000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0015000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0015000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0015000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0020000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0020000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0020000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0026000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0027000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0027000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0035000 	 0.0750000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.0590000 	 0.0000000 	 0.0174000 	 0.0000000 	 0.0042000 	 0.0250000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0311000 	 0.0173000 	 0.0000000 	 0.0000000 	 0.0234000 	 0.0687000 	 0.0036000 	 0.0835000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0580000 	 0.0000000 	 0.0171000 	 0.0000000 	 0.0037000 	 0.0378000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0213000 	 0.0743000 	 0.0035000 	 0.0898000 	 0.0000000 	 0.0000000
6.9000000 	 -1.3750000 	 -2.5000000 	 0.0599000 	 0.0000000 	 0.0177000 	 0.0000000 	 0.0045000 	 0.0147000 	 0.0065000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0296000 	 0.0178000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0614000 	 0.0047000 	 0.0750000 	 0.0000000 	 0.0000000
