#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
6.9000000 	 0.0000000 	 -2.0000000 	 0.0582000 	 0.0171000 	 0.0446000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0322000 	 0.0141000 	 0.0000000 	 0.0000000 	 0.0190000 	 0.0732000 	 0.1029000 	 0.0887000 	 0.0023000 	 0.0000000
6.9000000 	 -0.1250000 	 -2.0000000 	 0.0579000 	 0.0170000 	 0.0446000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0323000 	 0.0142000 	 0.0000000 	 0.0000000 	 0.0191000 	 0.0735000 	 0.0772000 	 0.0889000 	 0.0017000 	 0.0000000
6.9000000 	 -0.2500000 	 -2.0000000 	 0.0577000 	 0.0170000 	 0.0445000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0323000 	 0.0142000 	 0.0000000 	 0.0000000 	 0.0191000 	 0.0737000 	 0.0579000 	 0.0891000 	 0.0013000 	 0.0000000
6.9000000 	 -0.3750000 	 -2.0000000 	 0.0576000 	 0.0169000 	 0.0444000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0143000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0739000 	 0.0434000 	 0.0893000 	 0.0000000 	 0.0000000
6.9000000 	 -0.5000000 	 -2.0000000 	 0.0575000 	 0.0169000 	 0.0443000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0143000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0740000 	 0.0326000 	 0.0894000 	 0.0000000 	 0.0000000
6.9000000 	 -0.6250000 	 -2.0000000 	 0.0573000 	 0.0168000 	 0.0443000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0143000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0741000 	 0.0244000 	 0.0895000 	 0.0000000 	 0.0000000
6.9000000 	 -0.7500000 	 -2.0000000 	 0.0573000 	 0.0168000 	 0.0442000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0143000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0742000 	 0.0183000 	 0.0895000 	 0.0000000 	 0.0000000
6.9000000 	 -0.8750000 	 -2.0000000 	 0.0572000 	 0.0168000 	 0.0442000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0742000 	 0.0137000 	 0.0896000 	 0.0000000 	 0.0000000
6.9000000 	 -1.0000000 	 -2.0000000 	 0.0572000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0742000 	 0.0103000 	 0.0896000 	 0.0000000 	 0.0000000
6.9000000 	 -1.1250000 	 -2.0000000 	 0.0571000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0077000 	 0.0896000 	 0.0000000 	 0.0000000
6.9000000 	 -1.2500000 	 -2.0000000 	 0.0571000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0058000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.3750000 	 -2.0000000 	 0.0571000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0043000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0571000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0033000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0570000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0024000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0570000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0018000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0570000 	 0.0167000 	 0.0441000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0014000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0570000 	 0.0167000 	 0.0440000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0324000 	 0.0144000 	 0.0000000 	 0.0000000 	 0.0192000 	 0.0743000 	 0.0010000 	 0.0897000 	 0.0000000 	 0.0000000
6.9000000 	 0.0000000 	 -2.2500000 	 0.0589000 	 0.0174000 	 0.0306000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0158000 	 0.0000000 	 0.0000000 	 0.0216000 	 0.0681000 	 0.1088000 	 0.0829000 	 0.0032000 	 0.0010000
6.9000000 	 -0.1250000 	 -2.2500000 	 0.0587000 	 0.0173000 	 0.0306000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0216000 	 0.0683000 	 0.0816000 	 0.0830000 	 0.0024000 	 0.0000000
6.9000000 	 -0.2500000 	 -2.2500000 	 0.0586000 	 0.0173000 	 0.0305000 	 0.0064000 	 0.0000000 	 0.0000000 	 0.0312000 	 0.0159000 	 0.0000000 	 0.0000000 	 0.0216000 	 0.0684000 	 0.0612000 	 0.0832000 	 0.0018000 	 0.0000000
