#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -1.750 -2.25 0.0946 0.0928 0.0263 0.9086 0.0016 0.0149
6.90 -1.750 -2.00 0.0684 0.1103 0.0352 1.0765 0.0012 0.0111
6.90 -1.750 -1.75 0.0517 0.1292 0.0459 1.2459 0.0000 0.0086
6.90 -1.625 -2.25 0.0946 0.0927 0.0263 0.9082 0.0022 0.0149
6.90 -1.625 -2.00 0.0684 0.1102 0.0352 1.0758 0.0016 0.0111
6.90 -1.625 -1.75 0.0517 0.1291 0.0458 1.2448 0.0012 0.0086
6.90 -1.500 -2.25 0.0946 0.0927 0.0262 0.9076 0.0029 0.0149
6.90 -1.500 -2.00 0.0684 0.1101 0.0351 1.0749 0.0021 0.0111
6.90 -1.500 -1.75 0.0516 0.1289 0.0457 1.2433 0.0016 0.0086
7.00 -1.750 -2.25 0.1201 0.0728 0.0324 1.1331 0.0021 0.0187
7.00 -1.750 -2.00 0.0868 0.0865 0.0434 1.3419 0.0015 0.0139
7.00 -1.750 -1.75 0.0655 0.1013 0.0563 1.5519 0.0011 0.0108
7.00 -1.675 -2.25 0.1194 0.0714 0.0312 1.1145 0.0024 0.0187
7.00 -1.675 -2.00 0.0860 0.0841 0.0411 1.3106 0.0018 0.0139
7.00 -1.675 -1.75 0.0646 0.0972 0.0523 1.5008 0.0013 0.0107
7.00 -1.500 -2.25 0.1201 0.0727 0.0323 1.1317 0.0037 0.0187
7.00 -1.500 -2.00 0.0867 0.0863 0.0432 1.3393 0.0026 0.0139
7.00 -1.500 -1.75 0.0654 0.1009 0.0560 1.5478 0.0020 0.0108
7.10 -1.750 -2.25 0.1515 0.0889 0.0385 1.3900 0.0026 0.0234
7.10 -1.750 -2.00 0.1091 0.1048 0.0508 1.6364 0.0019 0.0174
7.10 -1.750 -1.75 0.0819 0.1213 0.0647 1.8763 0.0014 0.0134
7.10 -1.625 -2.25 0.1515 0.0889 0.0385 1.3899 0.0035 0.0234
7.10 -1.625 -2.00 0.1091 0.1048 0.0508 1.6363 0.0025 0.0174
7.10 -1.625 -1.75 0.0819 0.1213 0.0647 1.8761 0.0019 0.0134
7.10 -1.500 -2.25 0.1515 0.0889 0.0385 1.3898 0.0046 0.0234
7.10 -1.500 -2.00 0.1091 0.1047 0.0508 1.6361 0.0033 0.0174
7.10 -1.500 -1.75 0.0819 0.1212 0.0647 1.8758 0.0025 0.0134
7.20 -1.750 -2.25 0.1927 0.1112 0.0480 1.7414 0.0033 0.0293
7.20 -1.750 -2.00 0.1388 0.1317 0.0638 2.0581 0.0024 0.0218
7.20 -1.750 -1.75 0.1043 0.1536 0.0823 2.3742 0.0018 0.0168
7.20 -1.625 -2.25 0.1926 0.1111 0.0479 1.7399 0.0044 0.0293
7.20 -1.625 -2.00 0.1387 0.1315 0.0637 2.0559 0.0031 0.0218
7.20 -1.625 -1.75 0.1042 0.1533 0.0820 2.3703 0.0024 0.0168
7.20 -1.500 -2.25 0.1925 0.1110 0.0478 1.7380 0.0058 0.0293
7.20 -1.500 -2.00 0.1386 0.1312 0.0635 2.0524 0.0042 0.0218
7.20 -1.500 -1.75 0.1041 0.1529 0.0816 2.3650 0.0032 0.0168
7.30 -1.750 -2.25 0.2430 0.1363 0.0576 2.1428 0.0041 0.0365
7.30 -1.750 -2.00 0.1748 0.1609 0.0762 2.5286 0.0030 0.0272
