#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.9 -2.000 -4.0 0.3452 0.0143 0.0 0.0123 0.0054 0.1019
6.9 -2.000 -3.75 0.3913 0.0208 0.0 0.0386 0.0055 0.0856
6.9 -2.000 -3.5 0.4036 0.0292 0.0016 0.1065 0.005 0.0687
6.9 -2.000 -3.25 0.3587 0.039 0.004 0.2321 0.004 0.053
6.9 -2.000 -3.0 0.277 0.0502 0.0078 0.3965 0.0029 0.0394
6.9 -2.000 -2.75 0.1966 0.0628 0.0127 0.5699 0.002 0.0287
6.9 -2.000 -2.5 0.1356 0.0769 0.0188 0.7407 0.0013 0.0206
6.9 -2.000 -2.25 0.0946 0.0929 0.0263 0.9092 0.0 0.0149
6.9 -2.000 -2.0 0.0684 0.1104 0.0353 1.0774 0.0 0.0111
6.9 -2.000 -1.75 0.0517 0.1294 0.046 1.2474 0.0 0.0086
6.9 -2.000 -1.5 0.0408 0.1497 0.0585 1.419 0.0 0.0069
6.9 -1.875 -4.0 0.3452 0.0143 0.0 0.0123 0.0072 0.1019
6.9 -1.875 -3.75 0.3913 0.0208 0.0 0.0386 0.0073 0.0856
6.9 -1.875 -3.5 0.4036 0.0292 0.0016 0.1065 0.0067 0.0687
6.9 -1.875 -3.25 0.3587 0.039 0.004 0.2321 0.0054 0.053
6.9 -1.875 -3.0 0.277 0.0502 0.0078 0.3964 0.0038 0.0394
6.9 -1.875 -2.75 0.1965 0.0628 0.0127 0.5698 0.0026 0.0287
6.9 -1.875 -2.5 0.1356 0.0769 0.0188 0.7406 0.0018 0.0206
6.9 -1.875 -2.25 0.0946 0.0928 0.0263 0.9089 0.0012 0.0149
6.9 -1.875 -2.0 0.0684 0.1103 0.0353 1.077 0.0 0.0111
6.9 -1.875 -1.75 0.0517 0.1293 0.046 1.2468 0.0 0.0086
6.9 -1.875 -1.5 0.0408 0.1495 0.0584 1.418 0.0 0.0069
6.9 -1.750 -4.0 0.3451 0.0143 0.0 0.0123 0.0096 0.1019
6.9 -1.750 -3.75 0.3913 0.0208 0.0 0.0386 0.0097 0.0855
6.9 -1.750 -3.5 0.4035 0.0292 0.0016 0.1065 0.0089 0.0687
6.9 -1.750 -3.25 0.3586 0.039 0.004 0.2321 0.0071 0.053
6.9 -1.750 -3.0 0.277 0.0502 0.0077 0.3964 0.0051 0.0394
6.9 -1.750 -2.75 0.1965 0.0627 0.0127 0.5697 0.0035 0.0287
6.9 -1.750 -2.5 0.1356 0.0769 0.0188 0.7404 0.0024 0.0206
6.9 -1.750 -2.25 0.0946 0.0928 0.0263 0.9086 0.0016 0.0149
6.9 -1.750 -2.0 0.0684 0.1103 0.0352 1.0765 0.0012 0.0111
6.9 -1.750 -1.75 0.0517 0.1292 0.0459 1.2459 0.0 0.0086
6.9 -1.750 -1.5 0.0408 0.1493 0.0583 1.4167 0.0 0.0069
6.9 -1.625 -4.0 0.3451 0.0143 0.0 0.0123 0.0128 0.1019
6.9 -1.625 -3.75 0.3912 0.0208 0.0 0.0386 0.0129 0.0855
6.9 -1.625 -3.5 0.4035 0.0292 0.0016 0.1065 0.0119 0.0687
6.9 -1.625 -3.25 0.3586 0.039 0.004 0.232 0.0095 0.053
6.9 -1.625 -3.0 0.2769 0.0502 0.0077 0.3963 0.0068 0.0394
6.9 -1.625 -2.75 0.1965 0.0627 0.0127 0.5696 0.0047 0.0287
6.9 -1.625 -2.5 0.1355 0.0769 0.0188 0.7402 0.0032 0.0206
6.9 -1.625 -2.25 0.0946 0.0927 0.0263 0.9082 0.0022 0.0149
6.9 -1.625 -2.0 0.0684 0.1102 0.0352 1.0758 0.0016 0.0111
6.9 -1.625 -1.75 0.0517 0.1291 0.0458 1.2448 0.0012 0.0086
6.9 -1.625 -1.5 0.0407 0.1491 0.0581 1.4149 0.0 0.0069
