#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
6.9000000 	 -1.0000000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0306000 	 0.2955000
6.9000000 	 -1.1250000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0230000 	 0.2955000
6.9000000 	 -1.0000000 	 -0.7500000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0306000 	 0.2577000
6.9000000 	 -1.1250000 	 -0.7500000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0229000 	 0.2575000
6.9000000 	 -1.0000000 	 -1.0000000 	 0.0849000 	 0.0313000 	 0.0000000 	 0.0167000 	 0.0312000 	 0.1998000
6.9000000 	 -1.1250000 	 -1.0000000 	 0.0849000 	 0.0313000 	 0.0000000 	 0.0167000 	 0.0234000 	 0.2006000
6.9000000 	 -1.0000000 	 -1.5000000 	 0.0781000 	 0.0325000 	 0.0014000 	 0.0491000 	 0.0314000 	 0.0675000
6.9000000 	 -1.1250000 	 -1.5000000 	 0.0781000 	 0.0325000 	 0.0014000 	 0.0490000 	 0.0236000 	 0.0677000
6.9000000 	 -1.0000000 	 -1.5000000 	 0.0781000 	 0.0325000 	 0.0014000 	 0.0491000 	 0.0314000 	 0.0675000
6.9000000 	 -1.1250000 	 -1.5000000 	 0.0781000 	 0.0325000 	 0.0014000 	 0.0490000 	 0.0236000 	 0.0677000
6.9000000 	 -1.0000000 	 -1.7500000 	 0.0742000 	 0.0322000 	 0.0028000 	 0.0910000 	 0.0301000 	 0.0534000
6.9000000 	 -1.1250000 	 -1.7500000 	 0.0741000 	 0.0322000 	 0.0028000 	 0.0910000 	 0.0226000 	 0.0534000
6.9000000 	 -1.0000000 	 -2.0000000 	 0.0755000 	 0.0348000 	 0.0048000 	 0.1536000 	 0.0292000 	 0.0523000
6.9000000 	 -1.1250000 	 -2.0000000 	 0.0755000 	 0.0347000 	 0.0048000 	 0.1536000 	 0.0219000 	 0.0518000
6.9000000 	 -1.0000000 	 -2.2500000 	 0.0844000 	 0.0399000 	 0.0069000 	 0.2247000 	 0.0294000 	 0.0517000
6.9000000 	 -1.1250000 	 -2.2500000 	 0.0844000 	 0.0399000 	 0.0069000 	 0.2247000 	 0.0220000 	 0.0515000
6.9000000 	 -1.0000000 	 -2.5000000 	 0.1026000 	 0.0465000 	 0.0080000 	 0.2825000 	 0.0309000 	 0.0565000
6.9000000 	 -1.1250000 	 -2.5000000 	 0.1026000 	 0.0466000 	 0.0080000 	 0.2826000 	 0.0232000 	 0.0568000
7.0000000 	 -1.0000000 	 -0.5000000 	 0.1122000 	 0.0212000 	 0.0000000 	 0.0133000 	 0.0385000 	 0.3684000
7.0000000 	 -1.1250000 	 -0.5000000 	 0.1122000 	 0.0212000 	 0.0000000 	 0.0133000 	 0.0289000 	 0.3686000
7.0000000 	 -1.0000000 	 -0.7500000 	 0.1086000 	 0.0228000 	 0.0000000 	 0.0161000 	 0.0384000 	 0.3231000
7.0000000 	 -1.1250000 	 -0.7500000 	 0.1086000 	 0.0228000 	 0.0000000 	 0.0161000 	 0.0288000 	 0.3231000
7.0000000 	 -1.0000000 	 -1.0000000 	 0.1070000 	 0.0248000 	 0.0000000 	 0.0211000 	 0.0392000 	 0.2494000
7.0000000 	 -1.1250000 	 -1.0000000 	 0.1067000 	 0.0247000 	 0.0000000 	 0.0210000 	 0.0293000 	 0.2536000
7.0000000 	 -1.0000000 	 -1.5000000 	 0.0984000 	 0.0258000 	 0.0018000 	 0.0617000 	 0.0395000 	 0.0866000
7.0000000 	 -1.1250000 	 -1.5000000 	 0.0983000 	 0.0258000 	 0.0018000 	 0.0617000 	 0.0296000 	 0.0868000
7.0000000 	 -1.0000000 	 -1.5000000 	 0.0984000 	 0.0258000 	 0.0018000 	 0.0617000 	 0.0395000 	 0.0866000
7.0000000 	 -1.1250000 	 -1.5000000 	 0.0983000 	 0.0258000 	 0.0018000 	 0.0617000 	 0.0296000 	 0.0868000
7.0000000 	 -1.0000000 	 -1.7500000 	 0.0934000 	 0.0256000 	 0.0035000 	 0.1144000 	 0.0379000 	 0.0683000
7.0000000 	 -1.1250000 	 -1.7500000 	 0.0934000 	 0.0255000 	 0.0035000 	 0.1145000 	 0.0284000 	 0.0680000
7.0000000 	 -1.0000000 	 -2.0000000 	 0.0951000 	 0.0276000 	 0.0061000 	 0.1933000 	 0.0367000 	 0.0661000
7.0000000 	 -1.1250000 	 -2.0000000 	 0.0950000 	 0.0276000 	 0.0061000 	 0.1932000 	 0.0276000 	 0.0662000
7.0000000 	 -1.0000000 	 -2.2500000 	 0.1063000 	 0.0317000 	 0.0086000 	 0.2825000 	 0.0370000 	 0.0659000
7.0000000 	 -1.1250000 	 -2.2500000 	 0.1063000 	 0.0317000 	 0.0086000 	 0.2825000 	 0.0277000 	 0.0655000
7.0000000 	 -1.0000000 	 -2.5000000 	 0.1290000 	 0.0369000 	 0.0101000 	 0.3550000 	 0.0389000 	 0.0724000
7.0000000 	 -1.1250000 	 -2.5000000 	 0.1290000 	 0.0369000 	 0.0101000 	 0.3553000 	 0.0292000 	 0.0716000
7.1000000 	 -1.0000000 	 -1.5000000 	 0.1238000 	 0.0323000 	 0.0022000 	 0.0775000 	 0.0496000 	 0.1131000
7.1000000 	 -1.1250000 	 -0.5000000 	 0.1411000 	 0.0265000 	 0.0000000 	 0.0167000 	 0.0362000 	 0.4627000
7.1000000 	 -1.0000000 	 -1.5000000 	 0.1238000 	 0.0323000 	 0.0022000 	 0.0775000 	 0.0496000 	 0.1131000
7.1000000 	 -1.1250000 	 -0.7500000 	 0.1367000 	 0.0286000 	 0.0000000 	 0.0202000 	 0.0362000 	 0.4036000
7.1000000 	 -1.0000000 	 -1.5000000 	 0.1238000 	 0.0323000 	 0.0022000 	 0.0775000 	 0.0496000 	 0.1131000
7.1000000 	 -1.1250000 	 -1.0000000 	 0.1345000 	 0.0310000 	 0.0000000 	 0.0265000 	 0.0369000 	 0.3154000
