12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
6.9000000 	 -0.2500000 	 -0.5000000 	 0.0848000 	 0.0290000 	 0.0000000 	 0.0120000 	 0.1713000 	 0.2568000
6.9000000 	 0.0000000 	 -0.5000000 	 0.0848000 	 0.0289000 	 0.0000000 	 0.0121000 	 0.3035000 	 0.2552000
6.9000000 	 -0.1250000 	 -0.5000000 	 0.0848000 	 0.0289000 	 0.0000000 	 0.0120000 	 0.2277000 	 0.2577000
6.9000000 	 -0.3750000 	 -0.5000000 	 0.0848000 	 0.0290000 	 0.0000000 	 0.0120000 	 0.1285000 	 0.2580000
6.9000000 	 -0.5000000 	 -0.5000000 	 0.0847000 	 0.0290000 	 0.0000000 	 0.0119000 	 0.0964000 	 0.2589000
6.9000000 	 -0.6250000 	 -0.5000000 	 0.0846000 	 0.0290000 	 0.0000000 	 0.0119000 	 0.0723000 	 0.2595000
6.9000000 	 -0.7500000 	 -0.5000000 	 0.0848000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0544000 	 0.2577000
6.9000000 	 -0.8750000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0408000 	 0.2579000
6.9000000 	 -1.0000000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0306000 	 0.2582000
6.9000000 	 -1.1250000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0230000 	 0.2585000
6.9000000 	 -1.2500000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0172000 	 0.2587000
6.9000000 	 -1.3750000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0129000 	 0.2587000
6.9000000 	 -1.5000000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0097000 	 0.2589000
6.9000000 	 -1.6250000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0073000 	 0.2589000
6.9000000 	 -1.7500000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0054000 	 0.2590000
6.9000000 	 -1.8750000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0041000 	 0.2589000
6.9000000 	 -2.0000000 	 -0.5000000 	 0.0847000 	 0.0291000 	 0.0000000 	 0.0119000 	 0.0031000 	 0.2590000
6.9000000 	 -0.2500000 	 -0.7500000 	 0.0809000 	 0.0313000 	 0.0000000 	 0.0173000 	 0.1725000 	 0.1977000
6.9000000 	 0.0000000 	 -0.7500000 	 0.0811000 	 0.0312000 	 0.0000000 	 0.0174000 	 0.3060000 	 0.1954000
6.9000000 	 -0.1250000 	 -0.7500000 	 0.0809000 	 0.0312000 	 0.0000000 	 0.0173000 	 0.2296000 	 0.1977000
6.9000000 	 -0.3750000 	 -0.7500000 	 0.0807000 	 0.0313000 	 0.0000000 	 0.0172000 	 0.1294000 	 0.1991000
6.9000000 	 -0.5000000 	 -0.7500000 	 0.0807000 	 0.0314000 	 0.0000000 	 0.0172000 	 0.0971000 	 0.1993000
6.9000000 	 -0.6250000 	 -0.7500000 	 0.0807000 	 0.0314000 	 0.0000000 	 0.0172000 	 0.0730000 	 0.1984000
6.9000000 	 -0.7500000 	 -0.7500000 	 0.0807000 	 0.0315000 	 0.0000000 	 0.0172000 	 0.0548000 	 0.1979000
6.9000000 	 -0.8750000 	 -0.7500000 	 0.0806000 	 0.0314000 	 0.0000000 	 0.0172000 	 0.0411000 	 0.1991000
6.9000000 	 -1.0000000 	 -0.7500000 	 0.0807000 	 0.0315000 	 0.0000000 	 0.0172000 	 0.0308000 	 0.1977000
6.9000000 	 -1.1250000 	 -0.7500000 	 0.0807000 	 0.0315000 	 0.0000000 	 0.0172000 	 0.0231000 	 0.1980000
6.9000000 	 -1.2500000 	 -0.7500000 	 0.0806000 	 0.0315000 	 0.0000000 	 0.0171000 	 0.0173000 	 0.1986000
6.9000000 	 -1.3750000 	 -0.7500000 	 0.0805000 	 0.0315000 	 0.0000000 	 0.0171000 	 0.0130000 	 0.1992000
6.9000000 	 -1.5000000 	 -0.7500000 	 0.0805000 	 0.0315000 	 0.0000000 	 0.0171000 	 0.0097000 	 0.1996000
6.9000000 	 -1.6250000 	 -0.7500000 	 0.0805000 	 0.0315000 	 0.0000000 	 0.0171000 	 0.0073000 	 0.1999000
6.9000000 	 -1.7500000 	 -0.7500000 	 0.0805000 	 0.0315000 	 0.0000000 	 0.0171000 	 0.0055000 	 0.2001000
6.9000000 	 -1.8750000 	 -0.7500000 	 0.0807000 	 0.0316000 	 0.0000000 	 0.0172000 	 0.0041000 	 0.1963000
6.9000000 	 -2.0000000 	 -0.7500000 	 0.0805000 	 0.0315000 	 0.0000000 	 0.0171000 	 0.0031000 	 0.2001000
6.9000000 	 0.0000000 	 -1.0000000 	 0.0745000 	 0.0324000 	 0.0010000 	 0.0337000 	 0.3013000 	 0.1149000
6.9000000 	 -0.1250000 	 -1.0000000 	 0.0743000 	 0.0325000 	 0.0010000 	 0.0337000 	 0.2264000 	 0.1142000
6.9000000 	 -0.2500000 	 -1.0000000 	 0.0742000 	 0.0326000 	 0.0010000 	 0.0337000 	 0.1701000 	 0.1132000
6.9000000 	 -0.3750000 	 -1.0000000 	 0.0741000 	 0.0327000 	 0.0010000 	 0.0336000 	 0.1277000 	 0.1120000
6.9000000 	 -0.5000000 	 -1.0000000 	 0.0740000 	 0.0327000 	 0.0010000 	 0.0336000 	 0.0958000 	 0.1125000
6.9000000 	 -0.6250000 	 -1.0000000 	 0.0740000 	 0.0328000 	 0.0010000 	 0.0336000 	 0.0719000 	 0.1118000
