#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
6.9000000 	 -1.5000000 	 -1.7500000 	 0.0511000 	 0.1289000 	 0.0457000 	 1.2433000 	 0.0016000 	 0.0086000
6.9000000 	 -1.6250000 	 -1.7500000 	 0.0512000 	 0.1291000 	 0.0458000 	 1.2448000 	 0.0012000 	 0.0086000
6.9000000 	 -1.7500000 	 -1.7500000 	 0.0512000 	 0.1292000 	 0.0459000 	 1.2459000 	 0.0000000 	 0.0086000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0679000 	 0.1101000 	 0.0351000 	 1.0749000 	 0.0021000 	 0.0111000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0679000 	 0.1102000 	 0.0352000 	 1.0758000 	 0.0016000 	 0.0111000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0679000 	 0.1103000 	 0.0352000 	 1.0765000 	 0.0012000 	 0.0111000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.0940000 	 0.0927000 	 0.0262000 	 0.9076000 	 0.0029000 	 0.0149000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.0941000 	 0.0927000 	 0.0263000 	 0.9082000 	 0.0022000 	 0.0149000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0942000 	 0.0928000 	 0.0263000 	 0.9086000 	 0.0016000 	 0.0149000
7.0000000 	 -1.5000000 	 -1.7500000 	 0.0648000 	 0.1009000 	 0.0560000 	 1.5478000 	 0.0020000 	 0.0107000
7.0000000 	 -1.6750000 	 -1.7500000 	 0.0639000 	 0.0972000 	 0.0522000 	 1.5008000 	 0.0013000 	 0.0107000
7.0000000 	 -1.7500000 	 -1.7500000 	 0.0648000 	 0.1013000 	 0.0563000 	 1.5519000 	 0.0011000 	 0.0107000
7.0000000 	 -1.5000000 	 -2.0000000 	 0.0861000 	 0.0863000 	 0.0432000 	 1.3393000 	 0.0026000 	 0.0140000
7.0000000 	 -1.6750000 	 -2.0000000 	 0.0854000 	 0.0841000 	 0.0411000 	 1.3106000 	 0.0018000 	 0.0139000
7.0000000 	 -1.7500000 	 -2.0000000 	 0.0861000 	 0.0865000 	 0.0434000 	 1.3419000 	 0.0015000 	 0.0140000
7.0000000 	 -1.5000000 	 -2.2500000 	 0.1194000 	 0.0727000 	 0.0323000 	 1.1317000 	 0.0037000 	 0.0187000
7.0000000 	 -1.6750000 	 -2.2500000 	 0.1187000 	 0.0714000 	 0.0312000 	 1.1145000 	 0.0024000 	 0.0187000
7.0000000 	 -1.7500000 	 -2.2500000 	 0.1196000 	 0.0728000 	 0.0324000 	 1.1331000 	 0.0021000 	 0.0187000
7.1000000 	 -1.5000000 	 -1.7500000 	 0.0811000 	 0.1212000 	 0.0647000 	 1.8758000 	 0.0025000 	 0.0134000
7.1000000 	 -1.6250000 	 -1.7500000 	 0.0811000 	 0.1213000 	 0.0647000 	 1.8761000 	 0.0019000 	 0.0134000
7.1000000 	 -1.7500000 	 -1.7500000 	 0.0811000 	 0.1213000 	 0.0647000 	 1.8763000 	 0.0014000 	 0.0134000
7.1000000 	 -1.5000000 	 -2.0000000 	 0.1083000 	 0.1047000 	 0.0508000 	 1.6361000 	 0.0033000 	 0.0174000
