#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
6.9000000 	 0.0000000 	 -1.7500000 	 0.0487000 	 0.1114000 	 0.0351000 	 1.1027000 	 0.0487000 	 0.0084000
6.9000000 	 -0.1250000 	 -1.7500000 	 0.0492000 	 0.1150000 	 0.0372000 	 1.1327000 	 0.0368000 	 0.0084000
6.9000000 	 -0.2500000 	 -1.7500000 	 0.0497000 	 0.1181000 	 0.0390000 	 1.1576000 	 0.0277000 	 0.0084000
6.9000000 	 -0.3750000 	 -1.7500000 	 0.0501000 	 0.1206000 	 0.0405000 	 1.1779000 	 0.0209000 	 0.0084000
6.9000000 	 -0.5000000 	 -1.7500000 	 0.0503000 	 0.1227000 	 0.0417000 	 1.1943000 	 0.0157000 	 0.0086000
6.9000000 	 -0.6250000 	 -1.7500000 	 0.0506000 	 0.1243000 	 0.0427000 	 1.2071000 	 0.0118000 	 0.0086000
6.9000000 	 -0.7500000 	 -1.7500000 	 0.0508000 	 0.1256000 	 0.0435000 	 1.2172000 	 0.0089000 	 0.0086000
6.9000000 	 -0.8750000 	 -1.7500000 	 0.0508000 	 0.1265000 	 0.0441000 	 1.2248000 	 0.0067000 	 0.0086000
6.9000000 	 -1.0000000 	 -1.7500000 	 0.0510000 	 0.1273000 	 0.0446000 	 1.2307000 	 0.0050000 	 0.0086000
6.9000000 	 -1.1250000 	 -1.7500000 	 0.0510000 	 0.1279000 	 0.0450000 	 1.2353000 	 0.0037000 	 0.0086000
6.9000000 	 -1.2500000 	 -1.7500000 	 0.0511000 	 0.1283000 	 0.0453000 	 1.2388000 	 0.0028000 	 0.0086000
6.9000000 	 -1.3750000 	 -1.7500000 	 0.0511000 	 0.1286000 	 0.0455000 	 1.2413000 	 0.0021000 	 0.0086000
6.9000000 	 -1.5000000 	 -1.7500000 	 0.0511000 	 0.1289000 	 0.0457000 	 1.2433000 	 0.0016000 	 0.0086000
6.9000000 	 -1.6250000 	 -1.7500000 	 0.0512000 	 0.1291000 	 0.0458000 	 1.2448000 	 0.0012000 	 0.0086000
6.9000000 	 -1.7500000 	 -1.7500000 	 0.0512000 	 0.1292000 	 0.0459000 	 1.2459000 	 0.0000000 	 0.0086000
6.9000000 	 -1.8750000 	 -1.7500000 	 0.0512000 	 0.1293000 	 0.0460000 	 1.2468000 	 0.0000000 	 0.0086000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0512000 	 0.1294000 	 0.0460000 	 1.2474000 	 0.0000000 	 0.0086000
6.9000000 	 0.0000000 	 -2.0000000 	 0.0655000 	 0.0989000 	 0.0289000 	 0.9831000 	 0.0652000 	 0.0110000
6.9000000 	 -0.1250000 	 -2.0000000 	 0.0660000 	 0.1014000 	 0.0302000 	 1.0039000 	 0.0491000 	 0.0110000
6.9000000 	 -0.2500000 	 -2.0000000 	 0.0665000 	 0.1034000 	 0.0313000 	 1.0207000 	 0.0369000 	 0.0110000
6.9000000 	 -0.3750000 	 -2.0000000 	 0.0669000 	 0.1051000 	 0.0322000 	 1.0341000 	 0.0278000 	 0.0110000
6.9000000 	 -0.5000000 	 -2.0000000 	 0.0672000 	 0.1063000 	 0.0329000 	 1.0445000 	 0.0209000 	 0.0110000
6.9000000 	 -0.6250000 	 -2.0000000 	 0.0674000 	 0.1073000 	 0.0335000 	 1.0526000 	 0.0157000 	 0.0110000
6.9000000 	 -0.7500000 	 -2.0000000 	 0.0675000 	 0.1081000 	 0.0340000 	 1.0591000 	 0.0118000 	 0.0111000
6.9000000 	 -0.8750000 	 -2.0000000 	 0.0676000 	 0.1087000 	 0.0343000 	 1.0637000 	 0.0088000 	 0.0111000
6.9000000 	 -1.0000000 	 -2.0000000 	 0.0677000 	 0.1091000 	 0.0346000 	 1.0673000 	 0.0066000 	 0.0111000
6.9000000 	 -1.1250000 	 -2.0000000 	 0.0677000 	 0.1095000 	 0.0348000 	 1.0701000 	 0.0050000 	 0.0111000
6.9000000 	 -1.2500000 	 -2.0000000 	 0.0678000 	 0.1097000 	 0.0349000 	 1.0722000 	 0.0037000 	 0.0111000
6.9000000 	 -1.3750000 	 -2.0000000 	 0.0679000 	 0.1099000 	 0.0350000 	 1.0737000 	 0.0028000 	 0.0111000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0679000 	 0.1101000 	 0.0351000 	 1.0749000 	 0.0021000 	 0.0111000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0679000 	 0.1102000 	 0.0352000 	 1.0758000 	 0.0016000 	 0.0111000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0679000 	 0.1103000 	 0.0352000 	 1.0765000 	 0.0012000 	 0.0111000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0679000 	 0.1103000 	 0.0353000 	 1.0770000 	 0.0000000 	 0.0111000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0679000 	 0.1104000 	 0.0353000 	 1.0774000 	 0.0000000 	 0.0112000
6.9000000 	 0.0000000 	 -2.2500000 	 0.0915000 	 0.0859000 	 0.0228000 	 0.8504000 	 0.0911000 	 0.0147000
6.9000000 	 -0.1250000 	 -2.2500000 	 0.0921000 	 0.0875000 	 0.0235000 	 0.8639000 	 0.0685000 	 0.0149000
6.9000000 	 -0.2500000 	 -2.2500000 	 0.0926000 	 0.0887000 	 0.0242000 	 0.8746000 	 0.0515000 	 0.0149000
6.9000000 	 -0.3750000 	 -2.2500000 	 0.0930000 	 0.0897000 	 0.0247000 	 0.8829000 	 0.0386000 	 0.0149000
6.9000000 	 -0.5000000 	 -2.2500000 	 0.0933000 	 0.0905000 	 0.0251000 	 0.8893000 	 0.0290000 	 0.0149000
6.9000000 	 -0.6250000 	 -2.2500000 	 0.0935000 	 0.0911000 	 0.0254000 	 0.8943000 	 0.0218000 	 0.0149000
6.9000000 	 -0.7500000 	 -2.2500000 	 0.0937000 	 0.0915000 	 0.0256000 	 0.8980000 	 0.0163000 	 0.0149000
6.9000000 	 -0.8750000 	 -2.2500000 	 0.0938000 	 0.0919000 	 0.0258000 	 0.9010000 	 0.0123000 	 0.0149000
6.9000000 	 -1.0000000 	 -2.2500000 	 0.0939000 	 0.0921000 	 0.0259000 	 0.9032000 	 0.0092000 	 0.0149000
6.9000000 	 -1.1250000 	 -2.2500000 	 0.0940000 	 0.0923000 	 0.0260000 	 0.9047000 	 0.0069000 	 0.0149000
6.9000000 	 -1.2500000 	 -2.2500000 	 0.0940000 	 0.0925000 	 0.0261000 	 0.9060000 	 0.0052000 	 0.0149000
6.9000000 	 -1.3750000 	 -2.2500000 	 0.0940000 	 0.0926000 	 0.0262000 	 0.9069000 	 0.0039000 	 0.0149000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.0940000 	 0.0927000 	 0.0262000 	 0.9076000 	 0.0029000 	 0.0149000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.0941000 	 0.0927000 	 0.0263000 	 0.9082000 	 0.0022000 	 0.0149000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0942000 	 0.0928000 	 0.0263000 	 0.9086000 	 0.0016000 	 0.0149000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.0942000 	 0.0928000 	 0.0263000 	 0.9089000 	 0.0012000 	 0.0149000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0942000 	 0.0929000 	 0.0263000 	 0.9092000 	 0.0000000 	 0.0149000
7.0000000 	 0.0000000 	 -1.7500000 	 0.0609000 	 0.0849000 	 0.0411000 	 1.3414000 	 0.0609000 	 0.0105000
7.0000000 	 -0.1250000 	 -1.7500000 	 0.0617000 	 0.0881000 	 0.0439000 	 1.3839000 	 0.0460000 	 0.0105000
7.0000000 	 -0.2500000 	 -1.7500000 	 0.0624000 	 0.0909000 	 0.0463000 	 1.4198000 	 0.0347000 	 0.0105000
7.0000000 	 -0.3750000 	 -1.7500000 	 0.0630000 	 0.0932000 	 0.0484000 	 1.4492000 	 0.0262000 	 0.0106000
7.0000000 	 -0.5000000 	 -1.7500000 	 0.0634000 	 0.0950000 	 0.0502000 	 1.4732000 	 0.0197000 	 0.0107000
7.0000000 	 -0.6250000 	 -1.7500000 	 0.0638000 	 0.0965000 	 0.0516000 	 1.4922000 	 0.0148000 	 0.0107000
7.0000000 	 -0.7500000 	 -1.7500000 	 0.0641000 	 0.0977000 	 0.0528000 	 1.5077000 	 0.0111000 	 0.0107000
7.0000000 	 -0.8750000 	 -1.7500000 	 0.0643000 	 0.0987000 	 0.0537000 	 1.5196000 	 0.0084000 	 0.0107000
7.0000000 	 -1.0000000 	 -1.7500000 	 0.0644000 	 0.0994000 	 0.0544000 	 1.5286000 	 0.0063000 	 0.0107000
7.0000000 	 -1.1250000 	 -1.7500000 	 0.0646000 	 0.0999000 	 0.0550000 	 1.5355000 	 0.0047000 	 0.0107000
7.0000000 	 -1.2500000 	 -1.7500000 	 0.0646000 	 0.1004000 	 0.0554000 	 1.5407000 	 0.0035000 	 0.0107000
7.0000000 	 -1.3750000 	 -1.7500000 	 0.0648000 	 0.1007000 	 0.0557000 	 1.5446000 	 0.0027000 	 0.0107000
7.0000000 	 -1.5000000 	 -1.7500000 	 0.0648000 	 0.1009000 	 0.0560000 	 1.5478000 	 0.0020000 	 0.0107000
7.0000000 	 -1.6750000 	 -1.7500000 	 0.0639000 	 0.0972000 	 0.0522000 	 1.5008000 	 0.0013000 	 0.0107000
7.0000000 	 -1.7500000 	 -1.7500000 	 0.0648000 	 0.1013000 	 0.0563000 	 1.5519000 	 0.0011000 	 0.0107000
7.0000000 	 -1.8750000 	 -1.7500000 	 0.0648000 	 0.1014000 	 0.0564000 	 1.5532000 	 0.0000000 	 0.0107000
7.0000000 	 -2.0000000 	 -1.7500000 	 0.0648000 	 0.1014000 	 0.0565000 	 1.5540000 	 0.0000000 	 0.0107000
7.0000000 	 0.0000000 	 -2.0000000 	 0.0822000 	 0.0758000 	 0.0342000 	 1.2018000 	 0.0818000 	 0.0137000
7.0000000 	 -0.1250000 	 -2.0000000 	 0.0831000 	 0.0781000 	 0.0360000 	 1.2320000 	 0.0617000 	 0.0137000
7.0000000 	 -0.2500000 	 -2.0000000 	 0.0838000 	 0.0800000 	 0.0376000 	 1.2569000 	 0.0464000 	 0.0138000
7.0000000 	 -0.3750000 	 -2.0000000 	 0.0845000 	 0.0815000 	 0.0389000 	 1.2768000 	 0.0349000 	 0.0138000
7.0000000 	 -0.5000000 	 -2.0000000 	 0.0848000 	 0.0827000 	 0.0399000 	 1.2927000 	 0.0263000 	 0.0138000
7.0000000 	 -0.6250000 	 -2.0000000 	 0.0852000 	 0.0836000 	 0.0408000 	 1.3050000 	 0.0197000 	 0.0138000
7.0000000 	 -0.7500000 	 -2.0000000 	 0.0854000 	 0.0844000 	 0.0414000 	 1.3146000 	 0.0148000 	 0.0139000
7.0000000 	 -0.8750000 	 -2.0000000 	 0.0857000 	 0.0850000 	 0.0419000 	 1.3219000 	 0.0111000 	 0.0139000
7.0000000 	 -1.0000000 	 -2.0000000 	 0.0857000 	 0.0854000 	 0.0423000 	 1.3277000 	 0.0083000 	 0.0139000
7.0000000 	 -1.1250000 	 -2.0000000 	 0.0859000 	 0.0857000 	 0.0426000 	 1.3320000 	 0.0063000 	 0.0139000
7.0000000 	 -1.2500000 	 -2.0000000 	 0.0860000 	 0.0860000 	 0.0429000 	 1.3351000 	 0.0047000 	 0.0139000
7.0000000 	 -1.3750000 	 -2.0000000 	 0.0860000 	 0.0862000 	 0.0430000 	 1.3375000 	 0.0035000 	 0.0140000
7.0000000 	 -1.5000000 	 -2.0000000 	 0.0861000 	 0.0863000 	 0.0432000 	 1.3393000 	 0.0026000 	 0.0140000
7.0000000 	 -1.6750000 	 -2.0000000 	 0.0854000 	 0.0841000 	 0.0411000 	 1.3106000 	 0.0018000 	 0.0139000
7.0000000 	 -1.7500000 	 -2.0000000 	 0.0861000 	 0.0865000 	 0.0434000 	 1.3419000 	 0.0015000 	 0.0140000
7.0000000 	 -1.8750000 	 -2.0000000 	 0.0862000 	 0.0866000 	 0.0434000 	 1.3427000 	 0.0011000 	 0.0140000
7.0000000 	 -2.0000000 	 -2.0000000 	 0.0862000 	 0.0866000 	 0.0435000 	 1.3433000 	 0.0000000 	 0.0140000
7.0000000 	 0.0000000 	 -2.2500000 	 0.1153000 	 0.0662000 	 0.0272000 	 1.0444000 	 0.1145000 	 0.0184000
7.0000000 	 -0.1250000 	 -2.2500000 	 0.1163000 	 0.0677000 	 0.0283000 	 1.0645000 	 0.0862000 	 0.0185000
7.0000000 	 -0.2500000 	 -2.2500000 	 0.1171000 	 0.0689000 	 0.0292000 	 1.0806000 	 0.0648000 	 0.0186000
7.0000000 	 -0.3750000 	 -2.2500000 	 0.1177000 	 0.0699000 	 0.0300000 	 1.0933000 	 0.0487000 	 0.0186000
7.0000000 	 -0.5000000 	 -2.2500000 	 0.1182000 	 0.0706000 	 0.0306000 	 1.1032000 	 0.0366000 	 0.0186000
7.0000000 	 -0.6250000 	 -2.2500000 	 0.1185000 	 0.0712000 	 0.0310000 	 1.1108000 	 0.0275000 	 0.0187000
7.0000000 	 -0.7500000 	 -2.2500000 	 0.1187000 	 0.0716000 	 0.0314000 	 1.1167000 	 0.0206000 	 0.0187000
7.0000000 	 -0.8750000 	 -2.2500000 	 0.1189000 	 0.0719000 	 0.0316000 	 1.1211000 	 0.0155000 	 0.0187000
7.0000000 	 -1.0000000 	 -2.2500000 	 0.1191000 	 0.0722000 	 0.0319000 	 1.1245000 	 0.0116000 	 0.0187000
7.0000000 	 -1.1250000 	 -2.2500000 	 0.1192000 	 0.0724000 	 0.0320000 	 1.1271000 	 0.0087000 	 0.0187000
7.0000000 	 -1.2500000 	 -2.2500000 	 0.1194000 	 0.0725000 	 0.0321000 	 1.1290000 	 0.0065000 	 0.0187000
7.0000000 	 -1.3750000 	 -2.2500000 	 0.1194000 	 0.0726000 	 0.0322000 	 1.1305000 	 0.0049000 	 0.0187000
7.0000000 	 -1.5000000 	 -2.2500000 	 0.1194000 	 0.0727000 	 0.0323000 	 1.1317000 	 0.0037000 	 0.0187000
7.0000000 	 -1.6750000 	 -2.2500000 	 0.1187000 	 0.0714000 	 0.0312000 	 1.1145000 	 0.0024000 	 0.0187000
7.0000000 	 -1.7500000 	 -2.2500000 	 0.1196000 	 0.0728000 	 0.0324000 	 1.1331000 	 0.0021000 	 0.0187000
7.0000000 	 -1.8750000 	 -2.2500000 	 0.1196000 	 0.0729000 	 0.0324000 	 1.1335000 	 0.0015000 	 0.0187000
7.0000000 	 -2.0000000 	 -2.2500000 	 0.1196000 	 0.0729000 	 0.0324000 	 1.1339000 	 0.0012000 	 0.0187000
7.1000000 	 0.0000000 	 -1.7500000 	 0.0788000 	 0.1126000 	 0.0567000 	 1.7650000 	 0.0776000 	 0.0132000
7.1000000 	 -0.1250000 	 -1.7500000 	 0.0805000 	 0.1196000 	 0.0631000 	 1.8549000 	 0.0589000 	 0.0133000
7.1000000 	 -0.2500000 	 -1.7500000 	 0.0807000 	 0.1200000 	 0.0635000 	 1.8600000 	 0.0442000 	 0.0133000
7.1000000 	 -0.3750000 	 -1.7500000 	 0.0807000 	 0.1203000 	 0.0638000 	 1.8639000 	 0.0332000 	 0.0133000
7.1000000 	 -0.5000000 	 -1.7500000 	 0.0809000 	 0.1205000 	 0.0640000 	 1.8670000 	 0.0249000 	 0.0133000
7.1000000 	 -0.6250000 	 -1.7500000 	 0.0809000 	 0.1207000 	 0.0642000 	 1.8695000 	 0.0187000 	 0.0133000
7.1000000 	 -0.7500000 	 -1.7500000 	 0.0810000 	 0.1209000 	 0.0644000 	 1.8716000 	 0.0140000 	 0.0133000
7.1000000 	 -0.8750000 	 -1.7500000 	 0.0810000 	 0.1210000 	 0.0645000 	 1.8729000 	 0.0105000 	 0.0133000
