#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0456000 	 0.0022000 	 0.0110000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0457000 	 0.0016000 	 0.0110000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0457000 	 0.0012000 	 0.0110000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8866000 	 0.0031000 	 0.0147000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8866000 	 0.0023000 	 0.0147000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8867000 	 0.0017000 	 0.0147000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7220000 	 0.0045000 	 0.0205000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7220000 	 0.0033000 	 0.0205000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7221000 	 0.0025000 	 0.0205000
7.0000000 	 -1.5000000 	 -2.0000000 	 0.0913000 	 0.0825000 	 0.0398000 	 1.2941000 	 0.0027000 	 0.0138000
7.0000000 	 -1.6750000 	 -2.0000000 	 0.0913000 	 0.0825000 	 0.0398000 	 1.2942000 	 0.0018000 	 0.0138000
7.0000000 	 -1.7500000 	 -2.0000000 	 0.0913000 	 0.0825000 	 0.0398000 	 1.2943000 	 0.0015000 	 0.0138000
7.0000000 	 -1.5000000 	 -2.2500000 	 0.1276000 	 0.0700000 	 0.0303000 	 1.1001000 	 0.0038000 	 0.0186000
7.0000000 	 -1.6750000 	 -2.2500000 	 0.1276000 	 0.0700000 	 0.0303000 	 1.1002000 	 0.0026000 	 0.0186000
7.0000000 	 -1.7500000 	 -2.2500000 	 0.1276000 	 0.0700000 	 0.0303000 	 1.1003000 	 0.0022000 	 0.0186000
7.0000000 	 -1.5000000 	 -2.5000000 	 0.1840000 	 0.0581000 	 0.0220000 	 0.8975000 	 0.0056000 	 0.0256000
7.0000000 	 -1.6750000 	 -2.5000000 	 0.1840000 	 0.0581000 	 0.0220000 	 0.8976000 	 0.0037000 	 0.0256000
7.0000000 	 -1.7500000 	 -2.5000000 	 0.1840000 	 0.0581000 	 0.0220000 	 0.8976000 	 0.0031000 	 0.0256000
7.1000000 	 -1.5000000 	 -2.0000000 	 0.1144000 	 0.1026000 	 0.0491000 	 1.6129000 	 0.0035000 	 0.0173000
7.1000000 	 -1.6250000 	 -2.0000000 	 0.1144000 	 0.1026000 	 0.0491000 	 1.6131000 	 0.0026000 	 0.0173000
7.1000000 	 -1.7500000 	 -2.0000000 	 0.1144000 	 0.1027000 	 0.0491000 	 1.6132000 	 0.0019000 	 0.0173000
7.1000000 	 -1.5000000 	 -2.2500000 	 0.1599000 	 0.0871000 	 0.0373000 	 1.3704000 	 0.0048000 	 0.0233000
7.1000000 	 -1.6250000 	 -2.2500000 	 0.1599000 	 0.0871000 	 0.0374000 	 1.3706000 	 0.0036000 	 0.0233000
7.1000000 	 -1.7500000 	 -2.2500000 	 0.1599000 	 0.0871000 	 0.0374000 	 1.3707000 	 0.0027000 	 0.0233000
7.1000000 	 -1.5000000 	 -2.5000000 	 0.2306000 	 0.0722000 	 0.0270000 	 1.1178000 	 0.0070000 	 0.0322000
