#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -1.7500000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8867000 	 0.0000000 	 0.0044000 	 0.0017000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0457000 	 0.0000000 	 0.0046000 	 0.0012000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.7500000 	 -1.7500000 	 0.0544000 	 0.1228000 	 0.0417000 	 1.1985000 	 0.0000000 	 0.0044000 	 0.0000000 	 0.0084000 	 0.0000000 	 0.0201000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8866000 	 0.0000000 	 0.0044000 	 0.0023000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0457000 	 0.0000000 	 0.0046000 	 0.0016000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.6250000 	 -1.7500000 	 0.0544000 	 0.1228000 	 0.0417000 	 1.1984000 	 0.0000000 	 0.0044000 	 0.0012000 	 0.0084000 	 0.0000000 	 0.0201000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8866000 	 0.0000000 	 0.0044000 	 0.0031000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0456000 	 0.0000000 	 0.0046000 	 0.0022000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.5000000 	 -1.7500000 	 0.0544000 	 0.1228000 	 0.0417000 	 1.1983000 	 0.0000000 	 0.0044000 	 0.0016000 	 0.0084000 	 0.0000000 	 0.0201000
7.0000000 	 -1.7500000 	 -2.2500000 	 0.1276000 	 0.0700000 	 0.0303000 	 1.1003000 	 0.0000000 	 0.0055000 	 0.0022000 	 0.0186000 	 0.0017000 	 0.0291000
7.0000000 	 -1.7500000 	 -2.0000000 	 0.0913000 	 0.0825000 	 0.0398000 	 1.2943000 	 0.0000000 	 0.0056000 	 0.0015000 	 0.0138000 	 0.0013000 	 0.0277000
7.0000000 	 -1.7500000 	 -1.7500000 	 0.0681000 	 0.0952000 	 0.0503000 	 1.4791000 	 0.0000000 	 0.0054000 	 0.0012000 	 0.0107000 	 0.0000000 	 0.0250000
7.0000000 	 -1.6750000 	 -2.2500000 	 0.1276000 	 0.0700000 	 0.0303000 	 1.1002000 	 0.0000000 	 0.0055000 	 0.0026000 	 0.0186000 	 0.0017000 	 0.0291000
7.0000000 	 -1.6750000 	 -2.0000000 	 0.0913000 	 0.0825000 	 0.0398000 	 1.2942000 	 0.0000000 	 0.0056000 	 0.0018000 	 0.0138000 	 0.0013000 	 0.0277000
7.0000000 	 -1.6750000 	 -1.7500000 	 0.0681000 	 0.0952000 	 0.0503000 	 1.4790000 	 0.0000000 	 0.0054000 	 0.0014000 	 0.0107000 	 0.0000000 	 0.0250000
7.0000000 	 -1.5000000 	 -2.2500000 	 0.1276000 	 0.0700000 	 0.0303000 	 1.1001000 	 0.0000000 	 0.0055000 	 0.0038000 	 0.0186000 	 0.0017000 	 0.0291000
7.0000000 	 -1.5000000 	 -2.0000000 	 0.0913000 	 0.0825000 	 0.0398000 	 1.2941000 	 0.0000000 	 0.0056000 	 0.0027000 	 0.0138000 	 0.0013000 	 0.0277000
7.0000000 	 -1.5000000 	 -1.7500000 	 0.0679000 	 0.0952000 	 0.0503000 	 1.4788000 	 0.0000000 	 0.0054000 	 0.0021000 	 0.0107000 	 0.0000000 	 0.0250000
7.1000000 	 -1.7500000 	 -2.2500000 	 0.1599000 	 0.0871000 	 0.0374000 	 1.3707000 	 0.0000000 	 0.0068000 	 0.0027000 	 0.0233000 	 0.0045000 	 0.0364000
7.1000000 	 -1.7500000 	 -2.0000000 	 0.1144000 	 0.1027000 	 0.0491000 	 1.6132000 	 0.0000000 	 0.0070000 	 0.0019000 	 0.0173000 	 0.0016000 	 0.0347000
7.1000000 	 -1.7500000 	 -1.7500000 	 0.0853000 	 0.1186000 	 0.0622000 	 1.8460000 	 0.0000000 	 0.0068000 	 0.0015000 	 0.0133000 	 0.0012000 	 0.0314000
7.1000000 	 -1.6250000 	 -2.2500000 	 0.1599000 	 0.0871000 	 0.0374000 	 1.3706000 	 0.0000000 	 0.0068000 	 0.0036000 	 0.0233000 	 0.0045000 	 0.0364000
7.1000000 	 -1.6250000 	 -2.0000000 	 0.1144000 	 0.1026000 	 0.0491000 	 1.6131000 	 0.0000000 	 0.0070000 	 0.0026000 	 0.0173000 	 0.0016000 	 0.0347000
