#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -4.0000000 	 0.2327000 	 0.0333000 	 0.0000000 	 0.0094000 	 0.0000000 	 0.0015000 	 0.0051000 	 0.1904000 	 0.0055000 	 0.0244000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.2591000 	 0.0370000 	 0.0000000 	 0.0323000 	 0.0000000 	 0.0018000 	 0.0053000 	 0.1578000 	 0.0078000 	 0.0267000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.2572000 	 0.0417000 	 0.0015000 	 0.0928000 	 0.0000000 	 0.0021000 	 0.0051000 	 0.1295000 	 0.0086000 	 0.0286000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.2182000 	 0.0471000 	 0.0036000 	 0.1880000 	 0.0000000 	 0.0025000 	 0.0045000 	 0.1046000 	 0.0075000 	 0.0296000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.1700000 	 0.0514000 	 0.0060000 	 0.2708000 	 0.0000000 	 0.0028000 	 0.0039000 	 0.0834000 	 0.0052000 	 0.0293000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.1308000 	 0.0514000 	 0.0077000 	 0.3033000 	 0.0000000 	 0.0027000 	 0.0034000 	 0.0674000 	 0.0040000 	 0.0272000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.1026000 	 0.0465000 	 0.0080000 	 0.2820000 	 0.0000000 	 0.0024000 	 0.0031000 	 0.0573000 	 0.0014000 	 0.0238000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0846000 	 0.0400000 	 0.0068000 	 0.2245000 	 0.0000000 	 0.0019000 	 0.0029000 	 0.0520000 	 0.0011000 	 0.0204000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0756000 	 0.0348000 	 0.0048000 	 0.1536000 	 0.0000000 	 0.0015000 	 0.0029000 	 0.0523000 	 0.0000000 	 0.0186000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0743000 	 0.0322000 	 0.0028000 	 0.0910000 	 0.0000000 	 0.0014000 	 0.0030000 	 0.0538000 	 0.0000000 	 0.0189000
