#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -1.1250000 	 -2.5000000 	 0.1026000 	 0.0465000 	 0.0080000 	 0.2820000 	 0.0000000 	 0.0024000 	 0.0232000 	 0.0569000 	 0.0014000 	 0.0238000
6.9000000 	 -1.1250000 	 -2.2500000 	 0.0846000 	 0.0399000 	 0.0068000 	 0.2245000 	 0.0000000 	 0.0019000 	 0.0221000 	 0.0518000 	 0.0011000 	 0.0204000
6.9000000 	 -1.1250000 	 -2.0000000 	 0.0756000 	 0.0348000 	 0.0048000 	 0.1536000 	 0.0000000 	 0.0015000 	 0.0219000 	 0.0522000 	 0.0000000 	 0.0186000
6.9000000 	 -1.1250000 	 -1.7500000 	 0.0743000 	 0.0322000 	 0.0028000 	 0.0910000 	 0.0000000 	 0.0014000 	 0.0226000 	 0.0538000 	 0.0000000 	 0.0189000
6.9000000 	 -1.1250000 	 -1.5000000 	 0.0782000 	 0.0325000 	 0.0014000 	 0.0491000 	 0.0000000 	 0.0015000 	 0.0236000 	 0.0677000 	 0.0000000 	 0.0216000
6.9000000 	 -1.1250000 	 -1.2500000 	 0.0828000 	 0.0332000 	 0.0000000 	 0.0266000 	 0.0000000 	 0.0018000 	 0.0239000 	 0.1199000 	 0.0000000 	 0.0267000
6.9000000 	 -1.1250000 	 -1.0000000 	 0.0849000 	 0.0312000 	 0.0000000 	 0.0167000 	 0.0000000 	 0.0019000 	 0.0233000 	 0.2009000 	 0.0000000 	 0.0279000
6.9000000 	 -1.1250000 	 -0.7500000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0000000 	 0.0018000 	 0.0229000 	 0.2568000 	 0.0000000 	 0.0264000
6.9000000 	 -1.1250000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0000000 	 0.0017000 	 0.0229000 	 0.2950000 	 0.0000000 	 0.0245000
6.9000000 	 -1.0000000 	 -2.5000000 	 0.1026000 	 0.0465000 	 0.0080000 	 0.2821000 	 0.0000000 	 0.0024000 	 0.0310000 	 0.0568000 	 0.0014000 	 0.0238000
6.9000000 	 -1.0000000 	 -2.2500000 	 0.0846000 	 0.0399000 	 0.0068000 	 0.2245000 	 0.0000000 	 0.0019000 	 0.0294000 	 0.0518000 	 0.0011000 	 0.0204000
6.9000000 	 -1.0000000 	 -2.0000000 	 0.0756000 	 0.0348000 	 0.0048000 	 0.1536000 	 0.0000000 	 0.0015000 	 0.0292000 	 0.0525000 	 0.0000000 	 0.0186000
6.9000000 	 -1.0000000 	 -1.7500000 	 0.0743000 	 0.0322000 	 0.0028000 	 0.0910000 	 0.0000000 	 0.0014000 	 0.0301000 	 0.0538000 	 0.0000000 	 0.0189000
6.9000000 	 -1.0000000 	 -1.5000000 	 0.0782000 	 0.0325000 	 0.0014000 	 0.0491000 	 0.0000000 	 0.0015000 	 0.0314000 	 0.0678000 	 0.0000000 	 0.0216000
6.9000000 	 -1.0000000 	 -1.2500000 	 0.0828000 	 0.0332000 	 0.0000000 	 0.0266000 	 0.0000000 	 0.0018000 	 0.0319000 	 0.1194000 	 0.0000000 	 0.0267000
