#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -1.1250000 	 -4.0000000 	 0.1876000 	 0.0172000 	 0.0000000 	 0.0262000 	 0.0010000 	 0.0000000 	 0.0436000 	 0.0704000 	 0.0129000 	 0.0086000
6.9000000 	 -1.1250000 	 -3.7500000 	 0.2020000 	 0.0216000 	 0.0010000 	 0.0728000 	 0.0012000 	 0.0013000 	 0.0436000 	 0.0586000 	 0.0152000 	 0.0116000
6.9000000 	 -1.1250000 	 -3.5000000 	 0.1869000 	 0.0267000 	 0.0033000 	 0.1912000 	 0.0011000 	 0.0031000 	 0.0379000 	 0.0449000 	 0.0153000 	 0.0148000
6.9000000 	 -1.1250000 	 -3.2500000 	 0.1395000 	 0.0319000 	 0.0073000 	 0.3576000 	 0.0000000 	 0.0039000 	 0.0270000 	 0.0317000 	 0.0122000 	 0.0171000
6.9000000 	 -1.1250000 	 -3.0000000 	 0.0924000 	 0.0358000 	 0.0121000 	 0.4924000 	 0.0000000 	 0.0043000 	 0.0171000 	 0.0202000 	 0.0086000 	 0.0174000
6.9000000 	 -1.1250000 	 -2.7500000 	 0.0591000 	 0.0359000 	 0.0160000 	 0.5531000 	 0.0000000 	 0.0042000 	 0.0105000 	 0.0116000 	 0.0050000 	 0.0152000
6.9000000 	 -1.1250000 	 -2.5000000 	 0.0380000 	 0.0318000 	 0.0180000 	 0.5413000 	 0.0000000 	 0.0037000 	 0.0066000 	 0.0063000 	 0.0016000 	 0.0111000
6.9000000 	 -1.1250000 	 -2.2500000 	 0.0249000 	 0.0256000 	 0.0177000 	 0.4758000 	 0.0000000 	 0.0029000 	 0.0042000 	 0.0032000 	 0.0011000 	 0.0068000
6.9000000 	 -1.1250000 	 -2.0000000 	 0.0170000 	 0.0192000 	 0.0150000 	 0.3741000 	 0.0000000 	 0.0016000 	 0.0029000 	 0.0000000 	 0.0000000 	 0.0036000
6.9000000 	 -1.1250000 	 -1.7500000 	 0.0120000 	 0.0133000 	 0.0109000 	 0.2613000 	 0.0000000 	 0.0016000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0018000
6.9000000 	 -1.1250000 	 -1.5000000 	 0.0089000 	 0.0086000 	 0.0068000 	 0.1633000 	 0.0000000 	 0.0016000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.1250000 	 -1.2500000 	 0.0068000 	 0.0054000 	 0.0039000 	 0.0942000 	 0.0000000 	 0.0016000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.1250000 	 -1.0000000 	 0.0057000 	 0.0035000 	 0.0021000 	 0.0528000 	 0.0000000 	 0.0015000 	 0.0010000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.1250000 	 -0.7500000 	 0.0030000 	 0.0023000 	 0.0050000 	 0.0642000 	 0.0000000 	 0.0013000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.1250000 	 -0.5000000 	 0.0022000 	 0.0023000 	 0.0044000 	 0.0537000 	 0.0000000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.0000000 	 -4.0000000 	 0.1875000 	 0.0172000 	 0.0000000 	 0.0262000 	 0.0014000 	 0.0000000 	 0.0581000 	 0.0704000 	 0.0129000 	 0.0086000
6.9000000 	 -1.0000000 	 -3.7500000 	 0.2020000 	 0.0216000 	 0.0010000 	 0.0728000 	 0.0015000 	 0.0013000 	 0.0582000 	 0.0586000 	 0.0151000 	 0.0116000
6.9000000 	 -1.0000000 	 -3.5000000 	 0.1869000 	 0.0268000 	 0.0033000 	 0.1916000 	 0.0015000 	 0.0031000 	 0.0505000 	 0.0449000 	 0.0153000 	 0.0148000
6.9000000 	 -1.0000000 	 -3.2500000 	 0.1395000 	 0.0319000 	 0.0073000 	 0.3573000 	 0.0012000 	 0.0039000 	 0.0361000 	 0.0317000 	 0.0122000 	 0.0171000
6.9000000 	 -1.0000000 	 -3.0000000 	 0.0924000 	 0.0358000 	 0.0121000 	 0.4926000 	 0.0000000 	 0.0043000 	 0.0229000 	 0.0202000 	 0.0086000 	 0.0174000
6.9000000 	 -1.0000000 	 -2.7500000 	 0.0594000 	 0.0359000 	 0.0159000 	 0.5517000 	 0.0000000 	 0.0042000 	 0.0141000 	 0.0117000 	 0.0050000 	 0.0152000
6.9000000 	 -1.0000000 	 -2.5000000 	 0.0382000 	 0.0317000 	 0.0179000 	 0.5406000 	 0.0000000 	 0.0037000 	 0.0088000 	 0.0063000 	 0.0016000 	 0.0111000
6.9000000 	 -1.0000000 	 -2.2500000 	 0.0253000 	 0.0256000 	 0.0176000 	 0.4750000 	 0.0000000 	 0.0029000 	 0.0058000 	 0.0032000 	 0.0011000 	 0.0068000
6.9000000 	 -1.0000000 	 -2.0000000 	 0.0174000 	 0.0192000 	 0.0149000 	 0.3734000 	 0.0000000 	 0.0016000 	 0.0039000 	 0.0000000 	 0.0000000 	 0.0036000
6.9000000 	 -1.0000000 	 -1.7500000 	 0.0120000 	 0.0133000 	 0.0109000 	 0.2615000 	 0.0000000 	 0.0016000 	 0.0027000 	 0.0000000 	 0.0000000 	 0.0018000
6.9000000 	 -1.0000000 	 -1.5000000 	 0.0089000 	 0.0086000 	 0.0068000 	 0.1633000 	 0.0000000 	 0.0016000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.0000000 	 -1.2500000 	 0.0069000 	 0.0054000 	 0.0039000 	 0.0943000 	 0.0000000 	 0.0016000 	 0.0016000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.0000000 	 -1.0000000 	 0.0054000 	 0.0034000 	 0.0021000 	 0.0527000 	 0.0000000 	 0.0015000 	 0.0013000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.0000000 	 -0.7500000 	 0.0030000 	 0.0023000 	 0.0050000 	 0.0645000 	 0.0000000 	 0.0013000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
6.9000000 	 -1.0000000 	 -0.5000000 	 0.0022000 	 0.0023000 	 0.0044000 	 0.0534000 	 0.0000000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.1250000 	 -4.0000000 	 0.2360000 	 0.0216000 	 0.0000000 	 0.0328000 	 0.0013000 	 0.0011000 	 0.0549000 	 0.0887000 	 0.0162000 	 0.0108000
7.0000000 	 -1.1250000 	 -3.7500000 	 0.2536000 	 0.0272000 	 0.0013000 	 0.0911000 	 0.0014000 	 0.0016000 	 0.0549000 	 0.0737000 	 0.0189000 	 0.0146000
7.0000000 	 -1.1250000 	 -3.5000000 	 0.2350000 	 0.0337000 	 0.0041000 	 0.2416000 	 0.0014000 	 0.0036000 	 0.0476000 	 0.0565000 	 0.0192000 	 0.0187000
7.0000000 	 -1.1250000 	 -3.2500000 	 0.1753000 	 0.0401000 	 0.0092000 	 0.4507000 	 0.0011000 	 0.0045000 	 0.0340000 	 0.0399000 	 0.0153000 	 0.0216000
7.0000000 	 -1.1250000 	 -3.0000000 	 0.1152000 	 0.0452000 	 0.0153000 	 0.6239000 	 0.0000000 	 0.0050000 	 0.0213000 	 0.0252000 	 0.0107000 	 0.0220000
7.0000000 	 -1.1250000 	 -2.7500000 	 0.0740000 	 0.0452000 	 0.0201000 	 0.6973000 	 0.0000000 	 0.0049000 	 0.0131000 	 0.0145000 	 0.0062000 	 0.0191000
7.0000000 	 -1.1250000 	 -2.5000000 	 0.0481000 	 0.0399000 	 0.0225000 	 0.6805000 	 0.0000000 	 0.0043000 	 0.0083000 	 0.0079000 	 0.0042000 	 0.0140000
7.0000000 	 -1.1250000 	 -2.2500000 	 0.0323000 	 0.0323000 	 0.0221000 	 0.5971000 	 0.0000000 	 0.0033000 	 0.0055000 	 0.0041000 	 0.0014000 	 0.0086000
7.0000000 	 -1.1250000 	 -2.0000000 	 0.0214000 	 0.0242000 	 0.0188000 	 0.4713000 	 0.0000000 	 0.0016000 	 0.0036000 	 0.0000000 	 0.0000000 	 0.0045000
7.0000000 	 -1.1250000 	 -1.7500000 	 0.0154000 	 0.0168000 	 0.0137000 	 0.3293000 	 0.0000000 	 0.0016000 	 0.0026000 	 0.0000000 	 0.0000000 	 0.0023000
7.0000000 	 -1.1250000 	 -1.5000000 	 0.0113000 	 0.0109000 	 0.0086000 	 0.2062000 	 0.0000000 	 0.0016000 	 0.0019000 	 0.0000000 	 0.0000000 	 0.0012000
7.0000000 	 -1.1250000 	 -1.2500000 	 0.0088000 	 0.0068000 	 0.0049000 	 0.1190000 	 0.0000000 	 0.0016000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.1250000 	 -1.0000000 	 0.0070000 	 0.0044000 	 0.0027000 	 0.0667000 	 0.0000000 	 0.0015000 	 0.0012000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.1250000 	 -0.7500000 	 0.0037000 	 0.0029000 	 0.0063000 	 0.0815000 	 0.0000000 	 0.0013000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.1250000 	 -0.5000000 	 0.0029000 	 0.0029000 	 0.0056000 	 0.0687000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.0000000 	 -4.0000000 	 0.2343000 	 0.0215000 	 0.0000000 	 0.0317000 	 0.0017000 	 0.0011000 	 0.0731000 	 0.0889000 	 0.0161000 	 0.0108000
7.0000000 	 -1.0000000 	 -3.7500000 	 0.2529000 	 0.0271000 	 0.0013000 	 0.0898000 	 0.0019000 	 0.0016000 	 0.0732000 	 0.0739000 	 0.0189000 	 0.0146000
7.0000000 	 -1.0000000 	 -3.5000000 	 0.2349000 	 0.0337000 	 0.0041000 	 0.2416000 	 0.0019000 	 0.0036000 	 0.0635000 	 0.0565000 	 0.0192000 	 0.0187000
7.0000000 	 -1.0000000 	 -3.2500000 	 0.1752000 	 0.0401000 	 0.0092000 	 0.4506000 	 0.0015000 	 0.0045000 	 0.0453000 	 0.0399000 	 0.0153000 	 0.0216000
7.0000000 	 -1.0000000 	 -3.0000000 	 0.1153000 	 0.0451000 	 0.0152000 	 0.6232000 	 0.0000000 	 0.0050000 	 0.0284000 	 0.0252000 	 0.0107000 	 0.0220000
7.0000000 	 -1.0000000 	 -2.7500000 	 0.0743000 	 0.0452000 	 0.0200000 	 0.6961000 	 0.0000000 	 0.0049000 	 0.0176000 	 0.0146000 	 0.0062000 	 0.0191000
7.0000000 	 -1.0000000 	 -2.5000000 	 0.0476000 	 0.0400000 	 0.0226000 	 0.6819000 	 0.0000000 	 0.0043000 	 0.0109000 	 0.0079000 	 0.0042000 	 0.0140000
7.0000000 	 -1.0000000 	 -2.2500000 	 0.0313000 	 0.0323000 	 0.0222000 	 0.5996000 	 0.0000000 	 0.0033000 	 0.0071000 	 0.0040000 	 0.0013000 	 0.0086000
7.0000000 	 -1.0000000 	 -2.0000000 	 0.0222000 	 0.0243000 	 0.0187000 	 0.4702000 	 0.0000000 	 0.0016000 	 0.0051000 	 0.0010000 	 0.0000000 	 0.0046000
7.0000000 	 -1.0000000 	 -1.7500000 	 0.0153000 	 0.0168000 	 0.0137000 	 0.3295000 	 0.0000000 	 0.0016000 	 0.0035000 	 0.0000000 	 0.0000000 	 0.0023000
7.0000000 	 -1.0000000 	 -1.5000000 	 0.0113000 	 0.0109000 	 0.0086000 	 0.2062000 	 0.0000000 	 0.0016000 	 0.0026000 	 0.0000000 	 0.0000000 	 0.0012000
7.0000000 	 -1.0000000 	 -1.2500000 	 0.0087000 	 0.0068000 	 0.0049000 	 0.1192000 	 0.0000000 	 0.0016000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.0000000 	 -1.0000000 	 0.0070000 	 0.0044000 	 0.0027000 	 0.0668000 	 0.0000000 	 0.0015000 	 0.0016000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.0000000 	 -0.7500000 	 0.0039000 	 0.0029000 	 0.0062000 	 0.0806000 	 0.0000000 	 0.0013000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
7.0000000 	 -1.0000000 	 -0.5000000 	 0.0027000 	 0.0029000 	 0.0056000 	 0.0686000 	 0.0000000 	 0.0011000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0000000
7.1000000 	 -1.1250000 	 -4.0000000 	 0.2961000 	 0.0271000 	 0.0000000 	 0.0418000 	 0.0016000 	 0.0014000 	 0.0689000 	 0.1112000 	 0.0203000 	 0.0136000
7.1000000 	 -1.1250000 	 -3.7500000 	 0.3183000 	 0.0341000 	 0.0016000 	 0.1142000 	 0.0018000 	 0.0021000 	 0.0690000 	 0.0928000 	 0.0237000 	 0.0183000
7.1000000 	 -1.1250000 	 -3.5000000 	 0.2947000 	 0.0418000 	 0.0050000 	 0.2935000 	 0.0018000 	 0.0041000 	 0.0603000 	 0.0718000 	 0.0240000 	 0.0232000
