#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.4, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -4.0000000 	 0.3448000 	 0.0143000 	 0.0000000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0054000 	 0.1019000 	 0.0077000 	 0.0063000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.3909000 	 0.0208000 	 0.0000000 	 0.0386000 	 0.0000000 	 0.0000000 	 0.0055000 	 0.0855000 	 0.0094000 	 0.0090000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.4031000 	 0.0292000 	 0.0016000 	 0.1065000 	 0.0000000 	 0.0014000 	 0.0050000 	 0.0688000 	 0.0105000 	 0.0122000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.3582000 	 0.0390000 	 0.0040000 	 0.2321000 	 0.0000000 	 0.0020000 	 0.0040000 	 0.0530000 	 0.0100000 	 0.0156000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.2765000 	 0.0502000 	 0.0078000 	 0.3965000 	 0.0000000 	 0.0027000 	 0.0029000 	 0.0394000 	 0.0081000 	 0.0186000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.1960000 	 0.0628000 	 0.0127000 	 0.5699000 	 0.0000000 	 0.0034000 	 0.0020000 	 0.0287000 	 0.0052000 	 0.0209000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.1351000 	 0.0769000 	 0.0188000 	 0.7407000 	 0.0000000 	 0.0039000 	 0.0013000 	 0.0206000 	 0.0028000 	 0.0220000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0942000 	 0.0929000 	 0.0263000 	 0.9092000 	 0.0000000 	 0.0042000 	 0.0000000 	 0.0149000 	 0.0013000 	 0.0217000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0679000 	 0.1104000 	 0.0353000 	 1.0774000 	 0.0000000 	 0.0043000 	 0.0000000 	 0.0112000 	 0.0000000 	 0.0202000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0512000 	 0.1294000 	 0.0460000 	 1.2474000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0086000 	 0.0000000 	 0.0179000
6.9000000 	 -2.0000000 	 -1.5000000 	 0.0403000 	 0.1497000 	 0.0585000 	 1.4190000 	 0.0000000 	 0.0037000 	 0.0000000 	 0.0069000 	 0.0000000 	 0.0154000
6.9000000 	 -1.8750000 	 -4.0000000 	 0.3448000 	 0.0143000 	 0.0000000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0072000 	 0.1019000 	 0.0077000 	 0.0063000
6.9000000 	 -1.8750000 	 -3.7500000 	 0.3908000 	 0.0208000 	 0.0000000 	 0.0386000 	 0.0000000 	 0.0000000 	 0.0073000 	 0.0855000 	 0.0094000 	 0.0090000
6.9000000 	 -1.8750000 	 -3.5000000 	 0.4031000 	 0.0292000 	 0.0016000 	 0.1065000 	 0.0000000 	 0.0014000 	 0.0067000 	 0.0688000 	 0.0105000 	 0.0122000
6.9000000 	 -1.8750000 	 -3.2500000 	 0.3582000 	 0.0390000 	 0.0040000 	 0.2321000 	 0.0000000 	 0.0020000 	 0.0054000 	 0.0530000 	 0.0100000 	 0.0156000
6.9000000 	 -1.8750000 	 -3.0000000 	 0.2765000 	 0.0502000 	 0.0078000 	 0.3964000 	 0.0000000 	 0.0027000 	 0.0038000 	 0.0394000 	 0.0081000 	 0.0186000
6.9000000 	 -1.8750000 	 -2.7500000 	 0.1960000 	 0.0628000 	 0.0127000 	 0.5698000 	 0.0000000 	 0.0034000 	 0.0026000 	 0.0287000 	 0.0052000 	 0.0209000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.1350000 	 0.0769000 	 0.0188000 	 0.7406000 	 0.0000000 	 0.0039000 	 0.0018000 	 0.0206000 	 0.0028000 	 0.0220000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.0942000 	 0.0928000 	 0.0263000 	 0.9089000 	 0.0000000 	 0.0042000 	 0.0012000 	 0.0149000 	 0.0013000 	 0.0217000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0679000 	 0.1103000 	 0.0353000 	 1.0770000 	 0.0000000 	 0.0043000 	 0.0000000 	 0.0111000 	 0.0000000 	 0.0202000
6.9000000 	 -1.8750000 	 -1.7500000 	 0.0512000 	 0.1293000 	 0.0460000 	 1.2468000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0086000 	 0.0000000 	 0.0179000
6.9000000 	 -1.8750000 	 -1.5000000 	 0.0403000 	 0.1495000 	 0.0584000 	 1.4180000 	 0.0000000 	 0.0037000 	 0.0000000 	 0.0069000 	 0.0000000 	 0.0154000
6.9000000 	 -1.7500000 	 -4.0000000 	 0.3447000 	 0.0143000 	 0.0000000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0096000 	 0.1019000 	 0.0077000 	 0.0063000
6.9000000 	 -1.7500000 	 -3.7500000 	 0.3908000 	 0.0208000 	 0.0000000 	 0.0386000 	 0.0000000 	 0.0000000 	 0.0097000 	 0.0855000 	 0.0094000 	 0.0090000
6.9000000 	 -1.7500000 	 -3.5000000 	 0.4031000 	 0.0292000 	 0.0016000 	 0.1065000 	 0.0000000 	 0.0014000 	 0.0089000 	 0.0688000 	 0.0105000 	 0.0122000
6.9000000 	 -1.7500000 	 -3.2500000 	 0.3582000 	 0.0390000 	 0.0040000 	 0.2321000 	 0.0000000 	 0.0020000 	 0.0071000 	 0.0530000 	 0.0100000 	 0.0156000
6.9000000 	 -1.7500000 	 -3.0000000 	 0.2765000 	 0.0502000 	 0.0077000 	 0.3964000 	 0.0000000 	 0.0027000 	 0.0051000 	 0.0394000 	 0.0081000 	 0.0186000
6.9000000 	 -1.7500000 	 -2.7500000 	 0.1960000 	 0.0627000 	 0.0127000 	 0.5697000 	 0.0000000 	 0.0034000 	 0.0035000 	 0.0287000 	 0.0052000 	 0.0209000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.1350000 	 0.0769000 	 0.0188000 	 0.7404000 	 0.0000000 	 0.0039000 	 0.0024000 	 0.0206000 	 0.0028000 	 0.0220000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0942000 	 0.0928000 	 0.0263000 	 0.9086000 	 0.0000000 	 0.0042000 	 0.0016000 	 0.0149000 	 0.0013000 	 0.0217000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0679000 	 0.1103000 	 0.0352000 	 1.0765000 	 0.0000000 	 0.0043000 	 0.0012000 	 0.0111000 	 0.0000000 	 0.0202000
6.9000000 	 -1.7500000 	 -1.7500000 	 0.0512000 	 0.1292000 	 0.0459000 	 1.2459000 	 0.0000000 	 0.0041000 	 0.0000000 	 0.0086000 	 0.0000000 	 0.0179000
6.9000000 	 -1.7500000 	 -1.5000000 	 0.0403000 	 0.1493000 	 0.0583000 	 1.4167000 	 0.0000000 	 0.0037000 	 0.0000000 	 0.0069000 	 0.0000000 	 0.0154000
6.9000000 	 -1.6250000 	 -4.0000000 	 0.3447000 	 0.0143000 	 0.0000000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0128000 	 0.1019000 	 0.0077000 	 0.0063000
6.9000000 	 -1.6250000 	 -3.7500000 	 0.3908000 	 0.0208000 	 0.0000000 	 0.0386000 	 0.0000000 	 0.0000000 	 0.0129000 	 0.0855000 	 0.0094000 	 0.0090000
6.9000000 	 -1.6250000 	 -3.5000000 	 0.4030000 	 0.0292000 	 0.0016000 	 0.1065000 	 0.0000000 	 0.0014000 	 0.0119000 	 0.0688000 	 0.0105000 	 0.0122000
6.9000000 	 -1.6250000 	 -3.2500000 	 0.3581000 	 0.0390000 	 0.0040000 	 0.2320000 	 0.0000000 	 0.0020000 	 0.0095000 	 0.0530000 	 0.0100000 	 0.0156000
6.9000000 	 -1.6250000 	 -3.0000000 	 0.2764000 	 0.0502000 	 0.0077000 	 0.3963000 	 0.0000000 	 0.0027000 	 0.0068000 	 0.0394000 	 0.0081000 	 0.0186000
6.9000000 	 -1.6250000 	 -2.7500000 	 0.1960000 	 0.0627000 	 0.0127000 	 0.5696000 	 0.0000000 	 0.0034000 	 0.0047000 	 0.0287000 	 0.0052000 	 0.0209000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.1350000 	 0.0769000 	 0.0188000 	 0.7402000 	 0.0000000 	 0.0039000 	 0.0032000 	 0.0206000 	 0.0028000 	 0.0220000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.0941000 	 0.0927000 	 0.0263000 	 0.9082000 	 0.0000000 	 0.0042000 	 0.0022000 	 0.0149000 	 0.0013000 	 0.0217000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0679000 	 0.1102000 	 0.0352000 	 1.0758000 	 0.0000000 	 0.0043000 	 0.0016000 	 0.0111000 	 0.0000000 	 0.0202000
6.9000000 	 -1.6250000 	 -1.7500000 	 0.0512000 	 0.1291000 	 0.0458000 	 1.2448000 	 0.0000000 	 0.0041000 	 0.0012000 	 0.0086000 	 0.0000000 	 0.0179000
6.9000000 	 -1.6250000 	 -1.5000000 	 0.0402000 	 0.1491000 	 0.0581000 	 1.4149000 	 0.0000000 	 0.0037000 	 0.0000000 	 0.0069000 	 0.0000000 	 0.0154000
6.9000000 	 -1.5000000 	 -4.0000000 	 0.3446000 	 0.0143000 	 0.0000000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0171000 	 0.1019000 	 0.0077000 	 0.0063000
6.9000000 	 -1.5000000 	 -3.7500000 	 0.3907000 	 0.0208000 	 0.0000000 	 0.0386000 	 0.0000000 	 0.0000000 	 0.0173000 	 0.0855000 	 0.0094000 	 0.0090000
6.9000000 	 -1.5000000 	 -3.5000000 	 0.4030000 	 0.0292000 	 0.0016000 	 0.1065000 	 0.0000000 	 0.0014000 	 0.0158000 	 0.0687000 	 0.0105000 	 0.0122000
6.9000000 	 -1.5000000 	 -3.2500000 	 0.3581000 	 0.0390000 	 0.0040000 	 0.2320000 	 0.0000000 	 0.0020000 	 0.0127000 	 0.0530000 	 0.0100000 	 0.0156000
6.9000000 	 -1.5000000 	 -3.0000000 	 0.2764000 	 0.0502000 	 0.0077000 	 0.3962000 	 0.0000000 	 0.0027000 	 0.0091000 	 0.0394000 	 0.0081000 	 0.0186000
6.9000000 	 -1.5000000 	 -2.7500000 	 0.1960000 	 0.0627000 	 0.0127000 	 0.5694000 	 0.0000000 	 0.0034000 	 0.0062000 	 0.0287000 	 0.0052000 	 0.0209000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.1350000 	 0.0768000 	 0.0188000 	 0.7399000 	 0.0000000 	 0.0039000 	 0.0042000 	 0.0206000 	 0.0028000 	 0.0220000
