12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
6.9000 5.9300 -4.0000 0.3419 0.0142 0.0000 0.0122 0.0000 0.0024 0.0170 0.4045 0.0076 0.0251
6.9000 5.7300 -4.0000 0.3431 0.0142 0.0000 0.0123 0.0000 0.0015 0.0171 0.2556 0.0077 0.0158
6.9000 5.5300 -4.0000 0.3436 0.0142 0.0000 0.0123 0.0000 0.0000 0.0171 0.1614 0.0077 0.0100
6.9000 5.3300 -4.0000 0.3441 0.0143 0.0000 0.0123 0.0000 0.0000 0.0171 0.1019 0.0077 0.0063
6.9000 5.1300 -4.0000 0.3443 0.0143 0.0000 0.0123 0.0000 0.0000 0.0171 0.0643 0.0077 0.0040
6.9000 4.9300 -4.0000 0.3445 0.0143 0.0000 0.0123 0.0000 0.0000 0.0171 0.0406 0.0077 0.0025
6.9000 4.7300 -4.0000 0.3447 0.0143 0.0000 0.0123 0.0000 0.0000 0.0171 0.0256 0.0077 0.0016
6.9000 5.9300 -3.7500 0.3874 0.0206 0.0000 0.0382 0.0000 0.0038 0.0172 0.3395 0.0093 0.0357
6.9000 5.7300 -3.7500 0.3887 0.0207 0.0000 0.0384 0.0000 0.0024 0.0172 0.2144 0.0093 0.0226
6.9000 5.5300 -3.7500 0.3895 0.0207 0.0000 0.0385 0.0000 0.0015 0.0172 0.1354 0.0094 0.0142
6.9000 5.3300 -3.7500 0.3900 0.0208 0.0000 0.0385 0.0000 0.0000 0.0173 0.0855 0.0094 0.0090
6.9000 5.1300 -3.7500 0.3903 0.0208 0.0000 0.0385 0.0000 0.0000 0.0173 0.0539 0.0094 0.0057
6.9000 4.9300 -3.7500 0.3905 0.0208 0.0000 0.0386 0.0000 0.0000 0.0173 0.0340 0.0094 0.0036
6.9000 4.7300 -3.7500 0.3906 0.0208 0.0000 0.0386 0.0000 0.0000 0.0173 0.0215 0.0094 0.0023
6.9000 5.9300 -3.5000 0.3994 0.0289 0.0016 0.1054 0.0000 0.0057 0.0158 0.2729 0.0103 0.0484
6.9000 5.7300 -3.5000 0.4007 0.0290 0.0016 0.1058 0.0000 0.0036 0.0158 0.1724 0.0103 0.0306
6.9000 5.5300 -3.5000 0.4016 0.0290 0.0016 0.1061 0.0000 0.0023 0.0158 0.1088 0.0103 0.0193
6.9000 5.3300 -3.5000 0.4021 0.0291 0.0016 0.1062 0.0000 0.0014 0.0158 0.0687 0.0105 0.0122
6.9000 5.1300 -3.5000 0.4024 0.0291 0.0016 0.1063 0.0000 0.0000 0.0158 0.0433 0.0105 0.0077
6.9000 4.9300 -3.5000 0.4026 0.0291 0.0016 0.1064 0.0000 0.0000 0.0158 0.0274 0.0105 0.0049
6.9000 4.7300 -3.5000 0.4028 0.0291 0.0016 0.1064 0.0000 0.0000 0.0158 0.0173 0.0105 0.0031
6.9000 5.9300 -3.2500 0.3550 0.0386 0.0039 0.2295 0.0000 0.0080 0.0126 0.2103 0.0099 0.0617
6.9000 5.7300 -3.2500 0.3562 0.0387 0.0039 0.2304 0.0000 0.0051 0.0127 0.1329 0.0099 0.0390
6.9000 5.5300 -3.2500 0.3568 0.0388 0.0039 0.2309 0.0000 0.0032 0.0127 0.0839 0.0099 0.0246
6.9000 5.3300 -3.2500 0.3572 0.0389 0.0039 0.2312 0.0000 0.0020 0.0127 0.0530 0.0099 0.0155
6.9000 5.1300 -3.2500 0.3575 0.0389 0.0039 0.2315 0.0000 0.0013 0.0127 0.0334 0.0099 0.0098
6.9000 4.9300 -3.2500 0.3577 0.0389 0.0040 0.2316 0.0000 0.0000 0.0127 0.0211 0.0099 0.0062
6.9000 4.7300 -3.2500 0.3579 0.0390 0.0040 0.2317 0.0000 0.0000 0.0127 0.0133 0.0100 0.0039
6.9000 5.9300 -3.0000 0.2740 0.0495 0.0076 0.3915 0.0000 0.0106 0.0091 0.1566 0.0081 0.0737
6.9000 5.7300 -3.0000 0.2749 0.0497 0.0076 0.3930 0.0000 0.0067 0.0091 0.0989 0.0081 0.0466
6.9000 5.5300 -3.0000 0.2753 0.0499 0.0076 0.3939 0.0000 0.0043 0.0091 0.0624 0.0081 0.0294
6.9000 5.3300 -3.0000 0.2756 0.0499 0.0077 0.3944 0.0000 0.0027 0.0091 0.0394 0.0081 0.0186
6.9000 5.1300 -3.0000 0.2758 0.0500 0.0077 0.3948 0.0000 0.0017 0.0091 0.0249 0.0081 0.0117
6.9000 4.9300 -3.0000 0.2759 0.0500 0.0077 0.3950 0.0000 0.0011 0.0091 0.0157 0.0081 0.0074
6.9000 4.7300 -3.0000 0.2759 0.0500 0.0077 0.3952 0.0000 0.0000 0.0091 0.0099 0.0081 0.0047
6.9000 5.9300 -2.7500 0.1943 0.0618 0.0123 0.5619 0.0000 0.0132 0.0062 0.1138 0.0051 0.0828
6.9000 5.7300 -2.7500 0.1948 0.0621 0.0124 0.5639 0.0000 0.0084 0.0062 0.0719 0.0051 0.0523
6.9000 5.5300 -2.7500 0.1952 0.0622 0.0125 0.5652 0.0000 0.0053 0.0062 0.0453 0.0051 0.0331
6.9000 5.3300 -2.7500 0.1953 0.0623 0.0125 0.5660 0.0000 0.0033 0.0062 0.0287 0.0051 0.0209
6.9000 5.1300 -2.7500 0.1955 0.0624 0.0126 0.5665 0.0000 0.0021 0.0062 0.0180 0.0051 0.0132
6.9000 4.9300 -2.7500 0.1955 0.0624 0.0126 0.5668 0.0000 0.0013 0.0062 0.0114 0.0051 0.0083
6.9000 4.7300 -2.7500 0.1955 0.0624 0.0126 0.5670 0.0000 0.0000 0.0062 0.0072 0.0051 0.0052
6.9000 5.9300 -2.5000 0.1339 0.0755 0.0182 0.7284 0.0000 0.0152 0.0042 0.0819 0.0017 0.0870
6.9000 5.7300 -2.5000 0.1343 0.0758 0.0183 0.7310 0.0000 0.0097 0.0042 0.0517 0.0017 0.0550
6.9000 5.5300 -2.5000 0.1344 0.0760 0.0184 0.7326 0.0000 0.0061 0.0042 0.0326 0.0017 0.0347
6.9000 5.3300 -2.5000 0.1345 0.0761 0.0185 0.7337 0.0000 0.0039 0.0042 0.0206 0.0017 0.0219
6.9000 5.1300 -2.5000 0.1346 0.0762 0.0185 0.7343 0.0000 0.0024 0.0042 0.0130 0.0017 0.0138
6.9000 4.9300 -2.5000 0.1346 0.0762 0.0185 0.7347 0.0000 0.0015 0.0042 0.0082 0.0017 0.0087
