#Constrained by relation between 12+log(O/H), log(U) and log(N/O)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0477000 	 0.0463000 	 0.0181000 	 0.6899000 	 0.0000000 	 0.0025000 	 0.0024000 	 0.0197000 	 0.0017000 	 0.0149000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0325000 	 0.0545000 	 0.0248000 	 0.8272000 	 0.0000000 	 0.0023000 	 0.0016000 	 0.0132000 	 0.0012000 	 0.0126000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0229000 	 0.0633000 	 0.0327000 	 0.9590000 	 0.0000000 	 0.0019000 	 0.0011000 	 0.0090000 	 0.0000000 	 0.0100000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.0477000 	 0.0463000 	 0.0181000 	 0.6898000 	 0.0000000 	 0.0025000 	 0.0032000 	 0.0197000 	 0.0017000 	 0.0149000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.0325000 	 0.0545000 	 0.0248000 	 0.8271000 	 0.0000000 	 0.0023000 	 0.0021000 	 0.0132000 	 0.0012000 	 0.0126000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0229000 	 0.0633000 	 0.0326000 	 0.9588000 	 0.0000000 	 0.0019000 	 0.0014000 	 0.0090000 	 0.0000000 	 0.0100000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.0477000 	 0.0463000 	 0.0181000 	 0.6897000 	 0.0000000 	 0.0025000 	 0.0043000 	 0.0197000 	 0.0017000 	 0.0149000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.0325000 	 0.0544000 	 0.0248000 	 0.8270000 	 0.0000000 	 0.0023000 	 0.0028000 	 0.0132000 	 0.0012000 	 0.0126000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0229000 	 0.0633000 	 0.0326000 	 0.9586000 	 0.0000000 	 0.0019000 	 0.0019000 	 0.0090000 	 0.0000000 	 0.0100000
7.0000000 	 -1.7500000 	 -2.5000000 	 0.0600000 	 0.0582000 	 0.0227000 	 0.8670000 	 0.0000000 	 0.0032000 	 0.0030000 	 0.0248000 	 0.0045000 	 0.0188000
7.0000000 	 -1.7500000 	 -2.2500000 	 0.0409000 	 0.0684000 	 0.0310000 	 1.0397000 	 0.0000000 	 0.0029000 	 0.0020000 	 0.0166000 	 0.0015000 	 0.0158000
7.0000000 	 -1.7500000 	 -2.0000000 	 0.0288000 	 0.0795000 	 0.0409000 	 1.2052000 	 0.0000000 	 0.0024000 	 0.0014000 	 0.0113000 	 0.0011000 	 0.0126000
7.0000000 	 -1.6250000 	 -2.5000000 	 0.0600000 	 0.0582000 	 0.0227000 	 0.8670000 	 0.0000000 	 0.0032000 	 0.0040000 	 0.0248000 	 0.0045000 	 0.0188000
7.0000000 	 -1.6250000 	 -2.2500000 	 0.0409000 	 0.0684000 	 0.0310000 	 1.0395000 	 0.0000000 	 0.0029000 	 0.0027000 	 0.0166000 	 0.0015000 	 0.0158000
7.0000000 	 -1.6250000 	 -2.0000000 	 0.0288000 	 0.0795000 	 0.0408000 	 1.2050000 	 0.0000000 	 0.0024000 	 0.0018000 	 0.0113000 	 0.0011000 	 0.0126000
7.0000000 	 -1.5000000 	 -2.5000000 	 0.0600000 	 0.0582000 	 0.0227000 	 0.8669000 	 0.0000000 	 0.0032000 	 0.0054000 	 0.0248000 	 0.0045000 	 0.0188000
7.0000000 	 -1.5000000 	 -2.2500000 	 0.0409000 	 0.0684000 	 0.0310000 	 1.0393000 	 0.0000000 	 0.0029000 	 0.0036000 	 0.0166000 	 0.0015000 	 0.0158000
7.0000000 	 -1.5000000 	 -2.0000000 	 0.0288000 	 0.0795000 	 0.0408000 	 1.2045000 	 0.0000000 	 0.0024000 	 0.0024000 	 0.0113000 	 0.0011000 	 0.0126000
7.1000000 	 -1.7500000 	 -2.5000000 	 0.0756000 	 0.0731000 	 0.0284000 	 1.0893000 	 0.0000000 	 0.0040000 	 0.0038000 	 0.0313000 	 0.0057000 	 0.0237000
7.1000000 	 -1.7500000 	 -2.2500000 	 0.0515000 	 0.0859000 	 0.0388000 	 1.3061000 	 0.0000000 	 0.0036000 	 0.0025000 	 0.0209000 	 0.0039000 	 0.0199000
7.1000000 	 -1.7500000 	 -2.0000000 	 0.0362000 	 0.0998000 	 0.0510000 	 1.5139000 	 0.0000000 	 0.0030000 	 0.0017000 	 0.0143000 	 0.0013000 	 0.0158000
7.1000000 	 -1.6250000 	 -2.5000000 	 0.0756000 	 0.0731000 	 0.0284000 	 1.0892000 	 0.0000000 	 0.0040000 	 0.0051000 	 0.0313000 	 0.0057000 	 0.0237000
7.1000000 	 -1.6250000 	 -2.2500000 	 0.0516000 	 0.0858000 	 0.0388000 	 1.3058000 	 0.0000000 	 0.0036000 	 0.0034000 	 0.0209000 	 0.0039000 	 0.0199000
7.1000000 	 -1.6250000 	 -2.0000000 	 0.0363000 	 0.0998000 	 0.0510000 	 1.5134000 	 0.0000000 	 0.0030000 	 0.0023000 	 0.0143000 	 0.0013000 	 0.0158000
7.1000000 	 -1.5000000 	 -2.5000000 	 0.0756000 	 0.0731000 	 0.0284000 	 1.0890000 	 0.0000000 	 0.0040000 	 0.0068000 	 0.0313000 	 0.0057000 	 0.0237000
7.1000000 	 -1.5000000 	 -2.2500000 	 0.0516000 	 0.0858000 	 0.0387000 	 1.3054000 	 0.0000000 	 0.0036000 	 0.0045000 	 0.0209000 	 0.0039000 	 0.0199000
7.1000000 	 -1.5000000 	 -2.0000000 	 0.0363000 	 0.0997000 	 0.0509000 	 1.5128000 	 0.0000000 	 0.0030000 	 0.0031000 	 0.0143000 	 0.0013000 	 0.0158000
7.2000000 	 -1.7500000 	 -2.5000000 	 0.0951000 	 0.0917000 	 0.0355000 	 1.3678000 	 0.0000000 	 0.0050000 	 0.0048000 	 0.0394000 	 0.0082000 	 0.0298000
7.2000000 	 -1.7500000 	 -2.2500000 	 0.0649000 	 0.1077000 	 0.0484000 	 1.6397000 	 0.0000000 	 0.0045000 	 0.0032000 	 0.0264000 	 0.0050000 	 0.0251000
7.2000000 	 -1.7500000 	 -2.0000000 	 0.0457000 	 0.1251000 	 0.0636000 	 1.9002000 	 0.0000000 	 0.0038000 	 0.0022000 	 0.0181000 	 0.0017000 	 0.0199000
7.2000000 	 -1.6250000 	 -2.5000000 	 0.0951000 	 0.0917000 	 0.0355000 	 1.3676000 	 0.0000000 	 0.0050000 	 0.0064000 	 0.0394000 	 0.0082000 	 0.0298000
7.2000000 	 -1.6250000 	 -2.2500000 	 0.0649000 	 0.1077000 	 0.0483000 	 1.6392000 	 0.0000000 	 0.0045000 	 0.0042000 	 0.0264000 	 0.0050000 	 0.0251000
7.2000000 	 -1.6250000 	 -2.0000000 	 0.0457000 	 0.1251000 	 0.0635000 	 1.8997000 	 0.0000000 	 0.0038000 	 0.0029000 	 0.0181000 	 0.0017000 	 0.0199000
7.2000000 	 -1.5000000 	 -2.5000000 	 0.0951000 	 0.0917000 	 0.0355000 	 1.3673000 	 0.0000000 	 0.0050000 	 0.0085000 	 0.0394000 	 0.0082000 	 0.0298000
7.2000000 	 -1.5000000 	 -2.2500000 	 0.0649000 	 0.1076000 	 0.0483000 	 1.6386000 	 0.0000000 	 0.0045000 	 0.0056000 	 0.0264000 	 0.0050000 	 0.0251000
7.2000000 	 -1.5000000 	 -2.0000000 	 0.0457000 	 0.1250000 	 0.0634000 	 1.8987000 	 0.0000000 	 0.0038000 	 0.0039000 	 0.0181000 	 0.0017000 	 0.0199000
7.3000000 	 -1.7500000 	 -2.5000000 	 0.1197000 	 0.1150000 	 0.0443000 	 1.7162000 	 0.0000000 	 0.0063000 	 0.0060000 	 0.0498000 	 0.0104000 	 0.0375000
7.3000000 	 -1.7500000 	 -2.2500000 	 0.0817000 	 0.1349000 	 0.0602000 	 2.0567000 	 0.0000000 	 0.0057000 	 0.0040000 	 0.0334000 	 0.0062000 	 0.0316000
7.3000000 	 -1.7500000 	 -2.0000000 	 0.0575000 	 0.1567000 	 0.0791000 	 2.3836000 	 0.0000000 	 0.0048000 	 0.0028000 	 0.0228000 	 0.0044000 	 0.0251000
7.3000000 	 -1.6250000 	 -2.5000000 	 0.1197000 	 0.1149000 	 0.0442000 	 1.7158000 	 0.0000000 	 0.0063000 	 0.0080000 	 0.0498000 	 0.0104000 	 0.0375000
7.3000000 	 -1.6250000 	 -2.2500000 	 0.0817000 	 0.1349000 	 0.0602000 	 2.0560000 	 0.0000000 	 0.0057000 	 0.0053000 	 0.0334000 	 0.0062000 	 0.0316000
7.3000000 	 -1.6250000 	 -2.0000000 	 0.0575000 	 0.1566000 	 0.0789000 	 2.3823000 	 0.0000000 	 0.0048000 	 0.0037000 	 0.0228000 	 0.0044000 	 0.0251000
7.3000000 	 -1.5000000 	 -2.5000000 	 0.1197000 	 0.1149000 	 0.0442000 	 1.7153000 	 0.0000000 	 0.0063000 	 0.0107000 	 0.0498000 	 0.0104000 	 0.0375000
7.3000000 	 -1.5000000 	 -2.2500000 	 0.0818000 	 0.1348000 	 0.0601000 	 2.0550000 	 0.0000000 	 0.0057000 	 0.0071000 	 0.0334000 	 0.0062000 	 0.0316000
7.3000000 	 -1.5000000 	 -2.0000000 	 0.0575000 	 0.1564000 	 0.0787000 	 2.3805000 	 0.0000000 	 0.0048000 	 0.0049000 	 0.0228000 	 0.0044000 	 0.0251000
7.4000000 	 -1.7500000 	 -2.5000000 	 0.1505000 	 0.1439000 	 0.0550000 	 2.1512000 	 0.0000000 	 0.0079000 	 0.0076000 	 0.0627000 	 0.0130000 	 0.0472000
7.4000000 	 -1.7500000 	 -2.2500000 	 0.1029000 	 0.1688000 	 0.0747000 	 2.5773000 	 0.0000000 	 0.0071000 	 0.0051000 	 0.0421000 	 0.0090000 	 0.0398000
7.4000000 	 -1.7500000 	 -2.0000000 	 0.0724000 	 0.1959000 	 0.0979000 	 2.9858000 	 0.0000000 	 0.0060000 	 0.0035000 	 0.0288000 	 0.0056000 	 0.0316000
