#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0277000 	 0.0211000 	 0.0095000 	 0.3423000 	 0.0000000 	 0.0044000 	 0.0000000 	 0.0113000 	 0.0011000 	 0.0120000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0175000 	 0.0153000 	 0.0080000 	 0.2681000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0073000 	 0.0000000 	 0.0091000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0116000 	 0.0108000 	 0.0061000 	 0.1990000 	 0.0000000 	 0.0036000 	 0.0000000 	 0.0048000 	 0.0000000 	 0.0066000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.0277000 	 0.0211000 	 0.0095000 	 0.3424000 	 0.0000000 	 0.0044000 	 0.0010000 	 0.0113000 	 0.0011000 	 0.0120000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.0171000 	 0.0153000 	 0.0080000 	 0.2684000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0071000 	 0.0000000 	 0.0091000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0116000 	 0.0108000 	 0.0061000 	 0.1990000 	 0.0000000 	 0.0036000 	 0.0000000 	 0.0048000 	 0.0000000 	 0.0066000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0284000 	 0.0211000 	 0.0095000 	 0.3413000 	 0.0000000 	 0.0044000 	 0.0014000 	 0.0115000 	 0.0011000 	 0.0120000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0171000 	 0.0153000 	 0.0080000 	 0.2684000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0071000 	 0.0000000 	 0.0091000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0116000 	 0.0108000 	 0.0061000 	 0.1990000 	 0.0000000 	 0.0036000 	 0.0000000 	 0.0048000 	 0.0000000 	 0.0066000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.0284000 	 0.0211000 	 0.0095000 	 0.3413000 	 0.0000000 	 0.0044000 	 0.0019000 	 0.0115000 	 0.0011000 	 0.0120000
