#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7221000 	 0.0000000 	 0.0040000 	 0.0014000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.1018000 	 0.0897000 	 0.0248000 	 0.8867000 	 0.0000000 	 0.0044000 	 0.0000000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0458000 	 0.0000000 	 0.0046000 	 0.0000000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7221000 	 0.0000000 	 0.0040000 	 0.0019000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.1018000 	 0.0897000 	 0.0248000 	 0.8867000 	 0.0000000 	 0.0044000 	 0.0013000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0458000 	 0.0000000 	 0.0046000 	 0.0000000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7221000 	 0.0000000 	 0.0040000 	 0.0025000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8867000 	 0.0000000 	 0.0044000 	 0.0017000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0457000 	 0.0000000 	 0.0046000 	 0.0012000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.6250000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7220000 	 0.0000000 	 0.0040000 	 0.0033000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -1.6250000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8866000 	 0.0000000 	 0.0044000 	 0.0023000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.6250000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0457000 	 0.0000000 	 0.0046000 	 0.0016000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.5000000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7220000 	 0.0000000 	 0.0040000 	 0.0045000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -1.5000000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8866000 	 0.0000000 	 0.0044000 	 0.0031000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.5000000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0456000 	 0.0000000 	 0.0046000 	 0.0022000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.3750000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7220000 	 0.0000000 	 0.0040000 	 0.0059000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -1.3750000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8865000 	 0.0000000 	 0.0044000 	 0.0041000 	 0.0147000 	 0.0014000 	 0.0232000
6.9000000 	 -1.3750000 	 -2.0000000 	 0.0730000 	 0.1060000 	 0.0328000 	 1.0455000 	 0.0000000 	 0.0046000 	 0.0029000 	 0.0110000 	 0.0010000 	 0.0222000
6.9000000 	 -1.2500000 	 -2.5000000 	 0.1469000 	 0.0742000 	 0.0179000 	 0.7219000 	 0.0000000 	 0.0040000 	 0.0079000 	 0.0205000 	 0.0040000 	 0.0230000
6.9000000 	 -1.2500000 	 -2.2500000 	 0.1018000 	 0.0896000 	 0.0248000 	 0.8864000 	 0.0000000 	 0.0044000 	 0.0054000 	 0.0147000 	 0.0014000 	 0.0232000
