#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, S/O: -0.6 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
6.9000 5.9300 -4.0000 0.3574 0.0105 0.0000 0.0170 0.0000 0.0029 0.0148 0.2502 0.0086 0.0277
6.9000 5.7300 -4.0000 0.3588 0.0106 0.0000 0.0170 0.0000 0.0018 0.0149 0.1582 0.0086 0.0175
6.9000 5.5300 -4.0000 0.3597 0.0106 0.0000 0.0171 0.0000 0.0012 0.0149 0.1000 0.0086 0.0111
6.9000 5.3300 -4.0000 0.3603 0.0106 0.0000 0.0171 0.0000 0.0000 0.0149 0.0631 0.0087 0.0070
6.9000 5.1300 -4.0000 0.3606 0.0106 0.0000 0.0171 0.0000 0.0000 0.0149 0.0399 0.0087 0.0044
6.9000 4.9300 -4.0000 0.3608 0.0106 0.0000 0.0171 0.0000 0.0000 0.0149 0.0251 0.0087 0.0028
6.9000 4.7300 -4.0000 0.3610 0.0106 0.0000 0.0171 0.0000 0.0000 0.0149 0.0158 0.0087 0.0018
6.9000 5.9300 -3.7500 0.3983 0.0174 0.0000 0.0536 0.0000 0.0046 0.0146 0.2046 0.0105 0.0399
6.9000 5.7300 -3.7500 0.4000 0.0175 0.0000 0.0538 0.0000 0.0029 0.0147 0.1294 0.0105 0.0252
6.9000 5.5300 -3.7500 0.4011 0.0175 0.0000 0.0539 0.0000 0.0019 0.0147 0.0817 0.0105 0.0159
6.9000 5.3300 -3.7500 0.4018 0.0176 0.0000 0.0540 0.0000 0.0012 0.0147 0.0517 0.0106 0.0101
6.9000 5.1300 -3.7500 0.4022 0.0176 0.0000 0.0540 0.0000 0.0000 0.0147 0.0325 0.0106 0.0064
6.9000 4.9300 -3.7500 0.4025 0.0176 0.0000 0.0541 0.0000 0.0000 0.0147 0.0206 0.0106 0.0040
6.9000 4.7300 -3.7500 0.4026 0.0176 0.0000 0.0541 0.0000 0.0000 0.0147 0.0130 0.0106 0.0025
6.9000 5.9300 -3.5000 0.4436 0.0290 0.0023 0.1534 0.0000 0.0074 0.0148 0.1927 0.0122 0.0600
6.9000 5.7300 -3.5000 0.4458 0.0291 0.0023 0.1540 0.0000 0.0047 0.0148 0.1219 0.0123 0.0380
6.9000 5.5300 -3.5000 0.4472 0.0292 0.0023 0.1544 0.0000 0.0030 0.0149 0.0770 0.0123 0.0240
6.9000 5.3300 -3.5000 0.4481 0.0293 0.0023 0.1546 0.0000 0.0019 0.0149 0.0487 0.0124 0.0151
6.9000 5.1300 -3.5000 0.4487 0.0293 0.0023 0.1547 0.0000 0.0012 0.0149 0.0307 0.0124 0.0096
6.9000 4.9300 -3.5000 0.4490 0.0293 0.0023 0.1548 0.0000 0.0000 0.0149 0.0194 0.0124 0.0060
6.9000 4.7300 -3.5000 0.4493 0.0293 0.0023 0.1549 0.0000 0.0000 0.0149 0.0123 0.0124 0.0038
6.9000 5.9300 -3.2500 0.3718 0.0399 0.0051 0.2976 0.0000 0.0099 0.0111 0.1449 0.0109 0.0735
6.9000 5.7300 -3.2500 0.3758 0.0399 0.0050 0.2945 0.0000 0.0063 0.0112 0.0923 0.0110 0.0463
6.9000 5.5300 -3.2500 0.3788 0.0399 0.0050 0.2916 0.0000 0.0039 0.0113 0.0587 0.0110 0.0291
6.9000 5.3300 -3.2500 0.3771 0.0401 0.0051 0.2963 0.0000 0.0025 0.0112 0.0368 0.0110 0.0185
6.9000 5.1300 -3.2500 0.3774 0.0402 0.0051 0.2970 0.0000 0.0016 0.0112 0.0232 0.0110 0.0117
6.9000 4.9300 -3.2500 0.3774 0.0402 0.0051 0.2975 0.0000 0.0010 0.0112 0.0146 0.0111 0.0074
6.9000 4.7300 -3.2500 0.3776 0.0403 0.0051 0.2978 0.0000 0.0000 0.0112 0.0093 0.0111 0.0046
6.9000 5.9300 -3.0000 0.2674 0.0521 0.0092 0.4744 0.0000 0.0126 0.0072 0.1034 0.0083 0.0853
6.9000 5.7300 -3.0000 0.2681 0.0524 0.0093 0.4774 0.0000 0.0080 0.0072 0.0652 0.0084 0.0540
6.9000 5.5300 -3.0000 0.2702 0.0525 0.0093 0.4763 0.0000 0.0051 0.0073 0.0414 0.0086 0.0340
6.9000 5.3300 -3.0000 0.2700 0.0526 0.0093 0.4782 0.0000 0.0032 0.0072 0.0260 0.0086 0.0215
6.9000 5.1300 -3.0000 0.2693 0.0528 0.0094 0.4805 0.0000 0.0020 0.0072 0.0164 0.0086 0.0136
6.9000 4.9300 -3.0000 0.2715 0.0527 0.0093 0.4775 0.0000 0.0013 0.0073 0.0104 0.0086 0.0086
6.9000 4.7300 -3.0000 0.2714 0.0527 0.0093 0.4780 0.0000 0.0000 0.0073 0.0065 0.0086 0.0054
6.9000 5.9300 -2.7500 0.1755 0.0653 0.0142 0.6491 0.0000 0.0153 0.0044 0.0712 0.0051 0.0941
6.9000 5.7300 -2.7500 0.1765 0.0657 0.0144 0.6526 0.0000 0.0097 0.0044 0.0452 0.0051 0.0596
6.9000 5.5300 -2.7500 0.1767 0.0659 0.0144 0.6540 0.0000 0.0061 0.0044 0.0285 0.0051 0.0376
6.9000 5.3300 -2.7500 0.1780 0.0659 0.0144 0.6534 0.0000 0.0039 0.0044 0.0181 0.0051 0.0237
6.9000 5.1300 -2.7500 0.1784 0.0660 0.0145 0.6536 0.0000 0.0024 0.0045 0.0114 0.0051 0.0150
6.9000 4.9300 -2.7500 0.1786 0.0660 0.0145 0.6539 0.0000 0.0015 0.0045 0.0072 0.0051 0.0095
6.9000 4.7300 -2.7500 0.1788 0.0661 0.0145 0.6538 0.0000 0.0000 0.0045 0.0046 0.0051 0.0060
6.9000 5.9300 -2.5000 0.1132 0.0795 0.0201 0.8104 0.0000 0.0175 0.0027 0.0487 0.0016 0.0984
6.9000 5.7300 -2.5000 0.1130 0.0802 0.0204 0.8180 0.0000 0.0111 0.0027 0.0306 0.0016 0.0624
6.9000 5.5300 -2.5000 0.1133 0.0804 0.0205 0.8188 0.0000 0.0070 0.0027 0.0193 0.0016 0.0394
6.9000 5.3300 -2.5000 0.1135 0.0805 0.0205 0.8198 0.0000 0.0044 0.0027 0.0122 0.0016 0.0249
6.9000 5.1300 -2.5000 0.1137 0.0806 0.0206 0.8202 0.0000 0.0028 0.0027 0.0077 0.0016 0.0157
6.9000 4.9300 -2.5000 0.1138 0.0806 0.0206 0.8205 0.0000 0.0018 0.0027 0.0049 0.0016 0.0099
6.9000 4.7300 -2.5000 0.1139 0.0806 0.0206 0.8206 0.0000 0.0011 0.0027 0.0030 0.0016 0.0062
6.9000 5.9300 -2.2500 0.0728 0.0949 0.0271 0.9674 0.0000 0.0189 0.0016 0.0327 0.0011 0.0976
6.9000 5.7300 -2.2500 0.0728 0.0955 0.0274 0.9725 0.0000 0.0120 0.0016 0.0206 0.0011 0.0617
6.9000 5.5300 -2.2500 0.0727 0.0959 0.0275 0.9757 0.0000 0.0076 0.0016 0.0130 0.0011 0.0390
6.9000 5.3300 -2.2500 0.0732 0.0960 0.0276 0.9767 0.0000 0.0048 0.0016 0.0082 0.0011 0.0246
6.9000 5.1300 -2.2500 0.0733 0.0961 0.0277 0.9775 0.0000 0.0030 0.0016 0.0051 0.0011 0.0156
6.9000 4.9300 -2.2500 0.0734 0.0962 0.0277 0.9779 0.0000 0.0019 0.0016 0.0033 0.0011 0.0098
6.9000 4.7300 -2.2500 0.0735 0.0962 0.0277 0.9782 0.0000 0.0012 0.0016 0.0012 0.0011 0.0062
6.9000 5.9300 -2.0000 0.0490 0.1112 0.0350 1.1188 0.0000 0.0192 0.0011 0.0223 0.0000 0.0916
6.9000 5.7300 -2.0000 0.0495 0.1117 0.0353 1.1223 0.0000 0.0122 0.0011 0.0142 0.0000 0.0579
6.9000 5.5300 -2.0000 0.0496 0.1120 0.0355 1.1254 0.0000 0.0077 0.0011 0.0090 0.0000 0.0366
6.9000 5.3300 -2.0000 0.0498 0.1122 0.0356 1.1268 0.0000 0.0049 0.0011 0.0057 0.0000 0.0231
6.9000 5.1300 -2.0000 0.0486 0.1127 0.0359 1.1322 0.0000 0.0031 0.0010 0.0035 0.0000 0.0146
6.9000 4.9300 -2.0000 0.0488 0.1128 0.0359 1.1327 0.0000 0.0019 0.0010 0.0013 0.0000 0.0092
6.9000 4.7300 -2.0000 0.0488 0.1128 0.0359 1.1330 0.0000 0.0012 0.0010 0.0000 0.0000 0.0058
6.9000 5.9300 -1.7500 0.0344 0.1279 0.0439 1.2660 0.0000 0.0183 0.0000 0.0158 0.0000 0.0819
6.9000 5.7300 -1.7500 0.0341 0.1288 0.0444 1.2734 0.0000 0.0116 0.0000 0.0099 0.0000 0.0518
6.9000 5.5300 -1.7500 0.0343 0.1291 0.0446 1.2761 0.0000 0.0074 0.0000 0.0063 0.0000 0.0327
6.9000 5.3300 -1.7500 0.0344 0.1293 0.0448 1.2775 0.0000 0.0047 0.0000 0.0040 0.0000 0.0207
6.9000 5.1300 -1.7500 0.0344 0.1295 0.0449 1.2795 0.0000 0.0029 0.0000 0.0025 0.0000 0.0131
6.9000 4.9300 -1.7500 0.0346 0.1296 0.0449 1.2796 0.0000 0.0019 0.0000 0.0000 0.0000 0.0082
6.9000 4.7300 -1.7500 0.0346 0.1296 0.0449 1.2800 0.0000 0.0012 0.0000 0.0000 0.0000 0.0052
6.9000 5.9300 -1.5000 0.0252 0.1447 0.0536 1.4081 0.0000 0.0166 0.0000 0.0118 0.0000 0.0703
6.9000 5.7300 -1.5000 0.0254 0.1454 0.0540 1.4134 0.0000 0.0106 0.0000 0.0075 0.0000 0.0445
6.9000 5.5300 -1.5000 0.0251 0.1460 0.0544 1.4188 0.0000 0.0067 0.0000 0.0046 0.0000 0.0281
6.9000 5.3300 -1.5000 0.0257 0.1460 0.0544 1.4182 0.0000 0.0042 0.0000 0.0030 0.0000 0.0178
6.9000 5.1300 -1.5000 0.0256 0.1462 0.0546 1.4201 0.0000 0.0027 0.0000 0.0011 0.0000 0.0112
6.9000 4.9300 -1.5000 0.0251 0.1466 0.0548 1.4238 0.0000 0.0017 0.0000 0.0000 0.0000 0.0071
6.9000 4.7300 -1.5000 0.0256 0.1463 0.0547 1.4208 0.0000 0.0011 0.0000 0.0000 0.0000 0.0045
7.0000 6.0300 -4.0000 0.4425 0.0082 0.0000 0.0209 0.0000 0.0036 0.0185 0.3115 0.0106 0.0344
7.0000 5.8300 -4.0000 0.4449 0.0082 0.0000 0.0210 0.0000 0.0023 0.0185 0.1971 0.0107 0.0217
7.0000 5.6300 -4.0000 0.4463 0.0083 0.0000 0.0211 0.0000 0.0014 0.0185 0.1245 0.0108 0.0137
7.0000 5.4300 -4.0000 0.4472 0.0083 0.0000 0.0211 0.0000 0.0000 0.0186 0.0787 0.0108 0.0087
7.0000 5.2300 -4.0000 0.4478 0.0083 0.0000 0.0212 0.0000 0.0000 0.0186 0.0497 0.0108 0.0055
7.0000 5.0300 -4.0000 0.4482 0.0083 0.0000 0.0212 0.0000 0.0000 0.0186 0.0313 0.0108 0.0035
7.0000 4.8300 -4.0000 0.4484 0.0083 0.0000 0.0212 0.0000 0.0000 0.0186 0.0198 0.0108 0.0022
7.0000 6.0300 -3.7500 0.4932 0.0135 0.0000 0.0662 0.0000 0.0057 0.0182 0.2549 0.0129 0.0496
7.0000 5.8300 -3.7500 0.4958 0.0136 0.0000 0.0665 0.0000 0.0036 0.0183 0.1612 0.0129 0.0314
7.0000 5.6300 -3.7500 0.4975 0.0137 0.0000 0.0667 0.0000 0.0023 0.0183 0.1019 0.0130 0.0198
7.0000 5.4300 -3.7500 0.4986 0.0137 0.0000 0.0668 0.0000 0.0015 0.0183 0.0643 0.0130 0.0125
7.0000 5.2300 -3.7500 0.4993 0.0137 0.0000 0.0669 0.0000 0.0000 0.0183 0.0406 0.0130 0.0079
