#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5 (O/H vs N/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -1.750 -2.50 0.1040 0.0578 0.0148 0.4846 0.0042 0.0513
6.90 -1.750 -2.25 0.0798 0.0522 0.0157 0.4567 0.0039 0.0453
6.90 -1.750 -2.00 0.0649 0.0441 0.0138 0.3710 0.0038 0.0463
6.90 -1.750 -1.75 0.0581 0.0365 0.0097 0.2541 0.0040 0.0462
6.90 -1.750 -1.50 0.0583 0.0320 0.0055 0.1465 0.0044 0.0514
6.90 -1.750 -1.25 0.0647 0.0315 0.0025 0.0729 0.0050 0.0660
6.90 -1.750 -1.00 0.0739 0.0328 0.0011 0.0335 0.0054 0.1143
6.90 -1.750 -0.75 0.0808 0.0315 0.0000 0.0172 0.0055 0.1967
6.90 -1.750 -0.50 0.0846 0.0290 0.0000 0.0119 0.0054 0.2600
6.90 -1.625 -2.50 0.1040 0.0578 0.0148 0.4845 0.0056 0.0513
6.90 -1.625 -2.25 0.0798 0.0522 0.0157 0.4567 0.0051 0.0453
6.90 -1.625 -2.00 0.0649 0.0441 0.0138 0.3710 0.0051 0.0462
6.90 -1.625 -1.75 0.0581 0.0365 0.0097 0.2541 0.0054 0.0462
6.90 -1.625 -1.50 0.0583 0.0320 0.0055 0.1465 0.0059 0.0514
6.90 -1.625 -1.25 0.0647 0.0315 0.0025 0.0729 0.0066 0.0659
6.90 -1.625 -1.00 0.0739 0.0328 0.0011 0.0335 0.0072 0.1123
6.90 -1.625 -0.75 0.0808 0.0315 0.0000 0.0172 0.0073 0.1967
6.90 -1.625 -0.50 0.0846 0.0290 0.0000 0.0119 0.0072 0.2600
6.90 -1.500 -2.50 0.1040 0.0577 0.0148 0.4844 0.0074 0.0513
6.90 -1.500 -2.25 0.0798 0.0522 0.0157 0.4566 0.0069 0.0453
6.90 -1.500 -2.00 0.0649 0.0441 0.0138 0.3710 0.0068 0.0463
6.90 -1.500 -1.75 0.0581 0.0365 0.0097 0.2540 0.0072 0.0466
6.90 -1.500 -1.50 0.0583 0.0320 0.0055 0.1466 0.0079 0.0513
6.90 -1.500 -1.25 0.0647 0.0315 0.0025 0.0730 0.0089 0.0659
6.90 -1.500 -1.00 0.0740 0.0328 0.0011 0.0336 0.0096 0.1117
6.90 -1.500 -0.75 0.0808 0.0315 0.0000 0.0172 0.0098 0.1966
6.90 -1.500 -0.50 0.0846 0.0290 0.0000 0.0119 0.0097 0.2600
7.00 -1.750 -2.50 0.1308 0.0457 0.0186 0.6085 0.0053 0.0646
7.00 -1.750 -2.25 0.1004 0.0414 0.0197 0.5739 0.0049 0.0573
7.00 -1.750 -2.00 0.0817 0.0349 0.0173 0.4667 0.0048 0.0581
7.00 -1.750 -1.75 0.0731 0.0290 0.0122 0.3196 0.0051 0.0589
7.00 -1.750 -1.50 0.0734 0.0254 0.0069 0.1844 0.0056 0.0655
7.00 -1.750 -1.25 0.0816 0.0250 0.0032 0.0918 0.0063 0.0843
7.00 -1.750 -1.00 0.0930 0.0259 0.0013 0.0421 0.0068 0.1463
7.00 -1.750 -0.75 0.1015 0.0248 0.0000 0.0216 0.0069 0.2511
7.00 -1.750 -0.50 0.1066 0.0230 0.0000 0.0150 0.0068 0.3254
7.00 -1.675 -2.50 0.1308 0.0455 0.0182 0.6038 0.0063 0.0652
