#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -2.000 -2.50 0.1040 0.0578 0.0148 0.4847 0.0024 0.0514
6.90 -2.000 -2.25 0.0798 0.0522 0.0157 0.4568 0.0022 0.0453
6.90 -2.000 -2.00 0.0649 0.0440 0.0138 0.3713 0.0021 0.0456
6.90 -2.000 -1.75 0.0581 0.0365 0.0097 0.2541 0.0023 0.0462
6.90 -2.000 -1.50 0.0583 0.0321 0.0055 0.1465 0.0025 0.0514
6.90 -2.000 -1.25 0.0648 0.0315 0.0025 0.0730 0.0028 0.0649
6.90 -2.000 -1.00 0.0739 0.0328 0.0011 0.0335 0.0030 0.1143
6.90 -2.000 -0.75 0.0808 0.0316 0.0000 0.0172 0.0031 0.1962
6.90 -2.000 -0.50 0.0846 0.0290 0.0000 0.0119 0.0031 0.2600
6.90 -1.875 -2.50 0.1040 0.0578 0.0148 0.4847 0.0031 0.0513
6.90 -1.875 -2.25 0.0798 0.0522 0.0157 0.4568 0.0029 0.0453
6.90 -1.875 -2.00 0.0649 0.0441 0.0138 0.3710 0.0029 0.0463
6.90 -1.875 -1.75 0.0581 0.0365 0.0097 0.2541 0.0030 0.0462
6.90 -1.875 -1.50 0.0583 0.0320 0.0055 0.1466 0.0033 0.0511
6.90 -1.875 -1.25 0.0647 0.0315 0.0025 0.0729 0.0037 0.0660
6.90 -1.875 -1.00 0.0739 0.0328 0.0011 0.0335 0.0040 0.1143
6.90 -1.875 -0.75 0.0808 0.0316 0.0000 0.0172 0.0041 0.1962
6.90 -1.875 -0.50 0.0846 0.0290 0.0000 0.0119 0.0041 0.2600
6.90 -1.750 -2.50 0.1040 0.0578 0.0148 0.4846 0.0042 0.0513
6.90 -1.750 -2.25 0.0798 0.0522 0.0157 0.4567 0.0039 0.0453
6.90 -1.750 -2.00 0.0649 0.0441 0.0138 0.3710 0.0038 0.0463
6.90 -1.750 -1.75 0.0581 0.0365 0.0097 0.2541 0.0040 0.0462
6.90 -1.750 -1.50 0.0583 0.0320 0.0055 0.1465 0.0044 0.0514
6.90 -1.750 -1.25 0.0647 0.0315 0.0025 0.0729 0.0050 0.0660
