#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -2.000 -2.25 0.0946 0.0929 0.0263 0.9092 0.0000 0.0149
6.90 -2.000 -2.00 0.0684 0.1104 0.0353 1.0774 0.0000 0.0111
6.90 -2.000 -1.75 0.0517 0.1294 0.0460 1.2474 0.0000 0.0086
6.90 -1.875 -2.25 0.0946 0.0928 0.0263 0.9089 0.0012 0.0149
6.90 -1.875 -2.00 0.0684 0.1103 0.0353 1.0770 0.0000 0.0111
6.90 -1.875 -1.75 0.0517 0.1293 0.0460 1.2468 0.0000 0.0086
6.90 -1.750 -2.25 0.0946 0.0928 0.0263 0.9086 0.0016 0.0149
6.90 -1.750 -2.00 0.0684 0.1103 0.0352 1.0765 0.0012 0.0111
6.90 -1.750 -1.75 0.0517 0.1292 0.0459 1.2459 0.0000 0.0086
6.90 -1.625 -2.25 0.0946 0.0927 0.0263 0.9082 0.0022 0.0149
6.90 -1.625 -2.00 0.0684 0.1102 0.0352 1.0758 0.0016 0.0111
6.90 -1.625 -1.75 0.0517 0.1291 0.0458 1.2448 0.0012 0.0086
6.90 -1.500 -2.25 0.0946 0.0927 0.0262 0.9076 0.0029 0.0149
6.90 -1.500 -2.00 0.0684 0.1101 0.0351 1.0749 0.0021 0.0111
6.90 -1.500 -1.75 0.0516 0.1289 0.0457 1.2433 0.0016 0.0086
6.90 -1.375 -2.25 0.0945 0.0926 0.0262 0.9069 0.0039 0.0149
6.90 -1.375 -2.00 0.0683 0.1099 0.0350 1.0737 0.0028 0.0111
6.90 -1.375 -1.75 0.0516 0.1286 0.0455 1.2413 0.0021 0.0086
6.90 -1.250 -2.25 0.0945 0.0925 0.0261 0.9060 0.0052 0.0149
6.90 -1.250 -2.00 0.0683 0.1097 0.0349 1.0722 0.0037 0.0111
6.90 -1.250 -1.75 0.0516 0.1283 0.0453 1.2388 0.0028 0.0086
6.90 -1.125 -2.25 0.0945 0.0923 0.0260 0.9047 0.0069 0.0149
6.90 -1.125 -2.00 0.0683 0.1095 0.0348 1.0701 0.0050 0.0111
6.90 -1.125 -1.75 0.0515 0.1279 0.0450 1.2353 0.0037 0.0086
6.90 -1.000 -2.25 0.0944 0.0921 0.0259 0.9032 0.0092 0.0149
6.90 -1.000 -2.00 0.0682 0.1091 0.0346 1.0673 0.0066 0.0111
6.90 -1.000 -1.75 0.0514 0.1273 0.0446 1.2307 0.0050 0.0086
6.90 -0.875 -2.25 0.0943 0.0919 0.0258 0.9010 0.0123 0.0149
6.90 -0.875 -2.00 0.0681 0.1087 0.0343 1.0637 0.0088 0.0111
6.90 -0.875 -1.75 0.0513 0.1265 0.0441 1.2248 0.0067 0.0086
6.90 -0.750 -2.25 0.0942 0.0915 0.0256 0.8980 0.0163 0.0149
6.90 -0.750 -2.00 0.0680 0.1081 0.0340 1.0591 0.0118 0.0111
6.90 -0.750 -1.75 0.0512 0.1256 0.0435 1.2172 0.0089 0.0085
6.90 -0.625 -2.25 0.0940 0.0911 0.0254 0.8943 0.0218 0.0149
6.90 -0.625 -2.00 0.0678 0.1073 0.0335 1.0526 0.0157 0.0111
6.90 -0.625 -1.75 0.0510 0.1243 0.0427 1.2071 0.0118 0.0085
6.90 -0.500 -2.25 0.0938 0.0905 0.0251 0.8893 0.0290 0.0149
6.90 -0.500 -2.00 0.0676 0.1063 0.0329 1.0445 0.0209 0.0111
6.90 -0.500 -1.75 0.0508 0.1227 0.0417 1.1943 0.0157 0.0085
6.90 -0.375 -2.25 0.0935 0.0897 0.0247 0.8829 0.0386 0.0149
6.90 -0.375 -2.00 0.0674 0.1051 0.0322 1.0341 0.0278 0.0110
6.90 -0.375 -1.75 0.0505 0.1206 0.0405 1.1779 0.0209 0.0085
6.90 -0.250 -2.25 0.0931 0.0887 0.0242 0.8746 0.0515 0.0149
6.90 -0.250 -2.00 0.0670 0.1034 0.0313 1.0207 0.0369 0.0110
6.90 -0.250 -1.75 0.0502 0.1181 0.0390 1.1576 0.0277 0.0085
6.90 -0.125 -2.25 0.0926 0.0875 0.0235 0.8639 0.0685 0.0148
6.90 -0.125 -2.00 0.0665 0.1014 0.0302 1.0039 0.0491 0.0110
6.90 -0.125 -1.75 0.0497 0.1150 0.0372 1.1327 0.0368 0.0084
6.90 0.000 -2.25 0.0920 0.0859 0.0228 0.8504 0.0911 0.0148
6.90 0.000 -2.00 0.0660 0.0989 0.0289 0.9831 0.0652 0.0109
6.90 0.000 -1.75 0.0492 0.1114 0.0351 1.1027 0.0487 0.0084
7.00 -2.000 -2.25 0.1202 0.0729 0.0324 1.1339 0.0012 0.0187
7.00 -2.000 -2.00 0.0868 0.0866 0.0435 1.3433 0.0000 0.0139
7.00 -2.000 -1.75 0.0655 0.1014 0.0565 1.5540 0.0000 0.0108
7.00 -1.875 -2.25 0.1202 0.0729 0.0324 1.1335 0.0015 0.0187
7.00 -1.875 -2.00 0.0868 0.0866 0.0434 1.3427 0.0011 0.0139
7.00 -1.875 -1.75 0.0655 0.1014 0.0564 1.5532 0.0000 0.0108
7.00 -1.750 -2.25 0.1201 0.0728 0.0324 1.1331 0.0021 0.0187
7.00 -1.750 -2.00 0.0868 0.0865 0.0434 1.3419 0.0015 0.0139
7.00 -1.750 -1.75 0.0655 0.1013 0.0563 1.5519 0.0011 0.0108
7.00 -1.675 -2.25 0.1194 0.0714 0.0312 1.1145 0.0024 0.0187
7.00 -1.675 -2.00 0.0860 0.0841 0.0411 1.3106 0.0018 0.0139
7.00 -1.675 -1.75 0.0646 0.0972 0.0523 1.5008 0.0013 0.0107
7.00 -1.500 -2.25 0.1201 0.0727 0.0323 1.1317 0.0037 0.0187
7.00 -1.500 -2.00 0.0867 0.0863 0.0432 1.3393 0.0026 0.0139
7.00 -1.500 -1.75 0.0654 0.1009 0.0560 1.5478 0.0020 0.0108
7.00 -1.375 -2.25 0.1200 0.0726 0.0322 1.1305 0.0049 0.0187
7.00 -1.375 -2.00 0.0867 0.0862 0.0430 1.3375 0.0035 0.0139
7.00 -1.375 -1.75 0.0653 0.1007 0.0557 1.5446 0.0027 0.0108
7.00 -1.250 -2.25 0.1200 0.0725 0.0321 1.1290 0.0065 0.0187
7.00 -1.250 -2.00 0.0866 0.0860 0.0429 1.3351 0.0047 0.0139
7.00 -1.250 -1.75 0.0653 0.1004 0.0554 1.5407 0.0035 0.0107
7.00 -1.125 -2.25 0.1199 0.0724 0.0320 1.1271 0.0087 0.0187
7.00 -1.125 -2.00 0.0865 0.0857 0.0426 1.3320 0.0063 0.0139
7.00 -1.125 -1.75 0.0652 0.0999 0.0550 1.5355 0.0047 0.0107
7.00 -1.000 -2.25 0.1198 0.0722 0.0319 1.1245 0.0116 0.0187
7.00 -1.000 -2.00 0.0864 0.0854 0.0423 1.3277 0.0083 0.0139
7.00 -1.000 -1.75 0.0651 0.0994 0.0544 1.5286 0.0063 0.0107
7.00 -0.875 -2.25 0.1196 0.0719 0.0316 1.1211 0.0155 0.0187
7.00 -0.875 -2.00 0.0863 0.0850 0.0419 1.3219 0.0111 0.0139
7.00 -0.875 -1.75 0.0649 0.0987 0.0537 1.5196 0.0084 0.0107
7.00 -0.750 -2.25 0.1194 0.0716 0.0314 1.1167 0.0206 0.0187
7.00 -0.750 -2.00 0.0861 0.0844 0.0414 1.3146 0.0148 0.0139
7.00 -0.750 -1.75 0.0647 0.0977 0.0528 1.5077 0.0111 0.0107
7.00 -0.625 -2.25 0.1192 0.0712 0.0310 1.1108 0.0275 0.0187
7.00 -0.625 -2.00 0.0858 0.0836 0.0408 1.3050 0.0197 0.0139
7.00 -0.625 -1.75 0.0644 0.0965 0.0516 1.4922 0.0148 0.0107
7.00 -0.500 -2.25 0.1188 0.0706 0.0306 1.1032 0.0366 0.0186
7.00 -0.500 -2.00 0.0855 0.0827 0.0399 1.2927 0.0263 0.0138
7.00 -0.500 -1.75 0.0641 0.0950 0.0502 1.4732 0.0197 0.0106
7.00 -0.375 -2.25 0.1183 0.0699 0.0300 1.0933 0.0487 0.0186
7.00 -0.375 -2.00 0.0851 0.0815 0.0389 1.2768 0.0349 0.0138
7.00 -0.375 -1.75 0.0636 0.0932 0.0484 1.4492 0.0262 0.0106
7.00 -0.250 -2.25 0.1177 0.0689 0.0292 1.0806 0.0648 0.0186
7.00 -0.250 -2.00 0.0845 0.0800 0.0376 1.2569 0.0464 0.0138
7.00 -0.250 -1.75 0.0631 0.0909 0.0463 1.4198 0.0347 0.0106
7.00 -0.125 -2.25 0.1169 0.0677 0.0283 1.0645 0.0862 0.0185
7.00 -0.125 -2.00 0.0838 0.0781 0.0360 1.2320 0.0617 0.0137
7.00 -0.125 -1.75 0.0624 0.0881 0.0439 1.3839 0.0460 0.0105
7.00 0.000 -2.25 0.1159 0.0662 0.0272 1.0444 0.1145 0.0185
7.00 0.000 -2.00 0.0828 0.0758 0.0342 1.2018 0.0818 0.0136
7.00 0.000 -1.75 0.0615 0.0849 0.0411 1.3414 0.0609 0.0104
7.10 -2.000 -2.25 0.1515 0.0889 0.0385 1.3901 0.0015 0.0234
7.10 -2.000 -2.00 0.1091 0.1048 0.0508 1.6366 0.0011 0.0174
7.10 -2.000 -1.75 0.0819 0.1213 0.0647 1.8765 0.0000 0.0134
7.10 -1.875 -2.25 0.1515 0.0889 0.0385 1.3901 0.0020 0.0234
7.10 -1.875 -2.00 0.1091 0.1048 0.0508 1.6365 0.0014 0.0174
7.10 -1.875 -1.75 0.0819 0.1213 0.0647 1.8764 0.0011 0.0134
7.10 -1.750 -2.25 0.1515 0.0889 0.0385 1.3900 0.0026 0.0234
