#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	OII_7325      	SIII_9069      
6.9000 0.0000 -0.5000 0.0177 0.0046 0.0000 0.0277 0.0011 0.0000 0.0278 0.0000 0.0000 0.0000
6.9000 -0.1250 -0.5000 0.0170 0.0045 0.0000 0.0273 0.0000 0.0000 0.0202 0.0000 0.0000 0.0000
6.9000 -0.2500 -0.5000 0.0179 0.0047 0.0000 0.0279 0.0000 0.0000 0.0159 0.0000 0.0000 0.0000
6.9000 -0.3750 -0.5000 0.0175 0.0046 0.0000 0.0276 0.0000 0.0000 0.0117 0.0000 0.0000 0.0000
6.9000 -0.5000 -0.5000 0.0170 0.0045 0.0000 0.0273 0.0000 0.0000 0.0085 0.0000 0.0000 0.0000
6.9000 -0.6250 -0.5000 0.0170 0.0045 0.0000 0.0273 0.0000 0.0000 0.0064 0.0000 0.0000 0.0000
6.9000 -0.7500 -0.5000 0.0172 0.0045 0.0000 0.0274 0.0000 0.0000 0.0048 0.0000 0.0000 0.0000
6.9000 -0.8750 -0.5000 0.0177 0.0046 0.0000 0.0277 0.0000 0.0000 0.0037 0.0000 0.0000 0.0000
6.9000 -1.0000 -0.5000 0.0166 0.0045 0.0000 0.0270 0.0000 0.0000 0.0026 0.0000 0.0000 0.0000
6.9000 -1.1250 -0.5000 0.0175 0.0046 0.0000 0.0277 0.0000 0.0000 0.0021 0.0000 0.0000 0.0000
6.9000 -1.2500 -0.5000 0.0176 0.0046 0.0000 0.0276 0.0000 0.0000 0.0016 0.0000 0.0000 0.0000
6.9000 -1.3750 -0.5000 0.0174 0.0046 0.0000 0.0276 0.0000 0.0000 0.0012 0.0000 0.0000 0.0000
6.9000 -1.5000 -0.5000 0.0170 0.0045 0.0000 0.0273 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.6250 -0.5000 0.0166 0.0045 0.0000 0.0270 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.7500 -0.5000 0.0168 0.0045 0.0000 0.0271 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.8750 -0.5000 0.0168 0.0045 0.0000 0.0272 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -2.0000 -0.5000 0.0168 0.0045 0.0000 0.0272 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 0.0000 -0.7500 0.0146 0.0038 0.0000 0.0268 0.0000 0.0000 0.0232 0.0000 0.0000 0.0000
6.9000 -0.1250 -0.7500 0.0158 0.0040 0.0000 0.0273 0.0000 0.0000 0.0185 0.0000 0.0000 0.0000
6.9000 -0.2500 -0.7500 0.0151 0.0039 0.0000 0.0269 0.0000 0.0000 0.0134 0.0000 0.0000 0.0000
6.9000 -0.3750 -0.7500 0.0149 0.0038 0.0000 0.0269 0.0000 0.0000 0.0099 0.0000 0.0000 0.0000
6.9000 -0.5000 -0.7500 0.0155 0.0039 0.0000 0.0272 0.0000 0.0000 0.0077 0.0000 0.0000 0.0000
6.9000 -0.6250 -0.7500 0.0149 0.0038 0.0000 0.0269 0.0000 0.0000 0.0056 0.0000 0.0000 0.0000
6.9000 -0.7500 -0.7500 0.0164 0.0040 0.0000 0.0276 0.0000 0.0000 0.0046 0.0000 0.0000 0.0000
6.9000 -0.8750 -0.7500 0.0158 0.0040 0.0000 0.0273 0.0000 0.0000 0.0033 0.0000 0.0000 0.0000
6.9000 -1.0000 -0.7500 0.0164 0.0040 0.0000 0.0276 0.0000 0.0000 0.0026 0.0000 0.0000 0.0000
6.9000 -1.1250 -0.7500 0.0155 0.0039 0.0000 0.0272 0.0000 0.0000 0.0018 0.0000 0.0000 0.0000
6.9000 -1.2500 -0.7500 0.0152 0.0039 0.0000 0.0270 0.0000 0.0000 0.0013 0.0000 0.0000 0.0000
6.9000 -1.3750 -0.7500 0.0149 0.0038 0.0000 0.0268 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.5000 -0.7500 0.0145 0.0038 0.0000 0.0267 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.6250 -0.7500 0.0160 0.0040 0.0000 0.0274 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.7500 -0.7500 0.0143 0.0038 0.0000 0.0265 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.8750 -0.7500 0.0160 0.0040 0.0000 0.0274 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -2.0000 -0.7500 0.0148 0.0038 0.0000 0.0268 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 0.0000 -1.0000 0.0147 0.0041 0.0000 0.0333 0.0000 0.0000 0.0228 0.0000 0.0000 0.0000
6.9000 -0.1250 -1.0000 0.0146 0.0041 0.0000 0.0332 0.0000 0.0000 0.0170 0.0000 0.0000 0.0000
6.9000 -0.2500 -1.0000 0.0139 0.0040 0.0000 0.0329 0.0000 0.0000 0.0121 0.0000 0.0000 0.0000
6.9000 -0.3750 -1.0000 0.0145 0.0040 0.0000 0.0331 0.0000 0.0000 0.0095 0.0000 0.0000 0.0000
6.9000 -0.5000 -1.0000 0.0135 0.0039 0.0000 0.0327 0.0000 0.0000 0.0067 0.0000 0.0000 0.0000
6.9000 -0.6250 -1.0000 0.0141 0.0040 0.0000 0.0330 0.0000 0.0000 0.0052 0.0000 0.0000 0.0000
6.9000 -0.7500 -1.0000 0.0147 0.0041 0.0000 0.0332 0.0000 0.0000 0.0040 0.0000 0.0000 0.0000
6.9000 -0.8750 -1.0000 0.0149 0.0041 0.0000 0.0333 0.0000 0.0000 0.0031 0.0000 0.0000 0.0000
6.9000 -1.0000 -1.0000 0.0149 0.0041 0.0000 0.0333 0.0000 0.0000 0.0023 0.0000 0.0000 0.0000
6.9000 -1.1250 -1.0000 0.0147 0.0041 0.0000 0.0332 0.0000 0.0000 0.0017 0.0000 0.0000 0.0000
6.9000 -1.2500 -1.0000 0.0141 0.0040 0.0000 0.0329 0.0000 0.0000 0.0012 0.0000 0.0000 0.0000
6.9000 -1.3750 -1.0000 0.0145 0.0040 0.0000 0.0331 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.5000 -1.0000 0.0142 0.0040 0.0000 0.0330 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.6250 -1.0000 0.0150 0.0041 0.0000 0.0333 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.7500 -1.0000 0.0146 0.0041 0.0000 0.0331 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.9000 -1.8750 -1.0000 0.0141 0.0040 0.0000 0.0329 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
