12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -4.0000000 	 0.2288000 	 0.0310000 	 0.0000000 	 0.0223000 	 0.0000000 	 0.0032000 	 0.0089000 	 0.1072000 	 0.0152000 	 0.0128000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.2580000 	 0.0334000 	 0.0000000 	 0.0621000 	 0.0000000 	 0.0040000 	 0.0085000 	 0.0822000 	 0.0188000 	 0.0160000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.1736000 	 0.0259000 	 0.0024000 	 0.1532000 	 0.0000000 	 0.0036000 	 0.0052000 	 0.0510000 	 0.0139000 	 0.0128000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.1309000 	 0.0287000 	 0.0055000 	 0.2912000 	 0.0000000 	 0.0042000 	 0.0038000 	 0.0395000 	 0.0111000 	 0.0149000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0814000 	 0.0301000 	 0.0087000 	 0.3964000 	 0.0000000 	 0.0046000 	 0.0023000 	 0.0280000 	 0.0063000 	 0.0159000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0479000 	 0.0271000 	 0.0101000 	 0.3993000 	 0.0000000 	 0.0046000 	 0.0013000 	 0.0183000 	 0.0028000 	 0.0146000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0277000 	 0.0211000 	 0.0095000 	 0.3423000 	 0.0000000 	 0.0044000 	 0.0000000 	 0.0113000 	 0.0011000 	 0.0120000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0175000 	 0.0153000 	 0.0080000 	 0.2681000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0073000 	 0.0000000 	 0.0091000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0116000 	 0.0108000 	 0.0061000 	 0.1990000 	 0.0000000 	 0.0036000 	 0.0000000 	 0.0048000 	 0.0000000 	 0.0066000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0080000 	 0.0075000 	 0.0044000 	 0.1420000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0033000 	 0.0000000 	 0.0047000
6.9000000 	 -2.0000000 	 -1.5000000 	 0.0061000 	 0.0052000 	 0.0031000 	 0.0993000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0025000 	 0.0000000 	 0.0034000
6.9000000 	 -2.0000000 	 -1.2500000 	 0.0052000 	 0.0037000 	 0.0021000 	 0.0702000 	 0.0000000 	 0.0021000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0027000
6.9000000 	 -2.0000000 	 -1.0000000 	 0.0046000 	 0.0028000 	 0.0015000 	 0.0514000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0022000
6.9000000 	 -2.0000000 	 -0.7500000 	 0.0045000 	 0.0023000 	 0.0012000 	 0.0398000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0019000
6.9000000 	 -2.0000000 	 -0.5000000 	 0.0044000 	 0.0019000 	 0.0000000 	 0.0327000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0018000
6.9000000 	 -1.8750000 	 -4.0000000 	 0.2288000 	 0.0310000 	 0.0000000 	 0.0223000 	 0.0000000 	 0.0032000 	 0.0119000 	 0.1072000 	 0.0152000 	 0.0128000
6.9000000 	 -1.8750000 	 -3.7500000 	 0.2580000 	 0.0334000 	 0.0000000 	 0.0621000 	 0.0000000 	 0.0040000 	 0.0114000 	 0.0822000 	 0.0188000 	 0.0160000
6.9000000 	 -1.8750000 	 -3.5000000 	 0.1734000 	 0.0257000 	 0.0024000 	 0.1503000 	 0.0000000 	 0.0035000 	 0.0069000 	 0.0512000 	 0.0138000 	 0.0127000
6.9000000 	 -1.8750000 	 -3.2500000 	 0.1307000 	 0.0287000 	 0.0055000 	 0.2927000 	 0.0000000 	 0.0042000 	 0.0051000 	 0.0393000 	 0.0111000 	 0.0150000
6.9000000 	 -1.8750000 	 -3.0000000 	 0.0813000 	 0.0301000 	 0.0087000 	 0.3965000 	 0.0000000 	 0.0046000 	 0.0031000 	 0.0278000 	 0.0063000 	 0.0159000
6.9000000 	 -1.8750000 	 -2.7500000 	 0.0474000 	 0.0271000 	 0.0101000 	 0.4005000 	 0.0000000 	 0.0046000 	 0.0018000 	 0.0182000 	 0.0018000 	 0.0146000
6.9000000 	 -1.8750000 	 -2.5000000 	 0.0277000 	 0.0211000 	 0.0095000 	 0.3424000 	 0.0000000 	 0.0044000 	 0.0010000 	 0.0113000 	 0.0011000 	 0.0120000
6.9000000 	 -1.8750000 	 -2.2500000 	 0.0171000 	 0.0153000 	 0.0080000 	 0.2684000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0071000 	 0.0000000 	 0.0091000
6.9000000 	 -1.8750000 	 -2.0000000 	 0.0116000 	 0.0108000 	 0.0061000 	 0.1990000 	 0.0000000 	 0.0036000 	 0.0000000 	 0.0048000 	 0.0000000 	 0.0066000
6.9000000 	 -1.8750000 	 -1.7500000 	 0.0083000 	 0.0076000 	 0.0044000 	 0.1420000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0034000 	 0.0000000 	 0.0047000
6.9000000 	 -1.8750000 	 -1.5000000 	 0.0061000 	 0.0052000 	 0.0031000 	 0.0993000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0025000 	 0.0000000 	 0.0034000
6.9000000 	 -1.8750000 	 -1.2500000 	 0.0052000 	 0.0037000 	 0.0021000 	 0.0702000 	 0.0000000 	 0.0021000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0027000
6.9000000 	 -1.8750000 	 -1.0000000 	 0.0046000 	 0.0028000 	 0.0015000 	 0.0514000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0022000
6.9000000 	 -1.8750000 	 -0.7500000 	 0.0045000 	 0.0023000 	 0.0012000 	 0.0398000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0019000
6.9000000 	 -1.8750000 	 -0.5000000 	 0.0044000 	 0.0019000 	 0.0000000 	 0.0327000 	 0.0000000 	 0.0020000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0018000
6.9000000 	 -1.7500000 	 -4.0000000 	 0.2288000 	 0.0310000 	 0.0000000 	 0.0223000 	 0.0000000 	 0.0032000 	 0.0158000 	 0.1072000 	 0.0152000 	 0.0128000
6.9000000 	 -1.7500000 	 -3.7500000 	 0.2580000 	 0.0334000 	 0.0000000 	 0.0621000 	 0.0000000 	 0.0040000 	 0.0152000 	 0.0822000 	 0.0188000 	 0.0160000
6.9000000 	 -1.7500000 	 -3.5000000 	 0.1738000 	 0.0257000 	 0.0023000 	 0.1476000 	 0.0000000 	 0.0035000 	 0.0093000 	 0.0518000 	 0.0138000 	 0.0127000
6.9000000 	 -1.7500000 	 -3.2500000 	 0.1311000 	 0.0287000 	 0.0055000 	 0.2911000 	 0.0000000 	 0.0042000 	 0.0068000 	 0.0395000 	 0.0111000 	 0.0149000
6.9000000 	 -1.7500000 	 -3.0000000 	 0.0812000 	 0.0301000 	 0.0087000 	 0.3968000 	 0.0000000 	 0.0046000 	 0.0041000 	 0.0278000 	 0.0063000 	 0.0159000
6.9000000 	 -1.7500000 	 -2.7500000 	 0.0480000 	 0.0271000 	 0.0100000 	 0.3990000 	 0.0000000 	 0.0046000 	 0.0024000 	 0.0184000 	 0.0028000 	 0.0146000
6.9000000 	 -1.7500000 	 -2.5000000 	 0.0284000 	 0.0211000 	 0.0095000 	 0.3413000 	 0.0000000 	 0.0044000 	 0.0014000 	 0.0115000 	 0.0011000 	 0.0120000
6.9000000 	 -1.7500000 	 -2.2500000 	 0.0171000 	 0.0153000 	 0.0080000 	 0.2684000 	 0.0000000 	 0.0039000 	 0.0000000 	 0.0071000 	 0.0000000 	 0.0091000
6.9000000 	 -1.7500000 	 -2.0000000 	 0.0116000 	 0.0108000 	 0.0061000 	 0.1990000 	 0.0000000 	 0.0036000 	 0.0000000 	 0.0048000 	 0.0000000 	 0.0066000
