#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK)
#plane-parallel geometry
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.1 30000.00 -4.00 0.0051 0.0000 0.0000 0.0000 0.0089 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0015 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.75 0.0051 0.0000 0.0000 0.0000 0.0097 0.0000 0.0000 0.0000 0.0016 0.0000 0.0000 0.0024 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.50 0.0050 0.0000 0.0000 0.0000 0.0103 0.0000 0.0000 0.0000 0.0026 0.0000 0.0000 0.0040 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.25 0.0051 0.0000 0.0000 0.0000 0.0107 0.0000 0.0000 0.0000 0.0042 0.0000 0.0000 0.0063 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.00 0.0051 0.0000 0.0000 0.0000 0.0110 0.0000 0.0000 0.0000 0.0064 0.0000 0.0000 0.0094 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.75 0.0050 0.0000 0.0000 0.0000 0.0110 0.0000 0.0000 0.0000 0.0088 0.0000 0.0000 0.0129 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.50 0.0049 0.0000 0.0000 0.0000 0.0110 0.0000 0.0000 0.0000 0.0112 0.0000 0.0000 0.0163 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.25 0.0047 0.0000 0.0000 0.0000 0.0108 0.0000 0.0000 0.0000 0.0131 0.0000 0.0000 0.0191 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.00 0.0044 0.0000 0.0000 0.0000 0.0104 0.0000 0.0000 0.0000 0.0143 0.0000 0.0000 0.0208 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -1.75 0.0040 0.0000 0.0000 0.0000 0.0099 0.0000 0.0000 0.0000 0.0148 0.0000 0.0000 0.0215 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -1.50 0.0035 0.0000 0.0000 0.0000 0.0092 0.0000 0.0000 0.0000 0.0148 0.0000 0.0000 0.0213 0.0010 0.0000 0.0012 0.0000 0.0000
