#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK)
#spherical geometry
#
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.1 30000.00 -3.99 0.0053 0.0000 0.0000 0.0000 0.0092 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0012 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.75 0.0053 0.0000 0.0000 0.0000 0.0101 0.0000 0.0000 0.0000 0.0014 0.0000 0.0000 0.0021 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.52 0.0051 0.0000 0.0000 0.0000 0.0104 0.0000 0.0000 0.0000 0.0029 0.0000 0.0000 0.0044 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.28 0.0051 0.0000 0.0000 0.0000 0.0108 0.0000 0.0000 0.0000 0.0048 0.0000 0.0000 0.0072 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -3.04 0.0050 0.0000 0.0000 0.0000 0.0109 0.0000 0.0000 0.0000 0.0074 0.0000 0.0000 0.0108 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.80 0.0049 0.0000 0.0000 0.0000 0.0109 0.0000 0.0000 0.0000 0.0101 0.0000 0.0000 0.0147 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.55 0.0046 0.0000 0.0000 0.0000 0.0107 0.0000 0.0000 0.0000 0.0120 0.0000 0.0000 0.0175 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.30 0.0042 0.0000 0.0000 0.0000 0.0102 0.0000 0.0000 0.0000 0.0132 0.0000 0.0000 0.0192 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 30000.00 -2.04 0.0038 0.0000 0.0000 0.0000 0.0097 0.0000 0.0000 0.0000 0.0139 0.0000 0.0000 0.0200 0.0015 0.0000 0.0018 0.0000 0.0000
7.1 30000.00 -1.79 0.0033 0.0000 0.0000 0.0000 0.0092 0.0000 0.0000 0.0000 0.0144 0.0000 0.0000 0.0205 0.0026 0.0000 0.0031 0.0000 0.0000
7.1 30000.00 -1.54 0.0028 0.0000 0.0012 0.0000 0.0086 0.0000 0.0000 0.0000 0.0148 0.0000 0.0000 0.0206 0.0040 0.0000 0.0049 0.0000 0.0000
7.1 32500.00 -3.99 0.0065 0.0000 0.0000 0.0000 0.0128 0.0000 0.0000 0.0000 0.0018 0.0000 0.0000 0.0028 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 32500.00 -3.75 0.0065 0.0000 0.0000 0.0000 0.0137 0.0000 0.0000 0.0000 0.0031 0.0000 0.0000 0.0046 0.0000 0.0000 0.0000 0.0000 0.0000
7.1 32500.00 -3.52 0.0064 0.0000 0.0000 0.0000 0.0148 0.0000 0.0000 0.0000 0.0060 0.0000 0.0000 0.0090 0.0000 0.0000 0.0000 0.0010 0.0000
7.1 32500.00 -3.28 0.0064 0.0000 0.0000 0.0000 0.0153 0.0000 0.0000 0.0000 0.0095 0.0000 0.0000 0.0139 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 32500.00 -3.06 0.0063 0.0000 0.0011 0.0000 0.0157 0.0000 0.0000 0.0000 0.0135 0.0000 0.0000 0.0196 0.0000 0.0000 0.0000 0.0011 0.0000
