#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -2.00 -4.00 0.0321 0.0000 0.0465 0.0000 0.1689 0.0000 0.0000 0.0583 0.0713 0.0000 0.0000 0.0767 0.0122 0.0029 0.0073 0.0170 0.0028
8.1 -2.00 -3.75 0.0236 0.0000 0.0514 0.0000 0.1434 0.0000 0.0000 0.0808 0.1022 0.0000 0.0000 0.1075 0.0351 0.0080 0.0207 0.0161 0.0025
8.1 -2.00 -3.50 0.0166 0.0000 0.0559 0.0028 0.1174 0.0000 0.0000 0.1088 0.1395 0.0000 0.0000 0.1446 0.0936 0.0206 0.0550 0.0145 0.0022
8.1 -2.00 -3.25 0.0112 0.0000 0.0595 0.0089 0.0918 0.0000 0.0000 0.1402 0.1778 0.0000 0.0041 0.1826 0.2123 0.0440 0.1245 0.0120 0.0018
8.1 -2.00 -3.00 0.0074 0.0000 0.0620 0.0237 0.0680 0.0000 0.0000 0.1723 0.2108 0.0000 0.0128 0.2150 0.3777 0.0732 0.2212 0.0090 0.0014
8.1 -2.00 -2.75 0.0048 0.0000 0.0630 0.0546 0.0474 0.0000 0.0000 0.2017 0.2345 0.0000 0.0271 0.2382 0.5454 0.0996 0.3183 0.0062 0.0000
8.1 -2.00 -2.50 0.0032 0.0000 0.0622 0.1110 0.0322 0.0000 0.0000 0.2255 0.2470 0.0000 0.0459 0.2501 0.6809 0.1184 0.3949 0.0041 0.0000
8.1 -2.00 -2.25 0.0024 0.0000 0.0595 0.2010 0.0225 0.0000 0.0000 0.2428 0.2478 0.0000 0.0708 0.2504 0.7766 0.1292 0.4459 0.0027 0.0000
8.1 -2.00 -2.00 0.0021 0.0011 0.0551 0.3280 0.0173 0.0019 0.0011 0.2549 0.2376 0.0012 0.1073 0.2399 0.8402 0.1334 0.4759 0.0019 0.0000
8.1 -2.00 -1.75 0.0022 0.0021 0.0493 0.4865 0.0154 0.0035 0.0029 0.2629 0.2182 0.0033 0.1650 0.2205 0.8811 0.1319 0.4914 0.0014 0.0000
8.1 -2.00 -1.50 0.0028 0.0039 0.0425 0.6599 0.0164 0.0063 0.0079 0.2677 0.1928 0.0088 0.2581 0.1954 0.9052 0.1254 0.4968 0.0011 0.0000
