#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -2.00 -4.00 0.0320 0.0000 0.0462 0.0000 0.1672 0.0000 0.0000 0.0578 0.0708 0.0000 0.0000 0.0761 0.0123 0.0029 0.0074 0.0170 0.0028
8.1 -2.00 -3.75 0.0235 0.0000 0.0512 0.0000 0.1417 0.0000 0.0000 0.0803 0.1018 0.0000 0.0000 0.1070 0.0354 0.0081 0.0209 0.0160 0.0025
8.1 -2.00 -3.50 0.0165 0.0000 0.0557 0.0029 0.1158 0.0000 0.0000 0.1082 0.1391 0.0000 0.0000 0.1441 0.0945 0.0207 0.0555 0.0144 0.0022
8.1 -2.00 -3.25 0.0110 0.0000 0.0593 0.0090 0.0901 0.0000 0.0000 0.1395 0.1776 0.0000 0.0041 0.1822 0.2150 0.0444 0.1260 0.0119 0.0018
8.1 -2.00 -3.00 0.0071 0.0000 0.0616 0.0243 0.0661 0.0000 0.0000 0.1714 0.2103 0.0000 0.0123 0.2144 0.3839 0.0739 0.2243 0.0087 0.0013
8.1 -2.00 -2.75 0.0044 0.0000 0.0622 0.0568 0.0451 0.0000 0.0000 0.2003 0.2329 0.0000 0.0247 0.2365 0.5540 0.1004 0.3219 0.0058 0.0000
8.1 -2.00 -2.50 0.0027 0.0000 0.0607 0.1183 0.0290 0.0000 0.0000 0.2232 0.2429 0.0000 0.0385 0.2459 0.6903 0.1189 0.3969 0.0037 0.0000
8.1 -2.00 -2.25 0.0016 0.0000 0.0568 0.2216 0.0178 0.0000 0.0000 0.2394 0.2390 0.0000 0.0528 0.2413 0.7839 0.1289 0.4421 0.0022 0.0000
8.1 -2.00 -2.00 0.0000 0.0011 0.0507 0.3741 0.0106 0.0018 0.0000 0.2499 0.2210 0.0000 0.0681 0.2225 0.8408 0.1312 0.4598 0.0013 0.0000
8.1 -2.00 -1.75 0.0000 0.0018 0.0424 0.5706 0.0062 0.0030 0.0017 0.2565 0.1908 0.0019 0.0855 0.1914 0.8705 0.1270 0.4548 0.0000 0.0000
