#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.1 30000.00 -4.00 0.0059 0.0000 0.0022 0.0000 0.0163 0.0000 0.0000 0.0000 0.0034 0.0000 0.0000 0.0053 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 30000.00 -3.75 0.0053 0.0000 0.0026 0.0000 0.0167 0.0000 0.0000 0.0000 0.0054 0.0000 0.0000 0.0081 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 30000.00 -3.50 0.0048 0.0000 0.0031 0.0000 0.0172 0.0000 0.0000 0.0000 0.0082 0.0000 0.0000 0.0121 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 30000.00 -3.25 0.0044 0.0000 0.0035 0.0000 0.0177 0.0000 0.0000 0.0000 0.0119 0.0000 0.0000 0.0174 0.0000 0.0000 0.0011 0.0011 0.0000
7.1 30000.00 -3.00 0.0041 0.0000 0.0040 0.0000 0.0181 0.0000 0.0000 0.0000 0.0164 0.0000 0.0000 0.0237 0.0023 0.0000 0.0028 0.0011 0.0000
7.1 30000.00 -2.75 0.0036 0.0000 0.0046 0.0000 0.0184 0.0000 0.0000 0.0000 0.0210 0.0000 0.0000 0.0301 0.0054 0.0013 0.0067 0.0010 0.0000
7.1 30000.00 -2.50 0.0030 0.0000 0.0053 0.0000 0.0185 0.0000 0.0000 0.0012 0.0254 0.0000 0.0000 0.0359 0.0118 0.0022 0.0145 0.0000 0.0000
7.1 30000.00 -2.25 0.0023 0.0000 0.0061 0.0000 0.0183 0.0000 0.0000 0.0022 0.0291 0.0000 0.0000 0.0407 0.0228 0.0033 0.0279 0.0000 0.0000
7.1 30000.00 -2.00 0.0015 0.0000 0.0069 0.0000 0.0176 0.0000 0.0000 0.0040 0.0319 0.0000 0.0000 0.0442 0.0384 0.0043 0.0469 0.0000 0.0000
7.1 30000.00 -1.75 0.0000 0.0000 0.0076 0.0017 0.0162 0.0000 0.0000 0.0066 0.0339 0.0000 0.0000 0.0466 0.0565 0.0053 0.0688 0.0000 0.0000
