#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.1 30000.00 -3.96 0.0059 0.0000 0.0022 0.0000 0.0163 0.0000 0.0000 0.0000 0.0036 0.0000 0.0000 0.0054 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 30000.00 -3.68 0.0053 0.0000 0.0027 0.0000 0.0168 0.0000 0.0000 0.0000 0.0057 0.0000 0.0000 0.0086 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 30000.00 -3.39 0.0048 0.0000 0.0032 0.0000 0.0173 0.0000 0.0000 0.0000 0.0089 0.0000 0.0000 0.0131 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 30000.00 -3.06 0.0043 0.0000 0.0037 0.0000 0.0178 0.0000 0.0000 0.0000 0.0133 0.0000 0.0000 0.0193 0.0014 0.0000 0.0017 0.0011 0.0000
7.1 30000.00 -2.68 0.0038 0.0000 0.0043 0.0000 0.0182 0.0000 0.0000 0.0000 0.0182 0.0000 0.0000 0.0261 0.0043 0.0011 0.0053 0.0011 0.0000
7.1 30000.00 -2.22 0.0032 0.0000 0.0051 0.0000 0.0183 0.0000 0.0000 0.0012 0.0229 0.0000 0.0000 0.0325 0.0117 0.0020 0.0144 0.0000 0.0000
7.1 30000.00 -1.73 0.0024 0.0000 0.0059 0.0000 0.0180 0.0000 0.0000 0.0024 0.0266 0.0000 0.0000 0.0373 0.0228 0.0029 0.0279 0.0000 0.0000
7.1 30000.00 -1.24 0.0016 0.0000 0.0067 0.0012 0.0171 0.0000 0.0000 0.0042 0.0294 0.0000 0.0000 0.0410 0.0354 0.0038 0.0431 0.0000 0.0000
7.1 30000.00 -0.77 0.0000 0.0000 0.0073 0.0023 0.0159 0.0000 0.0000 0.0065 0.0315 0.0000 0.0000 0.0435 0.0483 0.0046 0.0586 0.0000 0.0000
7.1 30000.00 -0.34 0.0000 0.0000 0.0077 0.0041 0.0145 0.0000 0.0000 0.0090 0.0328 0.0000 0.0000 0.0451 0.0605 0.0053 0.0731 0.0000 0.0000
7.1 30000.00 0.08 0.0000 0.0000 0.0079 0.0068 0.0128 0.0000 0.0000 0.0119 0.0336 0.0000 0.0000 0.0459 0.0722 0.0058 0.0868 0.0000 0.0000
7.1 32500.00 -3.96 0.0053 0.0000 0.0028 0.0000 0.0171 0.0000 0.0000 0.0000 0.0045 0.0000 0.0000 0.0069 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 32500.00 -3.68 0.0045 0.0000 0.0034 0.0000 0.0173 0.0000 0.0000 0.0000 0.0072 0.0000 0.0000 0.0107 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 32500.00 -3.39 0.0039 0.0000 0.0040 0.0000 0.0176 0.0000 0.0000 0.0000 0.0108 0.0000 0.0000 0.0160 0.0000 0.0000 0.0011 0.0011 0.0000
7.1 32500.00 -3.06 0.0032 0.0000 0.0047 0.0000 0.0179 0.0000 0.0000 0.0000 0.0156 0.0000 0.0000 0.0226 0.0029 0.0000 0.0036 0.0011 0.0000
7.1 32500.00 -2.69 0.0026 0.0000 0.0054 0.0000 0.0180 0.0000 0.0000 0.0013 0.0204 0.0000 0.0000 0.0293 0.0083 0.0015 0.0102 0.0000 0.0000
7.1 32500.00 -2.20 0.0019 0.0000 0.0062 0.0000 0.0176 0.0000 0.0000 0.0028 0.0253 0.0000 0.0000 0.0356 0.0209 0.0027 0.0256 0.0000 0.0000
7.1 32500.00 -1.71 0.0013 0.0000 0.0069 0.0011 0.0165 0.0000 0.0000 0.0051 0.0286 0.0000 0.0000 0.0400 0.0356 0.0037 0.0434 0.0000 0.0000
7.1 32500.00 -1.22 0.0000 0.0000 0.0074 0.0023 0.0151 0.0000 0.0000 0.0080 0.0310 0.0000 0.0000 0.0430 0.0501 0.0046 0.0609 0.0000 0.0000
7.1 32500.00 -0.75 0.0000 0.0000 0.0078 0.0044 0.0133 0.0000 0.0000 0.0111 0.0326 0.0000 0.0000 0.0449 0.0637 0.0053 0.0772 0.0000 0.0000
7.1 32500.00 -0.32 0.0000 0.0000 0.0079 0.0073 0.0115 0.0000 0.0000 0.0143 0.0335 0.0000 0.0000 0.0458 0.0757 0.0058 0.0913 0.0000 0.0000
7.1 32500.00 0.10 0.0000 0.0000 0.0080 0.0114 0.0096 0.0000 0.0000 0.0176 0.0340 0.0000 0.0000 0.0461 0.0865 0.0063 0.1037 0.0000 0.0000
7.1 35000.00 -3.96 0.0048 0.0000 0.0033 0.0000 0.0178 0.0000 0.0000 0.0000 0.0054 0.0000 0.0000 0.0082 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 35000.00 -3.68 0.0039 0.0000 0.0040 0.0000 0.0178 0.0000 0.0000 0.0000 0.0085 0.0000 0.0000 0.0126 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 35000.00 -3.39 0.0032 0.0000 0.0047 0.0000 0.0178 0.0000 0.0000 0.0000 0.0125 0.0000 0.0000 0.0184 0.0016 0.0000 0.0020 0.0011 0.0000
7.1 35000.00 -3.05 0.0024 0.0000 0.0055 0.0000 0.0177 0.0000 0.0000 0.0014 0.0176 0.0000 0.0000 0.0256 0.0052 0.0010 0.0065 0.0011 0.0000
7.1 35000.00 -2.67 0.0018 0.0000 0.0062 0.0000 0.0174 0.0000 0.0000 0.0027 0.0225 0.0000 0.0000 0.0321 0.0143 0.0021 0.0176 0.0000 0.0000
7.1 35000.00 -2.19 0.0012 0.0000 0.0069 0.0000 0.0162 0.0000 0.0000 0.0053 0.0269 0.0000 0.0000 0.0378 0.0309 0.0033 0.0379 0.0000 0.0000
7.1 35000.00 -1.69 0.0000 0.0000 0.0074 0.0021 0.0145 0.0000 0.0000 0.0087 0.0300 0.0000 0.0000 0.0417 0.0479 0.0043 0.0585 0.0000 0.0000
7.1 35000.00 -1.19 0.0000 0.0000 0.0077 0.0041 0.0125 0.0000 0.0000 0.0124 0.0320 0.0000 0.0000 0.0441 0.0633 0.0051 0.0769 0.0000 0.0000
7.1 35000.00 -0.72 0.0000 0.0000 0.0079 0.0073 0.0105 0.0000 0.0000 0.0161 0.0332 0.0000 0.0000 0.0454 0.0766 0.0057 0.0927 0.0000 0.0000
7.1 35000.00 -0.29 0.0000 0.0000 0.0080 0.0117 0.0086 0.0000 0.0000 0.0194 0.0337 0.0000 0.0000 0.0458 0.0876 0.0062 0.1054 0.0000 0.0000
7.1 35000.00 0.12 0.0000 0.0000 0.0079 0.0173 0.0069 0.0000 0.0000 0.0225 0.0337 0.0000 0.0000 0.0456 0.0969 0.0065 0.1160 0.0000 0.0000
7.1 37500.00 -3.96 0.0044 0.0000 0.0038 0.0000 0.0183 0.0000 0.0000 0.0000 0.0063 0.0000 0.0000 0.0095 0.0000 0.0000 0.0000 0.0011 0.0000
7.1 37500.00 -3.68 0.0034 0.0000 0.0045 0.0000 0.0180 0.0000 0.0000 0.0000 0.0096 0.0000 0.0000 0.0144 0.0000 0.0000 0.0010 0.0011 0.0000
7.1 37500.00 -3.39 0.0026 0.0000 0.0052 0.0000 0.0178 0.0000 0.0000 0.0013 0.0140 0.0000 0.0000 0.0205 0.0026 0.0000 0.0032 0.0011 0.0000
7.1 37500.00 -3.05 0.0019 0.0000 0.0060 0.0000 0.0173 0.0000 0.0000 0.0025 0.0191 0.0000 0.0000 0.0277 0.0082 0.0013 0.0101 0.0010 0.0000
7.1 37500.00 -2.65 0.0013 0.0000 0.0067 0.0000 0.0163 0.0000 0.0000 0.0049 0.0241 0.0000 0.0000 0.0343 0.0216 0.0026 0.0265 0.0000 0.0000
7.1 37500.00 -2.18 0.0000 0.0000 0.0072 0.0015 0.0144 0.0000 0.0000 0.0085 0.0280 0.0000 0.0000 0.0393 0.0407 0.0038 0.0499 0.0000 0.0000
7.1 37500.00 -1.67 0.0000 0.0000 0.0076 0.0034 0.0122 0.0000 0.0000 0.0127 0.0308 0.0000 0.0000 0.0427 0.0589 0.0048 0.0717 0.0000 0.0000
7.1 37500.00 -1.17 0.0000 0.0000 0.0078 0.0065 0.0100 0.0000 0.0000 0.0168 0.0324 0.0000 0.0000 0.0446 0.0739 0.0055 0.0897 0.0000 0.0000
7.1 37500.00 -0.70 0.0000 0.0000 0.0079 0.0111 0.0080 0.0000 0.0000 0.0204 0.0332 0.0000 0.0000 0.0453 0.0863 0.0060 0.1043 0.0000 0.0000
7.1 37500.00 -0.25 0.0000 0.0000 0.0079 0.0171 0.0062 0.0000 0.0000 0.0236 0.0334 0.0000 0.0000 0.0452 0.0966 0.0064 0.1160 0.0000 0.0000
7.1 37500.00 0.17 0.0000 0.0000 0.0078 0.0245 0.0048 0.0000 0.0000 0.0262 0.0330 0.0000 0.0000 0.0445 0.1048 0.0067 0.1252 0.0000 0.0000
7.1 40000.00 -3.96 0.0040 0.0000 0.0042 0.0000 0.0187 0.0000 0.0000 0.0000 0.0070 0.0000 0.0000 0.0107 0.0000 0.0000 0.0000 0.0012 0.0000
7.1 40000.00 -3.68 0.0031 0.0000 0.0049 0.0000 0.0182 0.0000 0.0000 0.0013 0.0107 0.0000 0.0000 0.0159 0.0012 0.0000 0.0015 0.0011 0.0000
7.1 40000.00 -3.38 0.0022 0.0000 0.0056 0.0000 0.0175 0.0000 0.0000 0.0023 0.0153 0.0000 0.0000 0.0224 0.0039 0.0000 0.0049 0.0011 0.0000
7.1 40000.00 -3.04 0.0016 0.0000 0.0063 0.0000 0.0165 0.0000 0.0000 0.0042 0.0204 0.0000 0.0000 0.0295 0.0120 0.0016 0.0148 0.0000 0.0000
7.1 40000.00 -2.62 0.0010 0.0000 0.0070 0.0000 0.0147 0.0000 0.0000 0.0077 0.0253 0.0000 0.0000 0.0359 0.0298 0.0031 0.0366 0.0000 0.0000
7.1 40000.00 -2.14 0.0000 0.0000 0.0074 0.0024 0.0123 0.0000 0.0000 0.0123 0.0290 0.0000 0.0000 0.0405 0.0509 0.0043 0.0622 0.0000 0.0000
7.1 40000.00 -1.61 0.0000 0.0000 0.0077 0.0055 0.0097 0.0000 0.0000 0.0170 0.0314 0.0000 0.0000 0.0433 0.0693 0.0052 0.0843 0.0000 0.0000
7.1 40000.00 -1.10 0.0000 0.0000 0.0079 0.0101 0.0075 0.0000 0.0000 0.0210 0.0326 0.0000 0.0000 0.0446 0.0836 0.0058 0.1013 0.0000 0.0000
7.1 40000.00 -0.63 0.0000 0.0000 0.0078 0.0163 0.0058 0.0000 0.0000 0.0242 0.0329 0.0000 0.0000 0.0447 0.0947 0.0062 0.1142 0.0000 0.0000
7.1 40000.00 -0.16 0.0000 0.0000 0.0077 0.0244 0.0043 0.0000 0.0000 0.0270 0.0326 0.0000 0.0000 0.0440 0.1041 0.0065 0.1248 0.0000 0.0000
7.1 40000.00 0.27 0.0000 0.0000 0.0074 0.0336 0.0032 0.0000 0.0000 0.0291 0.0318 0.0000 0.0012 0.0427 0.1113 0.0067 0.1326 0.0000 0.0000
7.1 45000.00 -3.96 0.0034 0.0000 0.0049 0.0000 0.0191 0.0000 0.0000 0.0018 0.0083 0.0000 0.0000 0.0126 0.0000 0.0000 0.0000 0.0012 0.0000
7.1 45000.00 -3.68 0.0025 0.0000 0.0055 0.0000 0.0178 0.0000 0.0000 0.0030 0.0122 0.0000 0.0000 0.0182 0.0023 0.0000 0.0028 0.0011 0.0000
7.1 45000.00 -3.37 0.0017 0.0000 0.0062 0.0000 0.0163 0.0000 0.0000 0.0051 0.0171 0.0000 0.0000 0.0250 0.0074 0.0000 0.0092 0.0011 0.0000
7.1 45000.00 -3.02 0.0011 0.0000 0.0068 0.0000 0.0141 0.0000 0.0000 0.0087 0.0222 0.0000 0.0000 0.0319 0.0211 0.0023 0.0260 0.0000 0.0000
7.1 45000.00 -2.60 0.0000 0.0000 0.0073 0.0020 0.0112 0.0000 0.0000 0.0136 0.0266 0.0000 0.0000 0.0376 0.0437 0.0037 0.0536 0.0000 0.0000
