#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
# Plane-parallel geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.1 30000.0 -3.5 0.3778 0.0 0.1101 0.0019 0.0028 0.0
7.1 32500.0 -3.5 0.5146 0.0 0.134 0.0043 0.0078 0.0
7.1 35000.0 -3.5 0.6176 0.0 0.136 0.0079 0.0187 0.0
7.1 37500.0 -3.5 0.6675 0.0095 0.1198 0.012 0.0429 0.0
7.1 40000.0 -3.5 0.6933 0.0589 0.1032 0.0172 0.0547 0.0
7.1 45000.0 -3.5 0.6999 0.0877 0.0994 0.0192 0.0565 0.0
7.1 50000.0 -3.5 0.669 0.1253 0.1017 0.0196 0.0574 0.0
7.1 55000.0 -3.5 0.7126 0.1012 0.0943 0.0209 0.0579 0.0
7.1 60000.0 -3.5 0.6666 0.1449 0.1075 0.0193 0.0572 0.0012
7.1 30000.0 -3.25 0.4364 0.0 0.1086 0.0033 0.0029 0.0
7.1 32500.0 -3.25 0.6127 0.0 0.1284 0.0071 0.008 0.0
7.1 35000.0 -3.25 0.7389 0.0025 0.1227 0.0122 0.0194 0.0
7.1 37500.0 -3.25 0.7835 0.029 0.1006 0.0173 0.0454 0.0
7.1 40000.0 -3.25 0.7287 0.162 0.0803 0.0229 0.0547 0.0
7.1 45000.0 -3.25 0.6998 0.2251 0.0763 0.0248 0.0559 0.0
7.1 50000.0 -3.25 0.6298 0.295 0.078 0.025 0.0563 0.001
7.1 55000.0 -3.25 0.699 0.2556 0.0715 0.0264 0.0567 0.0
7.1 60000.0 -3.25 0.6127 0.3295 0.0831 0.0248 0.0557 0.0014
7.1 30000.0 -3.0 0.4884 0.0 0.1014 0.0053 0.003 0.0
7.1 32500.0 -3.0 0.716 0.0 0.1153 0.011 0.0083 0.0
