#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.1 30000 -3.99 0.2725 0.0000 0.1050 0.0000 0.0000 0.0025 0.0000
7.1 32500 -3.99 0.3654 0.0000 0.1331 0.0016 0.0026 0.0068 0.0000
7.1 35000 -4.00 0.4372 0.0000 0.1463 0.0032 0.0062 0.0159 0.0000
7.1 37500 -4.00 0.4752 0.0011 0.1440 0.0052 0.0141 0.0362 0.0000
7.1 40000 -4.00 0.5232 0.0067 0.1431 0.0086 0.0210 0.0539 0.0000
7.1 45000 -4.00 0.5450 0.0103 0.1439 0.0100 0.0224 0.0572 0.0000
7.1 50000 -4.00 0.5485 0.0156 0.1492 0.0105 0.0233 0.0597 0.0000
7.1 55000 -4.00 0.5631 0.0122 0.1420 0.0117 0.0237 0.0608 0.0000
7.1 60000 -4.00 0.5600 0.0189 0.1562 0.0104 0.0239 0.0610 0.0000
7.1 30000 -3.75 0.3290 0.0000 0.1085 0.0012 0.0011 0.0027 0.0000
7.1 32500 -3.75 0.4434 0.0000 0.1348 0.0028 0.0029 0.0075 0.0000
7.1 35000 -3.75 0.5311 0.0000 0.1424 0.0054 0.0069 0.0179 0.0000
7.1 37500 -3.75 0.5770 0.0038 0.1325 0.0085 0.0157 0.0402 0.0000
7.1 40000 -3.75 0.6225 0.0243 0.1222 0.0130 0.0213 0.0546 0.0000
7.1 45000 -3.75 0.6413 0.0367 0.1201 0.0148 0.0223 0.0570 0.0000
7.1 50000 -3.75 0.6324 0.0549 0.1235 0.0153 0.0229 0.0586 0.0000
7.1 55000 -3.75 0.6585 0.0431 0.1158 0.0166 0.0231 0.0593 0.0000
7.1 60000 -3.75 0.6387 0.0648 0.1299 0.0151 0.0231 0.0590 0.0000
