#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Wm-Basic (Pauldrach et al 2002)
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.1 30000 -4.00 0.2570 0.0000 0.0991 0.0000 0.0010 0.0026 0.0000
7.1 32500 -4.00 0.3696 0.0000 0.1343 0.0019 0.0034 0.0088 0.0000
7.1 35000 -4.00 0.4480 0.0000 0.1487 0.0035 0.0089 0.0227 0.0000
7.1 37500 -4.00 0.4763 0.0000 0.1465 0.0052 0.0149 0.0383 0.0000
7.1 40000 -4.00 0.5119 0.0034 0.1430 0.0080 0.0204 0.0521 0.0000
7.1 45000 -4.00 0.5340 0.0051 0.1416 0.0096 0.0218 0.0559 0.0000
7.1 50000 -4.00 0.5429 0.0092 0.1457 0.0102 0.0229 0.0585 0.0000
7.1 55000 -4.00 0.5530 0.0104 0.1438 0.0112 0.0237 0.0608 0.0000
7.1 60000 -4.00 0.5510 0.0162 0.1578 0.0099 0.0239 0.0611 0.0000
7.1 30000 -3.75 0.3070 0.0000 0.1011 0.0014 0.0011 0.0028 0.0000
7.1 32500 -3.75 0.4437 0.0000 0.1346 0.0031 0.0038 0.0097 0.0000
7.1 35000 -3.75 0.5384 0.0000 0.1437 0.0058 0.0100 0.0257 0.0000
7.1 37500 -3.75 0.5733 0.0026 0.1356 0.0083 0.0165 0.0422 0.0000
7.1 40000 -3.75 0.6116 0.0113 0.1245 0.0121 0.0209 0.0534 0.0000
7.1 45000 -3.75 0.6348 0.0169 0.1201 0.0140 0.0219 0.0560 0.0000
7.1 50000 -3.75 0.6368 0.0303 0.1223 0.0147 0.0226 0.0577 0.0000
7.1 55000 -3.75 0.6463 0.0338 0.1190 0.0157 0.0231 0.0593 0.0000
7.1 60000 -3.75 0.6314 0.0513 0.1331 0.0142 0.0231 0.0590 0.0000
7.1 30000 -3.50 0.3615 0.0000 0.1012 0.0024 0.0011 0.0029 0.0000
7.1 32500 -3.50 0.5315 0.0000 0.1320 0.0052 0.0040 0.0102 0.0000
7.1 35000 -3.50 0.6465 0.0016 0.1344 0.0092 0.0108 0.0278 0.0000
7.1 37500 -3.50 0.6853 0.0083 0.1198 0.0127 0.0177 0.0454 0.0000
7.1 40000 -3.50 0.7139 0.0361 0.1029 0.0171 0.0211 0.0540 0.0000
7.1 45000 -3.50 0.7310 0.0534 0.0968 0.0192 0.0218 0.0559 0.0000
7.1 50000 -3.50 0.7069 0.0921 0.0979 0.0199 0.0223 0.0569 0.0000
7.1 55000 -3.50 0.7126 0.1012 0.0943 0.0209 0.0226 0.0579 0.0000
7.1 60000 -3.50 0.6666 0.1449 0.1075 0.0193 0.0224 0.0572 0.0012
7.1 30000 -3.25 0.4174 0.0000 0.0975 0.0041 0.0012 0.0030 0.0000
7.1 32500 -3.25 0.6338 0.0000 0.1239 0.0085 0.0041 0.0106 0.0000
7.1 35000 -3.25 0.7735 0.0047 0.1194 0.0138 0.0113 0.0289 0.0000
7.1 37500 -3.25 0.8076 0.0258 0.0998 0.0181 0.0187 0.0478 0.0000
7.1 40000 -3.25 0.7893 0.1046 0.0804 0.0228 0.0212 0.0542 0.0000
7.1 45000 -3.25 0.7811 0.1507 0.0740 0.0249 0.0217 0.0555 0.0000
7.1 50000 -3.25 0.7031 0.2343 0.0748 0.0255 0.0219 0.0561 0.0000
7.1 55000 -3.25 0.6990 0.2556 0.0715 0.0264 0.0221 0.0567 0.0000
7.1 60000 -3.25 0.6127 0.3295 0.0831 0.0248 0.0218 0.0557 0.0014
7.1 30000 -3.00 0.4654 0.0000 0.0879 0.0064 0.0012 0.0032 0.0000
7.1 32500 -3.00 0.7433 0.0000 0.1087 0.0127 0.0043 0.0110 0.0000
7.1 35000 -3.00 0.9170 0.0137 0.0994 0.0195 0.0117 0.0301 0.0000
7.1 37500 -3.00 0.9186 0.0731 0.0781 0.0241 0.0194 0.0496 0.0000
7.1 40000 -3.00 0.7878 0.2547 0.0597 0.0287 0.0212 0.0542 0.0000
7.1 45000 -3.00 0.7368 0.3407 0.0545 0.0305 0.0215 0.0551 0.0000
7.1 50000 -3.00 0.6048 0.4679 0.0552 0.0308 0.0216 0.0553 0.0000
7.1 55000 -3.00 0.5918 0.4997 0.0528 0.0315 0.0217 0.0558 0.0000
7.1 60000 -3.00 0.4873 0.5859 0.0621 0.0300 0.0213 0.0545 0.0015
7.1 30000 -2.75 0.4947 0.0000 0.0729 0.0089 0.0013 0.0034 0.0000
7.1 32500 -2.75 0.8474 0.0025 0.0883 0.0175 0.0046 0.0117 0.0000
7.1 35000 -2.75 1.0616 0.0366 0.0775 0.0255 0.0123 0.0316 0.0000
7.1 37500 -2.75 0.9782 0.1775 0.0581 0.0301 0.0199 0.0510 0.0000
7.1 40000 -2.75 0.6927 0.4926 0.0430 0.0341 0.0211 0.0541 0.0000
7.1 45000 -2.75 0.6092 0.6103 0.0393 0.0357 0.0214 0.0547 0.0000
7.1 50000 -2.75 0.4607 0.7509 0.0400 0.0356 0.0214 0.0547 0.0000
7.1 55000 -2.75 0.4460 0.7879 0.0384 0.0361 0.0214 0.0550 0.0000
7.1 60000 -2.75 0.3520 0.8637 0.0453 0.0342 0.0209 0.0534 0.0016
7.1 30000 -2.50 0.5075 0.0000 0.0560 0.0114 0.0014 0.0037 0.0000
7.1 32500 -2.50 0.9283 0.0062 0.0666 0.0220 0.0050 0.0128 0.0000
7.1 35000 -2.50 1.1744 0.0887 0.0573 0.0313 0.0132 0.0340 0.0000
7.1 37500 -2.50 0.9472 0.3589 0.0416 0.0356 0.0203 0.0521 0.0000
7.1 40000 -2.50 0.5472 0.7765 0.0306 0.0389 0.0210 0.0540 0.0000
7.1 45000 -2.50 0.4586 0.9090 0.0281 0.0401 0.0212 0.0544 0.0000
7.1 50000 -2.50 0.3286 1.0385 0.0288 0.0392 0.0211 0.0541 0.0000
7.1 55000 -2.50 0.3165 1.0793 0.0279 0.0395 0.0211 0.0543 0.0000
7.1 60000 -2.50 0.2446 1.1372 0.0328 0.0369 0.0205 0.0526 0.0017
7.1 30000 -2.25 0.5038 0.0000 0.0404 0.0134 0.0016 0.0042 0.0000
7.1 32500 -2.25 0.9786 0.0146 0.0476 0.0255 0.0057 0.0146 0.0000
7.1 35000 -2.25 1.2139 0.1876 0.0408 0.0362 0.0145 0.0372 0.0000
7.1 37500 -2.25 0.8267 0.6013 0.0292 0.0402 0.0206 0.0528 0.0000
7.1 40000 -2.25 0.4058 1.0591 0.0219 0.0428 0.0209 0.0538 0.0000
7.1 45000 -2.25 0.3310 1.1989 0.0204 0.0435 0.0211 0.0541 0.0000
7.1 50000 -2.25 0.2307 1.3127 0.0211 0.0414 0.0209 0.0537 0.0010
7.1 55000 -2.25 0.2219 1.3596 0.0205 0.0415 0.0209 0.0539 0.0000
7.1 60000 -2.25 0.1704 1.4027 0.0240 0.0377 0.0202 0.0519 0.0019
7.1 30000 -2.00 0.4887 0.0014 0.0278 0.0145 0.0019 0.0051 0.0000
7.1 32500 -2.00 0.9958 0.0324 0.0331 0.0279 0.0066 0.0172 0.0000
7.1 35000 -2.00 1.1544 0.3449 0.0285 0.0400 0.0161 0.0414 0.0000
7.1 37500 -2.00 0.6617 0.8627 0.0205 0.0438 0.0207 0.0532 0.0000
7.1 40000 -2.00 0.2942 1.3156 0.0160 0.0454 0.0209 0.0537 0.0000
7.1 45000 -2.00 0.2380 1.4672 0.0152 0.0454 0.0209 0.0539 0.0000
7.1 50000 -2.00 0.1647 1.5715 0.0158 0.0418 0.0207 0.0534 0.0013
7.1 55000 -2.00 0.1586 1.6295 0.0156 0.0417 0.0207 0.0536 0.0000
7.1 60000 -2.00 0.1222 1.6626 0.0180 0.0365 0.0200 0.0513 0.0023
7.1 30000 -1.75 0.4673 0.0032 0.0187 0.0149 0.0024 0.0063 0.0000
7.1 32500 -1.75 0.9802 0.0666 0.0227 0.0294 0.0079 0.0205 0.0000
7.1 35000 -1.75 1.0065 0.5518 0.0199 0.0428 0.0177 0.0457 0.0000
7.1 37500 -1.75 0.5011 1.1062 0.0146 0.0464 0.0207 0.0533 0.0000
7.1 40000 -1.75 0.2144 1.5434 0.0121 0.0466 0.0207 0.0536 0.0000
7.1 45000 -1.75 0.1742 1.7138 0.0117 0.0457 0.0208 0.0538 0.0000
7.1 50000 -1.75 0.1213 1.8152 0.0123 0.0403 0.0205 0.0531 0.0016
7.1 55000 -1.75 0.1173 1.8893 0.0122 0.0401 0.0205 0.0534 0.0000
7.1 60000 -1.75 0.0912 1.9173 0.0139 0.0337 0.0197 0.0508 0.0029
7.1 30000 -1.50 0.4425 0.0074 0.0124 0.0148 0.0030 0.0079 0.0000
7.1 32500 -1.50 0.9286 0.1266 0.0156 0.0302 0.0094 0.0245 0.0000
7.1 35000 -1.50 0.8130 0.7829 0.0140 0.0449 0.0191 0.0493 0.0000
7.1 37500 -1.50 0.3705 1.3190 0.0107 0.0480 0.0206 0.0533 0.0000
7.1 40000 -1.50 0.1592 1.7498 0.0094 0.0463 0.0206 0.0534 0.0000
7.1 45000 -1.50 0.1309 1.9424 0.0094 0.0443 0.0207 0.0536 0.0000
7.1 50000 -1.50 0.0924 2.0449 0.0099 0.0371 0.0204 0.0528 0.0022
7.1 55000 -1.50 0.0899 2.1391 0.0100 0.0371 0.0204 0.0532 0.0000
7.1 60000 -1.50 0.0707 2.1629 0.0112 0.0301 0.0194 0.0503 0.0040
7.4 30000 -4.00 0.4490 0.0000 0.1845 0.0015 0.0010 0.0026 0.0000
7.4 32500 -4.00 0.6557 0.0000 0.2519 0.0034 0.0034 0.0088 0.0000
7.4 35000 -4.00 0.8110 0.0000 0.2821 0.0067 0.0089 0.0228 0.0000
7.4 37500 -4.00 0.8730 0.0015 0.2803 0.0100 0.0150 0.0384 0.0000
7.4 40000 -4.00 0.9568 0.0063 0.2769 0.0154 0.0204 0.0524 0.0000
7.4 45000 -4.00 1.0077 0.0096 0.2756 0.0186 0.0219 0.0561 0.0000
7.4 50000 -4.00 1.0328 0.0176 0.2847 0.0199 0.0230 0.0587 0.0000
7.4 55000 -4.00 1.0590 0.0199 0.2821 0.0219 0.0238 0.0611 0.0000
7.4 60000 -4.00 1.0593 0.0311 0.3101 0.0194 0.0240 0.0614 0.0000
7.4 30000 -3.75 0.5340 0.0000 0.1879 0.0026 0.0011 0.0029 0.0000
7.4 32500 -3.75 0.7819 0.0000 0.2517 0.0058 0.0038 0.0098 0.0000
7.4 35000 -3.75 0.9687 0.0000 0.2720 0.0108 0.0100 0.0258 0.0000
7.4 37500 -3.75 1.0452 0.0047 0.2590 0.0158 0.0165 0.0423 0.0000
7.4 40000 -3.75 1.1387 0.0210 0.2411 0.0231 0.0210 0.0536 0.0000
7.4 45000 -3.75 1.1948 0.0318 0.2338 0.0270 0.0220 0.0563 0.0000
7.4 50000 -3.75 1.2077 0.0575 0.2392 0.0285 0.0227 0.0581 0.0000
7.4 55000 -3.75 1.2357 0.0644 0.2337 0.0306 0.0233 0.0596 0.0000
7.4 60000 -3.75 1.2127 0.0983 0.2617 0.0278 0.0233 0.0594 0.0000
7.4 30000 -3.50 0.6226 0.0000 0.1872 0.0045 0.0011 0.0030 0.0000
7.4 32500 -3.50 0.9277 0.0000 0.2460 0.0097 0.0040 0.0103 0.0000
7.4 35000 -3.50 1.1532 0.0029 0.2538 0.0171 0.0109 0.0279 0.0000
7.4 37500 -3.50 1.2403 0.0151 0.2285 0.0239 0.0178 0.0455 0.0000
7.4 40000 -3.50 1.3226 0.0668 0.1991 0.0328 0.0212 0.0543 0.0000
7.4 45000 -3.50 1.3703 0.0998 0.1886 0.0371 0.0220 0.0562 0.0000
7.4 50000 -3.50 1.3368 0.1736 0.1914 0.0386 0.0224 0.0572 0.0000
7.4 55000 -3.50 1.3600 0.1924 0.1852 0.0407 0.0228 0.0583 0.0000
7.4 60000 -3.50 1.2786 0.2767 0.2115 0.0377 0.0226 0.0576 0.0012
7.4 30000 -3.25 0.7095 0.0000 0.1794 0.0074 0.0012 0.0031 0.0000
7.4 32500 -3.25 1.0929 0.0000 0.2299 0.0155 0.0041 0.0107 0.0000
7.4 35000 -3.25 1.3635 0.0084 0.2248 0.0256 0.0113 0.0291 0.0000
7.4 37500 -3.25 1.4476 0.0461 0.1901 0.0339 0.0188 0.0480 0.0000
7.4 40000 -3.25 1.4526 0.1914 0.1554 0.0435 0.0213 0.0546 0.0000
7.4 45000 -3.25 1.4562 0.2792 0.1441 0.0479 0.0219 0.0559 0.0000
7.4 50000 -3.25 1.3253 0.4383 0.1463 0.0492 0.0221 0.0565 0.0000
7.4 55000 -3.25 1.3306 0.4828 0.1405 0.0512 0.0223 0.0571 0.0000
7.4 60000 -3.25 1.1743 0.6262 0.1636 0.0483 0.0220 0.0561 0.0014
7.4 30000 -3.00 0.7786 0.0000 0.1610 0.0114 0.0012 0.0032 0.0000
7.4 32500 -3.00 1.2630 0.0017 0.2010 0.0231 0.0043 0.0111 0.0000
7.4 35000 -3.00 1.5937 0.0237 0.1865 0.0359 0.0118 0.0303 0.0000
7.4 37500 -3.00 1.6270 0.1285 0.1484 0.0449 0.0195 0.0499 0.0000
7.4 40000 -3.00 1.4401 0.4602 0.1152 0.0543 0.0213 0.0546 0.0000
7.4 45000 -3.00 1.3675 0.6248 0.1060 0.0583 0.0217 0.0556 0.0000
7.4 50000 -3.00 1.1378 0.8686 0.1079 0.0592 0.0218 0.0558 0.0000
7.4 55000 -3.00 1.1262 0.9385 0.1037 0.0611 0.0219 0.0562 0.0000
