#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeII_4686
7.1 30000 -4.00 0.4415 0.0000 0.1521 0.0030 0.0109 0.0278 0.0000
7.1 32500 -4.00 0.4609 0.0000 0.1518 0.0038 0.0132 0.0339 0.0000
7.1 35000 -4.00 0.4778 0.0000 0.1512 0.0047 0.0152 0.0390 0.0000
7.1 37500 -4.00 0.4922 0.0012 0.1506 0.0054 0.0169 0.0432 0.0000
7.1 40000 -4.00 0.5043 0.0019 0.1500 0.0062 0.0182 0.0466 0.0000
7.1 45000 -4.00 0.5228 0.0036 0.1496 0.0074 0.0201 0.0515 0.0000
7.1 50000 -4.00 0.5352 0.0059 0.1501 0.0083 0.0214 0.0548 0.0000
7.1 55000 -4.00 0.5430 0.0085 0.1516 0.0090 0.0223 0.0571 0.0013
7.1 60000 -4.00 0.5473 0.0113 0.1537 0.0096 0.0230 0.0589 0.0026
7.1 70000 -4.00 0.5498 0.0168 0.1594 0.0102 0.0239 0.0612 0.0073
7.1 80000 -4.00 0.5476 0.0216 0.1658 0.0105 0.0244 0.0624 0.0155
7.1 90000 -4.00 0.5432 0.0252 0.1726 0.0106 0.0246 0.0628 0.0268
7.1 30000 -3.75 0.5297 0.0000 0.1493 0.0049 0.0123 0.0315 0.0000
7.1 32500 -3.75 0.5541 0.0014 0.1458 0.0063 0.0148 0.0380 0.0000
7.1 35000 -3.75 0.5748 0.0025 0.1423 0.0075 0.0168 0.0430 0.0000
7.1 37500 -3.75 0.5919 0.0041 0.1391 0.0087 0.0183 0.0467 0.0000
7.1 40000 -3.75 0.6056 0.0062 0.1363 0.0097 0.0193 0.0495 0.0000
7.1 45000 -3.75 0.6248 0.0120 0.1325 0.0113 0.0208 0.0531 0.0000
7.1 50000 -3.75 0.6349 0.0195 0.1305 0.0125 0.0216 0.0554 0.0000
7.1 55000 -3.75 0.6384 0.0280 0.1299 0.0133 0.0222 0.0569 0.0018
7.1 60000 -3.75 0.6375 0.0370 0.1305 0.0139 0.0226 0.0579 0.0036
7.1 70000 -3.75 0.6291 0.0546 0.1332 0.0145 0.0230 0.0588 0.0100
7.1 80000 -3.75 0.6168 0.0694 0.1373 0.0148 0.0230 0.0587 0.0207
7.1 90000 -3.75 0.6045 0.0801 0.1420 0.0148 0.0227 0.0579 0.0353
7.1 30000 -3.50 0.6336 0.0021 0.1427 0.0079 0.0134 0.0342 0.0000
7.1 32500 -3.50 0.6635 0.0044 0.1352 0.0099 0.0161 0.0413 0.0000
7.1 35000 -3.50 0.6877 0.0081 0.1284 0.0116 0.0181 0.0462 0.0000
7.1 37500 -3.50 0.7050 0.0134 0.1225 0.0132 0.0193 0.0495 0.0000
7.1 40000 -3.50 0.7177 0.0203 0.1179 0.0144 0.0202 0.0516 0.0000
7.1 45000 -3.50 0.7287 0.0385 0.1114 0.0164 0.0212 0.0542 0.0000
7.1 50000 -3.50 0.7253 0.0612 0.1077 0.0177 0.0217 0.0556 0.0010
7.1 55000 -3.50 0.7130 0.0858 0.1060 0.0186 0.0220 0.0564 0.0023
7.1 60000 -3.50 0.6960 0.1107 0.1055 0.0191 0.0222 0.0568 0.0045
7.1 70000 -3.50 0.6573 0.1555 0.1067 0.0197 0.0222 0.0567 0.0125
7.1 80000 -3.50 0.6231 0.1890 0.1094 0.0198 0.0217 0.0556 0.0258
7.1 90000 -3.50 0.5963 0.2123 0.1126 0.0197 0.0210 0.0537 0.0438
7.1 30000 -3.25 0.7548 0.0062 0.1305 0.0122 0.0141 0.0360 0.0000
7.1 32500 -3.25 0.7877 0.0136 0.1190 0.0147 0.0171 0.0438 0.0000
7.1 35000 -3.25 0.8094 0.0251 0.1093 0.0169 0.0190 0.0487 0.0000
