#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 30000 -3.99 0.2724 0.0000 0.1050 0.0000 0.0000 0.0025 0.0000 0.0000 0.0000 0.0000
7.1 30000 -3.75 0.3289 0.0000 0.1085 0.0012 0.0011 0.0027 0.0000 0.0000 0.0000 0.0000
7.1 30000 -3.52 0.3714 0.0000 0.1008 0.0027 0.0011 0.0030 0.0000 0.0000 0.0000 0.0000
7.1 30000 -3.28 0.4297 0.0000 0.0947 0.0047 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000
7.1 30000 -3.04 0.4708 0.0000 0.0807 0.0074 0.0013 0.0033 0.0000 0.0000 0.0000 0.0000
7.1 30000 -2.80 0.4870 0.0000 0.0624 0.0102 0.0014 0.0037 0.0011 0.0000 0.0000 0.0000
7.1 30000 -2.55 0.4832 0.0017 0.0464 0.0121 0.0017 0.0045 0.0013 0.0000 0.0000 0.0000
7.1 30000 -2.30 0.4712 0.0051 0.0340 0.0133 0.0022 0.0057 0.0016 0.0000 0.0000 0.0011
7.1 30000 -2.04 0.4572 0.0121 0.0249 0.0139 0.0027 0.0071 0.0020 0.0000 0.0000 0.0013
7.1 30000 -1.79 0.4423 0.0221 0.0184 0.0143 0.0034 0.0088 0.0025 0.0000 0.0000 0.0016
7.1 30000 -1.54 0.4252 0.0353 0.0136 0.0144 0.0041 0.0106 0.0030 0.0000 0.0000 0.0020
7.1 32500 -3.99 0.3652 0.0000 0.1331 0.0016 0.0026 0.0068 0.0019 0.0000 0.0000 0.0000
7.1 32500 -3.75 0.4433 0.0000 0.1349 0.0028 0.0029 0.0075 0.0021 0.0000 0.0000 0.0000
7.1 32500 -3.52 0.5489 0.0000 0.1308 0.0058 0.0040 0.0103 0.0029 0.0000 0.0000 0.0013
