#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 30000.0000 -1.5000 0.4425 0.0074 0.0123 0.0148 0.0030 0.0079 0.0023 0.0000 0.0000 0.0014
7.1000 30000.0000 -1.7500 0.4672 0.0032 0.0186 0.0149 0.0024 0.0063 0.0018 0.0000 0.0000 0.0010
7.1000 30000.0000 -2.0000 0.4886 0.0014 0.0278 0.0145 0.0019 0.0051 0.0015 0.0000 0.0000 0.0000
7.1000 30000.0000 -2.2500 0.5038 0.0000 0.0404 0.0134 0.0016 0.0042 0.0012 0.0000 0.0000 0.0000
7.1000 30000.0000 -2.5000 0.5074 0.0000 0.0560 0.0114 0.0014 0.0037 0.0011 0.0000 0.0000 0.0000
7.1000 30000.0000 -2.7500 0.4946 0.0000 0.0728 0.0089 0.0013 0.0034 0.0010 0.0000 0.0000 0.0000
7.1000 30000.0000 -3.0000 0.4653 0.0000 0.0879 0.0064 0.0012 0.0032 0.0000 0.0000 0.0000 0.0000
7.1000 30000.0000 -3.2500 0.4173 0.0000 0.0975 0.0041 0.0012 0.0030 0.0000 0.0000 0.0000 0.0000
7.1000 30000.0000 -3.5000 0.3614 0.0000 0.1012 0.0024 0.0011 0.0029 0.0000 0.0000 0.0000 0.0000
7.1000 30000.0000 -3.7500 0.3069 0.0000 0.1011 0.0014 0.0011 0.0028 0.0000 0.0000 0.0000 0.0000
7.1000 30000.0000 -4.0000 0.2570 0.0000 0.0991 0.0000 0.0010 0.0026 0.0000 0.0000 0.0000 0.0000
7.1000 32500.0000 -1.5000 0.9285 0.1266 0.0157 0.0302 0.0094 0.0245 0.0069 0.0000 0.0000 0.0062
7.1000 32500.0000 -1.7500 0.9801 0.0666 0.0227 0.0294 0.0079 0.0205 0.0058 0.0000 0.0000 0.0049
7.1000 32500.0000 -2.0000 0.9956 0.0324 0.0331 0.0279 0.0066 0.0172 0.0049 0.0000 0.0000 0.0039
7.1000 32500.0000 -2.2500 0.9785 0.0146 0.0477 0.0255 0.0057 0.0146 0.0042 0.0000 0.0000 0.0031
7.1000 32500.0000 -2.5000 0.9282 0.0062 0.0666 0.0220 0.0050 0.0128 0.0036 0.0000 0.0000 0.0025
7.1000 32500.0000 -2.7500 0.8473 0.0025 0.0882 0.0175 0.0046 0.0117 0.0033 0.0000 0.0000 0.0021
7.1000 32500.0000 -3.0000 0.7432 0.0000 0.1087 0.0127 0.0043 0.0110 0.0031 0.0000 0.0000 0.0017
7.1000 32500.0000 -3.2500 0.6336 0.0000 0.1240 0.0085 0.0041 0.0106 0.0030 0.0000 0.0000 0.0014
7.1000 32500.0000 -3.5000 0.5313 0.0000 0.1320 0.0052 0.0040 0.0102 0.0029 0.0000 0.0000 0.0012
7.1000 32500.0000 -3.7500 0.4436 0.0000 0.1346 0.0031 0.0038 0.0097 0.0028 0.0000 0.0000 0.0010
7.1000 32500.0000 -4.0000 0.3695 0.0000 0.1342 0.0019 0.0034 0.0088 0.0025 0.0000 0.0000 0.0000
7.1000 35000.0000 -1.5000 0.8125 0.7829 0.0139 0.0449 0.0191 0.0493 0.0137 0.0000 0.0000 0.0162
7.1000 35000.0000 -1.7500 1.0061 0.5518 0.0199 0.0428 0.0177 0.0457 0.0127 0.0000 0.0000 0.0144
7.1000 35000.0000 -2.0000 1.1541 0.3449 0.0285 0.0400 0.0161 0.0414 0.0116 0.0000 0.0000 0.0122
7.1000 35000.0000 -2.2500 1.2136 0.1876 0.0408 0.0362 0.0145 0.0372 0.0104 0.0000 0.0000 0.0102
7.1000 35000.0000 -2.5000 1.1742 0.0887 0.0573 0.0313 0.0132 0.0340 0.0095 0.0000 0.0000 0.0084
7.1000 35000.0000 -2.7500 1.0614 0.0366 0.0775 0.0255 0.0123 0.0316 0.0089 0.0000 0.0000 0.0068
7.1000 35000.0000 -3.0000 0.9169 0.0137 0.0994 0.0195 0.0117 0.0301 0.0085 0.0000 0.0000 0.0056
7.1000 35000.0000 -3.2500 0.7733 0.0047 0.1194 0.0138 0.0113 0.0289 0.0081 0.0000 0.0000 0.0046
7.1000 35000.0000 -3.5000 0.6462 0.0016 0.1344 0.0092 0.0108 0.0278 0.0078 0.0000 0.0000 0.0037
7.1000 35000.0000 -3.7500 0.5382 0.0000 0.1437 0.0058 0.0100 0.0257 0.0073 0.0000 0.0000 0.0030
7.1000 35000.0000 -4.0000 0.4478 0.0000 0.1487 0.0035 0.0089 0.0227 0.0064 0.0000 0.0000 0.0023
7.1000 37500.0000 -1.5000 0.3699 1.3190 0.0107 0.0480 0.0206 0.0533 0.0148 0.0000 0.0000 0.0189
7.1000 37500.0000 -1.7500 0.5005 1.1062 0.0146 0.0464 0.0207 0.0533 0.0148 0.0000 0.0000 0.0181
7.1000 37500.0000 -2.0000 0.6611 0.8627 0.0205 0.0438 0.0207 0.0532 0.0148 0.0000 0.0000 0.0170
7.1000 37500.0000 -2.2500 0.8262 0.6013 0.0292 0.0402 0.0206 0.0528 0.0147 0.0000 0.0000 0.0156
7.1000 37500.0000 -2.5000 0.9468 0.3589 0.0416 0.0356 0.0203 0.0521 0.0146 0.0000 0.0000 0.0139
7.1000 37500.0000 -2.7500 0.9779 0.1775 0.0582 0.0301 0.0199 0.0510 0.0143 0.0000 0.0000 0.0121
7.1000 37500.0000 -3.0000 0.9184 0.0731 0.0782 0.0241 0.0194 0.0496 0.0139 0.0000 0.0000 0.0102
7.1000 37500.0000 -3.2500 0.8073 0.0258 0.0998 0.0181 0.0187 0.0478 0.0134 0.0000 0.0000 0.0084
7.1000 37500.0000 -3.5000 0.6850 0.0083 0.1199 0.0127 0.0177 0.0454 0.0128 0.0000 0.0000 0.0068
7.1000 37500.0000 -3.7500 0.5731 0.0026 0.1356 0.0083 0.0165 0.0422 0.0119 0.0000 0.0000 0.0054
7.1000 37500.0000 -4.0000 0.4761 0.0000 0.1466 0.0052 0.0149 0.0383 0.0108 0.0000 0.0000 0.0042
7.1000 40000.0000 -1.5000 0.1585 1.7498 0.0094 0.0463 0.0206 0.0534 0.0148 0.0000 0.0000 0.0198
7.1000 40000.0000 -1.7500 0.2137 1.5434 0.0121 0.0466 0.0207 0.0536 0.0149 0.0000 0.0000 0.0193
7.1000 40000.0000 -2.0000 0.2936 1.3156 0.0160 0.0454 0.0209 0.0537 0.0149 0.0000 0.0000 0.0184
7.1000 40000.0000 -2.2500 0.4051 1.0591 0.0219 0.0428 0.0209 0.0538 0.0150 0.0000 0.0000 0.0172
