#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 30000.0000 -1.5000 0.7353 0.8909 0.0165 0.0461 0.0209 0.0538 0.0149 0.0000 0.0000 0.0176
7.1000 30000.0000 -1.7500 0.9224 0.6566 0.0241 0.0437 0.0203 0.0522 0.0145 0.0000 0.0000 0.0163
7.1000 30000.0000 -2.0000 1.0782 0.4262 0.0350 0.0401 0.0190 0.0488 0.0136 0.0000 0.0000 0.0144
7.1000 30000.0000 -2.2500 1.1523 0.2384 0.0501 0.0355 0.0175 0.0450 0.0126 0.0000 0.0000 0.0122
7.1000 30000.0000 -2.5000 1.1247 0.1146 0.0691 0.0298 0.0163 0.0417 0.0117 0.0000 0.0000 0.0101
7.1000 30000.0000 -2.7500 1.0223 0.0480 0.0908 0.0237 0.0153 0.0392 0.0110 0.0000 0.0000 0.0083
7.1000 30000.0000 -3.0000 0.8886 0.0180 0.1123 0.0176 0.0146 0.0375 0.0105 0.0000 0.0000 0.0069
7.1000 30000.0000 -3.2500 0.7547 0.0062 0.1305 0.0122 0.0141 0.0360 0.0101 0.0000 0.0000 0.0056
7.1000 30000.0000 -3.5000 0.6334 0.0021 0.1426 0.0079 0.0134 0.0342 0.0097 0.0000 0.0000 0.0046
7.1000 30000.0000 -3.7500 0.5295 0.0000 0.1493 0.0049 0.0123 0.0315 0.0089 0.0000 0.0000 0.0036
7.1000 30000.0000 -4.0000 0.4414 0.0000 0.1521 0.0030 0.0109 0.0278 0.0079 0.0000 0.0000 0.0027
7.1000 32500.0000 -1.5000 0.5304 1.1635 0.0139 0.0483 0.0211 0.0545 0.0151 0.0000 0.0000 0.0186
7.1000 32500.0000 -1.7500 0.6976 0.9285 0.0195 0.0460 0.0211 0.0542 0.0151 0.0000 0.0000 0.0177
7.1000 32500.0000 -2.0000 0.8735 0.6701 0.0279 0.0427 0.0209 0.0536 0.0149 0.0000 0.0000 0.0164
7.1000 32500.0000 -2.2500 1.0115 0.4216 0.0403 0.0383 0.0202 0.0519 0.0145 0.0000 0.0000 0.0147
7.1000 32500.0000 -2.5000 1.0640 0.2248 0.0568 0.0329 0.0194 0.0497 0.0139 0.0000 0.0000 0.0126
7.1000 32500.0000 -2.7500 1.0208 0.1013 0.0768 0.0268 0.0186 0.0477 0.0134 0.0000 0.0000 0.0107
7.1000 32500.0000 -3.0000 0.9146 0.0393 0.0984 0.0206 0.0179 0.0458 0.0129 0.0000 0.0000 0.0089
7.1000 32500.0000 -3.2500 0.7875 0.0136 0.1191 0.0147 0.0171 0.0438 0.0123 0.0000 0.0000 0.0073
7.1000 32500.0000 -3.5000 0.6632 0.0044 0.1352 0.0099 0.0161 0.0413 0.0116 0.0000 0.0000 0.0058
7.1000 32500.0000 -3.7500 0.5539 0.0014 0.1458 0.0063 0.0148 0.0380 0.0107 0.0000 0.0000 0.0046
7.1000 32500.0000 -4.0000 0.4607 0.0000 0.1518 0.0038 0.0132 0.0339 0.0096 0.0000 0.0000 0.0035
7.1000 35000.0000 -1.5000 0.3876 1.3725 0.0124 0.0495 0.0212 0.0547 0.0152 0.0000 0.0000 0.0192
7.1000 35000.0000 -1.7500 0.5229 1.1466 0.0170 0.0475 0.0212 0.0546 0.0152 0.0000 0.0000 0.0184
7.1000 35000.0000 -2.0000 0.6856 0.8848 0.0239 0.0445 0.0212 0.0544 0.0151 0.0000 0.0000 0.0173
7.1000 35000.0000 -2.2500 0.8475 0.6075 0.0339 0.0403 0.0210 0.0540 0.0150 0.0000 0.0000 0.0158
7.1000 35000.0000 -2.5000 0.9607 0.3569 0.0480 0.0352 0.0208 0.0532 0.0149 0.0000 0.0000 0.0140
7.1000 35000.0000 -2.7500 0.9839 0.1747 0.0661 0.0293 0.0203 0.0521 0.0146 0.0000 0.0000 0.0122
