#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 30000.0000 -1.5700 0.6850 0.8912 0.0199 0.0439 0.0209 0.0539 0.0150 0.0000 0.0000 0.0171
7.1000 30000.0000 -1.8200 0.7937 0.7229 0.0258 0.0421 0.0208 0.0535 0.0149 0.0000 0.0000 0.0163
7.1000 30000.0000 -2.0700 0.8941 0.5605 0.0341 0.0397 0.0203 0.0522 0.0145 0.0000 0.0000 0.0152
7.1000 30000.0000 -2.3200 0.9809 0.3989 0.0460 0.0364 0.0191 0.0490 0.0137 0.0000 0.0000 0.0136
7.1000 30000.0000 -2.5700 1.0354 0.2474 0.0615 0.0321 0.0175 0.0449 0.0125 0.0000 0.0000 0.0116
7.1000 30000.0000 -2.8100 1.0306 0.1171 0.0805 0.0266 0.0160 0.0411 0.0115 0.0000 0.0000 0.0096
7.1000 30000.0000 -3.0500 0.9328 0.0380 0.1033 0.0201 0.0150 0.0383 0.0108 0.0000 0.0000 0.0077
7.1000 30000.0000 -3.2800 0.7912 0.0106 0.1245 0.0138 0.0143 0.0365 0.0103 0.0000 0.0000 0.0061
7.1000 30000.0000 -3.5100 0.6554 0.0029 0.1403 0.0088 0.0135 0.0346 0.0098 0.0000 0.0000 0.0048
7.1000 30000.0000 -3.7500 0.5428 0.0000 0.1486 0.0053 0.0124 0.0319 0.0090 0.0000 0.0000 0.0037
7.1000 30000.0000 -4.0000 0.4473 0.0000 0.1521 0.0031 0.0110 0.0281 0.0079 0.0000 0.0000 0.0028
7.1000 32500.0000 -1.5700 0.5349 1.1171 0.0177 0.0453 0.0210 0.0544 0.0151 0.0000 0.0000 0.0178
7.1000 32500.0000 -1.8200 0.6364 0.9432 0.0223 0.0439 0.0211 0.0543 0.0151 0.0000 0.0000 0.0172
7.1000 32500.0000 -2.0700 0.7418 0.7676 0.0285 0.0419 0.0210 0.0540 0.0150 0.0000 0.0000 0.0164
7.1000 32500.0000 -2.3200 0.8478 0.5819 0.0377 0.0390 0.0207 0.0532 0.0148 0.0000 0.0000 0.0153
7.1000 32500.0000 -2.5600 0.9371 0.3949 0.0506 0.0351 0.0201 0.0515 0.0144 0.0000 0.0000 0.0138
7.1000 32500.0000 -2.8000 0.9855 0.2144 0.0675 0.0298 0.0191 0.0490 0.0137 0.0000 0.0000 0.0118
7.1000 32500.0000 -3.0600 0.9395 0.0742 0.0906 0.0228 0.0181 0.0464 0.0130 0.0000 0.0000 0.0096
7.1000 32500.0000 -3.2800 0.8215 0.0225 0.1127 0.0165 0.0173 0.0443 0.0125 0.0000 0.0000 0.0078
7.1000 32500.0000 -3.5200 0.6861 0.0061 0.1322 0.0108 0.0163 0.0417 0.0118 0.0000 0.0000 0.0061
7.1000 32500.0000 -3.7500 0.5680 0.0017 0.1447 0.0067 0.0150 0.0384 0.0108 0.0000 0.0000 0.0048
7.1000 32500.0000 -4.0000 0.4672 0.0000 0.1517 0.0040 0.0133 0.0342 0.0097 0.0000 0.0000 0.0036
7.1000 35000.0000 -1.5700 0.4203 1.2996 0.0165 0.0458 0.0211 0.0546 0.0152 0.0000 0.0000 0.0181
7.1000 35000.0000 -1.8200 0.5067 1.1300 0.0202 0.0448 0.0212 0.0546 0.0152 0.0000 0.0000 0.0177
7.1000 35000.0000 -2.0600 0.6046 0.9519 0.0253 0.0433 0.0212 0.0545 0.0152 0.0000 0.0000 0.0171
7.1000 35000.0000 -2.3100 0.7136 0.7556 0.0327 0.0408 0.0211 0.0543 0.0151 0.0000 0.0000 0.0162
7.1000 35000.0000 -2.5600 0.8218 0.5434 0.0434 0.0372 0.0209 0.0536 0.0150 0.0000 0.0000 0.0149
7.1000 35000.0000 -2.8000 0.9090 0.3233 0.0583 0.0321 0.0205 0.0525 0.0147 0.0000 0.0000 0.0132
