#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 1.000 -4.01 0.5376 0.0182 0.1567 0.0097 0.0234 0.0600 0.0170 0.0000 0.0000 0.0083 0.0264
7.1 0.806 -4.00 0.5842 0.0219 0.1265 0.0108 0.0208 0.0530 0.0149 0.0000 0.0000 0.0083 0.0265
7.1 0.515 -3.99 0.6213 0.0294 0.1188 0.0120 0.0203 0.0518 0.0146 0.0000 0.0000 0.0085 0.0267
7.1 0.242 -3.97 0.6372 0.0355 0.1146 0.0127 0.0199 0.0508 0.0143 0.0000 0.0000 0.0087 0.0266
7.1 0.110 -3.97 0.6263 0.0358 0.1099 0.0125 0.0191 0.0488 0.0138 0.0010 0.0000 0.0085 0.0259
7.1 0.065 -3.97 0.6452 0.0367 0.1123 0.0129 0.0194 0.0494 0.0139 0.0013 0.0000 0.0087 0.0266
7.1 0.038 -3.97 0.5694 0.0320 0.0986 0.0114 0.0170 0.0433 0.0122 0.0015 0.0000 0.0077 0.0234
7.1 0.016 -3.97 0.4170 0.0237 0.0717 0.0084 0.0125 0.0320 0.0091 0.0023 0.0000 0.0056 0.0171
7.1 1.000 -3.75 0.6154 0.0650 0.1301 0.0144 0.0229 0.0586 0.0165 0.0000 0.0000 0.0096 0.0266
7.1 0.796 -3.73 0.6698 0.0793 0.1040 0.0164 0.0208 0.0529 0.0149 0.0000 0.0000 0.0098 0.0266
7.1 0.533 -3.72 0.6968 0.1044 0.0962 0.0181 0.0205 0.0524 0.0147 0.0000 0.0000 0.0102 0.0262
7.1 0.231 -3.69 0.7003 0.1290 0.0900 0.0192 0.0200 0.0512 0.0144 0.0011 0.0000 0.0104 0.0252
7.1 0.109 -3.68 0.6853 0.1304 0.0858 0.0189 0.0192 0.0491 0.0138 0.0016 0.0000 0.0102 0.0243
