#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 1.000 -4.01 0.5410 0.0310 0.1791 0.0109 0.0245 0.0627 0.0177 0.0410 0.0000 0.0096 0.0282 0.0000 0.0277
7.1 0.797 -4.00 0.5908 0.0364 0.1322 0.0121 0.0206 0.0524 0.0147 0.0388 0.0000 0.0095 0.0280 0.0000 0.0319
7.1 0.496 -3.99 0.6417 0.0506 0.1183 0.0139 0.0193 0.0491 0.0138 0.0401 0.0000 0.0097 0.0279 0.0000 0.0383
7.1 0.207 -3.97 0.6750 0.0649 0.1138 0.0152 0.0189 0.0480 0.0135 0.0424 0.0000 0.0100 0.0281 0.0000 0.0444
7.1 0.101 -3.97 0.6798 0.0666 0.1117 0.0155 0.0186 0.0470 0.0132 0.0435 0.0000 0.0100 0.0281 0.0000 0.0464
7.1 0.066 -3.97 0.6818 0.0651 0.1110 0.0156 0.0184 0.0465 0.0130 0.0439 0.0000 0.0101 0.0281 0.0000 0.0469
7.1 0.021 -3.97 0.6605 0.0607 0.1061 0.0151 0.0176 0.0445 0.0125 0.0457 0.0000 0.0097 0.0272 0.0000 0.0463
7.1 0.026 -3.97 0.6735 0.0612 0.1082 0.0154 0.0178 0.0447 0.0125 0.0451 0.0000 0.0099 0.0278 0.0000 0.0471
7.1 1.000 -3.76 0.5907 0.1089 0.1440 0.0155 0.0220 0.0561 0.0158 0.0547 0.0000 0.0106 0.0272 0.0000 0.0537
7.1 0.757 -3.74 0.6516 0.1346 0.1030 0.0180 0.0184 0.0469 0.0132 0.0585 0.0000 0.0108 0.0266 0.0000 0.0645
7.1 0.487 -3.71 0.6774 0.1801 0.0921 0.0204 0.0176 0.0447 0.0125 0.0663 0.0000 0.0112 0.0258 0.0000 0.0770
7.1 0.213 -3.69 0.6799 0.2240 0.0863 0.0220 0.0170 0.0432 0.0121 0.0740 0.0000 0.0116 0.0248 0.0000 0.0882
7.1 0.113 -3.68 0.6861 0.2288 0.0844 0.0223 0.0167 0.0423 0.0118 0.0760 0.0000 0.0117 0.0247 0.0000 0.0920
7.1 0.064 -3.68 0.6937 0.2232 0.0835 0.0224 0.0165 0.0417 0.0116 0.0767 0.0000 0.0116 0.0248 0.0000 0.0933
7.1 0.021 -3.68 0.6756 0.2092 0.0793 0.0217 0.0157 0.0397 0.0111 0.0787 0.0000 0.0112 0.0241 0.0000 0.0916
7.1 0.027 -3.68 0.6907 0.2108 0.0809 0.0221 0.0159 0.0400 0.0111 0.0780 0.0000 0.0114 0.0246 0.0000 0.0930
7.1 1.000 -3.52 0.5422 0.2857 0.1116 0.0207 0.0199 0.0508 0.0143 0.0679 0.0000 0.0116 0.0228 0.0018 0.0970
