#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 30000 -3.96 0.4473 0.0000 0.1521 0.0031 0.0110 0.0281 0.0079 0.0000 0.0000 0.0028 0.0226 0.0000 0.0013
7.1 30000 -3.68 0.5428 0.0000 0.1486 0.0053 0.0124 0.0319 0.0090 0.0000 0.0000 0.0037 0.0250 0.0000 0.0050
7.1 30000 -3.39 0.6554 0.0029 0.1403 0.0088 0.0135 0.0346 0.0098 0.0000 0.0000 0.0048 0.0275 0.0000 0.0114
7.1 30000 -3.06 0.7912 0.0106 0.1245 0.0138 0.0143 0.0365 0.0103 0.0000 0.0000 0.0061 0.0295 0.0000 0.0270
7.1 30000 -2.68 0.9328 0.0380 0.1033 0.0201 0.0150 0.0383 0.0108 0.0000 0.0000 0.0077 0.0295 0.0000 0.0598
7.1 30000 -2.22 1.0306 0.1171 0.0805 0.0266 0.0160 0.0411 0.0115 0.0000 0.0000 0.0096 0.0271 0.0000 0.1178
7.1 30000 -1.73 1.0354 0.2474 0.0615 0.0321 0.0175 0.0449 0.0125 0.0000 0.0000 0.0116 0.0236 0.0000 0.1863
7.1 30000 -1.24 0.9809 0.3989 0.0460 0.0364 0.0191 0.0490 0.0137 0.0000 0.0000 0.0136 0.0197 0.0019 0.2547
7.1 30000 -0.77 0.8941 0.5605 0.0341 0.0397 0.0203 0.0522 0.0145 0.0000 0.0000 0.0152 0.0158 0.0075 0.3232
7.1 30000 -0.34 0.7937 0.7229 0.0258 0.0421 0.0208 0.0535 0.0149 0.0000 0.0000 0.0163 0.0125 0.0219 0.3911
7.1 30000 0.08 0.6850 0.8912 0.0199 0.0439 0.0209 0.0539 0.0150 0.0000 0.0000 0.0171 0.0097 0.0495 0.4648
7.1 32500 -3.96 0.4672 0.0000 0.1517 0.0040 0.0133 0.0342 0.0097 0.0000 0.0000 0.0036 0.0233 0.0000 0.0032
7.1 32500 -3.68 0.5680 0.0017 0.1447 0.0067 0.0150 0.0384 0.0108 0.0000 0.0000 0.0048 0.0257 0.0000 0.0075
7.1 32500 -3.39 0.6861 0.0061 0.1322 0.0108 0.0163 0.0417 0.0118 0.0000 0.0000 0.0061 0.0280 0.0000 0.0173
7.1 32500 -3.06 0.8215 0.0225 0.1127 0.0165 0.0173 0.0443 0.0125 0.0000 0.0000 0.0078 0.0291 0.0000 0.0395
7.1 32500 -2.69 0.9395 0.0742 0.0906 0.0228 0.0181 0.0464 0.0130 0.0000 0.0000 0.0096 0.0276 0.0000 0.0815
7.1 32500 -2.20 0.9855 0.2144 0.0675 0.0298 0.0191 0.0490 0.0137 0.0000 0.0000 0.0118 0.0237 0.0000 0.1576
7.1 32500 -1.71 0.9371 0.3949 0.0506 0.0351 0.0201 0.0515 0.0144 0.0000 0.0000 0.0138 0.0197 0.0000 0.2397
7.1 32500 -1.22 0.8478 0.5819 0.0377 0.0390 0.0207 0.0532 0.0148 0.0000 0.0000 0.0153 0.0158 0.0040 0.3196
7.1 32500 -0.75 0.7418 0.7676 0.0285 0.0419 0.0210 0.0540 0.0150 0.0000 0.0000 0.0164 0.0125 0.0125 0.3982
7.1 32500 -0.32 0.6364 0.9432 0.0223 0.0439 0.0211 0.0543 0.0151 0.0000 0.0000 0.0172 0.0098 0.0278 0.4769
7.1 32500 0.10 0.5349 1.1171 0.0177 0.0453 0.0210 0.0544 0.0151 0.0000 0.0000 0.0178 0.0077 0.0530 0.5641
7.1 35000 -3.96 0.4843 0.0000 0.1510 0.0048 0.0153 0.0393 0.0111 0.0000 0.0000 0.0043 0.0239 0.0000 0.0045
7.1 35000 -3.68 0.5892 0.0031 0.1408 0.0081 0.0170 0.0434 0.0123 0.0000 0.0000 0.0057 0.0262 0.0000 0.0105
7.1 35000 -3.39 0.7088 0.0111 0.1250 0.0126 0.0182 0.0466 0.0131 0.0000 0.0000 0.0072 0.0282 0.0000 0.0237
7.1 35000 -3.05 0.8410 0.0419 0.1024 0.0189 0.0192 0.0491 0.0138 0.0000 0.0000 0.0091 0.0283 0.0000 0.0532
7.1 35000 -2.67 0.9259 0.1314 0.0794 0.0255 0.0199 0.0510 0.0143 0.0000 0.0000 0.0110 0.0254 0.0000 0.1058
7.1 35000 -2.19 0.9090 0.3233 0.0583 0.0321 0.0205 0.0525 0.0147 0.0000 0.0000 0.0132 0.0207 0.0000 0.1918
7.1 35000 -1.69 0.8218 0.5434 0.0434 0.0372 0.0209 0.0536 0.0150 0.0000 0.0000 0.0149 0.0166 0.0020 0.2865
7.1 35000 -1.19 0.7136 0.7556 0.0327 0.0408 0.0211 0.0543 0.0151 0.0000 0.0000 0.0162 0.0130 0.0070 0.3786
7.1 35000 -0.72 0.6046 0.9519 0.0253 0.0433 0.0212 0.0545 0.0152 0.0000 0.0000 0.0171 0.0102 0.0169 0.4681
7.1 35000 -0.29 0.5067 1.1300 0.0202 0.0448 0.0212 0.0546 0.0152 0.0000 0.0000 0.0177 0.0080 0.0323 0.5580
7.1 35000 0.12 0.4203 1.2996 0.0165 0.0458 0.0211 0.0546 0.0152 0.0000 0.0000 0.0181 0.0064 0.0570 0.6563
7.1 37500 -3.96 0.4989 0.0014 0.1502 0.0057 0.0170 0.0435 0.0123 0.0000 0.0000 0.0050 0.0244 0.0000 0.0058
7.1 37500 -3.68 0.6062 0.0051 0.1373 0.0092 0.0184 0.0471 0.0133 0.0000 0.0000 0.0064 0.0266 0.0000 0.0136
7.1 37500 -3.39 0.7260 0.0182 0.1190 0.0142 0.0194 0.0498 0.0140 0.0000 0.0000 0.0080 0.0282 0.0000 0.0302
7.1 37500 -3.05 0.8436 0.0668 0.0950 0.0207 0.0202 0.0517 0.0145 0.0000 0.0000 0.0099 0.0273 0.0000 0.0654
7.1 37500 -2.65 0.8863 0.2032 0.0713 0.0276 0.0207 0.0530 0.0149 0.0000 0.0000 0.0120 0.0231 0.0000 0.1286
7.1 37500 -2.18 0.8205 0.4335 0.0525 0.0338 0.0210 0.0539 0.0151 0.0000 0.0000 0.0139 0.0183 0.0000 0.2219
7.1 37500 -1.67 0.7105 0.6799 0.0390 0.0386 0.0212 0.0544 0.0152 0.0000 0.0000 0.0155 0.0142 0.0036 0.3281
7.1 37500 -1.17 0.5988 0.9019 0.0298 0.0419 0.0212 0.0547 0.0152 0.0000 0.0000 0.0166 0.0111 0.0102 0.4302
7.1 37500 -0.70 0.4966 1.1005 0.0234 0.0439 0.0212 0.0548 0.0152 0.0000 0.0000 0.0174 0.0086 0.0214 0.5299
7.1 37500 -0.25 0.4071 1.2844 0.0189 0.0450 0.0212 0.0547 0.0152 0.0000 0.0000 0.0178 0.0068 0.0398 0.6347
7.1 37500 0.17 0.3346 1.4513 0.0158 0.0454 0.0211 0.0546 0.0152 0.0000 0.0011 0.0180 0.0055 0.0682 0.7447
7.1 40000 -3.96 0.5110 0.0021 0.1495 0.0064 0.0183 0.0468 0.0132 0.0000 0.0000 0.0056 0.0248 0.0000 0.0073
7.1 40000 -3.68 0.6199 0.0077 0.1343 0.0103 0.0194 0.0498 0.0141 0.0000 0.0000 0.0071 0.0269 0.0000 0.0168
7.1 40000 -3.38 0.7403 0.0286 0.1135 0.0157 0.0203 0.0519 0.0146 0.0000 0.0000 0.0088 0.0280 0.0000 0.0373
7.1 40000 -3.04 0.8357 0.1002 0.0888 0.0223 0.0208 0.0532 0.0150 0.0000 0.0000 0.0106 0.0260 0.0000 0.0779
7.1 40000 -2.62 0.8288 0.2878 0.0650 0.0294 0.0211 0.0541 0.0151 0.0000 0.0000 0.0127 0.0209 0.0000 0.1516
7.1 40000 -2.14 0.7261 0.5526 0.0475 0.0353 0.0212 0.0545 0.0152 0.0000 0.0000 0.0146 0.0161 0.0017 0.2552
7.1 40000 -1.61 0.6041 0.8177 0.0353 0.0398 0.0213 0.0547 0.0153 0.0000 0.0000 0.0160 0.0122 0.0063 0.3746
7.1 40000 -1.10 0.4954 1.0450 0.0272 0.0426 0.0213 0.0548 0.0153 0.0000 0.0000 0.0169 0.0094 0.0154 0.4880
7.1 40000 -0.63 0.4045 1.2406 0.0218 0.0440 0.0212 0.0548 0.0152 0.0000 0.0000 0.0174 0.0074 0.0306 0.5971
7.1 40000 -0.16 0.3261 1.4275 0.0178 0.0446 0.0211 0.0547 0.0152 0.0000 0.0012 0.0177 0.0058 0.0569 0.7167
7.1 40000 0.27 0.2664 1.5927 0.0151 0.0443 0.0210 0.0545 0.0151 0.0000 0.0018 0.0176 0.0047 0.0949 0.8384
7.1 45000 -3.96 0.5294 0.0040 0.1488 0.0077 0.0202 0.0516 0.0146 0.0000 0.0000 0.0066 0.0255 0.0000 0.0103
7.1 45000 -3.68 0.6380 0.0148 0.1303 0.0120 0.0208 0.0534 0.0151 0.0000 0.0000 0.0080 0.0273 0.0000 0.0230
7.1 45000 -3.37 0.7468 0.0555 0.1062 0.0178 0.0212 0.0544 0.0153 0.0000 0.0000 0.0097 0.0273 0.0000 0.0499
7.1 45000 -3.02 0.7888 0.1825 0.0805 0.0246 0.0214 0.0548 0.0154 0.0000 0.0000 0.0116 0.0235 0.0000 0.1004
7.1 45000 -2.60 0.7063 0.4339 0.0584 0.0313 0.0215 0.0550 0.0154 0.0000 0.0000 0.0135 0.0178 0.0000 0.1846
7.1 45000 -2.10 0.5724 0.7348 0.0424 0.0369 0.0214 0.0550 0.0154 0.0000 0.0000 0.0152 0.0131 0.0045 0.3056
7.1 45000 -1.58 0.4597 0.9973 0.0323 0.0404 0.0214 0.0549 0.0153 0.0000 0.0000 0.0163 0.0099 0.0135 0.4374
7.1 45000 -1.07 0.3685 1.2203 0.0256 0.0422 0.0213 0.0548 0.0152 0.0000 0.0000 0.0168 0.0077 0.0315 0.5648
7.1 45000 -0.58 0.2954 1.4157 0.0208 0.0427 0.0211 0.0546 0.0152 0.0013 0.0014 0.0169 0.0061 0.0633 0.6899
7.1 45000 -0.12 0.2392 1.5888 0.0175 0.0422 0.0210 0.0543 0.0151 0.0019 0.0021 0.0167 0.0049 0.1107 0.8140
7.1 45000 0.31 0.1964 1.7439 0.0153 0.0410 0.0208 0.0539 0.0149 0.0027 0.0030 0.0162 0.0041 0.1702 0.9374
7.1 50000 -3.96 0.5417 0.0066 0.1494 0.0086 0.0214 0.0549 0.0155 0.0000 0.0000 0.0073 0.0260 0.0000 0.0133
7.1 50000 -3.68 0.6467 0.0239 0.1281 0.0132 0.0217 0.0556 0.0157 0.0000 0.0000 0.0087 0.0274 0.0000 0.0287
7.1 50000 -3.37 0.7343 0.0866 0.1026 0.0191 0.0218 0.0557 0.0157 0.0011 0.0000 0.0104 0.0264 0.0000 0.0598
7.1 50000 -3.02 0.7256 0.2583 0.0769 0.0258 0.0217 0.0556 0.0156 0.0012 0.0000 0.0121 0.0217 0.0000 0.1158
7.1 50000 -2.59 0.6018 0.5486 0.0552 0.0323 0.0216 0.0553 0.0155 0.0013 0.0000 0.0139 0.0157 0.0021 0.2091
7.1 50000 -2.08 0.4666 0.8578 0.0403 0.0372 0.0214 0.0550 0.0154 0.0015 0.0000 0.0153 0.0114 0.0093 0.3418
7.1 50000 -1.56 0.3681 1.1140 0.0312 0.0398 0.0213 0.0548 0.0153 0.0019 0.0000 0.0160 0.0087 0.0273 0.4830
7.1 50000 -1.04 0.2918 1.3321 0.0250 0.0407 0.0211 0.0544 0.0151 0.0025 0.0014 0.0162 0.0067 0.0645 0.6193
7.1 50000 -0.63 0.2428 1.4882 0.0215 0.0404 0.0209 0.0541 0.0150 0.0032 0.0021 0.0160 0.0056 0.1129 0.7252
7.1 50000 -0.16 0.1968 1.6552 0.0184 0.0393 0.0207 0.0536 0.0149 0.0045 0.0030 0.0155 0.0046 0.1890 0.8470
7.1 50000 0.35 0.1573 1.8241 0.0158 0.0371 0.0203 0.0528 0.0146 0.0067 0.0041 0.0146 0.0037 0.2940 0.9785
