#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.1 30000.0 -3.5 0.6336 0.0021 0.1427 0.0079 0.0342 0.0
7.1 32500.0 -3.5 0.6635 0.0044 0.1352 0.0099 0.0413 0.0
7.1 35000.0 -3.5 0.6877 0.0081 0.1284 0.0116 0.0462 0.0
7.1 37500.0 -3.5 0.705 0.0134 0.1225 0.0132 0.0495 0.0
7.1 40000.0 -3.5 0.7177 0.0203 0.1179 0.0144 0.0516 0.0
7.1 45000.0 -3.5 0.7287 0.0385 0.1114 0.0164 0.0542 0.0
7.1 50000.0 -3.5 0.7253 0.0612 0.1077 0.0177 0.0556 0.001
7.1 55000.0 -3.5 0.713 0.0858 0.106 0.0186 0.0564 0.0023
7.1 60000.0 -3.5 0.696 0.1107 0.1055 0.0191 0.0568 0.0045
7.1 70000.0 -3.5 0.6573 0.1555 0.1067 0.0197 0.0567 0.0125
7.1 80000.0 -3.5 0.6231 0.189 0.1094 0.0198 0.0556 0.0258
7.1 90000.0 -3.5 0.5963 0.2123 0.1126 0.0197 0.0537 0.0438
7.1 30000.0 -3.25 0.7548 0.0062 0.1305 0.0122 0.036 0.0
7.1 32500.0 -3.25 0.7877 0.0136 0.119 0.0147 0.0438 0.0
7.1 35000.0 -3.25 0.8094 0.0251 0.1093 0.0169 0.0487 0.0
7.1 37500.0 -3.25 0.8211 0.0411 0.1018 0.0187 0.0514 0.0
7.1 40000.0 -3.25 0.8227 0.0613 0.096 0.0202 0.053 0.0
7.1 45000.0 -3.25 0.8025 0.1117 0.0883 0.0223 0.0546 0.0
7.1 50000.0 -3.25 0.7626 0.169 0.084 0.0236 0.0555 0.0012
7.1 55000.0 -3.25 0.7158 0.2242 0.082 0.0244 0.0558 0.0026
7.1 60000.0 -3.25 0.6698 0.2731 0.0812 0.0248 0.0558 0.0051
