#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
#Spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.1 90000.0 -4.01 0.5477 0.0283 0.1721 0.0109 0.0628 0.0272
7.1 80000.0 -4.01 0.5526 0.0242 0.1653 0.0108 0.0625 0.0157
7.1 70000.0 -4.01 0.5555 0.0189 0.1587 0.0105 0.0613 0.0074
7.1 60000.0 -4.01 0.5538 0.0127 0.1529 0.0099 0.059 0.0026
7.1 55000.0 -4.01 0.5496 0.0095 0.1508 0.0093 0.0572 0.0013
7.1 50000.0 -4.01 0.542 0.0066 0.1494 0.0086 0.0549 0.0
7.1 45000.0 -4.01 0.5298 0.004 0.1489 0.0077 0.0516 0.0
7.1 30000.0 -4.0 0.4474 0.0 0.1521 0.0031 0.0281 0.0
7.1 32500.0 -4.0 0.4674 0.0 0.1517 0.004 0.0342 0.0
7.1 35000.0 -4.0 0.4846 0.0 0.151 0.0048 0.0393 0.0
7.1 37500.0 -4.0 0.4991 0.0014 0.1501 0.0057 0.0435 0.0
7.1 40000.0 -4.0 0.5113 0.0021 0.1495 0.0064 0.0468 0.0
7.1 90000.0 -3.76 0.6037 0.0964 0.1399 0.0154 0.0577 0.0364
7.1 80000.0 -3.76 0.6181 0.0838 0.1351 0.0154 0.0587 0.0213
7.1 70000.0 -3.76 0.6337 0.0662 0.131 0.0152 0.0588 0.0103
7.1 60000.0 -3.76 0.646 0.0452 0.1281 0.0146 0.058 0.0037
7.1 55000.0 -3.76 0.6488 0.0343 0.1276 0.014 0.057 0.0019
7.1 50000.0 -3.76 0.6471 0.0239 0.1281 0.0132 0.0556 0.0
7.1 45000.0 -3.76 0.6383 0.0148 0.1302 0.012 0.0534 0.0
7.1 30000.0 -3.75 0.5429 0.0 0.1486 0.0053 0.0319 0.0
7.1 40000.0 -3.75 0.6202 0.0077 0.1343 0.0103 0.0498 0.0
7.1 32500.0 -3.75 0.5682 0.0017 0.1447 0.0067 0.0384 0.0
7.1 37500.0 -3.75 0.6065 0.0051 0.1373 0.0092 0.0471 0.0
7.1 35000.0 -3.75 0.5894 0.0031 0.1408 0.0081 0.0434 0.0
7.1 37500.0 -3.52 0.7262 0.0182 0.119 0.0142 0.0498 0.0
7.1 35000.0 -3.52 0.709 0.0111 0.1249 0.0126 0.0466 0.0
7.1 32500.0 -3.52 0.6863 0.0061 0.1323 0.0108 0.0417 0.0
7.1 30000.0 -3.51 0.6555 0.0029 0.1403 0.0088 0.0346 0.0
7.1 40000.0 -3.51 0.7406 0.0286 0.1135 0.0157 0.0519 0.0
7.1 55000.0 -3.51 0.7134 0.1192 0.101 0.02 0.0565 0.0024
7.1 50000.0 -3.51 0.7348 0.0866 0.1026 0.0191 0.0557 0.0011
7.1 45000.0 -3.5 0.7471 0.0555 0.1062 0.0178 0.0544 0.0
7.1 90000.0 -3.51 0.5626 0.2767 0.1071 0.0211 0.0532 0.0459
7.1 80000.0 -3.51 0.5936 0.2506 0.1039 0.0212 0.0553 0.027
7.1 70000.0 -3.5 0.6354 0.2115 0.1012 0.0212 0.0566 0.0131
7.1 60000.0 -3.5 0.6874 0.1563 0.0998 0.0207 0.0568 0.0047
7.1 30000.0 -3.28 0.7914 0.0106 0.1245 0.0138 0.0365 0.0
7.1 32500.0 -3.28 0.8217 0.0225 0.1127 0.0165 0.0443 0.0
7.1 37500.0 -3.27 0.8438 0.0668 0.095 0.0207 0.0517 0.0
7.1 35000.0 -3.27 0.8412 0.0419 0.1023 0.0189 0.0491 0.0
7.1 40000.0 -3.27 0.836 0.1002 0.0889 0.0223 0.0532 0.0
7.1 50000.0 -3.26 0.7261 0.2583 0.0769 0.0258 0.0556 0.0012
7.1 45000.0 -3.26 0.7892 0.1825 0.0805 0.0246 0.0548 0.0
7.1 90000.0 -3.27 0.4414 0.5284 0.0794 0.0262 0.05 0.0519
7.1 80000.0 -3.27 0.4754 0.5055 0.0773 0.0267 0.0529 0.0303
7.1 70000.0 -3.27 0.527 0.4624 0.0753 0.027 0.0549 0.0146
7.1 60000.0 -3.26 0.6072 0.3867 0.0742 0.027 0.0558 0.0053
7.1 55000.0 -3.26 0.6614 0.3319 0.0746 0.0267 0.0558 0.0027
7.1 32500.0 -3.06 0.9397 0.0742 0.0906 0.0228 0.0464 0.0
7.1 30000.0 -3.05 0.933 0.038 0.1032 0.0201 0.0383 0.0
7.1 35000.0 -3.05 0.9261 0.1314 0.0794 0.0255 0.051 0.0
7.1 37500.0 -3.04 0.8867 0.2032 0.0713 0.0276 0.053 0.0
7.1 40000.0 -3.02 0.8291 0.2878 0.065 0.0294 0.0541 0.0
7.1 45000.0 -3.02 0.7067 0.4339 0.0583 0.0313 0.055 0.0
7.1 50000.0 -3.02 0.6024 0.5486 0.0552 0.0323 0.0553 0.0013
7.1 55000.0 -3.02 0.5219 0.6351 0.0538 0.0327 0.0553 0.003
7.1 90000.0 -3.03 0.3232 0.7784 0.0572 0.0292 0.0477 0.0556
7.1 80000.0 -3.02 0.3478 0.7863 0.0557 0.0305 0.051 0.0324
7.1 70000.0 -3.02 0.3878 0.7669 0.0541 0.0318 0.0535 0.0157
7.1 60000.0 -3.01 0.4594 0.7045 0.053 0.0327 0.0549 0.0057
7.1 30000.0 -2.81 1.0309 0.1171 0.0805 0.0266 0.0411 0.0
7.1 32500.0 -2.8 0.9858 0.2144 0.0674 0.0298 0.049 0.0
7.1 35000.0 -2.8 0.9093 0.3233 0.0584 0.0321 0.0525 0.0
7.1 37500.0 -2.8 0.8209 0.4335 0.0524 0.0338 0.0539 0.0
7.1 40000.0 -2.79 0.7266 0.5526 0.0475 0.0353 0.0545 0.0
7.1 45000.0 -2.77 0.5731 0.7348 0.0424 0.0369 0.055 0.0
7.1 50000.0 -2.77 0.4672 0.8578 0.0403 0.0372 0.055 0.0015
7.1 55000.0 -2.77 0.3967 0.9375 0.0397 0.0368 0.0547 0.0034
7.1 90000.0 -2.8 0.2482 0.9416 0.0437 0.0294 0.0457 0.0605
7.1 80000.0 -2.79 0.2651 0.9995 0.0425 0.0315 0.0495 0.0356
7.1 70000.0 -2.78 0.2937 1.0224 0.041 0.0338 0.0523 0.0174
7.1 60000.0 -2.77 0.3484 0.9892 0.0398 0.036 0.0542 0.0064
7.1 30000.0 -2.57 1.0356 0.2474 0.0615 0.0321 0.0449 0.0
7.1 32500.0 -2.56 0.9374 0.3949 0.0505 0.0351 0.0515 0.0
7.1 35000.0 -2.56 0.8223 0.5434 0.0435 0.0372 0.0536 0.0
7.1 37500.0 -2.55 0.711 0.6799 0.039 0.0386 0.0544 0.0
7.1 40000.0 -2.53 0.6047 0.8177 0.0353 0.0398 0.0547 0.0
7.1 45000.0 -2.53 0.4603 0.9973 0.0323 0.0404 0.0549 0.0
7.1 50000.0 -2.53 0.3688 1.114 0.0312 0.0398 0.0548 0.0019
7.1 55000.0 -2.52 0.3099 1.1883 0.031 0.0386 0.0543 0.0041
7.1 90000.0 -2.55 0.1966 1.0465 0.0349 0.0281 0.0435 0.0685
7.1 80000.0 -2.54 0.2089 1.1524 0.034 0.0306 0.0478 0.0411
7.1 70000.0 -2.53 0.2298 1.224 0.0326 0.0336 0.0512 0.0206
7.1 60000.0 -2.52 0.271 1.2299 0.0313 0.037 0.0535 0.0078
7.1 30000.0 -2.32 0.9812 0.3989 0.046 0.0364 0.049 0.0
7.1 32500.0 -2.32 0.8482 0.5819 0.0377 0.039 0.0532 0.0
7.1 35000.0 -2.31 0.7141 0.7556 0.0327 0.0408 0.0543 0.0
7.1 37500.0 -2.3 0.5994 0.9019 0.0298 0.0419 0.0547 0.0
7.1 40000.0 -2.28 0.496 1.045 0.0272 0.0426 0.0548 0.0
7.1 45000.0 -2.27 0.3693 1.2203 0.0255 0.0422 0.0548 0.0
7.1 50000.0 -2.27 0.2926 1.3321 0.0251 0.0407 0.0544 0.0025
7.1 55000.0 -2.27 0.2461 1.3943 0.0253 0.0386 0.0537 0.0054
7.1 90000.0 -2.31 0.1599 1.1076 0.029 0.0261 0.0411 0.0796
7.1 80000.0 -2.3 0.1691 1.2583 0.0282 0.0289 0.0459 0.0489
7.1 70000.0 -2.28 0.1848 1.375 0.0271 0.0323 0.0499 0.0253
7.1 60000.0 -2.27 0.216 1.4196 0.0257 0.0364 0.0527 0.01
7.1 30000.0 -2.07 0.8946 0.5605 0.0341 0.0397 0.0522 0.0
7.1 32500.0 -2.07 0.7423 0.7676 0.0285 0.0419 0.054 0.0
7.1 35000.0 -2.06 0.6052 0.9519 0.0252 0.0433 0.0545 0.0
7.1 37500.0 -2.06 0.4972 1.1005 0.0234 0.0439 0.0548 0.0
7.1 90000.0 -2.12 0.1386 1.1269 0.0256 0.0245 0.0391 0.0895
7.1 80000.0 -2.11 0.1463 1.3107 0.025 0.0273 0.0443 0.0563
7.1 70000.0 -2.1 0.1591 1.4636 0.0241 0.0308 0.0487 0.03
7.1 60000.0 -2.08 0.1845 1.5388 0.0227 0.0353 0.052 0.0123
7.1 55000.0 -2.07 0.2075 1.5326 0.022 0.0379 0.0532 0.0068
7.1 50000.0 -2.05 0.2435 1.4882 0.0215 0.0404 0.0541 0.0032
7.1 40000.0 -2.03 0.4053 1.2406 0.0218 0.044 0.0548 0.0
7.1 45000.0 -2.01 0.2962 1.4157 0.0208 0.0427 0.0546 0.0013
7.1 30000.0 -1.82 0.7942 0.7229 0.0258 0.0421 0.0535 0.0
7.1 32500.0 -1.82 0.637 0.9432 0.0222 0.0439 0.0543 0.0
7.1 35000.0 -1.82 0.5073 1.13 0.0202 0.0448 0.0546 0.0
