#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
#12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.1 1.000 -4.01 0.5382 0.0182 0.1567 0.0097 0.0234 0.06 0.0
7.1 0.515 -3.99 0.6217 0.0294 0.1188 0.012 0.0203 0.0518 0.0
7.1 0.242 -3.97 0.6376 0.0355 0.1146 0.0127 0.0199 0.0508 0.0
7.1 0.110 -3.97 0.6266 0.0358 0.1099 0.0125 0.0191 0.0488 0.001
7.1 0.065 -3.97 0.6455 0.0367 0.1124 0.0129 0.0194 0.0494 0.0013
7.1 0.038 -3.97 0.5697 0.032 0.0986 0.0114 0.017 0.0433 0.0015
7.1 0.013 -3.97 0.4172 0.0237 0.0717 0.0084 0.0125 0.032 0.0023
7.1 1.000 -3.75 0.616 0.065 0.13 0.0144 0.0229 0.0586 0.0
7.1 0.533 -3.72 0.6971 0.1044 0.0962 0.0181 0.0205 0.0524 0.0
7.1 0.231 -3.69 0.7007 0.129 0.0901 0.0192 0.02 0.0512 0.0011
7.1 0.109 -3.68 0.6857 0.1304 0.0858 0.0189 0.0192 0.0491 0.0016
7.1 0.065 -3.68 0.7073 0.1342 0.0876 0.0195 0.0195 0.0497 0.002
7.1 0.037 -3.68 0.6226 0.1171 0.0764 0.0171 0.017 0.0434 0.0024
7.1 0.013 -3.68 0.4521 0.0862 0.0551 0.0125 0.0124 0.0319 0.0034
7.1 1.000 -3.51 0.6223 0.1924 0.103 0.02 0.0224 0.0572 0.0
7.1 0.507 -3.45 0.6507 0.3155 0.0696 0.0254 0.0206 0.0525 0.0
7.1 0.208 -3.41 0.6118 0.378 0.0626 0.0264 0.02 0.0511 0.0017
7.1 0.100 -3.39 0.5848 0.3771 0.0584 0.0257 0.0191 0.0491 0.0025
7.1 0.058 -3.38 0.6104 0.3943 0.0602 0.0268 0.0195 0.0496 0.0032
7.1 0.034 -3.38 0.5288 0.3404 0.0515 0.0232 0.0167 0.0426 0.0039
7.1 0.012 -3.38 0.3736 0.2445 0.0362 0.0165 0.0119 0.0306 0.0053
7.1 1.000 -3.26 0.5172 0.4424 0.0763 0.0261 0.0219 0.056 0.0
7.1 0.507 -3.17 0.4283 0.7064 0.0433 0.0328 0.0205 0.0523 0.0012
7.1 0.211 -3.09 0.3497 0.8177 0.0363 0.034 0.0199 0.0511 0.0024
7.1 0.106 -3.05 0.3411 0.8691 0.0351 0.0352 0.0201 0.0515 0.0038
7.1 0.066 -3.04 0.3096 0.8079 0.0315 0.0324 0.0182 0.0467 0.0047
7.1 0.027 -3.02 0.3046 0.8047 0.0305 0.0321 0.0177 0.0453 0.0073
7.1 0.017 -3.02 0.2467 0.6525 0.0246 0.026 0.0143 0.0364 0.0084
7.1 1.000 -3.02 0.3803 0.7388 0.0554 0.031 0.0214 0.0549 0.0
7.1 0.499 -2.89 0.2166 1.1254 0.0241 0.0381 0.0204 0.0521 0.0014
7.1 0.200 -2.75 0.1446 1.2863 0.0173 0.0391 0.0198 0.0507 0.0033
7.1 0.113 -2.69 0.1281 1.3108 0.0153 0.0385 0.0191 0.0491 0.0054
7.1 0.055 -2.63 0.1115 1.2605 0.0132 0.0361 0.0176 0.0453 0.0087
7.1 0.025 -2.61 0.0966 1.1401 0.0113 0.0322 0.0154 0.0396 0.0132
7.1 0.012 -2.59 0.0902 1.0794 0.0105 0.0303 0.0144 0.0368 0.0184
7.1 1.000 -2.78 0.2816 1.0152 0.0413 0.0332 0.0211 0.0541 0.0
7.1 0.501 -2.62 0.1107 1.4841 0.013 0.039 0.0202 0.0517 0.0017
7.1 0.195 -2.42 0.0609 1.7231 0.0072 0.0379 0.0195 0.0503 0.0043
7.1 0.103 -2.3 0.0478 1.792 0.0054 0.036 0.0188 0.0484 0.0078
7.1 0.051 -2.2 0.0387 1.7571 0.0041 0.0328 0.0172 0.0445 0.0145
7.1 0.021 -2.13 0.0305 1.5673 0.0031 0.0278 0.0145 0.0373 0.0271
7.1 0.010 -2.1 0.0233 1.2582 0.0024 0.0219 0.0113 0.0292 0.0383
7.1 1.000 -2.53 0.2193 1.2444 0.0328 0.033 0.0208 0.0534 0.0012
7.1 0.517 -2.37 0.0679 1.7621 0.0079 0.0365 0.02 0.0513 0.0022
7.1 0.229 -2.17 0.0356 2.0526 0.0037 0.0329 0.0194 0.0501 0.0049
7.1 0.112 -2.0 0.0242 2.2176 0.0021 0.0286 0.0187 0.0484 0.0097
7.1 0.052 -1.83 0.0167 2.1986 0.0012 0.023 0.0167 0.0434 0.0203
7.1 0.021 -1.68 0.0114 1.9556 0.0 0.0173 0.0134 0.0347 0.0463
7.1 0.011 -1.6 0.0082 1.5476 0.0 0.0129 0.0099 0.0256 0.0721
7.1 1.000 -2.28 0.1759 1.4393 0.0271 0.0315 0.0205 0.0528 0.0016
7.1 0.538 -2.13 0.0466 1.9845 0.0052 0.0328 0.0197 0.0508 0.0029
7.1 0.214 -1.89 0.0214 2.3772 0.0018 0.0261 0.0191 0.0495 0.0072
7.1 0.108 -1.71 0.0137 2.5132 0.0 0.0199 0.0179 0.0465 0.014
7.1 0.059 -1.55 0.0097 2.562 0.0 0.0153 0.0166 0.0431 0.0251
7.1 0.023 -1.33 0.0059 2.3522 0.0 0.0096 0.0133 0.0346 0.0606
7.1 0.011 -1.19 0.0041 2.0206 0.0 0.0069 0.0099 0.0259 0.1165
7.1 1.000 -2.08 0.1503 1.5745 0.0238 0.0298 0.0202 0.0522 0.0021
7.1 0.500 -1.92 0.0321 2.1976 0.0033 0.0289 0.0194 0.0502 0.0041
7.1 0.210 -1.69 0.0157 2.6055 0.0011 0.0216 0.0189 0.049 0.0097
7.1 0.101 -1.49 0.0094 2.7242 0.0 0.0145 0.0173 0.0451 0.0196
7.1 0.054 -1.31 0.0062 2.7029 0.0 0.0098 0.0156 0.0407 0.0359
7.1 0.021 -1.05 0.0034 2.3748 0.0 0.005 0.0118 0.0308 0.0889
7.1 0.010 -0.89 0.0024 2.1269 0.0 0.0035 0.0088 0.023 0.1759
7.1 1.000 -1.78 0.1207 1.7624 0.0201 0.0269 0.0198 0.0513 0.0032
7.1 0.538 -1.63 0.0237 2.3948 0.0022 0.0243 0.019 0.0493 0.006
7.1 0.230 -1.41 0.011 2.8262 0.0 0.0161 0.0182 0.0473 0.0138
7.1 0.114 -1.21 0.0066 2.9842 0.0 0.0101 0.017 0.0442 0.0274
7.1 0.055 -0.98 0.0037 2.7854 0.0 0.0051 0.0143 0.0374 0.0556
7.1 0.023 -0.71 0.0019 2.3861 0.0 0.0021 0.0106 0.0278 0.1304
7.1 0.012 -0.56 0.0015 2.3022 0.0 0.0014 0.0087 0.0226 0.2424
7.1 1.000 -1.53 0.1031 1.8977 0.0179 0.0244 0.0195 0.0505 0.0047
7.1 0.539 -1.39 0.0182 2.5761 0.0015 0.0205 0.0187 0.0485 0.0086
7.1 0.222 -1.15 0.0082 3.0695 0.0 0.0122 0.0178 0.0463 0.0207
7.1 0.109 -0.94 0.0046 3.0766 0.0 0.0065 0.0159 0.0415 0.0413
7.1 0.053 -0.72 0.0025 2.783 0.0 0.0028 0.0132 0.0345 0.0827
7.1 0.022 -0.47 0.0015 2.4867 0.0 0.0012 0.0103 0.0269 0.1896
7.1 0.011 -0.28 0.0 2.094 0.0 0.0 0.0066 0.0171 0.3724
7.4 1.000 -4.01 1.0257 0.0317 0.3033 0.0186 0.0233 0.0595 0.0
7.4 0.549 -3.99 1.1712 0.0495 0.2332 0.0227 0.0204 0.0521 0.0
7.4 0.207 -3.97 1.1991 0.0619 0.221 0.0241 0.0198 0.0507 0.0
7.4 0.114 -3.97 1.183 0.062 0.2141 0.0239 0.0191 0.0489 0.0
7.4 0.068 -3.97 1.2213 0.0637 0.2192 0.0247 0.0194 0.0495 0.0011
7.4 0.039 -3.97 1.0764 0.0555 0.1919 0.0217 0.017 0.0434 0.0013
7.4 0.013 -3.97 0.7838 0.0409 0.1388 0.0159 0.0124 0.032 0.0019
7.4 1.000 -3.75 1.1784 0.1137 0.2525 0.0278 0.0228 0.0584 0.0
7.4 0.546 -3.72 1.3195 0.1796 0.188 0.0345 0.0206 0.0526 0.0
7.4 0.201 -3.69 1.3234 0.2261 0.1739 0.0366 0.02 0.0513 0.0012
7.4 0.113 -3.68 1.3032 0.2271 0.1677 0.0361 0.0193 0.0495 0.0015
7.4 0.067 -3.68 1.3477 0.2345 0.1714 0.0373 0.0196 0.0501 0.0018
7.4 0.039 -3.68 1.1843 0.2043 0.1491 0.0327 0.0171 0.0437 0.0021
7.4 0.013 -3.68 0.8551 0.1497 0.1068 0.0237 0.0124 0.0319 0.0028
7.4 1.000 -3.51 1.2021 0.3418 0.2 0.0386 0.0224 0.0573 0.0
7.4 0.521 -3.45 1.2493 0.5499 0.1361 0.0483 0.0207 0.0529 0.0011
7.4 0.215 -3.41 1.1798 0.6649 0.1224 0.0505 0.0202 0.0516 0.0018
7.4 0.102 -3.39 1.1303 0.6668 0.1142 0.0491 0.0193 0.0495 0.0025
7.4 0.059 -3.38 1.1837 0.6996 0.1179 0.0514 0.0196 0.0501 0.003
7.4 0.035 -3.38 1.0223 0.6024 0.1005 0.0442 0.0168 0.0429 0.0035
7.4 0.012 -3.38 0.7169 0.4296 0.0701 0.0312 0.0119 0.0305 0.0044
7.4 1.000 -3.26 1.0108 0.8002 0.1479 0.0504 0.022 0.0563 0.0
7.4 0.494 -3.16 0.8255 1.2804 0.0835 0.0628 0.0207 0.0529 0.0016
7.4 0.197 -3.08 0.7047 1.5212 0.0726 0.0669 0.0208 0.0532 0.0031
7.4 0.107 -3.05 0.6384 1.4862 0.065 0.0637 0.0193 0.0495 0.0041
7.4 0.069 -3.04 0.6121 1.4548 0.0616 0.0618 0.0184 0.0472 0.0049
7.4 0.028 -3.02 0.6029 1.4514 0.0597 0.0611 0.0179 0.0457 0.0068
7.4 0.017 -3.02 0.4869 1.1738 0.0479 0.0493 0.0143 0.0366 0.0074
7.4 1.000 -3.02 0.7469 1.3479 0.1068 0.06 0.0216 0.0554 0.0
7.4 0.500 -2.88 0.4201 2.0276 0.0463 0.0727 0.0206 0.0528 0.0018
7.4 0.198 -2.74 0.2868 2.3331 0.0339 0.0756 0.0204 0.0522 0.0043
7.4 0.108 -2.68 0.2502 2.3486 0.0295 0.0735 0.0194 0.0498 0.0068
7.4 0.063 -2.64 0.2272 2.2911 0.0266 0.0703 0.0181 0.0465 0.0093
7.4 0.021 -2.6 0.1755 1.8838 0.0202 0.0567 0.0143 0.0368 0.0139
7.4 0.012 -2.59 0.1786 1.9275 0.0205 0.0578 0.0145 0.037 0.0167
7.4 1.000 -2.77 0.5523 1.8488 0.0792 0.0646 0.0213 0.0547 0.0011
7.4 0.490 -2.6 0.2076 2.6596 0.0244 0.0746 0.0205 0.0525 0.0022
7.4 0.200 -2.41 0.1191 3.0403 0.0141 0.0732 0.0201 0.0517 0.0053
7.4 0.104 -2.29 0.0911 3.1002 0.0103 0.0683 0.0189 0.0488 0.0097
7.4 0.050 -2.19 0.0727 3.0062 0.0078 0.0618 0.0172 0.0443 0.0181
7.4 0.020 -2.12 0.0579 2.6803 0.006 0.0528 0.0143 0.037 0.0301
7.4 0.010 -2.09 0.0413 2.0004 0.0042 0.0387 0.0104 0.0268 0.0359
