#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 1.000 -4.01 0.5382 0.0246 0.1651 0.0100 0.0246 0.0629 0.0178 0.0010 0.0000 0.0089
7.1 0.818 -4.00 0.5835 0.0293 0.1297 0.0111 0.0214 0.0545 0.0153 0.0011 0.0000 0.0088
7.1 0.519 -3.99 0.6252 0.0400 0.1195 0.0125 0.0206 0.0524 0.0147 0.0014 0.0000 0.0090
7.1 0.207 -3.97 0.6934 0.0536 0.1235 0.0144 0.0216 0.0550 0.0155 0.0022 0.0000 0.0099
7.1 0.129 -3.97 0.6385 0.0508 0.1117 0.0133 0.0196 0.0499 0.0140 0.0026 0.0000 0.0091
7.1 0.056 -3.97 0.6544 0.0515 0.1130 0.0137 0.0195 0.0495 0.0139 0.0036 0.0000 0.0093
7.1 0.032 -3.97 0.5836 0.0452 0.1001 0.0122 0.0173 0.0438 0.0122 0.0042 0.0000 0.0083
7.1 0.013 -3.97 0.4389 0.0344 0.0748 0.0092 0.0130 0.0331 0.0093 0.0061 0.0000 0.0062
7.1 1.000 -3.75 0.6010 0.0853 0.1360 0.0147 0.0236 0.0602 0.0170 0.0013 0.0000 0.0100
7.1 0.793 -3.74 0.6545 0.1046 0.1048 0.0168 0.0209 0.0533 0.0150 0.0015 0.0000 0.0102
7.1 0.529 -3.72 0.6788 0.1381 0.0956 0.0187 0.0205 0.0523 0.0147 0.0019 0.0000 0.0106
7.1 0.243 -3.69 0.6768 0.1720 0.0896 0.0199 0.0201 0.0511 0.0143 0.0029 0.0000 0.0108
7.1 0.123 -3.68 0.6671 0.1770 0.0861 0.0199 0.0195 0.0497 0.0140 0.0040 0.0000 0.0107
7.1 0.056 -3.68 0.6859 0.1803 0.0869 0.0204 0.0195 0.0494 0.0138 0.0056 0.0000 0.0109
7.1 0.032 -3.68 0.6109 0.1586 0.0767 0.0181 0.0171 0.0434 0.0121 0.0067 0.0000 0.0097
7.1 0.013 -3.68 0.4556 0.1200 0.0568 0.0136 0.0128 0.0326 0.0092 0.0094 0.0000 0.0072
7.1 1.000 -3.51 0.5814 0.2339 0.1075 0.0201 0.0227 0.0581 0.0163 0.0016 0.0000 0.0113
7.1 0.779 -3.48 0.6163 0.2940 0.0784 0.0233 0.0206 0.0525 0.0147 0.0019 0.0000 0.0117
7.1 0.501 -3.45 0.5863 0.3910 0.0682 0.0259 0.0204 0.0520 0.0146 0.0027 0.0000 0.0123
7.1 0.220 -3.41 0.5414 0.4661 0.0617 0.0272 0.0199 0.0507 0.0142 0.0044 0.0000 0.0126
7.1 0.119 -3.39 0.5270 0.4739 0.0591 0.0271 0.0194 0.0493 0.0138 0.0061 0.0000 0.0124
7.1 0.055 -3.38 0.5411 0.4873 0.0593 0.0278 0.0194 0.0491 0.0137 0.0088 0.0000 0.0127
7.1 0.032 -3.38 0.4788 0.4285 0.0517 0.0245 0.0169 0.0429 0.0119 0.0108 0.0000 0.0112
7.1 0.014 -3.38 0.3523 0.3210 0.0380 0.0182 0.0126 0.0320 0.0090 0.0148 0.0000 0.0083
7.1 1.000 -3.27 0.4637 0.4935 0.0798 0.0258 0.0220 0.0562 0.0158 0.0018 0.0000 0.0126
7.1 0.762 -3.22 0.4432 0.6321 0.0517 0.0301 0.0204 0.0519 0.0145 0.0024 0.0000 0.0134
7.1 0.493 -3.17 0.3486 0.7978 0.0418 0.0329 0.0202 0.0515 0.0144 0.0035 0.0000 0.0140
7.1 0.209 -3.09 0.2749 0.9147 0.0348 0.0342 0.0197 0.0503 0.0140 0.0067 0.0000 0.0143
7.1 0.097 -3.05 0.2529 0.9273 0.0319 0.0337 0.0189 0.0482 0.0134 0.0106 0.0000 0.0140
7.1 0.062 -3.04 0.2450 0.9143 0.0306 0.0331 0.0182 0.0464 0.0129 0.0133 0.0000 0.0138
7.1 0.025 -3.02 0.2464 0.9219 0.0301 0.0332 0.0179 0.0455 0.0126 0.0203 0.0000 0.0138
7.1 0.020 -3.02 0.2030 0.7598 0.0246 0.0274 0.0147 0.0372 0.0103 0.0234 0.0000 0.0114
7.1 1.000 -3.03 0.3375 0.7814 0.0582 0.0297 0.0214 0.0547 0.0153 0.0021 0.0000 0.0134
7.1 0.749 -2.97 0.2632 1.0024 0.0315 0.0345 0.0201 0.0514 0.0143 0.0028 0.0000 0.0144
7.1 0.473 -2.88 0.1604 1.2096 0.0221 0.0368 0.0200 0.0511 0.0142 0.0043 0.0000 0.0149
7.1 0.203 -2.75 0.1068 1.3648 0.0160 0.0373 0.0195 0.0497 0.0138 0.0092 0.0014 0.0148
7.1 0.093 -2.67 0.0894 1.3928 0.0133 0.0361 0.0185 0.0473 0.0131 0.0170 0.0017 0.0142
7.1 0.051 -2.63 0.0816 1.3578 0.0120 0.0344 0.0173 0.0442 0.0122 0.0249 0.0017 0.0136
7.1 0.025 -2.61 0.0774 1.3342 0.0112 0.0334 0.0165 0.0420 0.0115 0.0362 0.0017 0.0132
7.1 0.014 -2.59 0.0662 1.1592 0.0095 0.0288 0.0141 0.0357 0.0098 0.0521 0.0015 0.0114
7.1 1.000 -2.79 0.2520 1.0488 0.0439 0.0306 0.0209 0.0535 0.0149 0.0025 0.0014 0.0132
7.1 0.802 -2.73 0.1774 1.2723 0.0216 0.0343 0.0198 0.0507 0.0141 0.0031 0.0018 0.0138
7.1 0.498 -2.63 0.0829 1.5471 0.0119 0.0354 0.0198 0.0506 0.0140 0.0050 0.0027 0.0137
7.1 0.201 -2.42 0.0429 1.8124 0.0060 0.0329 0.0191 0.0489 0.0134 0.0125 0.0045 0.0121
7.1 0.109 -2.31 0.0341 1.9036 0.0045 0.0309 0.0183 0.0470 0.0128 0.0221 0.0054 0.0111
7.1 0.051 -2.20 0.0273 1.8859 0.0033 0.0277 0.0166 0.0426 0.0116 0.0423 0.0059 0.0098
7.1 0.020 -2.13 0.0217 1.7031 0.0026 0.0236 0.0138 0.0353 0.0096 0.0770 0.0057 0.0082
7.1 0.013 -2.10 0.0182 1.4881 0.0012 0.0203 0.0117 0.0299 0.0081 0.1050 0.0051 0.0071
7.1 1.000 -2.55 0.1988 1.2723 0.0350 0.0295 0.0205 0.0526 0.0146 0.0032 0.0026 0.0124
7.1 0.803 -2.49 0.1168 1.5285 0.0146 0.0322 0.0196 0.0501 0.0138 0.0040 0.0033 0.0127
7.1 0.506 -2.38 0.0502 1.8328 0.0070 0.0314 0.0195 0.0501 0.0138 0.0063 0.0048 0.0118
