#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.90 -1.400 -2.50 2.1191 0.0038 0.0067 0.0500 0.0186 0.7321
6.90 -1.400 -2.25 1.5753 0.0098 0.0088 0.0765 0.0256 0.9026
6.90 -1.400 -2.00 1.2034 0.0219 0.0121 0.1115 0.0335 1.0708
6.90 -1.275 -2.50 2.1195 0.0050 0.0067 0.0500 0.0248 0.7320
6.90 -1.275 -2.25 1.5753 0.0127 0.0088 0.0764 0.0342 0.9024
6.90 -1.275 -2.00 1.2034 0.0281 0.0121 0.1114 0.0447 1.0703
6.90 -1.150 -2.50 2.1197 0.0065 0.0067 0.0499 0.0331 0.7318
6.90 -1.150 -2.25 1.5749 0.0165 0.0088 0.0763 0.0455 0.9022
6.90 -1.150 -2.00 1.2031 0.0362 0.0121 0.1112 0.0595 1.0697
6.90 -1.025 -2.50 2.1190 0.0085 0.0067 0.0499 0.0441 0.7316
6.90 -1.025 -2.25 1.5754 0.0212 0.0088 0.0762 0.0606 0.9016
6.90 -1.025 -2.00 1.2024 0.0466 0.0121 0.1110 0.0792 1.0691
6.90 -0.900 -2.50 2.1194 0.0111 0.0067 0.0498 0.0588 0.7312
6.90 -0.900 -2.25 1.5748 0.0274 0.0088 0.0760 0.0807 0.9011
6.90 -0.900 -2.00 1.2024 0.0602 0.0121 0.1107 0.1054 1.0683
6.90 -0.775 -2.50 2.1185 0.0143 0.0067 0.0497 0.0782 0.7308
6.90 -0.775 -2.25 1.5746 0.0353 0.0088 0.0759 0.1075 0.9004
6.90 -0.775 -2.00 1.2021 0.0778 0.0121 0.1103 0.1400 1.0669
6.90 -0.650 -2.50 2.1188 0.0185 0.0067 0.0496 0.1041 0.7302
6.90 -0.650 -2.25 1.5748 0.0456 0.0088 0.0756 0.1429 0.8993
6.90 -0.650 -2.00 1.2016 0.1008 0.0121 0.1097 0.1859 1.0652
6.90 -0.525 -2.50 2.1188 0.0239 0.0067 0.0495 0.1384 0.7294
6.90 -0.525 -2.25 1.5732 0.0589 0.0088 0.0753 0.1898 0.8980
6.90 -0.525 -2.00 1.2010 0.1307 0.0121 0.1090 0.2465 1.0629
6.90 -0.400 -2.50 2.1170 0.0309 0.0067 0.0492 0.1840 0.7283
6.90 -0.400 -2.25 1.5732 0.0763 0.0088 0.0748 0.2518 0.8962
6.90 -0.400 -2.00 1.2006 0.1693 0.0121 0.1081 0.3263 1.0601
6.90 -0.275 -2.50 2.1183 0.0399 0.0067 0.0490 0.2441 0.7269
6.90 -0.275 -2.25 1.5719 0.0988 0.0088 0.0742 0.3334 0.8938
6.90 -0.275 -2.00 1.2037 0.2187 0.0120 0.1068 0.4305 1.0558
6.90 -0.150 -2.50 2.1147 0.0515 0.0067 0.0486 0.3235 0.7251
6.90 -0.150 -2.25 1.5726 0.1278 0.0088 0.0734 0.4406 0.8906
6.90 -0.150 -2.00 1.2005 0.2815 0.0120 0.1052 0.5668 1.0508
6.90 -0.025 -2.50 2.1132 0.0664 0.0067 0.0481 0.4277 0.7227
6.90 -0.025 -2.25 1.5719 0.1650 0.0088 0.0724 0.5807 0.8865
6.90 -0.025 -2.00 1.1974 0.3598 0.0120 0.1032 0.7433 1.0442
6.90 0.100 -2.50 2.1139 0.0857 0.0067 0.0475 0.5641 0.7195
6.90 0.100 -2.25 1.5700 0.2120 0.0088 0.0711 0.7624 0.8811
6.90 0.100 -2.00 1.1958 0.4550 0.0120 0.1006 0.9690 1.0352
6.90 0.225 -2.50 2.1096 0.1102 0.0067 0.0467 0.7413 0.7153
6.90 0.225 -2.25 1.5614 0.2704 0.0088 0.0695 0.9963 0.8741
6.90 0.225 -2.00 1.1923 0.5677 0.0119 0.0974 1.2561 1.0240
6.90 0.350 -2.50 2.1058 0.1410 0.0067 0.0457 0.9698 0.7098
6.90 0.350 -2.25 1.5671 0.3415 0.0087 0.0674 1.2943 0.8651
6.90 0.350 -2.00 1.1956 0.6960 0.0119 0.0935 1.6162 1.0099
6.90 0.475 -2.50 2.1013 0.1791 0.0067 0.0444 1.2615 0.7027
6.90 0.475 -2.25 1.5614 0.4253 0.0087 0.0648 1.6689 0.8536
6.90 0.475 -2.00 1.1901 0.8336 0.0118 0.0887 2.0594 0.9919
6.90 0.600 -2.50 2.0941 0.2250 0.0067 0.0428 1.6291 0.6935
6.90 0.600 -2.25 1.5554 0.5200 0.0087 0.0617 2.1325 0.8391
6.90 0.600 -2.00 1.1781 0.9707 0.0117 0.0832 2.5969 0.9699
7.00 -1.400 -2.50 2.1122 0.0046 0.0066 0.0612 0.0229 0.9127
7.00 -1.400 -2.25 1.5713 0.0118 0.0087 0.0934 0.0315 1.1244
7.00 -1.400 -2.00 1.1990 0.0260 0.0120 0.1356 0.0410 1.3326
7.00 -1.275 -2.50 2.1118 0.0060 0.0066 0.0612 0.0306 0.9125
7.00 -1.275 -2.25 1.5721 0.0152 0.0087 0.0933 0.0419 1.1241
7.00 -1.275 -2.00 1.1991 0.0334 0.0120 0.1355 0.0546 1.3320
7.00 -1.150 -2.50 2.1111 0.0079 0.0066 0.0611 0.0407 0.9122
7.00 -1.150 -2.25 1.5709 0.0196 0.0087 0.0931 0.0558 1.1235
7.00 -1.150 -2.00 1.1991 0.0429 0.0120 0.1352 0.0727 1.3311
7.00 -0.060 -2.50 2.1109 0.0738 0.0066 0.0589 0.4850 0.9005
7.00 -0.060 -2.25 1.5639 0.1826 0.0087 0.0882 0.6559 1.1033
7.00 -0.060 -2.00 1.1965 0.3950 0.0119 0.1251 0.8353 1.2973
7.00 -0.900 -2.50 2.1106 0.0133 0.0066 0.0610 0.0722 0.9113
7.00 -0.900 -2.25 1.5651 0.0325 0.0087 0.0927 0.0990 1.1220
7.00 -0.900 -2.00 1.2003 0.0714 0.0119 0.1344 0.1286 1.3285
7.00 -0.775 -2.50 2.1104 0.0171 0.0066 0.0608 0.0961 0.9106
7.00 -0.775 -2.25 1.5647 0.0419 0.0087 0.0925 0.1316 1.1208
7.00 -0.775 -2.00 1.2005 0.0924 0.0119 0.1337 0.1708 1.3265
7.00 -0.650 -2.50 2.1103 0.0221 0.0066 0.0606 0.1278 0.9097
7.00 -0.650 -2.25 1.5648 0.0542 0.0087 0.0921 0.1749 1.1192
7.00 -0.650 -2.00 1.2000 0.1197 0.0119 0.1329 0.2264 1.3237
7.00 -0.525 -2.50 2.1087 0.0285 0.0066 0.0604 0.1699 0.9084
7.00 -0.525 -2.25 1.5630 0.0700 0.0087 0.0915 0.2321 1.1171
7.00 -0.525 -2.00 1.1990 0.1550 0.0119 0.1318 0.2998 1.3201
7.00 -0.400 -2.50 2.1086 0.0367 0.0066 0.0601 0.2255 0.9068
7.00 -0.400 -2.25 1.5684 0.0907 0.0087 0.0909 0.3075 1.1143
7.00 -0.400 -2.00 1.1986 0.2004 0.0119 0.1304 0.3961 1.3155
7.00 -0.275 -2.50 2.1099 0.0474 0.0066 0.0597 0.2990 0.9046
7.00 -0.275 -2.25 1.5676 0.1173 0.0087 0.0900 0.4066 1.1106
7.00 -0.275 -2.00 1.1965 0.2580 0.0119 0.1286 0.5219 1.3095
7.00 -0.150 -2.50 2.1055 0.0611 0.0066 0.0591 0.3955 0.9018
7.00 -0.150 -2.25 1.5612 0.1514 0.0087 0.0888 0.5362 1.1058
7.00 -0.150 -2.00 1.1941 0.3302 0.0119 0.1263 0.6850 1.3016
7.00 -0.025 -2.50 2.1030 0.0788 0.0066 0.0584 0.5219 0.8980
7.00 -0.025 -2.25 1.5596 0.1947 0.0087 0.0873 0.7047 1.0994
7.00 -0.025 -2.00 1.1920 0.4187 0.0118 0.1234 0.8948 1.2914
7.00 0.100 -2.50 2.1013 0.1014 0.0066 0.0575 0.6865 0.8930
7.00 0.100 -2.25 1.5671 0.2488 0.0087 0.0854 0.9220 1.0912
7.00 0.100 -2.00 1.1890 0.5241 0.0118 0.1197 1.1621 1.2783
7.00 0.225 -2.50 2.0979 0.1298 0.0066 0.0563 0.8992 0.8866
7.00 0.225 -2.25 1.5627 0.3149 0.0086 0.0830 1.1996 1.0806
7.00 0.225 -2.00 1.1929 0.6452 0.0117 0.1151 1.4985 1.2616
7.00 0.350 -2.50 2.0924 0.1651 0.0066 0.0548 1.1713 0.8782
7.00 0.350 -2.25 1.5579 0.3933 0.0086 0.0800 1.5500 1.0671
7.00 0.350 -2.00 1.1829 0.7772 0.0117 0.1096 1.9149 1.2404
7.00 0.475 -2.50 2.0838 0.2080 0.0066 0.0529 1.5154 0.8673
7.00 0.475 -2.25 1.5457 0.4831 0.0086 0.0764 1.9853 1.0499
7.00 0.475 -2.00 1.1841 0.9110 0.0116 0.1032 2.4223 1.2144
7.00 0.600 -2.50 2.0771 0.2585 0.0066 0.0505 1.9439 0.8536
7.00 0.600 -2.25 1.5383 0.5801 0.0085 0.0720 2.5161 1.0285
7.00 0.600 -2.00 1.1722 1.0341 0.0115 0.0957 3.0277 1.1828
7.10 -0.260 -2.50 2.1008 0.0577 0.0066 0.0721 0.3760 1.1221
7.10 -0.260 -2.25 1.5658 0.1424 0.0086 0.1080 0.5086 1.3750
7.10 -0.260 -2.00 1.1915 0.3102 0.0117 0.1532 0.6483 1.6176
7.10 -0.260 -2.50 2.1008 0.0577 0.0065 0.0721 0.3760 1.1220
7.10 -0.260 -2.25 1.5657 0.1424 0.0086 0.1079 0.5085 1.3749
7.10 -0.260 -2.00 1.1912 0.3102 0.0117 0.1532 0.6482 1.6175
7.10 -0.260 -2.50 2.1006 0.0576 0.0065 0.0720 0.3760 1.1220
7.10 -0.260 -2.25 1.5658 0.1423 0.0086 0.1079 0.5085 1.3749
7.10 -0.260 -2.00 1.1919 0.3101 0.0117 0.1531 0.6481 1.6174
7.10 -0.260 -2.50 2.1001 0.0576 0.0065 0.0720 0.3759 1.1219
7.10 -0.260 -2.25 1.5655 0.1423 0.0086 0.1079 0.5084 1.3748
7.10 -0.260 -2.00 1.1915 0.3100 0.0117 0.1531 0.6480 1.6173
7.10 -0.260 -2.50 2.0998 0.0576 0.0065 0.0720 0.3758 1.1218
7.10 -0.260 -2.25 1.5653 0.1423 0.0086 0.1079 0.5083 1.3746
7.10 -0.260 -2.00 1.1913 0.3099 0.0117 0.1531 0.6478 1.6171
7.10 -0.260 -2.50 2.0996 0.0576 0.0065 0.0720 0.3757 1.1217
7.10 -0.260 -2.25 1.5661 0.1422 0.0086 0.1078 0.5081 1.3745
7.10 -0.260 -2.00 1.1907 0.3098 0.0117 0.1530 0.6476 1.6168
7.10 -0.260 -2.50 2.0991 0.0576 0.0065 0.0720 0.3756 1.1215
7.10 -0.260 -2.25 1.5650 0.1421 0.0086 0.1078 0.5079 1.3743
7.10 -0.260 -2.00 1.1907 0.3096 0.0117 0.1529 0.6473 1.6166
7.10 -0.260 -2.50 2.0986 0.0575 0.0065 0.0719 0.3754 1.1213
7.10 -0.260 -2.25 1.5653 0.1420 0.0086 0.1077 0.5076 1.3740
7.10 -0.260 -2.00 1.1901 0.3093 0.0117 0.1528 0.6469 1.6162
7.10 -0.260 -2.50 2.0979 0.0575 0.0065 0.0719 0.3752 1.1210
7.10 -0.260 -2.25 1.5648 0.1419 0.0086 0.1076 0.5073 1.3736
7.10 -0.260 -2.00 1.1897 0.3090 0.0117 0.1526 0.6463 1.6156
7.10 -0.260 -2.50 2.0969 0.0574 0.0065 0.0718 0.3749 1.1207
7.10 -0.260 -2.25 1.5638 0.1417 0.0086 0.1075 0.5068 1.3731
7.10 -0.260 -2.00 1.1896 0.3085 0.0117 0.1524 0.6455 1.6149
7.10 -0.260 -2.50 2.0960 0.0574 0.0065 0.0717 0.3744 1.1202
7.10 -0.260 -2.25 1.5638 0.1415 0.0086 0.1074 0.5061 1.3724
