#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.90 -1.150 -2.25 1.7480 0.0206 0.0098 0.0782 0.0447 0.9107
6.90 -1.150 -2.00 1.3049 0.0452 0.0132 0.1143 0.0575 1.0788
6.90 -1.150 -1.75 1.0099 0.0901 0.0186 0.1621 0.0703 1.2493
6.90 -1.025 -2.25 1.7488 0.0267 0.0098 0.0781 0.0596 0.9103
6.90 -1.025 -2.00 1.3044 0.0586 0.0132 0.1142 0.0766 1.0785
6.90 -1.025 -1.75 1.0104 0.1170 0.0186 0.1615 0.0935 1.2481
6.90 -0.900 -2.25 1.7483 0.0345 0.0098 0.0779 0.0793 0.9098
6.90 -0.900 -2.00 1.3041 0.0761 0.0132 0.1139 0.1019 1.0775
6.90 -0.900 -1.75 1.0094 0.1522 0.0186 0.1610 0.1242 1.2468
7.00 -1.150 -2.25 1.7261 0.0234 0.0090 0.0956 0.0554 1.1358
7.00 -1.150 -2.00 1.2838 0.0514 0.0122 0.1394 0.0713 1.3450
7.00 -1.150 -1.75 1.0037 0.1028 0.0171 0.1966 0.0872 1.5558
7.00 -0.900 -2.25 1.7259 0.0392 0.0090 0.0952 0.0981 1.1343
7.00 -0.900 -2.00 1.2837 0.0866 0.0122 0.1385 0.1261 1.3424
7.00 -0.900 -1.75 1.0018 0.1735 0.0171 0.1950 0.1540 1.5518
7.20 -1.150 -2.25 1.6738 0.0294 0.0078 0.1383 0.0824 1.7465
7.20 -1.150 -2.00 1.2603 0.0645 0.0105 0.1994 0.1058 2.0631
7.20 -1.150 -1.75 0.9803 0.1293 0.0146 0.2782 0.1291 2.3797
7.20 -1.025 -2.25 1.6712 0.0380 0.0078 0.1380 0.1097 1.7451
7.20 -1.025 -2.00 1.2545 0.0836 0.0105 0.1987 0.1407 2.0606
7.20 -1.025 -1.75 0.9794 0.1675 0.0146 0.2767 0.1713 2.3755
7.20 -0.900 -2.25 1.6715 0.0491 0.0078 0.1375 0.1459 1.7431
7.20 -0.900 -2.00 1.2536 0.1085 0.0105 0.1977 0.1868 2.0573
7.20 -0.900 -1.75 0.9760 0.2169 0.0146 0.2748 0.2271 2.3702
7.30 -1.150 -2.25 1.6582 0.0323 0.0073 0.1632 0.0988 2.1505
7.30 -1.150 -2.00 1.2436 0.0709 0.0098 0.2337 0.1264 2.5361
7.30 -1.150 -1.75 0.9643 0.1419 0.0136 0.3237 0.1538 2.9197
7.30 -1.025 -2.25 1.6566 0.0417 0.0073 0.1627 0.1314 2.1482
7.30 -1.025 -2.00 1.2433 0.0918 0.0098 0.2327 0.1680 2.5323
7.30 -1.025 -1.75 0.9634 0.1836 0.0136 0.3217 0.2039 2.9138
7.30 -0.900 -2.25 1.6562 0.0539 0.0073 0.1621 0.1746 2.1452
7.30 -0.900 -2.00 1.2425 0.1190 0.0098 0.2313 0.2228 2.5271
7.30 -0.900 -1.75 0.9691 0.2370 0.0136 0.3190 0.2699 2.9057
7.50 -1.150 -2.25 1.5892 0.0371 0.0065 0.2150 0.1350 3.1927
7.50 -1.150 -2.00 1.2038 0.0808 0.0086 0.3025 0.1711 3.7467
7.50 -1.150 -1.75 0.9340 0.1606 0.0118 0.4122 0.2061 4.2944
7.50 -1.025 -2.25 1.5941 0.0477 0.0065 0.2140 0.1793 3.1877
7.50 -1.025 -2.00 1.2028 0.1043 0.0085 0.3006 0.2269 3.7387
7.50 -1.025 -1.75 0.9369 0.2066 0.0118 0.4087 0.2729 4.2820
7.50 -0.900 -2.25 1.5991 0.0615 0.0065 0.2128 0.2379 3.1810
7.50 -0.900 -2.00 1.1995 0.1346 0.0085 0.2983 0.3005 3.7285
7.50 -0.900 -1.75 0.9355 0.2645 0.0117 0.4043 0.3604 4.2656
7.60 -1.150 -2.50 2.1307 0.0161 0.0050 0.1625 0.1155 3.1521
7.60 -1.150 -2.25 1.5632 0.0381 0.0063 0.2374 0.1525 3.8320
7.60 -1.150 -2.00 1.1767 0.0825 0.0082 0.3307 0.1920 4.4848
7.60 -1.025 -2.50 2.1268 0.0206 0.0050 0.1618 0.1535 3.1477
7.60 -1.025 -2.25 1.5630 0.0489 0.0063 0.2362 0.2024 3.8249
7.60 -1.025 -2.00 1.1730 0.1062 0.0082 0.3285 0.2546 4.4740
7.60 -0.900 -2.50 2.1257 0.0263 0.0050 0.1610 0.2038 3.1418
7.60 -0.900 -2.25 1.5617 0.0629 0.0063 0.2346 0.2683 3.8154
7.60 -0.900 -2.00 1.1712 0.1366 0.0082 0.3255 0.3367 4.4591
7.70 -1.150 -2.50 2.0590 0.0161 0.0051 0.1740 0.1276 3.7376
7.70 -1.150 -2.25 1.5079 0.0375 0.0062 0.2522 0.1667 4.5295
7.70 -1.150 -2.00 1.1378 0.0804 0.0081 0.3478 0.2082 5.2841
7.70 -1.025 -2.50 2.0564 0.0204 0.0051 0.1732 0.1695 3.7314
7.70 -1.025 -2.25 1.5051 0.0479 0.0062 0.2507 0.2211 4.5197
7.70 -1.025 -2.00 1.1377 0.1031 0.0081 0.3451 0.2758 5.2693
7.70 -0.900 -2.50 2.0531 0.0260 0.0051 0.1721 0.2249 3.7231
7.70 -0.900 -2.25 1.5029 0.0613 0.0062 0.2488 0.2929 4.5069
7.70 -0.900 -2.00 1.1344 0.1319 0.0081 0.3417 0.3646 5.2499
7.80 -1.150 -2.50 1.9745 0.0155 0.0051 0.1792 0.1367 4.3638
7.80 -1.150 -2.25 1.4532 0.0354 0.0062 0.2572 0.1764 5.2733
7.80 -1.150 -2.00 1.0966 0.0750 0.0080 0.3522 0.2184 6.1287
7.80 -1.025 -2.50 1.9731 0.0196 0.0051 0.1784 0.1816 4.3564
7.80 -1.025 -2.25 1.4526 0.0450 0.0062 0.2554 0.2338 5.2592
7.80 -1.025 -2.00 1.1002 0.0957 0.0080 0.3495 0.2893 6.1112
7.80 -0.900 -2.50 1.9703 0.0248 0.0051 0.1770 0.2406 4.3442
7.80 -0.900 -2.25 1.4496 0.0574 0.0062 0.2532 0.3096 5.2434
7.80 -0.900 -2.00 1.0978 0.1219 0.0080 0.3459 0.3822 6.0873
7.90 -1.150 -2.75 2.5889 0.0058 0.0045 0.1151 0.1057 3.8636
7.90 -1.150 -2.50 1.8796 0.0143 0.0053 0.1747 0.1398 4.9808
7.90 -1.150 -2.25 1.3886 0.0316 0.0064 0.2475 0.1781 6.0005
7.90 -1.025 -2.75 2.5891 0.0073 0.0045 0.1145 0.1404 3.8564
7.90 -1.025 -2.50 1.8780 0.0178 0.0053 0.1736 0.1855 4.9688
7.90 -1.025 -2.25 1.3857 0.0399 0.0064 0.2458 0.2361 5.9844
7.90 -0.900 -2.75 2.5850 0.0092 0.0045 0.1138 0.1863 3.8469
7.90 -0.900 -2.50 1.8782 0.0224 0.0053 0.1723 0.2458 4.9547
7.90 -0.900 -2.25 1.3841 0.0505 0.0064 0.2434 0.3123 5.9630
8.00 -1.150 -2.75 2.4450 0.0053 0.0049 0.1074 0.1050 4.3173
8.00 -1.150 -2.50 1.7801 0.0125 0.0057 0.1608 0.1364 5.5502
8.00 -1.150 -2.25 1.3198 0.0267 0.0069 0.2254 0.1717 6.6661
8.00 -1.025 -2.75 2.4424 0.0067 0.0049 0.1068 0.1393 4.3080
8.00 -1.025 -2.50 1.7764 0.0155 0.0057 0.1598 0.1810 5.5373
8.00 -1.025 -2.25 1.3180 0.0335 0.0069 0.2238 0.2276 6.6483
8.00 -0.900 -2.75 2.4373 0.0083 0.0049 0.1059 0.1845 4.2947
8.00 -0.900 -2.50 1.7736 0.0192 0.0057 0.1585 0.2396 5.5200
8.00 -0.900 -2.25 1.3163 0.0420 0.0069 0.2219 0.3013 6.6265
8.00 -0.775 -2.75 2.4313 0.0103 0.0049 0.1048 0.2440 4.2783
8.00 -0.775 -2.50 1.7701 0.0240 0.0057 0.1569 0.3168 5.4984
8.00 -0.775 -2.25 1.3134 0.0528 0.0069 0.2191 0.3975 6.5946
8.00 -0.650 -2.75 2.4255 0.0128 0.0049 0.1035 0.3219 4.2571
8.00 -0.650 -2.50 1.7644 0.0299 0.0057 0.1546 0.4173 5.4680
8.00 -0.650 -2.25 1.3098 0.0661 0.0068 0.2156 0.5230 6.5544
8.10 -1.150 -3.00 3.1335 0.0016 0.0042 0.0562 0.0745 3.2294
8.10 -1.150 -2.75 2.2719 0.0047 0.0047 0.0938 0.0992 4.6903
8.10 -1.150 -2.50 1.6610 0.0104 0.0054 0.1394 0.1270 6.0277
8.10 -1.025 -3.00 3.1291 0.0020 0.0042 0.0559 0.0989 3.2215
8.10 -1.025 -2.75 2.2635 0.0058 0.0047 0.0932 0.1315 4.6790
8.10 -1.025 -2.50 1.6550 0.0126 0.0054 0.1386 0.1684 6.0132
8.10 -0.900 -3.00 3.1267 0.0026 0.0042 0.0554 0.1309 3.2106
8.10 -0.900 -2.75 2.2592 0.0071 0.0047 0.0925 0.1742 4.6643
8.10 -0.900 -2.50 1.6505 0.0154 0.0054 0.1375 0.2231 5.9950
8.10 -0.775 -3.00 3.1176 0.0033 0.0042 0.0548 0.1729 3.1965
8.10 -0.775 -2.75 2.2527 0.0086 0.0047 0.0915 0.2302 4.6457
8.10 -0.775 -2.50 1.6441 0.0189 0.0054 0.1360 0.2947 5.9696
8.10 -0.650 -3.00 3.1103 0.0042 0.0042 0.0539 0.2277 3.1774
8.10 -0.650 -2.75 2.2517 0.0105 0.0047 0.0902 0.3032 4.6190
8.10 -0.650 -2.50 1.6484 0.0232 0.0054 0.1340 0.3882 5.9361
8.20 -0.900 -3.00 2.8609 0.0022 0.0038 0.0452 0.1191 3.3584
8.20 -0.900 -2.75 2.0617 0.0058 0.0042 0.0753 0.1561 4.9009
8.20 -0.900 -2.50 1.5103 0.0117 0.0048 0.1118 0.1976 6.3187
8.20 -0.775 -3.00 2.8538 0.0028 0.0038 0.0446 0.1571 3.3409
8.20 -0.775 -2.75 2.0552 0.0069 0.0042 0.0744 0.2061 4.8789
8.20 -0.775 -2.50 1.5040 0.0140 0.0048 0.1106 0.2610 6.2925
8.20 -0.650 -3.00 2.8381 0.0035 0.0038 0.0438 0.2063 3.3180
8.20 -0.650 -2.75 2.0491 0.0083 0.0042 0.0733 0.2712 4.8504
8.20 -0.650 -2.50 1.4998 0.0169 0.0048 0.1089 0.3436 6.2567
8.20 -0.525 -3.00 2.8312 0.0043 0.0038 0.0428 0.2698 3.2887
8.20 -0.525 -2.75 2.0347 0.0098 0.0042 0.0718 0.3554 4.8131
8.20 -0.525 -2.50 1.4893 0.0204 0.0048 0.1068 0.4507 6.2115
8.20 -0.400 -3.00 2.8236 0.0052 0.0038 0.0415 0.3506 3.2498
8.20 -0.400 -2.75 2.0184 0.0117 0.0042 0.0699 0.4632 4.7643
8.20 -0.400 -2.50 1.4778 0.0247 0.0048 0.1042 0.5882 6.1519
8.30 -0.900 -3.00 2.6564 0.0018 0.0035 0.0323 0.0978 3.2993
8.30 -0.900 -2.75 1.8894 0.0046 0.0038 0.0542 0.1273 4.8784
8.30 -0.900 -2.50 1.3859 0.0087 0.0044 0.0812 0.1599 6.3432
8.30 -0.775 -3.00 2.6354 0.0023 0.0035 0.0318 0.1289 3.2814
8.30 -0.775 -2.75 1.8821 0.0054 0.0038 0.0536 0.1679 4.8555
8.30 -0.775 -2.50 1.3811 0.0101 0.0044 0.0803 0.2111 6.3169
8.30 -0.650 -3.00 2.6220 0.0028 0.0035 0.0312 0.1689 3.2563
8.30 -0.650 -2.75 1.8720 0.0063 0.0038 0.0527 0.2206 4.8254
8.30 -0.650 -2.50 1.3732 0.0118 0.0044 0.0791 0.2779 6.2825
8.30 -0.525 -3.00 2.6198 0.0034 0.0035 0.0304 0.2201 3.2234
8.30 -0.525 -2.75 1.8632 0.0073 0.0038 0.0515 0.2886 4.7864
8.30 -0.525 -2.50 1.3626 0.0138 0.0043 0.0775 0.3642 6.2363
8.30 -0.400 -3.00 2.6060 0.0041 0.0034 0.0293 0.2846 3.1804
8.30 -0.400 -2.75 1.8579 0.0085 0.0038 0.0501 0.3751 4.7341
8.30 -0.400 -2.50 1.3499 0.0162 0.0043 0.0755 0.4747 6.1771
8.40 -0.900 -3.00 2.4632 0.0015 0.0028 0.0215 0.0768 3.1262
8.40 -0.900 -2.75 1.7404 0.0039 0.0031 0.0367 0.0995 4.7051
8.40 -0.900 -2.50 1.2618 0.0069 0.0036 0.0555 0.1241 6.1942
8.40 -0.775 -3.00 2.4559 0.0019 0.0028 0.0211 0.1008 3.1055
8.40 -0.775 -2.75 1.7343 0.0045 0.0031 0.0361 0.1309 4.6812
8.40 -0.775 -2.50 1.2563 0.0077 0.0036 0.0548 0.1637 6.1677
8.40 -0.650 -3.00 2.4598 0.0024 0.0028 0.0206 0.1316 3.0785
8.40 -0.650 -2.75 1.7225 0.0051 0.0031 0.0355 0.1716 4.6491
8.40 -0.650 -2.50 1.2467 0.0087 0.0036 0.0540 0.2152 6.1338
8.40 -0.525 -3.00 2.4433 0.0029 0.0028 0.0200 0.1708 3.0432
8.40 -0.525 -2.75 1.7107 0.0058 0.0031 0.0346 0.2238 4.6078
8.40 -0.525 -2.50 1.2405 0.0098 0.0035 0.0529 0.2815 6.0882
8.40 -0.400 -3.00 2.4240 0.0034 0.0028 0.0192 0.2198 2.9979
8.40 -0.400 -2.75 1.6886 0.0065 0.0031 0.0335 0.2897 4.5538
8.40 -0.400 -2.50 1.2286 0.0111 0.0035 0.0514 0.3660 6.0272
8.50 -0.900 -3.00 2.3310 0.0012 0.0019 0.0119 0.0529 2.6875
8.50 -0.900 -2.75 1.5860 0.0033 0.0021 0.0210 0.0692 4.1865
8.50 -0.900 -2.50 1.1326 0.0057 0.0024 0.0327 0.0865 5.6483
8.50 -0.775 -3.00 2.3235 0.0015 0.0019 0.0116 0.0692 2.6673
8.50 -0.775 -2.75 1.5776 0.0038 0.0021 0.0206 0.0909 4.1628
8.50 -0.775 -2.50 1.1195 0.0063 0.0024 0.0322 0.1139 5.6233
8.50 -0.650 -3.00 2.3126 0.0019 0.0019 0.0113 0.0901 2.6408
8.50 -0.650 -2.75 1.5769 0.0043 0.0021 0.0202 0.1189 4.1321
8.50 -0.650 -2.50 1.1210 0.0068 0.0024 0.0317 0.1494 5.5892
8.50 -0.525 -3.00 2.3017 0.0023 0.0019 0.0109 0.1161 2.6055
8.50 -0.525 -2.75 1.5647 0.0048 0.0021 0.0197 0.1543 4.0916
8.50 -0.525 -2.50 1.1129 0.0074 0.0023 0.0309 0.1948 5.5453
8.50 -0.400 -3.00 2.2980 0.0027 0.0019 0.0104 0.1483 2.5602
8.50 -0.400 -2.75 1.5583 0.0053 0.0021 0.0190 0.1987 4.0392
8.50 -0.400 -2.50 1.1063 0.0081 0.0023 0.0300 0.2525 5.4890
8.60 -0.650 -3.00 2.3326 0.0013 0.0010 0.0054 0.0563 2.0585
8.60 -0.650 -2.75 1.5136 0.0035 0.0011 0.0101 0.0760 3.3995
8.60 -0.650 -2.50 1.0369 0.0059 0.0013 0.0164 0.0963 4.7815
8.60 -0.525 -3.00 2.3456 0.0017 0.0010 0.0051 0.0720 2.0261
8.60 -0.525 -2.75 1.5064 0.0040 0.0011 0.0098 0.0981 3.3602
8.60 -0.525 -2.50 1.0276 0.0063 0.0013 0.0160 0.1250 4.7390
8.60 -0.400 -3.00 2.3387 0.0021 0.0010 0.0048 0.0909 1.9830
8.60 -0.400 -2.75 1.5122 0.0045 0.0011 0.0093 0.1253 3.3089
8.60 -0.400 -2.50 1.0210 0.0067 0.0013 0.0154 0.1609 4.6834
8.60 -0.275 -3.00 2.3370 0.0025 0.0010 0.0045 0.1131 1.9299
8.60 -0.275 -2.75 1.5072 0.0049 0.0011 0.0088 0.1577 3.2419
8.60 -0.275 -2.50 1.0225 0.0071 0.0013 0.0147 0.2047 4.6106
8.60 -0.150 -3.00 2.3350 0.0029 0.0010 0.0041 0.1373 1.8604
8.60 -0.150 -2.75 1.4970 0.0053 0.0011 0.0082 0.1951 3.1560
8.60 -0.150 -2.50 1.0071 0.0075 0.0013 0.0138 0.2570 4.5184
8.70 -0.650 -3.00 2.6304 0.0000 0.0000 0.0022 0.0313 1.5227
8.70 -0.650 -2.75 1.6329 0.0029 0.0000 0.0046 0.0446 2.6724
8.70 -0.650 -2.50 1.0630 0.0053 0.0000 0.0078 0.0581 3.9292
8.70 -0.525 -3.00 2.6342 0.0013 0.0000 0.0021 0.0397 1.4934
8.70 -0.525 -2.75 1.6326 0.0034 0.0000 0.0044 0.0572 2.6352
8.70 -0.525 -2.50 1.0596 0.0057 0.0000 0.0075 0.0749 3.8886
8.70 -0.400 -3.00 2.6472 0.0016 0.0000 0.0020 0.0495 1.4556
8.70 -0.400 -2.75 1.6377 0.0039 0.0000 0.0041 0.0723 2.5868
8.70 -0.400 -2.50 1.0534 0.0061 0.0000 0.0072 0.0956 3.8349
8.70 -0.275 -3.00 2.6750 0.0019 0.0000 0.0018 0.0606 1.4088
8.70 -0.275 -2.75 1.6359 0.0043 0.0000 0.0039 0.0899 2.5248
8.70 -0.275 -2.50 1.0538 0.0064 0.0000 0.0068 0.1204 3.7655
8.70 -0.150 -3.00 2.6849 0.0023 0.0000 0.0016 0.0721 1.3475
8.70 -0.150 -2.75 1.6480 0.0047 0.0000 0.0035 0.1093 2.4443
8.70 -0.150 -2.50 1.0500 0.0068 0.0000 0.0063 0.1492 3.6757
8.80 -0.400 -3.25 5.8638 0.0000 0.0000 0.0000 0.0114 0.3767
8.80 -0.400 -3.00 3.2849 0.0000 0.0000 0.0000 0.0229 0.9505
8.80 -0.400 -2.75 1.9513 0.0028 0.0000 0.0016 0.0368 1.8304
8.80 -0.275 -3.25 5.9256 0.0000 0.0000 0.0000 0.0134 0.3575
8.80 -0.275 -3.00 3.3015 0.0011 0.0000 0.0000 0.0274 0.9112
8.80 -0.275 -2.75 1.9722 0.0033 0.0000 0.0014 0.0449 1.7735
8.80 -0.150 -3.25 6.0351 0.0000 0.0000 0.0000 0.0152 0.3335
8.80 -0.150 -3.00 3.3682 0.0014 0.0000 0.0000 0.0318 0.8622
8.80 -0.150 -2.75 1.9833 0.0038 0.0000 0.0013 0.0533 1.7016
8.80 -0.025 -3.25 6.1868 0.0000 0.0000 0.0000 0.0164 0.3053
8.80 -0.025 -3.00 3.4072 0.0017 0.0000 0.0000 0.0354 0.8021
8.80 -0.025 -2.75 2.0260 0.0042 0.0000 0.0011 0.0613 1.6115
8.80 0.100 -3.25 6.3470 0.0000 0.0000 0.0000 0.0169 0.2731
8.80 0.100 -3.00 3.4954 0.0021 0.0000 0.0000 0.0376 0.7317
8.80 0.100 -2.75 2.0603 0.0046 0.0000 0.0000 0.0676 1.5005
8.90 -0.400 -3.25 8.1046 0.0000 0.0000 0.0000 0.0027 0.1670
8.90 -0.400 -3.00 4.4329 0.0000 0.0000 0.0000 0.0074 0.4970
8.90 -0.400 -2.75 2.5556 0.0017 0.0000 0.0000 0.0144 1.0793
8.90 -0.275 -3.25 8.2321 0.0000 0.0000 0.0000 0.0031 0.1570
8.90 -0.275 -3.00 4.5094 0.0000 0.0000 0.0000 0.0087 0.4714
8.90 -0.275 -2.75 2.5908 0.0020 0.0000 0.0000 0.0172 1.0354
8.90 -0.150 -3.25 8.3337 0.0000 0.0000 0.0000 0.0035 0.1452
8.90 -0.150 -3.00 4.5753 0.0000 0.0000 0.0000 0.0098 0.4400
8.90 -0.150 -2.75 2.6611 0.0025 0.0000 0.0000 0.0199 0.9804
8.90 -0.025 -3.25 8.5443 0.0000 0.0000 0.0000 0.0037 0.1314
8.90 -0.025 -3.00 4.7065 0.0000 0.0000 0.0000 0.0106 0.4030
8.90 -0.025 -2.75 2.7340 0.0029 0.0000 0.0000 0.0220 0.9127
8.90 0.100 -3.25 8.7467 0.0000 0.0000 0.0000 0.0037 0.1162
8.90 0.100 -3.00 4.8868 0.0011 0.0000 0.0000 0.0108 0.3598
8.90 0.100 -2.75 2.8161 0.0034 0.0000 0.0000 0.0232 0.8319
9.00 -0.150 -3.25 10.9788 0.0000 0.0000 0.0000 0.0000 0.0463
9.00 -0.150 -3.00 6.2705 0.0000 0.0000 0.0000 0.0022 0.1721
9.00 -0.150 -2.75 3.5829 0.0013 0.0000 0.0000 0.0058 0.4492
9.00 -0.025 -3.25 11.2275 0.0000 0.0000 0.0000 0.0000 0.0418
9.00 -0.025 -3.00 6.3774 0.0000 0.0000 0.0000 0.0023 0.1549
9.00 -0.025 -2.75 3.6903 0.0015 0.0000 0.0000 0.0062 0.4091
9.00 0.100 -3.25 11.4317 0.0000 0.0000 0.0000 0.0000 0.0369
9.00 0.100 -3.00 6.6224 0.0000 0.0000 0.0000 0.0023 0.1358
9.00 0.100 -2.75 3.8470 0.0019 0.0000 0.0000 0.0062 0.3629
9.00 0.225 -3.25 11.6805 0.0000 0.0000 0.0000 0.0000 0.0317
9.00 0.225 -3.00 6.8875 0.0000 0.0000 0.0000 0.0021 0.1153
9.00 0.225 -2.75 4.0395 0.0022 0.0000 0.0000 0.0059 0.3116
9.00 0.350 -3.25 12.0721 0.0000 0.0000 0.0000 0.0000 0.0264
9.00 0.350 -3.00 7.2139 0.0000 0.0000 0.0000 0.0018 0.0945
9.00 0.350 -2.75 4.2391 0.0025 0.0000 0.0000 0.0052 0.2578
9.10 -0.150 -3.25 14.2145 0.0000 0.0000 0.0000 0.0000 0.0099
9.10 -0.150 -3.00 8.5086 0.0000 0.0000 0.0000 0.0000 0.0464
9.10 -0.150 -2.75 4.8549 0.0000 0.0000 0.0000 0.0011 0.1507
9.10 -0.025 -3.25 14.3585 0.0000 0.0000 0.0000 0.0000 0.0091
9.10 -0.025 -3.00 8.6565 0.0000 0.0000 0.0000 0.0000 0.0414
9.10 -0.025 -2.75 5.0005 0.0000 0.0000 0.0000 0.0011 0.1348
9.10 0.100 -3.25 22.6050 0.0000 0.0000 0.0000 0.0000 0.0147
9.10 0.100 -3.00 8.8521 0.0000 0.0000 0.0000 0.0000 0.0359
9.10 0.100 -2.75 5.1064 0.0000 0.0000 0.0000 0.0011 0.1162
9.10 0.225 -3.25 23.7013 0.0000 0.0000 0.0000 0.0000 0.0141
