#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.90 -1.400 -2.25 1.7479 0.0123 0.0098 0.0783 0.0252 0.9112
6.90 -1.400 -2.00 1.3052 0.0270 0.0132 0.1146 0.0324 1.0797
6.90 -1.400 -1.75 1.0104 0.0537 0.0186 0.1627 0.0397 1.2509
6.90 -1.275 -2.25 1.7483 0.0159 0.0098 0.0783 0.0336 0.9110
6.90 -1.275 -2.00 1.3054 0.0349 0.0132 0.1145 0.0432 1.0793
6.90 -1.275 -1.75 1.0099 0.0695 0.0186 0.1624 0.0528 1.2503
6.90 -1.150 -2.25 1.7480 0.0206 0.0098 0.0782 0.0447 0.9107
6.90 -1.150 -2.00 1.3049 0.0452 0.0132 0.1143 0.0575 1.0788
6.90 -1.150 -1.75 1.0099 0.0901 0.0186 0.1621 0.0703 1.2493
6.90 -1.025 -2.25 1.7488 0.0267 0.0098 0.0781 0.0596 0.9103
6.90 -1.025 -2.00 1.3044 0.0586 0.0132 0.1142 0.0766 1.0785
6.90 -1.025 -1.75 1.0104 0.1170 0.0186 0.1615 0.0935 1.2481
6.90 -0.900 -2.25 1.7483 0.0345 0.0098 0.0779 0.0793 0.9098
6.90 -0.900 -2.00 1.3041 0.0761 0.0132 0.1139 0.1019 1.0775
6.90 -0.900 -1.75 1.0094 0.1522 0.0186 0.1610 0.1242 1.2468
6.90 -0.775 -2.25 1.7472 0.0448 0.0098 0.0777 0.1055 0.9090
6.90 -0.775 -2.00 1.3037 0.0990 0.0132 0.1135 0.1354 1.0763
6.90 -0.775 -1.75 1.0091 0.1978 0.0185 0.1601 0.1649 1.2448
6.90 -0.650 -2.25 1.7469 0.0582 0.0098 0.0775 0.1404 0.9081
6.90 -0.650 -2.00 1.3036 0.1288 0.0131 0.1129 0.1798 1.0745
6.90 -0.650 -1.75 1.0087 0.2567 0.0185 0.1590 0.2185 1.2420
6.90 -0.525 -2.25 1.7470 0.0757 0.0098 0.0772 0.1865 0.9068
6.90 -0.525 -2.00 1.3028 0.1676 0.0131 0.1122 0.2384 1.0724
6.90 -0.525 -1.75 1.0082 0.3320 0.0185 0.1575 0.2890 1.2385
6.90 -0.400 -2.25 1.7458 0.0985 0.0097 0.0767 0.2475 0.9052
6.90 -0.400 -2.00 1.3013 0.2177 0.0131 0.1113 0.3157 1.0696
6.90 -0.400 -1.75 1.0086 0.4271 0.0185 0.1557 0.3812 1.2339
6.90 -0.275 -2.25 1.7446 0.1281 0.0097 0.0762 0.3280 0.9031
6.90 -0.275 -2.00 1.3004 0.2817 0.0131 0.1101 0.4171 1.0660
6.90 -0.275 -1.75 1.0064 0.5449 0.0184 0.1532 0.5012 1.2278
6.90 -0.150 -2.25 1.7439 0.1663 0.0097 0.0754 0.4337 0.9002
6.90 -0.150 -2.00 1.2991 0.3622 0.0131 0.1085 0.5490 1.0610
6.90 -0.150 -1.75 1.0045 0.6868 0.0183 0.1500 0.6558 1.2196
6.90 -0.025 -2.25 1.7423 0.2151 0.0097 0.0745 0.5720 0.8964
6.90 -0.025 -2.00 1.2968 0.4621 0.0130 0.1065 0.7206 1.0548
6.90 -0.025 -1.75 1.0011 0.8527 0.0183 0.1460 0.8536 1.2092
6.90 0.100 -2.25 1.7395 0.2767 0.0097 0.0733 0.7520 0.8915
6.90 0.100 -2.00 1.2945 0.5821 0.0130 0.1039 0.9405 1.0465
6.90 0.100 -1.75 1.0042 1.0386 0.0182 0.1411 1.1044 1.1961
6.90 0.225 -2.25 1.7371 0.3530 0.0097 0.0717 0.9842 0.8851
6.90 0.225 -2.00 1.2885 0.7223 0.0129 0.1007 1.2208 1.0360
6.90 0.225 -1.75 1.0034 1.2354 0.0180 0.1353 1.4180 1.1798
6.90 0.350 -2.25 1.7281 0.4452 0.0096 0.0697 1.2812 0.8768
6.90 0.350 -2.00 1.2927 0.8781 0.0129 0.0969 1.5733 1.0226
6.90 0.350 -1.75 0.9975 1.4292 0.0179 0.1282 1.8037 1.1593
6.90 0.475 -2.25 1.7233 0.5527 0.0096 0.0672 1.6564 0.8663
6.90 0.475 -2.00 1.2828 1.0416 0.0128 0.0922 2.0096 1.0058
6.90 0.475 -1.75 0.9874 1.5966 0.0177 0.1201 2.2698 1.1341
6.90 0.600 -2.25 1.7291 0.6727 0.0096 0.0642 2.1236 0.8529
6.90 0.600 -2.00 1.2766 1.1989 0.0127 0.0867 2.5415 0.9850
6.90 0.600 -1.75 0.9876 1.7267 0.0175 0.1109 2.8236 1.1039
7.00 -1.400 -2.25 1.7265 0.0140 0.0090 0.0958 0.0312 1.1366
7.00 -1.400 -2.00 1.2837 0.0308 0.0122 0.1398 0.0402 1.3465
7.00 -1.400 -1.75 1.0045 0.0613 0.0171 0.1976 0.0493 1.5583
7.00 -1.275 -2.25 1.7265 0.0181 0.0090 0.0957 0.0416 1.1363
7.00 -1.275 -2.00 1.2838 0.0398 0.0122 0.1396 0.0536 1.3458
7.00 -1.275 -1.75 1.0030 0.0793 0.0171 0.1972 0.0656 1.5573
7.00 -1.150 -2.25 1.7261 0.0234 0.0090 0.0956 0.0554 1.1358
7.00 -1.150 -2.00 1.2838 0.0514 0.0122 0.1394 0.0713 1.3450
7.00 -1.150 -1.75 1.0037 0.1028 0.0171 0.1966 0.0872 1.5558
7.00 -0.060 -2.25 1.7232 0.2263 0.0090 0.0909 0.6523 1.1170
7.00 -0.060 -2.00 1.2871 0.4843 0.0121 0.1293 0.8214 1.3128
7.00 -0.060 -1.75 0.9972 0.8876 0.0168 0.1764 0.9734 1.5030
7.00 -0.900 -2.25 1.7259 0.0392 0.0090 0.0952 0.0981 1.1343
7.00 -0.900 -2.00 1.2837 0.0866 0.0122 0.1385 0.1261 1.3424
7.00 -0.900 -1.75 1.0018 0.1735 0.0171 0.1950 0.1540 1.5518
7.00 -0.775 -2.25 1.7253 0.0508 0.0090 0.0949 0.1305 1.1332
7.00 -0.775 -2.00 1.2833 0.1126 0.0122 0.1379 0.1675 1.3405
7.00 -0.775 -1.75 1.0021 0.2252 0.0171 0.1938 0.2042 1.5488
7.00 -0.650 -2.25 1.7246 0.0660 0.0090 0.0946 0.1735 1.1318
7.00 -0.650 -2.00 1.2918 0.1464 0.0121 0.1371 0.2223 1.3380
7.00 -0.650 -1.75 1.0007 0.2915 0.0171 0.1922 0.2702 1.5447
7.00 -0.525 -2.25 1.7244 0.0858 0.0090 0.0941 0.2304 1.1298
7.00 -0.525 -2.00 1.2909 0.1901 0.0121 0.1360 0.2944 1.3346
7.00 -0.525 -1.75 0.9958 0.3753 0.0170 0.1898 0.3564 1.5387
7.00 -0.400 -2.25 1.7228 0.1116 0.0090 0.0934 0.3054 1.1273
7.00 -0.400 -2.00 1.2897 0.2463 0.0121 0.1347 0.3892 1.3304
7.00 -0.400 -1.75 1.0014 0.4799 0.0170 0.1870 0.4689 1.5315
7.00 -0.275 -2.25 1.7220 0.1449 0.0090 0.0926 0.4041 1.1239
7.00 -0.275 -2.00 1.2876 0.3172 0.0121 0.1329 0.5128 1.3246
7.00 -0.275 -1.75 1.0005 0.6076 0.0169 0.1835 0.6147 1.5222
7.00 -0.150 -2.25 1.7210 0.1875 0.0090 0.0915 0.5333 1.1195
7.00 -0.150 -2.00 1.2863 0.4057 0.0121 0.1306 0.6737 1.3172
7.00 -0.150 -1.75 0.9970 0.7591 0.0169 0.1791 0.8022 1.5104
7.00 -0.025 -2.25 1.7182 0.2416 0.0090 0.0901 0.7017 1.1137
7.00 -0.025 -2.00 1.2783 0.5134 0.0120 0.1277 0.8810 1.3076
7.00 -0.025 -1.75 0.9936 0.9306 0.0168 0.1735 1.0400 1.4950
7.00 0.100 -2.25 1.7150 0.3089 0.0090 0.0882 0.9194 1.1061
7.00 0.100 -2.00 1.2848 0.6402 0.0120 0.1240 1.1455 1.2952
7.00 0.100 -1.75 0.9884 1.1165 0.0167 0.1667 1.3388 1.4758
7.00 0.225 -2.25 1.7077 0.3909 0.0089 0.0859 1.1984 1.0963
7.00 0.225 -2.00 1.2793 0.7837 0.0119 0.1195 1.4792 1.2793
7.00 0.225 -1.75 0.9843 1.3021 0.0165 0.1586 1.7078 1.4515
7.00 0.350 -2.25 1.7070 0.4878 0.0089 0.0830 1.5522 1.0838
7.00 0.350 -2.00 1.2712 0.9375 0.0118 0.1141 1.8949 1.2595
7.00 0.350 -1.75 0.9843 1.4722 0.0164 0.1490 2.1564 1.4216
7.00 0.475 -2.25 1.7015 0.5975 0.0089 0.0795 1.9939 1.0679
7.00 0.475 -2.00 1.2635 1.0907 0.0117 0.1076 2.4025 1.2346
7.00 0.475 -1.75 0.9775 1.6076 0.0162 0.1382 2.6928 1.3856
7.00 0.600 -2.25 1.6933 0.7150 0.0088 0.0753 2.5371 1.0481
7.00 0.600 -2.00 1.2618 1.2269 0.0116 0.1002 3.0129 1.2045
7.00 0.600 -1.75 0.9653 1.6916 0.0159 0.1264 3.3227 1.3430
7.10 -0.260 -2.25 1.6970 0.1676 0.0084 0.1113 0.5103 1.3936
7.10 -0.260 -2.00 1.2677 0.3644 0.0112 0.1587 0.6460 1.6394
7.10 -0.260 -1.75 0.9902 0.6879 0.0156 0.2173 0.7718 1.8798
7.10 -0.260 -2.25 1.6965 0.1676 0.0084 0.1113 0.5103 1.3935
7.10 -0.260 -2.00 1.2768 0.3644 0.0112 0.1586 0.6459 1.6394
7.10 -0.260 -1.75 0.9900 0.6878 0.0156 0.2173 0.7717 1.8797
7.10 -0.260 -2.25 1.6967 0.1675 0.0084 0.1113 0.5102 1.3935
7.10 -0.260 -2.00 1.2776 0.3643 0.0112 0.1586 0.6458 1.6393
7.10 -0.260 -1.75 0.9899 0.6877 0.0156 0.2173 0.7716 1.8795
7.10 -0.260 -2.25 1.6974 0.1675 0.0084 0.1113 0.5102 1.3934
7.10 -0.260 -2.00 1.2677 0.3642 0.0112 0.1586 0.6457 1.6392
7.10 -0.260 -1.75 0.9898 0.6874 0.0156 0.2172 0.7714 1.8794
7.10 -0.260 -2.25 1.6967 0.1675 0.0084 0.1113 0.5101 1.3933
7.10 -0.260 -2.00 1.2674 0.3641 0.0112 0.1585 0.6456 1.6390
7.10 -0.260 -1.75 0.9900 0.6872 0.0156 0.2171 0.7712 1.8792
7.10 -0.260 -2.25 1.6963 0.1674 0.0084 0.1112 0.5100 1.3932
7.10 -0.260 -2.00 1.2682 0.3640 0.0112 0.1585 0.6453 1.6388
7.10 -0.260 -1.75 0.9895 0.6868 0.0156 0.2170 0.7709 1.8789
7.10 -0.260 -2.25 1.6957 0.1673 0.0084 0.1112 0.5098 1.3930
7.10 -0.260 -2.00 1.2671 0.3638 0.0112 0.1584 0.6451 1.6386
7.10 -0.260 -1.75 0.9892 0.6863 0.0156 0.2169 0.7705 1.8785
7.10 -0.260 -2.25 1.6956 0.1672 0.0084 0.1111 0.5096 1.3928
7.10 -0.260 -2.00 1.2752 0.3635 0.0112 0.1583 0.6447 1.6383
7.10 -0.260 -1.75 0.9886 0.6856 0.0156 0.2167 0.7699 1.8780
7.10 -0.260 -2.25 1.6946 0.1671 0.0084 0.1111 0.5093 1.3925
7.10 -0.260 -2.00 1.2657 0.3631 0.0112 0.1582 0.6443 1.6378
7.10 -0.260 -1.75 0.9883 0.6848 0.0156 0.2165 0.7691 1.8773
7.10 -0.260 -2.25 1.6943 0.1669 0.0084 0.1110 0.5089 1.3921
7.10 -0.260 -2.00 1.2737 0.3626 0.0112 0.1580 0.6436 1.6372
7.10 -0.260 -1.75 0.9879 0.6836 0.0156 0.2161 0.7681 1.8764
7.10 -0.260 -2.25 1.6927 0.1667 0.0084 0.1108 0.5084 1.3916
7.10 -0.260 -2.00 1.2641 0.3620 0.0112 0.1578 0.6428 1.6364
7.10 -0.260 -1.75 0.9865 0.6821 0.0156 0.2157 0.7668 1.8752
7.10 -0.260 -2.25 1.6914 0.1664 0.0084 0.1107 0.5077 1.3908
7.10 -0.260 -2.00 1.2720 0.3611 0.0112 0.1574 0.6417 1.6353
7.10 -0.260 -1.75 0.9855 0.6801 0.0156 0.2151 0.7651 1.8736
7.10 -0.260 -2.25 1.6879 0.1660 0.0084 0.1104 0.5068 1.3899
7.10 -0.260 -2.00 1.2619 0.3600 0.0112 0.1570 0.6403 1.6339
7.10 -0.260 -1.75 0.9856 0.6775 0.0156 0.2144 0.7628 1.8716
7.10 -0.260 -2.25 1.6850 0.1655 0.0084 0.1101 0.5056 1.3886
7.10 -0.260 -2.00 1.2685 0.3585 0.0112 0.1564 0.6383 1.6320
7.10 -0.260 -1.75 0.9838 0.6739 0.0156 0.2134 0.7599 1.8688
7.10 -0.260 -2.25 1.6820 0.1647 0.0084 0.1097 0.5040 1.3869
7.10 -0.260 -2.00 1.2654 0.3566 0.0112 0.1557 0.6358 1.6295
7.10 -0.260 -1.75 0.9815 0.6693 0.0155 0.2121 0.7558 1.8650
7.10 -0.260 -2.25 1.6761 0.1638 0.0084 0.1092 0.5020 1.3848
7.10 -0.260 -2.00 1.2613 0.3540 0.0111 0.1547 0.6324 1.6262
7.10 -0.260 -1.75 0.9777 0.6629 0.0155 0.2103 0.7504 1.8600
7.10 0.200 -2.25 1.6721 0.4000 0.0083 0.1008 1.3510 1.3476
7.10 0.200 -2.00 1.2430 0.7865 0.0110 0.1385 1.6565 1.5665
7.10 0.200 -1.75 0.9634 1.2720 0.0151 0.1812 1.8978 1.7695
7.20 -1.400 -2.25 1.6735 0.0177 0.0078 0.1388 0.0465 1.7485
7.20 -1.400 -2.00 1.2605 0.0387 0.0105 0.2004 0.0598 2.0664
7.20 -1.400 -1.75 0.9809 0.0771 0.0147 0.2801 0.0731 2.3850
7.20 -1.275 -2.25 1.6729 0.0228 0.0078 0.1386 0.0619 1.7477
7.20 -1.275 -2.00 1.2597 0.0499 0.0105 0.2000 0.0795 2.0650
7.20 -1.275 -1.75 0.9808 0.0998 0.0147 0.2793 0.0972 2.3827
7.20 -1.150 -2.25 1.6738 0.0294 0.0078 0.1383 0.0824 1.7465
7.20 -1.150 -2.00 1.2603 0.0645 0.0105 0.1994 0.1058 2.0631
7.20 -1.150 -1.75 0.9803 0.1293 0.0146 0.2782 0.1291 2.3797
7.20 -1.025 -2.25 1.6712 0.0380 0.0078 0.1380 0.1097 1.7451
7.20 -1.025 -2.00 1.2545 0.0836 0.0105 0.1987 0.1407 2.0606
