#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9000 0.6000 -1.5000 0.7345 1.2585 0.0250 0.1387 1.2165 1.2088
6.9000 0.4750 -1.5000 0.7416 1.2466 0.0254 0.1529 0.9951 1.2497
6.9000 0.3500 -1.5000 0.7477 1.1973 0.0258 0.1660 0.8033 1.2845
6.9000 0.2250 -1.5000 0.7523 1.1085 0.0261 0.1777 0.6405 1.3135
6.9000 -0.0250 -1.5000 0.7563 0.8550 0.0266 0.1965 0.3950 1.3568
6.9000 -0.1500 -1.5000 0.7551 0.7188 0.0268 0.2036 0.3060 1.3719
6.9000 -0.6500 -1.5000 0.7585 0.2946 0.0272 0.2203 0.1041 1.4054
6.9000 -0.7750 -1.5000 0.7596 0.2290 0.0272 0.2225 0.0788 1.4095
6.9000 -0.9000 -1.5000 0.7622 0.1771 0.0273 0.2242 0.0595 1.4126
6.9000 -1.0250 -1.5000 0.7626 0.1365 0.0273 0.2254 0.0448 1.4149
6.9000 -1.1500 -1.5000 0.7605 0.1051 0.0273 0.2263 0.0338 1.4167
6.9000 -1.2750 -1.5000 0.7619 0.0809 0.0273 0.2271 0.0254 1.4180
6.9000 -1.4000 -1.5000 0.7616 0.0624 0.0273 0.2276 0.0191 1.4190
6.9000 0.3500 -1.7500 0.9314 0.8808 0.0179 0.1306 0.7423 1.1576
6.9000 0.2250 -1.7500 0.9361 0.7690 0.0181 0.1377 0.5835 1.1779
6.9000 0.1000 -1.7500 0.9340 0.6521 0.0182 0.1438 0.4547 1.1943
6.9000 -0.0250 -1.7500 0.9405 0.5385 0.0183 0.1487 0.3514 1.2071
6.9000 -0.1500 -1.7500 0.9429 0.4355 0.0184 0.1527 0.2698 1.2172
6.9000 -0.2750 -1.7500 0.9445 0.3461 0.0185 0.1558 0.2060 1.2248
6.9000 -0.4000 -1.7500 0.9390 0.2717 0.0185 0.1582 0.1566 1.2307
6.9000 -0.5250 -1.7500 0.9402 0.2114 0.0185 0.1601 0.1187 1.2353
6.9000 -0.6500 -1.7500 0.9416 0.1635 0.0186 0.1616 0.0898 1.2388
6.9000 -0.7750 -1.7500 0.9424 0.1258 0.0186 0.1627 0.0677 1.2413
6.9000 -0.9000 -1.7500 0.9427 0.0967 0.0186 0.1635 0.0510 1.2433
6.9000 -1.0250 -1.7500 0.9432 0.0743 0.0186 0.1642 0.0384 1.2448
6.9000 -1.1500 -1.7500 0.9436 0.0571 0.0186 0.1647 0.0289 1.2459
6.9000 -1.2750 -1.7500 0.9435 0.0439 0.0186 0.1650 0.0217 1.2468
6.9000 0.6000 -2.0000 1.1911 0.7409 0.0127 0.0880 1.0372 0.9831
6.9000 0.4750 -2.0000 1.2029 0.6499 0.0128 0.0937 0.8206 1.0039
6.9000 0.3500 -2.0000 1.2043 0.5522 0.0129 0.0985 0.6425 1.0207
6.9000 0.2250 -2.0000 1.2013 0.4569 0.0130 0.1025 0.4988 1.0341
6.9000 0.1000 -2.0000 1.2044 0.3696 0.0130 0.1057 0.3842 1.0445
6.9000 -0.2750 -2.0000 1.2059 0.1797 0.0131 0.1119 0.1703 1.0637
6.9000 -0.4000 -2.0000 1.2071 0.1388 0.0131 0.1132 0.1289 1.0673
6.9000 -0.5250 -2.0000 1.2075 0.1068 0.0131 0.1141 0.0974 1.0701
6.9000 -0.9000 -2.0000 1.2111 0.0483 0.0132 0.1157 0.0416 1.0749
6.9000 -1.0250 -2.0000 1.2094 0.0371 0.0132 0.1161 0.0313 1.0758
6.9000 -1.1500 -2.0000 1.2096 0.0286 0.0132 0.1163 0.0235 1.0765
6.9000 -1.2750 -2.0000 1.2096 0.0220 0.0132 0.1165 0.0176 1.0770
6.9000 -1.4000 -2.0000 1.2096 0.0171 0.0132 0.1166 0.0132 1.0774
6.9000 0.6000 -2.2500 1.6034 0.4254 0.0096 0.0650 0.8608 0.8504
6.9000 0.4750 -2.2500 1.6096 0.3513 0.0096 0.0682 0.6718 0.8639
6.9000 0.1000 -2.2500 1.6093 0.1771 0.0097 0.0744 0.3052 0.8893
