#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9 -1.400 -4.0 16.0548 0.0 0.0022 0.0 0.0 0.0104
6.9 -1.400 -3.75 11.0269 0.0 0.0027 0.0 0.0017 0.0335
6.9 -1.400 -3.5 7.8069 0.0 0.0033 0.0025 0.0031 0.0943
6.9 -1.400 -3.25 5.5716 0.0 0.0038 0.0074 0.0053 0.2136
6.9 -1.400 -3.0 3.9981 0.0 0.0044 0.0165 0.0085 0.3785
6.9 -1.400 -2.75 2.8907 0.0012 0.0053 0.0305 0.0129 0.5568
6.9 -1.400 -2.5 2.1191 0.0038 0.0067 0.05 0.0186 0.7321
6.9 -1.400 -2.25 1.5753 0.0098 0.0088 0.0765 0.0256 0.9026
6.9 -1.400 -2.0 1.2034 0.0219 0.0121 0.1115 0.0335 1.0708
6.9 -1.400 -1.75 0.9511 0.0438 0.0172 0.1567 0.0416 1.238
6.9 -1.400 -1.5 0.7763 0.081 0.0253 0.2132 0.0491 1.4046
6.9 -1.275 -4.0 16.0544 0.0 0.0022 0.0 0.0012 0.0104
6.9 -1.275 -3.75 11.0228 0.0 0.0027 0.0 0.0022 0.0335
6.9 -1.275 -3.5 7.8073 0.0 0.0033 0.0025 0.0041 0.0943
6.9 -1.275 -3.25 5.5699 0.0 0.0038 0.0074 0.007 0.2136
6.9 -1.275 -3.0 3.9985 0.0 0.0044 0.0165 0.0113 0.3785
6.9 -1.275 -2.75 2.8888 0.0016 0.0053 0.0305 0.0172 0.5567
6.9 -1.275 -2.5 2.1195 0.005 0.0067 0.05 0.0248 0.732
6.9 -1.275 -2.25 1.5753 0.0127 0.0088 0.0764 0.0342 0.9024
6.9 -1.275 -2.0 1.2034 0.0281 0.0121 0.1114 0.0447 1.0703
6.9 -1.275 -1.75 0.9506 0.0562 0.0172 0.1564 0.0554 1.2373
6.9 -1.275 -1.5 0.7761 0.1041 0.0253 0.2126 0.0653 1.4034
6.9 -1.150 -4.0 16.0535 0.0 0.0022 0.0 0.0015 0.0104
6.9 -1.150 -3.75 11.0252 0.0 0.0027 0.0 0.003 0.0335
6.9 -1.150 -3.5 7.8071 0.0 0.0033 0.0025 0.0055 0.0943
6.9 -1.150 -3.25 5.5716 0.0 0.0038 0.0073 0.0094 0.2136
6.9 -1.150 -3.0 4.0218 0.0 0.0044 0.0165 0.0151 0.3784
6.9 -1.150 -2.75 2.9043 0.0021 0.0053 0.0304 0.0229 0.5566
6.9 -1.150 -2.5 2.1197 0.0065 0.0067 0.0499 0.0331 0.7318
6.9 -1.150 -2.25 1.5749 0.0165 0.0088 0.0763 0.0455 0.9022
