#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.5000000 	 2.1197000 	 0.0065000 	 0.0067000 	 0.0499000 	 0.0331000 	 0.7318000
6.9000000 	 -1.1500000 	 -2.2500000 	 1.5749000 	 0.0165000 	 0.0088000 	 0.0763000 	 0.0455000 	 0.9022000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2031000 	 0.0362000 	 0.0121000 	 0.1112000 	 0.0595000 	 1.0697000
6.9000000 	 -1.0250000 	 -2.5000000 	 2.1190000 	 0.0085000 	 0.0067000 	 0.0499000 	 0.0441000 	 0.7316000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.5754000 	 0.0212000 	 0.0088000 	 0.0762000 	 0.0606000 	 0.9016000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2024000 	 0.0466000 	 0.0121000 	 0.1110000 	 0.0792000 	 1.0691000
6.9000000 	 -0.9000000 	 -2.5000000 	 2.1194000 	 0.0111000 	 0.0067000 	 0.0498000 	 0.0588000 	 0.7312000
6.9000000 	 -0.9000000 	 -2.2500000 	 1.5748000 	 0.0274000 	 0.0088000 	 0.0760000 	 0.0807000 	 0.9011000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.2024000 	 0.0602000 	 0.0121000 	 0.1107000 	 0.1054000 	 1.0683000
7.0000000 	 -1.1500000 	 -2.5000000 	 2.1111000 	 0.0079000 	 0.0066000 	 0.0611000 	 0.0407000 	 0.9122000
7.0000000 	 -1.1500000 	 -2.2500000 	 1.5709000 	 0.0196000 	 0.0087000 	 0.0931000 	 0.0558000 	 1.1235000
7.0000000 	 -1.1500000 	 -2.0000000 	 1.1991000 	 0.0429000 	 0.0120000 	 0.1352000 	 0.0727000 	 1.3311000
7.0000000 	 -0.9000000 	 -2.5000000 	 2.1106000 	 0.0133000 	 0.0066000 	 0.0610000 	 0.0722000 	 0.9113000
7.0000000 	 -0.9000000 	 -2.2500000 	 1.5651000 	 0.0325000 	 0.0087000 	 0.0927000 	 0.0990000 	 1.1220000
7.0000000 	 -0.9000000 	 -2.0000000 	 1.2003000 	 0.0714000 	 0.0119000 	 0.1344000 	 0.1286000 	 1.3285000
7.2000000 	 -1.1500000 	 -2.5000000 	 2.0834000 	 0.0110000 	 0.0065000 	 0.0887000 	 0.0598000 	 1.4008000
7.2000000 	 -1.1500000 	 -2.2500000 	 1.5587000 	 0.0268000 	 0.0085000 	 0.1337000 	 0.0814000 	 1.7206000
7.2000000 	 -1.1500000 	 -2.0000000 	 1.1949000 	 0.0582000 	 0.0117000 	 0.1919000 	 0.1048000 	 2.0319000
7.2000000 	 -1.0250000 	 -2.5000000 	 2.0837000 	 0.0142000 	 0.0065000 	 0.0885000 	 0.0797000 	 1.3999000
7.2000000 	 -1.0250000 	 -2.2500000 	 1.5583000 	 0.0344000 	 0.0085000 	 0.1334000 	 0.1083000 	 1.7191000
7.2000000 	 -1.0250000 	 -2.0000000 	 1.1953000 	 0.0750000 	 0.0117000 	 0.1911000 	 0.1393000 	 2.0293000
7.2000000 	 -0.9000000 	 -2.5000000 	 2.0827000 	 0.0183000 	 0.0065000 	 0.0883000 	 0.1060000 	 1.3986000
7.2000000 	 -0.9000000 	 -2.2500000 	 1.5583000 	 0.0443000 	 0.0085000 	 0.1329000 	 0.1440000 	 1.7169000
7.2000000 	 -0.9000000 	 -2.0000000 	 1.1943000 	 0.0968000 	 0.0117000 	 0.1901000 	 0.1849000 	 2.0256000
7.3000000 	 -1.1500000 	 -2.5000000 	 2.0711000 	 0.0126000 	 0.0064000 	 0.1043000 	 0.0711000 	 1.7205000
7.3000000 	 -1.1500000 	 -2.2500000 	 1.5461000 	 0.0304000 	 0.0084000 	 0.1561000 	 0.0961000 	 2.1094000
7.3000000 	 -1.1500000 	 -2.0000000 	 1.1852000 	 0.0655000 	 0.0115000 	 0.2222000 	 0.1230000 	 2.4850000
7.3000000 	 -1.0250000 	 -2.5000000 	 2.0708000 	 0.0163000 	 0.0064000 	 0.1040000 	 0.0946000 	 1.7190000
7.3000000 	 -1.0250000 	 -2.2500000 	 1.5455000 	 0.0389000 	 0.0084000 	 0.1556000 	 0.1278000 	 2.1069000
7.3000000 	 -1.0250000 	 -2.0000000 	 1.1845000 	 0.0844000 	 0.0115000 	 0.2212000 	 0.1634000 	 2.4810000
7.3000000 	 -0.9000000 	 -2.5000000 	 2.0703000 	 0.0208000 	 0.0064000 	 0.1037000 	 0.1258000 	 1.7171000
7.3000000 	 -0.9000000 	 -2.2500000 	 1.5444000 	 0.0500000 	 0.0084000 	 0.1549000 	 0.1698000 	 2.1037000
7.3000000 	 -0.9000000 	 -2.0000000 	 1.1848000 	 0.1088000 	 0.0115000 	 0.2198000 	 0.2167000 	 2.4757000
7.5000000 	 -1.1500000 	 -2.5000000 	 2.0113000 	 0.0156000 	 0.0063000 	 0.1358000 	 0.0954000 	 2.5377000
7.5000000 	 -1.1500000 	 -2.2500000 	 1.5080000 	 0.0365000 	 0.0082000 	 0.1998000 	 0.1268000 	 3.0945000
7.5000000 	 -1.1500000 	 -2.0000000 	 1.1609000 	 0.0777000 	 0.0112000 	 0.2792000 	 0.1599000 	 3.6247000
7.5000000 	 -1.0250000 	 -2.5000000 	 2.0106000 	 0.0199000 	 0.0063000 	 0.1353000 	 0.1268000 	 2.5345000
7.5000000 	 -1.0250000 	 -2.2500000 	 1.5074000 	 0.0466000 	 0.0082000 	 0.1988000 	 0.1684000 	 3.0893000
7.5000000 	 -1.0250000 	 -2.0000000 	 1.1610000 	 0.0997000 	 0.0112000 	 0.2774000 	 0.2120000 	 3.6164000
7.5000000 	 -0.9000000 	 -2.5000000 	 2.0105000 	 0.0253000 	 0.0063000 	 0.1347000 	 0.1684000 	 2.5301000
7.5000000 	 -0.9000000 	 -2.2500000 	 1.5065000 	 0.0597000 	 0.0082000 	 0.1976000 	 0.2234000 	 3.0823000
7.5000000 	 -0.9000000 	 -2.0000000 	 1.1564000 	 0.1279000 	 0.0112000 	 0.2751000 	 0.2806000 	 3.6056000
7.6000000 	 -1.1500000 	 -2.5000000 	 1.9676000 	 0.0167000 	 0.0062000 	 0.1487000 	 0.1068000 	 3.0349000
7.6000000 	 -1.1500000 	 -2.2500000 	 1.4878000 	 0.0383000 	 0.0081000 	 0.2167000 	 0.1404000 	 3.6869000
7.6000000 	 -1.1500000 	 -2.0000000 	 1.1369000 	 0.0808000 	 0.0110000 	 0.2998000 	 0.1754000 	 4.3042000
7.6000000 	 -1.0250000 	 -2.5000000 	 1.9667000 	 0.0211000 	 0.0062000 	 0.1480000 	 0.1419000 	 3.0301000
7.6000000 	 -1.0250000 	 -2.2500000 	 1.4857000 	 0.0488000 	 0.0080000 	 0.2155000 	 0.1863000 	 3.6794000
7.6000000 	 -1.0250000 	 -2.0000000 	 1.1432000 	 0.1033000 	 0.0109000 	 0.2976000 	 0.2324000 	 4.2930000
7.6000000 	 -0.9000000 	 -2.5000000 	 1.9636000 	 0.0268000 	 0.0062000 	 0.1472000 	 0.1883000 	 3.0239000
7.6000000 	 -0.9000000 	 -2.2500000 	 1.4848000 	 0.0622000 	 0.0080000 	 0.2139000 	 0.2469000 	 3.6697000
7.6000000 	 -0.9000000 	 -2.0000000 	 1.1378000 	 0.1320000 	 0.0109000 	 0.2948000 	 0.3073000 	 4.2780000
7.7000000 	 -1.1500000 	 -2.5000000 	 1.9280000 	 0.0172000 	 0.0060000 	 0.1560000 	 0.1156000 	 3.5731000
7.7000000 	 -1.1500000 	 -2.2500000 	 1.4506000 	 0.0385000 	 0.0079000 	 0.2254000 	 0.1501000 	 4.3231000
7.7000000 	 -1.1500000 	 -2.0000000 	 1.1176000 	 0.0803000 	 0.0107000 	 0.3093000 	 0.1857000 	 5.0290000
7.7000000 	 -1.0250000 	 -2.5000000 	 1.9217000 	 0.0216000 	 0.0060000 	 0.1553000 	 0.1535000 	 3.5665000
7.7000000 	 -1.0250000 	 -2.2500000 	 1.4497000 	 0.0488000 	 0.0079000 	 0.2240000 	 0.1991000 	 4.3132000
7.7000000 	 -1.0250000 	 -2.0000000 	 1.1173000 	 0.1021000 	 0.0107000 	 0.3068000 	 0.2460000 	 5.0140000
7.7000000 	 -0.9000000 	 -2.5000000 	 1.9198000 	 0.0272000 	 0.0060000 	 0.1542000 	 0.2035000 	 3.5578000
7.7000000 	 -0.9000000 	 -2.2500000 	 1.4492000 	 0.0620000 	 0.0079000 	 0.2222000 	 0.2637000 	 4.3001000
7.7000000 	 -0.9000000 	 -2.0000000 	 1.1158000 	 0.1298000 	 0.0107000 	 0.3036000 	 0.3250000 	 4.9944000
7.8000000 	 -1.1500000 	 -2.5000000 	 1.8649000 	 0.0169000 	 0.0059000 	 0.1570000 	 0.1209000 	 4.1348000
7.8000000 	 -1.1500000 	 -2.2500000 	 1.4102000 	 0.0371000 	 0.0077000 	 0.2242000 	 0.1551000 	 4.9856000
7.8000000 	 -1.1500000 	 -2.0000000 	 1.0850000 	 0.0761000 	 0.0104000 	 0.3060000 	 0.1900000 	 5.7773000
