#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5 (O/H vs. C/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8, no grains
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -4.0000000 	 71.7107000 	 0.0000000 	 0.5216000 	 0.0000000 	 0.0028000 	 0.0265000
6.9000000 	 -1.1500000 	 -3.7500000 	 73.3320000 	 0.0000000 	 0.8376000 	 0.0015000 	 0.0055000 	 0.0825000
6.9000000 	 -1.1500000 	 -3.5000000 	 75.3530000 	 0.0000000 	 1.2735000 	 0.0074000 	 0.0103000 	 0.2184000
6.9000000 	 -1.1500000 	 -3.2500000 	 40.9480000 	 0.0015000 	 1.7189000 	 0.0187000 	 0.0163000 	 0.4282000
6.9000000 	 -1.1500000 	 -3.0000000 	 42.6981000 	 0.0085000 	 2.0163000 	 0.0317000 	 0.0245000 	 0.5476000
6.9000000 	 -1.1500000 	 -2.7500000 	 44.8470000 	 0.0243000 	 2.1469000 	 0.0412000 	 0.0323000 	 0.5533000
6.9000000 	 -1.1500000 	 -2.5000000 	 46.8188000 	 0.0514000 	 2.1390000 	 0.0472000 	 0.0372000 	 0.4999000
6.9000000 	 -1.1500000 	 -2.2500000 	 47.8863000 	 0.0845000 	 2.0679000 	 0.0527000 	 0.0375000 	 0.4413000
6.9000000 	 -1.1500000 	 -2.0000000 	 47.9356000 	 0.1138000 	 1.9511000 	 0.0623000 	 0.0334000 	 0.4044000
6.9000000 	 -1.1500000 	 -1.7500000 	 46.7352000 	 0.1319000 	 1.8014000 	 0.0868000 	 0.0266000 	 0.4106000
6.9000000 	 -1.1500000 	 -1.5000000 	 43.7005000 	 0.1474000 	 1.6250000 	 0.1788000 	 0.0212000 	 0.5423000
