#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9000 0.6000 -1.5000 0.7472 0.0000 1.1046 0.0236 0.1288 1.2282 1.1858
6.9000 0.4750 -1.5000 0.7538 0.0000 1.0860 0.0239 0.1421 1.0047 1.2274
6.9000 0.3500 -1.5000 0.7598 0.0000 1.0349 0.0242 0.1544 0.8115 1.2631
6.9000 0.2250 -1.5000 0.7653 0.0000 0.9473 0.0244 0.1655 0.6476 1.2932
6.9000 0.1000 -1.5000 0.7678 0.0000 0.8379 0.0246 0.1752 0.5112 1.3181
6.9000 -0.0250 -1.5000 0.7721 0.0000 0.7179 0.0248 0.1834 0.3996 1.3382
6.9000 -0.1500 -1.5000 0.7730 0.0000 0.5989 0.0249 0.1902 0.3098 1.3543
6.9000 -0.2750 -1.5000 0.7750 0.0000 0.4882 0.0250 0.1957 0.2384 1.3669
6.9000 -0.4000 -1.5000 0.7765 0.0000 0.3910 0.0251 0.2001 0.1825 1.3768
6.9000 -0.5250 -1.5000 0.7727 0.0000 0.3089 0.0251 0.2035 0.1390 1.3842
6.9000 -0.6500 -1.5000 0.7736 0.0000 0.2416 0.0252 0.2062 0.1055 1.3899
6.9000 -0.7750 -1.5000 0.7743 0.0000 0.1878 0.0252 0.2082 0.0798 1.3943
6.9000 -0.9000 -1.5000 0.7753 0.0000 0.1454 0.0252 0.2099 0.0603 1.3977
6.9000 -1.0250 -1.5000 0.7757 0.0000 0.1124 0.0253 0.2110 0.0454 1.4002
6.9000 -1.1500 -1.5000 0.7760 0.0000 0.0868 0.0253 0.2119 0.0342 1.4020
6.9000 -1.2750 -1.5000 0.7761 0.0000 0.0672 0.0253 0.2126 0.0257 1.4034
6.9000 -1.4000 -1.5000 0.7763 0.0000 0.0521 0.0253 0.2132 0.0193 1.4046
6.9000 0.6000 -1.7500 0.9259 0.0000 0.8875 0.0164 0.1059 1.1625 1.0856
6.9000 0.4750 -1.7500 0.9352 0.0000 0.8252 0.0166 0.1149 0.9362 1.1169
6.9000 0.3500 -1.7500 0.9385 0.0000 0.7386 0.0167 0.1229 0.7447 1.1428
6.9000 0.2250 -1.7500 0.9440 0.0000 0.6396 0.0168 0.1298 0.5860 1.1640
6.9000 0.1000 -1.7500 0.9467 0.0000 0.5376 0.0169 0.1356 0.4569 1.1813
6.9000 -0.0250 -1.7500 0.9478 0.0000 0.4405 0.0170 0.1403 0.3532 1.1947
6.9000 -0.1500 -1.7500 0.9503 0.0000 0.3541 0.0171 0.1441 0.2712 1.2051
6.9000 -0.2750 -1.7500 0.9512 0.0000 0.2808 0.0171 0.1474 0.2075 1.2140
6.9000 -0.4000 -1.7500 0.9474 0.0000 0.2199 0.0171 0.1497 0.1578 1.2201
